timestamp,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,left_mouth_x,left_mouth_y,left_mouth_z,left_mouth_confidence,right_mouth_x,right_mouth_y,right_mouth_z,right_mouth_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence,ground_truth
300,0.40397,-0.22111,-0.52856,0.9641299999999999,0.42373999999999995,-0.29979,-0.55182,0.93042,0.43743000000000004,-0.30355,-0.5521199999999999,0.93548,0.45118,-0.30709000000000003,-0.55281,0.95463,0.3928,-0.29504,-0.51857,0.91811,0.38198000000000004,-0.2946,-0.51826,0.89215,0.37108,-0.29403,-0.51877,0.89704,0.48045,-0.30514,-0.49818,0.97441,0.37166,-0.28981999999999997,-0.33958,0.9238700000000001,0.43478999999999995,-0.17427,-0.49006000000000005,0.9955799999999999,0.39224000000000003,-0.1676,-0.44437,0.9904299999999999,0.60373,0.01261,-0.45751000000000003,0.99961,0.31963,0.07754,-0.12309,0.9989600000000001,0.7780100000000001,0.2797,-0.35444000000000003,0.9898299999999999,0.32784,0.43617,0.24691,0.8516299999999999,0.87482,0.64073,-0.39093,0.9715,0.30616,0.81934,0.34413,0.90445,0.90699,0.74332,-0.4356,0.95336,0.28431,0.92237,0.36015,0.89166,0.8892700000000001,0.7492,-0.50503,0.9587200000000001,0.30966,0.9345600000000001,0.26479,0.9087,0.8593,0.7245699999999999,-0.41222,0.9633299999999999,0.32646,0.90075,0.30755,0.91106,0.6317,0.81845,-0.06611,0.9671799999999999,0.44025,0.80304,0.06744,0.9657899999999999,0.63318,1.33229,-0.06873,0.62742,0.44638,1.38175,0.1759,0.67175,0.66362,1.74348,0.66385,0.03203,0.5071399999999999,1.7949700000000002,0.72432,0.09541000000000001,0.67562,1.80109,0.72941,0.047189999999999996,0.52715,1.8505200000000002,0.77503,0.09781000000000001,0.65432,1.9221700000000002,0.54213,0.016309999999999998,0.50288,1.9885599999999999,0.56423,0.03561,idle
333,0.42463999999999996,-0.28509,-0.60464,0.96714,0.44811000000000006,-0.36553,-0.6128399999999999,0.9364,0.46363000000000004,-0.36732,-0.6131300000000001,0.94104,0.47915,-0.36885999999999997,-0.61358,0.9585,0.41215,-0.36359,-0.58402,0.9252799999999999,0.39954,-0.36376,-0.58385,0.90161,0.38694,-0.36374,-0.58439,0.90596,0.5118699999999999,-0.35355,-0.5202100000000001,0.97644,0.38565,-0.34675,-0.37983,0.9303299999999999,0.45846000000000003,-0.22603,-0.55601,0.99592,0.40861,-0.22286999999999998,-0.51561,0.99126,0.6543399999999999,-0.02793,-0.45951000000000003,0.9996200000000001,0.31819000000000003,0.032889999999999996,-0.16646,0.9989899999999999,0.8043,0.33084,-0.36948000000000003,0.9898899999999999,0.32641,0.4299,0.16296,0.8549,0.90681,0.67409,-0.5016,0.97265,0.30577,0.8194100000000001,0.1672,0.9031600000000001,0.9464899999999999,0.77974,-0.5712,0.9550700000000001,0.27886,0.92653,0.16432,0.8890399999999999,0.92143,0.76373,-0.64426,0.96034,0.31089,0.9384399999999999,0.06564,0.90649,0.86272,0.73936,-0.5285,0.9646299999999999,0.32726,0.9053200000000001,0.129,0.9092,0.62868,0.81973,-0.06605,0.9667,0.44023,0.8079999999999999,0.0674,0.96504,0.6276,1.34562,0.008140000000000001,0.62407,0.4466,1.37935,0.29002,0.65282,0.6545300000000001,1.8070599999999999,0.57815,0.03355,0.49322,1.81603,0.7994,0.09305,0.66671,1.8773400000000002,0.62088,0.049210000000000004,0.50547,1.88273,0.8459399999999999,0.09844,0.6347,1.9757,0.38904,0.017269999999999997,0.49236,1.9942099999999998,0.62469,0.03553,idle
367,0.45543,-0.31938,-0.6089100000000001,0.96962,0.47698,-0.39886,-0.6139,0.9413600000000001,0.49238000000000004,-0.3998,-0.61421,0.9455899999999999,0.50776,-0.40046,-0.61463,0.96162,0.43978999999999996,-0.39871,-0.59158,0.9313600000000001,0.42617,-0.39941,-0.59144,0.9095799999999999,0.41253,-0.39994,-0.59199,0.9134700000000001,0.53463,-0.38285,-0.51639,0.9779700000000001,0.40346,-0.38108000000000003,-0.392,0.93561,0.48588000000000003,-0.25824,-0.55414,0.99618,0.43425,-0.25735,-0.52146,0.9919600000000001,0.67008,-0.06978999999999999,-0.44428999999999996,0.9996299999999999,0.31819000000000003,0.0038299999999999996,-0.18939,0.99902,0.80106,0.32394,-0.34957,0.9899600000000001,0.32619000000000004,0.42073,0.06765,0.85914,0.9081899999999999,0.67173,-0.49599,0.9739,0.30575,0.81912,-0.03804,0.9013,0.94685,0.77876,-0.57482,0.95686,0.27495,0.9269299999999999,-0.06442,0.8859899999999999,0.92232,0.7471399999999999,-0.64912,0.9620200000000001,0.31201,0.9388299999999999,-0.17635,0.90417,0.86062,0.7292,-0.52457,0.96598,0.32808000000000004,0.9061899999999999,-0.08482999999999999,0.90743,0.6271,0.8186399999999999,-0.06437999999999999,0.9662,0.44032,0.80914,0.06577999999999999,0.96439,0.62471,1.34174,0.08077999999999999,0.62207,0.44616000000000006,1.36266,0.35664,0.63241,0.64889,1.8027799999999998,0.60169,0.036969999999999996,0.48477,1.81508,0.8755799999999999,0.09258,0.65809,1.8722,0.6486,0.05368,0.49633,1.8800700000000001,0.9230299999999999,0.10364000000000001,0.63364,1.9722,0.4213,0.01931,0.4792,1.98793,0.70194,0.03609,idle
400,0.45792,-0.32058000000000003,-0.59368,0.97155,0.48096000000000005,-0.39816,-0.604,0.94534,0.49593999999999994,-0.39943,-0.60434,0.9492799999999999,0.5109,-0.40041,-0.6048899999999999,0.96405,0.44486000000000003,-0.39701,-0.57887,0.9364899999999999,0.43228999999999995,-0.39741,-0.5786,0.91655,0.41967,-0.39764,-0.5791,0.92019,0.54035,-0.38374,-0.51137,0.97896,0.4147,-0.37979,-0.37993000000000005,0.9404299999999999,0.4885,-0.25989,-0.54491,0.9963200000000001,0.43923999999999996,-0.25797,-0.51017,0.9925299999999999,0.67782,-0.0682,-0.42985,0.9996299999999999,0.32121,0.0006900000000000001,-0.17908,0.9990700000000001,0.80328,0.33719,-0.33321,0.9904299999999999,0.32619000000000004,0.41466000000000003,0.12872999999999998,0.86793,0.90446,0.67014,-0.48541999999999996,0.9755799999999999,0.30906999999999996,0.82175,0.08381,0.90643,0.94214,0.77694,-0.5624899999999999,0.9591700000000001,0.27815,0.9318799999999999,0.06833,0.89045,0.9186700000000001,0.7391300000000001,-0.6328199999999999,0.9640200000000001,0.31636,0.94224,-0.03823,0.90791,0.8489,0.7229800000000001,-0.5120899999999999,0.96773,0.33102,0.90941,0.04068,0.91106,0.62705,0.82704,-0.06715,0.96595,0.44073999999999997,0.81925,0.0686,0.9642200000000001,0.62955,1.42204,0.07771,0.58768,0.44551999999999997,1.44669,0.32852,0.59533,0.64989,1.96245,0.5441199999999999,0.03468,0.47803,1.96075,0.847,0.08594,0.6610199999999999,2.04291,0.57695,0.050069999999999996,0.48732,2.03633,0.8652,0.09733,0.63168,2.13305,0.29721,0.01863,0.48012,2.13366,0.56457,0.033639999999999996,idle
433,0.45992,-0.33824,-0.58537,0.97203,0.48471000000000003,-0.4133,-0.5976100000000001,0.94695,0.5001800000000001,-0.41398,-0.5979399999999999,0.9503299999999999,0.51562,-0.41439,-0.59851,0.9646100000000001,0.44698999999999994,-0.41336000000000006,-0.57057,0.9393799999999999,0.43406999999999996,-0.41406000000000004,-0.57031,0.9203399999999999,0.42113999999999996,-0.41458,-0.57082,0.92422,0.54562,-0.39486,-0.48972,0.978,0.41628000000000004,-0.39509,-0.3544,0.9420700000000001,0.49103,-0.27466999999999997,-0.53842,0.99629,0.44026000000000004,-0.27426,-0.50131,0.9928799999999999,0.6674100000000001,-0.062,-0.40651,0.99961,0.32178,-0.00868,-0.13987,0.9990899999999999,0.79955,0.33376999999999996,-0.31821,0.9907,0.32616,0.41531999999999997,0.14926,0.87541,0.8864799999999999,0.67171,-0.49451999999999996,0.9762700000000001,0.31183,0.8265600000000001,0.06361,0.90905,0.92438,0.78168,-0.57599,0.95936,0.28229,0.94334,0.04455,0.89064,0.86105,0.74157,-0.63427,0.9640700000000001,0.32099,0.95096,-0.06081,0.90802,0.8273299999999999,0.72291,-0.51725,0.96778,0.33505999999999997,0.9174200000000001,0.02037,0.91155,0.6286,0.82919,-0.0673,0.9647899999999999,0.44161000000000006,0.82015,0.06874,0.96231,0.6322,1.45872,0.07554,0.54691,0.4403,1.47256,0.29732,0.54865,0.64458,2.02064,0.5191899999999999,0.0318,0.45311,2.02231,0.8154899999999999,0.07812000000000001,0.65163,2.1009,0.5574,0.04585,0.45453000000000005,2.10438,0.8502700000000001,0.08909,0.62627,2.22258,0.2522,0.01718,0.47175,2.21358,0.5342,0.03069,idle
467,0.4606,-0.35620999999999997,-0.5876399999999999,0.97415,0.48444,-0.42851999999999996,-0.5944699999999999,0.9511299999999999,0.5,-0.42913,-0.5947399999999999,0.95414,0.51551,-0.42946999999999996,-0.59526,0.9672799999999999,0.44595,-0.42793000000000003,-0.56907,0.9444600000000001,0.43266000000000004,-0.42822,-0.56891,0.927,0.41938000000000003,-0.42833000000000004,-0.56945,0.9306,0.54423,-0.4062,-0.46889,0.97916,0.41338,-0.40386,-0.35343,0.94647,0.49183999999999994,-0.29175,-0.53467,0.99654,0.43976000000000004,-0.2905,-0.49882,0.9934799999999999,0.66113,-0.05501,-0.3817,0.99961,0.32471,-0.005,-0.15361,0.99913,0.79511,0.35015,-0.27624,0.99087,0.32619000000000004,0.41685,0.04622,0.88221,0.8842700000000001,0.6866899999999999,-0.46807,0.97716,0.31588,0.83646,-0.12672,0.9091899999999999,0.9242,0.79566,-0.5625,0.9601700000000001,0.29216,0.95396,-0.16799,0.88805,0.8693700000000001,0.76499,-0.62056,0.9647600000000001,0.32877,0.96252,-0.27331,0.9056799999999999,0.8403700000000001,0.7388399999999999,-0.49948000000000004,0.96846,0.34176,0.9279799999999999,-0.17336,0.91005,0.62843,0.82967,-0.05914,0.9641799999999999,0.4427,0.8207700000000001,0.06059,0.9613799999999999,0.6320399999999999,1.4528,0.04704,0.51275,0.43645,1.4745700000000002,0.3176,0.50888,0.64018,2.00894,0.4639,0.029639999999999996,0.45253999999999994,2.01506,0.80623,0.07166,0.6440899999999999,2.08894,0.4937,0.04258,0.45548999999999995,2.09554,0.84585,0.08263,0.62678,2.20094,0.19384,0.016380000000000002,0.47256000000000004,2.19844,0.53973,0.02837,idle
500,0.46286000000000005,-0.34835,-0.58616,0.9759399999999999,0.4872,-0.41945,-0.5834699999999999,0.9546,0.50284,-0.41983000000000004,-0.58365,0.95731,0.51842,-0.41998,-0.58408,0.96945,0.44806999999999997,-0.41956000000000004,-0.56447,0.94875,0.4344,-0.42003999999999997,-0.5645,0.93273,0.42076,-0.42033999999999994,-0.56509,0.93605,0.5461699999999999,-0.39735,-0.43904,0.98001,0.41326999999999997,-0.39539,-0.33809,0.9501700000000001,0.49391999999999997,-0.2837,-0.52417,0.99674,0.44078,-0.28338,-0.49668,0.9939899999999999,0.6576,-0.0517,-0.37025,0.9996200000000001,0.32813000000000003,-0.00581,-0.15255,0.99918,0.78298,0.37055,-0.27221999999999996,0.9912799999999999,0.32714,0.42277,0.07256,0.8896,0.8647,0.7089,-0.47073999999999994,0.97759,0.31931,0.84493,-0.09896,0.9096700000000001,0.89331,0.8116,-0.55985,0.9601200000000001,0.29565,0.96436,-0.13373,0.8860600000000001,0.8367,0.7955300000000001,-0.6227,0.9648,0.33134,0.9769899999999999,-0.24006999999999998,0.9039799999999999,0.80916,0.77891,-0.4994,0.9683799999999999,0.34426,0.94079,-0.14427,0.90871,0.62379,0.8418,-0.06249,0.95999,0.44498999999999994,0.82455,0.06381,0.9557,0.6251399999999999,1.47619,0.045860000000000005,0.47808999999999996,0.43211000000000005,1.4814,0.32035,0.46597,0.62879,2.0497799999999997,0.40665999999999997,0.02758,0.44741000000000003,2.03737,0.79062,0.06532,0.63441,2.1337099999999998,0.43363,0.039639999999999995,0.44998999999999995,2.11928,0.82383,0.0761,0.61235,2.23444,0.14895999999999998,0.015359999999999999,0.46326999999999996,2.2191400000000003,0.51151,0.026019999999999998,idle
533,0.45968000000000003,-0.36557,-0.53803,0.9778100000000001,0.48361000000000004,-0.42954,-0.52712,0.95811,0.4989,-0.42938000000000004,-0.52727,0.96045,0.51415,-0.42896000000000006,-0.52753,0.97167,0.44546,-0.43012,-0.51157,0.95306,0.43213999999999997,-0.43051999999999996,-0.51158,0.9384600000000001,0.41881999999999997,-0.43072,-0.51222,0.9415899999999999,0.54193,-0.40042,-0.37035999999999997,0.98087,0.41161000000000003,-0.40173000000000003,-0.28702,0.9540700000000001,0.49054,-0.29830999999999996,-0.46973000000000004,0.99692,0.43859,-0.29882,-0.44752,0.99444,0.65618,-0.0505,-0.29038,0.9996200000000001,0.32997,-0.01653,-0.12855,0.9992200000000001,0.76513,0.36789,-0.17056,0.99161,0.32866,0.42291999999999996,0.10032,0.8980600000000001,0.82937,0.74858,-0.36689,0.97855,0.32692,0.8441799999999999,-0.005370000000000001,0.9156200000000001,0.84957,0.8391700000000001,-0.43573,0.9612200000000001,0.30819,0.96395,-0.028860000000000004,0.89166,0.79809,0.83615,-0.49198000000000003,0.9657399999999999,0.34026999999999996,0.9748600000000001,-0.1266,0.9086799999999999,0.7760600000000001,0.81085,-0.38734,0.9690700000000001,0.35329,0.93915,-0.044989999999999995,0.91305,0.62217,0.84572,-0.05924,0.9601700000000001,0.44498000000000004,0.83399,0.060360000000000004,0.9560700000000001,0.62539,1.48815,0.03142,0.44568,0.43353,1.4927700000000002,0.30667,0.42876000000000003,0.6339100000000001,2.0602,0.4488,0.0255,0.45178,2.05415,0.76775,0.05951,0.64195,2.1463799999999997,0.48028999999999994,0.03665,0.45445,2.13672,0.8043899999999999,0.06982999999999999,0.6175,2.2477,0.19956,0.014209999999999999,0.47973999999999994,2.23834,0.49258,0.02396,idle
567,0.45753,-0.39293,-0.51594,0.97995,0.48439,-0.43165,-0.50307,0.96211,0.49917,-0.43038000000000004,-0.5030899999999999,0.96419,0.51394,-0.42894,-0.50325,0.9743299999999999,0.44351999999999997,-0.46166999999999997,-0.49418999999999996,0.95763,0.43033999999999994,-0.45893999999999996,-0.49415,0.9444799999999999,0.41726,-0.45406,-0.49467,0.94732,0.53993,-0.39834,-0.33909,0.9825200000000001,0.41115,-0.40909,-0.29081999999999997,0.95852,0.48927,-0.30259,-0.44493999999999995,0.99721,0.43782,-0.3075,-0.43267,0.99497,0.65486,-0.055639999999999995,-0.22726,0.9996299999999999,0.33047,-0.01213,-0.1366,0.99929,0.75453,0.36443000000000003,-0.01022,0.99195,0.32948,0.42998000000000003,0.11313,0.9065,0.8054399999999999,0.76641,-0.08473,0.97887,0.32811999999999997,0.8481799999999999,0.08968,0.92184,0.83739,0.8843,-0.11462,0.96109,0.30843000000000004,0.96606,0.07724,0.89833,0.77859,0.88687,-0.17037,0.96557,0.34074,0.9767299999999999,0.0069,0.91419,0.7544,0.8583799999999999,-0.09988999999999999,0.9685600000000001,0.35383000000000003,0.94185,0.06724,0.9180200000000001,0.62463,0.8365299999999999,-0.03123,0.96275,0.44978,0.8340200000000001,0.031869999999999996,0.95926,0.63251,1.47106,0.04857,0.42368999999999996,0.44248999999999994,1.48393,0.22266,0.3994,0.65064,2.01934,0.47998999999999997,0.02453,0.47331000000000006,2.03018,0.6561899999999999,0.055189999999999996,0.65685,2.09952,0.51567,0.035480000000000005,0.47421,2.10705,0.69342,0.0654,0.6399100000000001,2.2084900000000003,0.252,0.01372,0.5038100000000001,2.21801,0.39709,0.022580000000000003,idle
600,0.45629,-0.38595,-0.6534300000000001,0.9819,0.48705,-0.42891999999999997,-0.63218,0.96577,0.50138,-0.42993000000000003,-0.63213,0.96764,0.51569,-0.42578,-0.63216,0.9767600000000001,0.44278,-0.45432,-0.63171,0.9617899999999999,0.43006000000000005,-0.45371999999999996,-0.6319600000000001,0.94996,0.41681,-0.45138999999999996,-0.63247,0.95252,0.5392899999999999,-0.38095,-0.42865,0.98401,0.41173000000000004,-0.40692,-0.44051999999999997,0.9625799999999999,0.48827,-0.28295,-0.57731,0.99746,0.43693000000000004,-0.27686,-0.5766600000000001,0.99546,0.65447,-0.05334,-0.25301999999999997,0.9995799999999999,0.33214,0.00628,-0.30219,0.99934,0.74533,0.39454,-0.13088,0.9910100000000001,0.33052,0.45219,-0.12193,0.91438,0.76873,0.8186399999999999,-0.22155999999999998,0.9746600000000001,0.32916999999999996,0.85709,-0.20388,0.92579,0.7962100000000001,0.9375399999999999,-0.27028,0.9530799999999999,0.3107,0.97019,-0.2443,0.9013899999999999,0.74088,0.9404,-0.32855,0.95834,0.34102,0.97988,-0.32083,0.91666,0.72249,0.9053700000000001,-0.24131,0.96167,0.3542,0.9454899999999999,-0.23379,0.92011,0.6269399999999999,0.82931,-0.02225,0.9626899999999999,0.45598999999999995,0.83388,0.0225,0.96109,0.6336,1.43129,0.10216,0.3991,0.45109,1.4407,0.15665,0.37385,0.6530600000000001,1.9422700000000002,0.49743999999999994,0.02459,0.47835,1.9507,0.5023,0.05355,0.6574300000000001,2.0058700000000003,0.52091,0.03587,0.47695,2.0181,0.53142,0.06517,0.64728,2.1292,0.30641999999999997,0.01404,0.50726,2.11194,0.2596,0.02248,idle
