timestamp ,nose_x  ,nose_y  ,nose_z   ,nose_confidence ,left_eye_inner_x ,left_eye_inner_y ,left_eye_inner_z ,left_eye_inner_confidence ,left_eye_x ,left_eye_y ,left_eye_z ,left_eye_confidence ,left_eye_outer_x ,left_eye_outer_y ,left_eye_outer_z ,left_eye_outer_confidence ,right_eye_inner_x ,right_eye_inner_y ,right_eye_inner_z ,right_eye_inner_confidence ,right_eye_x ,right_eye_y ,right_eye_z ,right_eye_confidence ,right_eye_outer_x ,right_eye_outer_y ,right_eye_outer_z ,right_eye_outer_confidence ,left_ear_x ,left_ear_y ,left_ear_z ,left_ear_confidence ,right_ear_x ,right_ear_y ,right_ear_z ,right_ear_confidence ,left_mouth_x ,left_mouth_y ,left_mouth_z ,left_mouth_confidence ,right_mouth_x ,right_mouth_y ,right_mouth_z ,right_mouth_confidence ,left_shoulder_x ,left_shoulder_y ,left_shoulder_z ,left_shoulder_confidence ,right_shoulder_x ,right_shoulder_y ,right_shoulder_z ,right_shoulder_confidence ,left_elbow_x ,left_elbow_y ,left_elbow_z ,left_elbow_confidence ,right_elbow_x ,right_elbow_y ,right_elbow_z ,right_elbow_confidence ,left_wrist_x ,left_wrist_y ,left_wrist_z ,left_wrist_confidence ,right_wrist_x ,right_wrist_y ,right_wrist_z ,right_wrist_confidence ,left_pinky_x ,left_pinky_y ,left_pinky_z ,left_pinky_confidence ,right_pinky_x ,right_pinky_y ,right_pinky_z ,right_pinky_confidence ,left_index_x ,left_index_y ,left_index_z ,left_index_confidence ,right_index_x ,right_index_y ,right_index_z ,right_index_confidence ,left_thumb_x ,left_thumb_y ,left_thumb_z ,left_thumb_confidence ,right_thumb_x ,right_thumb_y ,right_thumb_z ,right_thumb_confidence ,left_hip_x ,left_hip_y ,left_hip_z ,left_hip_confidence ,right_hip_x ,right_hip_y ,right_hip_z ,right_hip_confidence ,left_knee_x ,left_knee_y ,left_knee_z ,left_knee_confidence ,right_knee_x ,right_knee_y ,right_knee_z ,right_knee_confidence ,left_ankle_x ,left_ankle_y ,left_ankle_z ,left_ankle_confidence ,right_ankle_x ,right_ankle_y ,right_ankle_z ,right_ankle_confidence ,left_heel_x ,left_heel_y ,left_heel_z ,left_heel_confidence ,right_heel_x ,right_heel_y ,right_heel_z ,right_heel_confidence ,left_foot_index_x ,left_foot_index_y ,left_foot_index_z ,left_foot_index_confidence ,right_foot_index_x ,right_foot_index_y ,right_foot_index_z ,right_foot_index_confidence ,ground_truth
0         ,0.43898 ,0.66223 ,0.21182  ,0.99735         ,0.43333          ,0.65401          ,0.22051          ,0.9985                    ,0.43342    ,0.64968    ,0.22044    ,0.99845             ,0.43357          ,0.64537          ,0.22036          ,0.9988                    ,0.43333           ,0.66445           ,0.22753           ,0.99812                    ,0.43332     ,0.66768     ,0.22752     ,0.99701              ,0.43332           ,0.67078           ,0.22741           ,0.99802                    ,0.43859    ,0.63684    ,0.25609    ,0.99896             ,0.43774     ,0.67183     ,0.28567     ,0.99696              ,0.44732      ,0.65608      ,0.22424      ,0.98742               ,0.44716       ,0.66932       ,0.23242       ,0.98394                ,0.4708          ,0.62506         ,0.18381         ,0.99986                  ,0.47146          ,0.68798          ,0.29522          ,0.99759                   ,0.51117      ,0.62979      ,0.08054      ,0.78123               ,0.49369       ,0.72838       ,0.20983       ,0.13746                ,0.49829      ,0.65974      ,0.03823      ,0.67368               ,0.48749       ,0.69449       ,0.13612       ,0.08669                ,0.49841      ,0.66515      ,0.03125      ,0.62932               ,0.48834       ,0.68621       ,0.13297       ,0.0876                 ,0.49595      ,0.66479      ,0.04848      ,0.593                 ,0.4862        ,0.68281       ,0.14763       ,0.08536                ,0.49713      ,0.66465      ,0.04631      ,0.53296               ,0.48636       ,0.68574       ,0.13926       ,0.08982                ,0.5875     ,0.68029    ,-0.04524   ,0.9999              ,0.5903      ,0.71843     ,0.04504     ,0.99973              ,0.67608     ,0.71722     ,-0.18996    ,0.76329              ,0.69156      ,0.71045      ,-0.02947     ,0.19906               ,0.7752       ,0.62802      ,-0.31451     ,0.72652               ,0.77372       ,0.63872       ,-0.09709      ,0.2707                 ,0.78896     ,0.61248     ,-0.32668    ,0.77793              ,0.78733      ,0.61919      ,-0.10605     ,0.41673               ,0.80353           ,0.60982           ,-0.38232          ,0.85574                    ,0.7964             ,0.66289            ,-0.15202           ,0.37878                     ,idle
33        ,0.44808 ,0.66235 ,0.10828  ,0.9974          ,0.44387          ,0.65388          ,0.11661          ,0.99849                   ,0.4441     ,0.64949    ,0.11651    ,0.99844             ,0.44438          ,0.64512          ,0.11639          ,0.9988                    ,0.4441            ,0.66437           ,0.12524           ,0.99809                    ,0.44435     ,0.66767     ,0.12526     ,0.99698              ,0.44461           ,0.6708            ,0.12511           ,0.99799                    ,0.45065    ,0.63688    ,0.15045    ,0.99897             ,0.44761     ,0.67265     ,0.1875      ,0.99707              ,0.456        ,0.65663      ,0.11845      ,0.98813               ,0.4557        ,0.67058       ,0.1289        ,0.98484                ,0.47633         ,0.6254          ,0.08975         ,0.99986                  ,0.48623          ,0.69523          ,0.20661          ,0.99758                   ,0.48936      ,0.62984      ,0.03942      ,0.79631               ,0.50205       ,0.7404        ,0.15655       ,0.1488                 ,0.47909      ,0.69102      ,0.10151      ,0.66933               ,0.49685       ,0.71992       ,0.10898       ,0.09248                ,0.4772       ,0.70538      ,0.10126      ,0.61156               ,0.49664       ,0.71523       ,0.10437       ,0.09105                ,0.47957      ,0.7027       ,0.11913      ,0.5756                ,0.49611       ,0.71491       ,0.11156       ,0.08852                ,0.48271      ,0.69939      ,0.11061      ,0.52269               ,0.49755       ,0.71439       ,0.10854       ,0.09401                ,0.5949     ,0.67968    ,-0.04445   ,0.9999              ,0.60022     ,0.72223     ,0.04426     ,0.99974              ,0.67257     ,0.71712     ,-0.12012    ,0.76026              ,0.67993      ,0.72761      ,-0.01222     ,0.19163               ,0.76502      ,0.66939      ,-0.1533      ,0.70721               ,0.76102       ,0.6935        ,-0.04163      ,0.25872                ,0.7805      ,0.65398     ,-0.15615    ,0.77818              ,0.77513      ,0.67786      ,-0.04482     ,0.40583               ,0.79731           ,0.6836            ,-0.18715          ,0.82542                    ,0.78615            ,0.73003            ,-0.07812           ,0.36318                     ,idle
66        ,0.44958 ,0.68459 ,0.08147  ,0.99675         ,0.44566          ,0.67267          ,0.08629          ,0.99799                   ,0.44595    ,0.66825    ,0.08618    ,0.99788             ,0.44629          ,0.66386          ,0.08605          ,0.99845                   ,0.44575           ,0.68222           ,0.09748           ,0.99748                    ,0.44593     ,0.68524     ,0.09748     ,0.99604              ,0.44614           ,0.68818           ,0.09733           ,0.99744                    ,0.45268    ,0.65454    ,0.11284    ,0.99868             ,0.45114     ,0.68712     ,0.16153     ,0.99662              ,0.45731      ,0.6792       ,0.08974      ,0.98734               ,0.45686       ,0.69225       ,0.10365       ,0.9839                 ,0.4767          ,0.64172         ,0.06583         ,0.99984                  ,0.48606          ,0.7119           ,0.19193          ,0.9974                    ,0.46735      ,0.63038      ,0.01306      ,0.81096               ,0.50084       ,0.75095       ,0.15225       ,0.14537                ,0.4734       ,0.70142      ,0.10388      ,0.64858               ,0.49898       ,0.73326       ,0.08355       ,0.09078                ,0.47471      ,0.71794      ,0.10655      ,0.57728               ,0.49944       ,0.72978       ,0.07808       ,0.08925                ,0.47902      ,0.71526      ,0.12808      ,0.5428                ,0.49957       ,0.72753       ,0.0852        ,0.08692                ,0.4812       ,0.71059      ,0.11447      ,0.49619               ,0.50055       ,0.72684       ,0.0825        ,0.09235                ,0.60052    ,0.69379    ,-0.04276   ,0.9999              ,0.60512     ,0.73738     ,0.04251     ,0.99973              ,0.67401     ,0.71996     ,-0.08865    ,0.74578              ,0.68121      ,0.72822      ,0.00818      ,0.17933               ,0.75958      ,0.6728       ,-0.14433     ,0.6876                ,0.75856       ,0.68434       ,-0.0438       ,0.24616                ,0.77241     ,0.65979     ,-0.14894    ,0.78074              ,0.77111      ,0.66889      ,-0.04918     ,0.39608               ,0.79271           ,0.67347           ,-0.17743          ,0.80086                    ,0.7847             ,0.70977            ,-0.08359           ,0.34961                     ,idle
100       ,0.44939 ,0.66275 ,0.13762  ,0.99685         ,0.4463           ,0.65049          ,0.14514          ,0.99803                   ,0.44672    ,0.64618    ,0.14504    ,0.99792             ,0.44719          ,0.64188          ,0.14493          ,0.9985                    ,0.44631           ,0.6597            ,0.15422           ,0.99752                    ,0.44658     ,0.66263     ,0.15422     ,0.99611              ,0.44688           ,0.66547           ,0.15409           ,0.99751                    ,0.45505    ,0.63352    ,0.1737     ,0.99868             ,0.45401     ,0.66478     ,0.21247     ,0.99673              ,0.45781      ,0.65891      ,0.14609      ,0.9877                ,0.45727       ,0.67153       ,0.15879       ,0.98443                ,0.4809          ,0.62631         ,0.10554         ,0.99983                  ,0.49446          ,0.69219          ,0.23366          ,0.99727                   ,0.47527      ,0.63335      ,0.03738      ,0.82567               ,0.51337       ,0.72834       ,0.23261       ,0.1502                 ,0.46601      ,0.71151      ,0.11843      ,0.6597                ,0.50197       ,0.70574       ,0.23987       ,0.0903                 ,0.4635       ,0.72991      ,0.12049      ,0.58106               ,0.50007       ,0.69383       ,0.24145       ,0.08732                ,0.46813      ,0.72437      ,0.13593      ,0.54604               ,0.49933       ,0.7011        ,0.25134       ,0.08479                ,0.47147      ,0.71877      ,0.12683      ,0.50181               ,0.50084       ,0.70314       ,0.24158       ,0.09072                ,0.6031     ,0.66853    ,-0.04264   ,0.9999              ,0.60951     ,0.71751     ,0.04243     ,0.99971              ,0.68407     ,0.69689     ,-0.11248    ,0.73792              ,0.68623      ,0.71188      ,-0.02579     ,0.17712               ,0.77393      ,0.66269      ,-0.20855     ,0.67524               ,0.76934       ,0.67474       ,-0.11398      ,0.23879                ,0.78952     ,0.64897     ,-0.21913    ,0.78422              ,0.78417      ,0.65772      ,-0.12517     ,0.39307               ,0.81128           ,0.65746           ,-0.2637           ,0.78795                    ,0.79498            ,0.70002            ,-0.17522           ,0.347                       ,idle
133       ,0.45262 ,0.65644 ,0.12182  ,0.99665         ,0.44893          ,0.64434          ,0.13227          ,0.99777                   ,0.44932    ,0.63995    ,0.13215    ,0.99765             ,0.44977          ,0.63554          ,0.13207          ,0.99829                   ,0.44871           ,0.65407           ,0.1407            ,0.99723                    ,0.4488      ,0.65716     ,0.14065     ,0.99581              ,0.4489            ,0.66017           ,0.14047           ,0.99732                    ,0.45626    ,0.62665    ,0.17034    ,0.9984              ,0.45456     ,0.66002     ,0.20555     ,0.99658              ,0.4609       ,0.65238      ,0.13246      ,0.9867                ,0.46012       ,0.66513       ,0.14263       ,0.98411                ,0.48259         ,0.60829         ,0.10511         ,0.9998                   ,0.49028          ,0.69232          ,0.21502          ,0.99732                   ,0.47599      ,0.62272      ,0.00488      ,0.83631               ,0.50189       ,0.74724       ,0.14243       ,0.17171                ,0.47185      ,0.70682      ,0.0142       ,0.66167               ,0.50165       ,0.75442       ,0.04071       ,0.10442                ,0.47151      ,0.72594      ,0.00604      ,0.57713               ,0.49917       ,0.75734       ,0.02854       ,0.09728                ,0.47413      ,0.72459      ,0.02318      ,0.54078               ,0.49792       ,0.75567       ,0.03595       ,0.09465                ,0.47649      ,0.7197       ,0.02098      ,0.49818               ,0.49912       ,0.75279       ,0.03883       ,0.10102                ,0.6015     ,0.65853    ,-0.03454   ,0.99989             ,0.60653     ,0.71633     ,0.03428     ,0.99969              ,0.6784      ,0.67796     ,-0.10942    ,0.72192              ,0.67705      ,0.70127      ,-0.04237     ,0.17969               ,0.76408      ,0.6613       ,-0.19684     ,0.66032               ,0.75613       ,0.67248       ,-0.1192       ,0.23904                ,0.77962     ,0.64407     ,-0.20674    ,0.78723              ,0.77078      ,0.65357      ,-0.12847     ,0.39515               ,0.7992            ,0.65084           ,-0.25106          ,0.77273                    ,0.77995            ,0.69557            ,-0.17654           ,0.35057                     ,idle
233       ,0.43631 ,0.64462 ,0.16808  ,0.99623         ,0.4307           ,0.6502           ,0.18602          ,0.99731                   ,0.43066    ,0.64749    ,0.18596    ,0.99715             ,0.43067          ,0.64474          ,0.18596          ,0.99793                   ,0.43154           ,0.65967           ,0.17671           ,0.99666                    ,0.4321      ,0.66425     ,0.17666     ,0.99524              ,0.43267           ,0.66874           ,0.17645           ,0.99697                    ,0.43725    ,0.64774    ,0.25048    ,0.9979              ,0.43872     ,0.68105     ,0.20992     ,0.99638              ,0.44599      ,0.63832      ,0.19081      ,0.98481               ,0.44732       ,0.65087       ,0.17861       ,0.98312                ,0.4831          ,0.62235         ,0.2456          ,0.99939                  ,0.47299          ,0.69409          ,0.15522          ,0.99734                   ,0.50107      ,0.61847      ,0.21621      ,0.77215               ,0.44601       ,0.74299       ,0.07674       ,0.24281                ,0.49347      ,0.64922      ,0.1994       ,0.61418               ,0.44229       ,0.68437       ,0.10297       ,0.14832                ,0.49525      ,0.65592      ,0.19556      ,0.53836               ,0.44233       ,0.66646       ,0.09925       ,0.12934                ,0.49397      ,0.65883      ,0.20228      ,0.5052                ,0.44494       ,0.66813       ,0.10757       ,0.125                  ,0.49388      ,0.65839      ,0.20089      ,0.46741               ,0.44722       ,0.67532       ,0.1064        ,0.13327                ,0.60347    ,0.65834    ,0.0257     ,0.99967             ,0.59997     ,0.70119     ,-0.02592    ,0.99955              ,0.6999      ,0.65465     ,-0.03744    ,0.66442              ,0.69235      ,0.66456      ,-0.10196     ,0.20223               ,0.78161      ,0.61848      ,-0.13392     ,0.6139                ,0.78463       ,0.63735       ,-0.18019      ,0.24729                ,0.7993      ,0.62206     ,-0.14885    ,0.74698              ,0.80262      ,0.64038      ,-0.19226     ,0.40399               ,0.79549           ,0.5831            ,-0.2129           ,0.73136                    ,0.80573            ,0.60399            ,-0.26105           ,0.35724                     ,idle
266       ,0.44726 ,0.66908 ,0.15573  ,0.99656         ,0.44332          ,0.6619           ,0.16645          ,0.99752                   ,0.44373    ,0.65799    ,0.16636    ,0.99738             ,0.4442           ,0.6541           ,0.16631          ,0.99809                   ,0.44305           ,0.67142           ,0.17429           ,0.99692                    ,0.44324     ,0.67463     ,0.17425     ,0.99562              ,0.44345           ,0.67776           ,0.17406           ,0.99722                    ,0.45197    ,0.64865    ,0.19889    ,0.99807             ,0.44862     ,0.68208     ,0.23389     ,0.99668              ,0.45685      ,0.66317      ,0.16511      ,0.98608               ,0.45656       ,0.67568       ,0.17582       ,0.98456                ,0.48746         ,0.63086         ,0.14367         ,0.99943                  ,0.49058          ,0.69556          ,0.23292          ,0.9975                    ,0.49742      ,0.63526      ,0.06665      ,0.7886                ,0.49371       ,0.73377       ,0.21974       ,0.27262                ,0.48563      ,0.69307      ,0.09814      ,0.62922               ,0.47793       ,0.69434       ,0.24156       ,0.15959                ,0.48433      ,0.70709      ,0.09779      ,0.54844               ,0.47493       ,0.68141       ,0.24286       ,0.13559                ,0.48668      ,0.702        ,0.10962      ,0.5153                ,0.47548       ,0.68806       ,0.25131       ,0.13104                ,0.48846      ,0.699        ,0.10411      ,0.47948               ,0.47768       ,0.69134       ,0.24269       ,0.14121                ,0.61488    ,0.66276    ,-0.02691   ,0.99968             ,0.61829     ,0.70348     ,0.02675     ,0.99956              ,0.71595     ,0.66226     ,-0.10221    ,0.68038              ,0.70687      ,0.665        ,-0.07044     ,0.23989               ,0.79834      ,0.62012      ,-0.21003     ,0.63255               ,0.79669       ,0.63511       ,-0.15273      ,0.2762                 ,0.80768     ,0.6226      ,-0.22423    ,0.75914              ,0.81405      ,0.62366      ,-0.16514     ,0.42707               ,0.83008           ,0.60484           ,-0.28248          ,0.74399                    ,0.82041            ,0.64032            ,-0.22178           ,0.38575                     ,idle
300       ,0.44598 ,0.67441 ,0.12094  ,0.99644         ,0.44098          ,0.66669          ,0.13071          ,0.99731                   ,0.44121    ,0.66186    ,0.13059    ,0.99717             ,0.44149          ,0.6571           ,0.13051          ,0.99796                   ,0.4411            ,0.67862           ,0.13917           ,0.99657                    ,0.44137     ,0.68279     ,0.13918     ,0.99502              ,0.44166           ,0.68685           ,0.13902           ,0.99684                    ,0.44877    ,0.64892    ,0.17132    ,0.99792             ,0.44696     ,0.68854     ,0.21355     ,0.99643              ,0.45515      ,0.66567      ,0.13434      ,0.98585               ,0.45531       ,0.6813        ,0.14536       ,0.9841                 ,0.47791         ,0.63021         ,0.12674         ,0.99946                  ,0.48624          ,0.69828          ,0.21625          ,0.99742                   ,0.47549      ,0.63263      ,0.05196      ,0.80124               ,0.48871       ,0.73468       ,0.20252       ,0.29154                ,0.4805       ,0.70004      ,0.08136      ,0.62778               ,0.48036       ,0.71264       ,0.22002       ,0.1616                 ,0.48281      ,0.7171       ,0.07819      ,0.53983               ,0.47883       ,0.70348       ,0.21858       ,0.13663                ,0.48501      ,0.71505      ,0.09006      ,0.50857               ,0.47867       ,0.70967       ,0.2288        ,0.13238                ,0.48636      ,0.71044      ,0.08668      ,0.4752                ,0.48096       ,0.71099       ,0.22201       ,0.14311                ,0.61275    ,0.66255    ,-0.02981   ,0.99969             ,0.61556     ,0.70873     ,0.02956     ,0.99954              ,0.71221     ,0.67366     ,-0.10175    ,0.68304              ,0.70616      ,0.68017      ,-0.03943     ,0.25698               ,0.79804      ,0.62008      ,-0.19091     ,0.63384               ,0.7961        ,0.63514       ,-0.10334      ,0.28587                ,0.81162     ,0.61525     ,-0.20173    ,0.76042              ,0.81283      ,0.62101      ,-0.11215     ,0.43322               ,0.82772           ,0.60772           ,-0.25406          ,0.74243                    ,0.82201            ,0.65659            ,-0.15988           ,0.39245                     ,idle
333       ,0.4448  ,0.67684 ,0.1097   ,0.99638         ,0.43971          ,0.66952          ,0.12154          ,0.99714                   ,0.43985    ,0.66441    ,0.12142    ,0.99701             ,0.44006          ,0.65934          ,0.12135          ,0.99784                   ,0.44008           ,0.68267           ,0.12712           ,0.99633                    ,0.44049     ,0.68739     ,0.12713     ,0.99464              ,0.44094           ,0.69198           ,0.12698           ,0.99659                    ,0.44735    ,0.6506     ,0.17052    ,0.9978              ,0.44646     ,0.69527     ,0.19873     ,0.99624              ,0.45411      ,0.66797      ,0.12677      ,0.98554               ,0.45465       ,0.68505       ,0.13404       ,0.98376                ,0.47635         ,0.63325         ,0.12984         ,0.99948                  ,0.48412          ,0.70437          ,0.20518          ,0.99737                   ,0.47903      ,0.63209      ,0.05694      ,0.81135               ,0.48333       ,0.73333       ,0.18399       ,0.3177                 ,0.48236      ,0.69482      ,0.07458      ,0.62539               ,0.47328       ,0.71142       ,0.21121       ,0.16933                ,0.48459      ,0.70852      ,0.06996      ,0.53233               ,0.47114       ,0.70124       ,0.20981       ,0.14151                ,0.48604      ,0.70791      ,0.08202      ,0.50222               ,0.47183       ,0.70442       ,0.22162       ,0.13706                ,0.48709      ,0.70453      ,0.07972      ,0.47133               ,0.47434       ,0.70925       ,0.21421       ,0.14809                ,0.61221    ,0.6666     ,-0.02776   ,0.99969             ,0.61525     ,0.71533     ,0.02754     ,0.99952              ,0.71209     ,0.67442     ,-0.09763    ,0.6791               ,0.70838      ,0.68227      ,-0.0521      ,0.27161               ,0.80268      ,0.62027      ,-0.17707     ,0.62895               ,0.79996       ,0.63559       ,-0.10519      ,0.29156                ,0.81763     ,0.61477     ,-0.18778    ,0.75385              ,0.81616      ,0.62163      ,-0.11291     ,0.43236               ,0.8277            ,0.60935           ,-0.24383          ,0.73681                    ,0.82674            ,0.65881            ,-0.16753           ,0.39609                     ,idle
366       ,0.44531 ,0.67557 ,0.11419  ,0.99623         ,0.43956          ,0.66935          ,0.13498          ,0.99701                   ,0.43964    ,0.66438    ,0.13491    ,0.99689             ,0.43978          ,0.65943          ,0.1349           ,0.99775                   ,0.43997           ,0.68205           ,0.14556           ,0.9961                     ,0.44032     ,0.68653     ,0.14558     ,0.99434              ,0.4407            ,0.69089           ,0.14545           ,0.99641                    ,0.44631    ,0.65057    ,0.19476    ,0.9977              ,0.44568     ,0.69889     ,0.22921     ,0.99609              ,0.45436      ,0.66638      ,0.14136      ,0.98454               ,0.45495       ,0.68253       ,0.15415       ,0.98291                ,0.47704         ,0.6324          ,0.15992         ,0.99948                  ,0.48296          ,0.704            ,0.2228           ,0.99741                   ,0.48231      ,0.63468      ,0.07464      ,0.79771               ,0.47689       ,0.73516       ,0.16068       ,0.3307                 ,0.48308      ,0.69013      ,0.06899      ,0.60317               ,0.468         ,0.70816       ,0.14094       ,0.16809                ,0.48513      ,0.7012       ,0.0622       ,0.51266               ,0.46669       ,0.69602       ,0.13241       ,0.14016                ,0.4868       ,0.70126      ,0.0742       ,0.48339               ,0.46781       ,0.6991        ,0.14475       ,0.13574                ,0.48798      ,0.69926      ,0.07375      ,0.45445               ,0.47028       ,0.70335       ,0.14193       ,0.14729                ,0.61196    ,0.66612    ,-0.01933   ,0.99969             ,0.6134      ,0.71504     ,0.01908     ,0.99952              ,0.70901     ,0.67715     ,-0.11579    ,0.66461              ,0.70631      ,0.68144      ,-0.06852     ,0.28373               ,0.80134      ,0.62002      ,-0.22281     ,0.62097               ,0.79888       ,0.63514       ,-0.14263      ,0.2958                 ,0.81598     ,0.61486     ,-0.23551    ,0.74525              ,0.81503      ,0.62236      ,-0.15238     ,0.42882               ,0.82509           ,0.60747           ,-0.29948          ,0.73091                    ,0.82319            ,0.6487             ,-0.21205           ,0.39742                     ,idle
