timestamp,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,left_mouth_x,left_mouth_y,left_mouth_z,left_mouth_confidence,right_mouth_x,right_mouth_y,right_mouth_z,right_mouth_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence,ground_truth
100,0.052879999999999996,0.42083999999999994,-0.6764100000000001,0.67594,0.00312,0.45728,-0.70209,0.64257,-0.01347,0.4433,-0.7027899999999999,0.63974,-0.029710000000000004,0.42893000000000003,-0.70419,0.62932,0.04755,0.49885,-0.6844100000000001,0.75252,0.061560000000000004,0.51447,-0.68435,0.7564,0.0756,0.52995,-0.6855600000000001,0.80657,0.00775,0.38224,-0.52566,0.71204,0.08492000000000001,0.54938,-0.41034,0.92356,0.03477,0.35372,-0.57986,0.82383,0.08782999999999999,0.40474,-0.54783,0.90654,-0.12733,0.07393999999999999,-0.26192,0.9318200000000001,0.25425,0.4673,-0.14927,0.9960100000000001,-0.11685999999999999,-0.37687,-0.19741,0.45757,0.49463,0.16962,-0.057460000000000004,0.87118,-0.16779000000000002,-0.3535,-0.40195,0.20399,0.58508,0.37917,-0.34003,0.95895,-0.18700999999999998,-0.36689,-0.43804,0.20038,0.5968899999999999,0.48768,-0.38505,0.92551,-0.20523000000000002,-0.30968,-0.47293999999999997,0.22227,0.57501,0.51537,-0.46029,0.9354899999999999,-0.18062999999999999,-0.28569,-0.42735,0.30439,0.57411,0.46543999999999996,-0.38013,0.9436700000000001,0.26982,-0.6711199999999999,-0.05314,0.78346,0.48603999999999997,-0.39157,0.053520000000000005,0.8812,0.54533,-1.45323,0.10131,0.11108,0.7470399999999999,-1.19307,0.17941,0.15841,0.81818,-2.2197,0.67137,0.00427,1.0175,-1.95898,0.48482,0.0119,0.84473,-2.32524,0.71058,0.00462,1.04647,-2.06039,0.50737,0.01167,0.9305899999999999,-2.38595,0.28978000000000004,0.00266,1.10443,-2.14696,0.02493,0.00249,idle
133,0.0802,0.61858,-0.27981,0.70394,0.038810000000000004,0.6705399999999999,-0.315,0.67295,0.02377,0.66583,-0.31554,0.67106,0.00915,0.6605,-0.31687,0.6612399999999999,0.07948999999999999,0.68965,-0.29518,0.77373,0.09253,0.6976899999999999,-0.29477,0.77732,0.10552,0.7055,-0.29581,0.8226600000000001,0.00307,0.6463899999999999,-0.26848,0.73755,0.11007,0.72322,-0.13903,0.9303299999999999,0.054060000000000004,0.56581,-0.24255,0.8398700000000001,0.13493,0.66247,-0.20713,0.91496,-0.11796,0.33058000000000004,-0.1551,0.93761,0.25736,0.65396,0.0034200000000000003,0.99621,-0.13096,-0.07991000000000001,-0.13258,0.4858,0.48721000000000003,0.41986,0.33081,0.8525299999999999,-0.20713,-0.08039,-0.35906,0.2298,0.5899800000000001,0.6027100000000001,0.42368999999999996,0.9572200000000001,-0.22598000000000001,-0.09385,-0.39219,0.22493000000000002,0.61965,0.6096600000000001,0.44268,0.92505,-0.25035999999999997,-0.01292,-0.44972,0.2501,0.59754,0.63537,0.36272,0.9351799999999999,-0.23025,0.00374,-0.39571,0.33546,0.59819,0.65455,0.38691,0.94321,0.24272,-0.21699000000000002,-0.04597,0.80298,0.48077,0.057260000000000005,0.04659,0.89199,0.51822,-0.9912200000000001,0.12675999999999998,0.15261,0.7359899999999999,-0.7642100000000001,0.22191999999999998,0.20044,0.76284,-1.7780900000000002,0.60968,0.007520000000000001,0.9587200000000001,-1.5902399999999999,0.48061000000000004,0.02033,0.77722,-1.89402,0.64717,0.00748,0.9706600000000001,-1.71153,0.49646,0.0159,0.88784,-1.96638,0.26333,0.00367,1.04013,-1.80795,0.02494,0.00352,idle
166,0.13614,0.72602,-0.33702,0.72665,0.10991,0.73954,-0.35417,0.6996600000000001,0.08636,0.81944,-0.35485,0.6987,0.07094,0.81086,-0.35615,0.69028,0.15581,0.79242,-0.31839,0.7902100000000001,0.16810999999999998,0.8003100000000001,-0.31799,0.79288,0.17981,0.80938,-0.31917,0.8340799999999999,0.03238,0.78841,-0.19347999999999999,0.76127,0.21243,0.8219200000000001,0.0009,0.9348,0.11247,0.65791,-0.25532,0.85395,0.17557,0.7421,-0.20277,0.9217799999999999,-0.056470000000000006,0.44488999999999995,-0.09356,0.94353,0.31505,0.69722,0.18307,0.9962799999999999,0.00797,0.00715,-0.29782,0.53058,0.5324,0.48147,-0.10958,0.83025,0.026619999999999998,0.41802,-0.5574600000000001,0.29543,0.5899399999999999,0.5888100000000001,-0.9248200000000001,0.9509299999999999,0.061320000000000006,0.6167199999999999,-0.6300399999999999,0.28478000000000003,0.62003,0.6009899999999999,-1.05178,0.9179799999999999,0.015580000000000002,0.58803,-0.60245,0.30766,0.58787,0.6178100000000001,-1.0740299999999998,0.92763,0.02295,0.56539,-0.54564,0.38645999999999997,0.5794699999999999,0.6308,-0.96206,0.9363100000000001,0.30323,-0.21711,-0.04222,0.82052,0.5169600000000001,0.06532,0.04264,0.9013700000000001,0.57916,-1.00779,0.1554,0.16959000000000002,0.8082,-0.7635,0.22403,0.20806999999999998,0.82155,-1.75974,0.64152,0.0079,1.02347,-1.55575,0.51971,0.0203,0.8407899999999999,-1.85267,0.68304,0.007520000000000001,1.0320799999999999,-1.65707,0.53865,0.015590000000000001,0.93291,-1.9715799999999999,0.28144,0.004,1.08535,-1.80513,0.05295,0.00358,idle
200,0.077,0.7195,-0.62474,0.7137399999999999,0.03213,0.75625,-0.64769,0.6873199999999999,0.01468,0.76074,-0.64854,0.68774,-0.0003,0.74703,-0.64954,0.68025,0.075,0.80097,-0.6224,0.7774399999999999,0.14732,0.79068,-0.62226,0.7802,0.15865,0.80277,-0.62338,0.82184,-0.047389999999999995,0.71568,-0.49012,0.75126,0.12405999999999999,0.83967,-0.34848,0.92645,0.06523,0.6458699999999999,-0.54295,0.8509899999999999,0.16094,0.70443,-0.5029,0.9191600000000001,-0.05911,0.3757,-0.30603,0.94605,0.29896999999999996,0.71751,-0.09344,0.99546,-0.02528,-0.06511,-0.4099,0.53677,0.49746,0.41771,-0.09437000000000001,0.79961,-0.05919,-0.24103000000000002,-0.8049,0.29627,0.58696,0.56188,-0.5391,0.9287200000000001,-0.08294,-0.35965,-0.9041799999999999,0.28879,0.6169899999999999,0.5705100000000001,-0.60492,0.89561,-0.0637,-0.32666999999999996,-0.9919899999999999,0.31348000000000004,0.58733,0.60446,-0.67302,0.90812,-0.027939999999999996,-0.26745,-0.85624,0.39311999999999997,0.57152,0.60145,-0.57848,0.9192,0.30015,-0.29034,-0.04111,0.82763,0.51555,-0.02975,0.04154,0.9021899999999999,0.57371,-1.04309,0.14924,0.16981,0.79588,-0.79374,0.21115,0.20879,0.8339700000000001,-1.7945,0.68807,0.00817,1.02525,-1.54126,0.537,0.0198,0.862,-1.8907200000000002,0.72573,0.007679999999999999,1.03814,-1.6359700000000001,0.5586800000000001,0.01551,0.93816,-1.98425,0.27921999999999997,0.004229999999999999,1.08579,-1.7759599999999998,0.0502,0.00364,idle
233,0.03633,0.83191,-0.66799,0.7327,-0.014980000000000002,0.8685299999999999,-0.68639,0.70699,-0.02982,0.8534200000000001,-0.68725,0.7087399999999999,-0.04398,0.83593,-0.68833,0.7014100000000001,0.023459999999999998,0.9151799999999999,-0.65822,0.78992,0.04748,0.92804,-0.65801,0.79305,0.05909,0.9436100000000001,-0.65904,0.8312700000000001,-0.08204,0.79401,-0.54624,0.76694,0.06026,0.9499299999999999,-0.39361999999999997,0.92961,0.028460000000000003,0.7489899999999999,-0.59615,0.8611700000000001,0.08557999999999999,0.8071,-0.55325,0.92438,-0.07,0.4191,-0.33244,0.95057,0.25066,0.79843,-0.11890999999999999,0.9954700000000001,-0.045989999999999996,-0.11659000000000001,-0.34626,0.55774,0.4687,0.49341999999999997,0.19432,0.7659100000000001,-0.14145,-0.70872,-0.64153,0.31272,0.59228,0.58144,0.28864,0.9159700000000001,-0.20042000000000001,-0.87477,-0.7034600000000001,0.30793000000000004,0.61624,0.59485,0.30224,0.8843,-0.19278,-0.87231,-0.8041699999999999,0.33531,0.62007,0.64452,0.1965,0.8985299999999999,-0.14113,-0.79093,-0.69522,0.41628000000000004,0.59045,0.61811,0.24361999999999998,0.9113100000000001,0.2973,-0.16543,-0.03804,0.8436299999999999,0.48907,0.11370999999999999,0.03821,0.9109,0.5421600000000001,-0.9281799999999999,0.20885,0.184,0.72513,-0.7502800000000001,0.27389,0.23648000000000002,0.79608,-1.68405,0.81111,0.00999,0.9642,-1.47631,0.67409,0.02554,0.82376,-1.7876599999999998,0.8559100000000001,0.00902,0.98745,-1.57669,0.70289,0.018690000000000002,0.8848299999999999,-1.85972,0.42178999999999994,0.0059700000000000005,1.01762,-1.6659700000000002,0.23509000000000002,0.00551,idle
266,-0.10759,0.8879100000000001,-1.06433,0.7518,-0.16575,0.9264,-1.08454,0.72315,-0.18151,0.90755,-1.08483,0.72564,-0.19705999999999999,0.8883,-1.08545,0.71548,-0.1264,0.97709,-1.07145,0.80308,-0.1123,0.99616,-1.07148,0.80703,-0.09852999999999999,1.01535,-1.07231,0.84135,-0.22498,0.8531299999999999,-0.9346,0.77658,-0.08025,1.0317100000000001,-0.8693299999999999,0.93366,-0.11375999999999999,0.81313,-0.9826299999999999,0.8712200000000001,-0.06357,0.8802700000000001,-0.96255,0.9304600000000001,-0.19906,0.50085,-0.66203,0.9523799999999999,0.13817000000000002,0.9532200000000001,-0.4797,0.9957299999999999,-0.13399,-0.0854,-0.43593000000000004,0.52835,0.39271,0.62688,-0.10808,0.72249,-0.21026999999999998,-0.62292,-0.52727,0.29074,0.5479,0.60142,-0.026680000000000002,0.8598,-0.25046,-0.75226,-0.5614600000000001,0.28874,0.57545,0.58592,-0.035339999999999996,0.8400700000000001,-0.25587,-0.7600399999999999,-0.76856,0.31544,0.58955,0.63683,-0.13989000000000001,0.8579399999999999,-0.21518,-0.68582,-0.61929,0.39492,0.54885,0.61683,-0.0716,0.8721399999999999,0.19341,-0.04096,-0.03814,0.85709,0.36372,0.21623,0.038380000000000004,0.91881,0.46676000000000006,-0.54191,0.39536,0.22683000000000003,0.58332,-0.21952,0.49501000000000006,0.26802,0.6754600000000001,-1.07515,1.2457,0.0551,0.82857,-0.9525899999999999,1.13345,0.08107,0.70899,-1.15429,1.31836,0.06308,0.8393299999999999,-1.05417,1.18462,0.07861,0.73192,-1.2643799999999998,1.0083799999999998,0.04705,0.9518700000000001,-1.10451,0.8261,0.05047,idle
300,-0.00864,0.96877,-0.8701399999999999,0.76515,-0.0675,0.99777,-0.8880899999999999,0.73873,-0.08152000000000001,0.9817600000000001,-0.8884799999999999,0.7419100000000001,-0.0964,0.9654200000000001,-0.8892899999999999,0.73082,-0.0425,1.04114,-0.86867,0.8082600000000001,-0.05665,1.05877,-0.86861,0.81187,-0.052079999999999994,1.07643,-0.86959,0.84201,-0.19889,0.9333899999999999,-0.76076,0.78382,-0.0624,1.092,-0.66573,0.9302,-0.020659999999999998,0.90022,-0.80542,0.8773799999999999,0.00147,0.95545,-0.77696,0.9315,-0.19837,0.62983,-0.5874199999999999,0.9564,0.16864,1.04663,-0.38358000000000003,0.99531,-0.12498,0.36924,-0.45756,0.53073,0.40206,0.8207899999999999,-0.12245,0.68672,-0.18299,0.46198,-0.41071,0.32278,0.5527,0.78205,-0.06974,0.83234,-0.20681999999999998,0.48058,-0.41823999999999995,0.31989,0.58992,0.78389,-0.06006,0.81409,-0.23204,0.53194,-0.45151,0.34736999999999996,0.59392,0.79892,-0.11675999999999999,0.8336,-0.20923000000000003,0.5452600000000001,-0.42883000000000004,0.41866000000000003,0.54981,0.77352,-0.09846,0.84919,0.20377,0.14010999999999998,-0.05722000000000001,0.87095,0.36956,0.43828999999999996,0.057179999999999995,0.92625,0.36980999999999997,-0.0763,0.54686,0.27335,0.51413,0.15053,0.69148,0.28931,0.45716,-0.08539,1.2234,0.11185999999999999,0.51371,0.0914,1.35325,0.12292,0.46,-0.09324,1.2894299999999999,0.12109,0.50503,0.09381,1.4168100000000001,0.12265999999999999,0.53361,-0.21736,1.21681,0.10892,0.64018,-0.04434,1.35724,0.10590999999999999,idle
333,-0.06486,0.9053899999999999,-0.81234,0.76107,-0.10586,0.9641,-0.8294100000000001,0.73574,-0.11312,0.93555,-0.82991,0.74387,-0.12070999999999998,0.93014,-0.83088,0.72728,-0.08871,0.99866,-0.8295399999999999,0.79452,-0.08735,1.04372,-0.8295600000000001,0.79928,-0.08205,1.0648,-0.83041,0.82096,-0.15142,0.84854,-0.6944,0.7727,-0.06978,1.0026899999999999,-0.78673,0.90384,-0.05325,0.79887,-0.7472300000000001,0.86326,-0.03599,0.8581,-0.76594,0.9128799999999999,-0.17443,0.57033,-0.55042,0.9550700000000001,0.15384,1.00135,-0.55658,0.9901399999999999,-0.08632999999999999,0.39687,-0.40679,0.49121000000000004,0.29927,0.92199,-0.45066000000000006,0.66192,-0.1449,0.32606,-0.28974,0.30595,0.48876000000000003,0.8556,-0.33881999999999995,0.79174,-0.16787,0.29882,-0.30043000000000003,0.30664,0.52928,0.8720100000000001,-0.31732,0.77432,-0.19458,0.31283,-0.33499,0.33446,0.54198,0.87279,-0.34755,0.79747,-0.18309,0.34148,-0.31637,0.40291,0.5100600000000001,0.8504799999999999,-0.36036,0.81705,0.18436,0.13464,-0.02899,0.88271,0.33205,0.35278000000000004,0.028669999999999998,0.93221,0.29225,-0.00717,0.62502,0.30954,0.45337,0.20706,0.62139,0.31355,0.38339,0.01732,1.24537,0.14808,0.43788999999999995,0.07302,1.25777,0.1552,0.39237,0.03653,1.30723,0.15655,0.42491999999999996,0.052779999999999994,1.32818,0.15596,0.45928,-0.0948,1.26843,0.15403,0.51669,0.07652,1.29034,0.15186,idle
367,0.01192,0.8867299999999999,-0.63675,0.77817,-0.03441,0.9234100000000001,-0.6453899999999999,0.7540600000000001,-0.04437,0.9067700000000001,-0.6456,0.7632,-0.05467999999999999,0.89481,-0.6462899999999999,0.74655,-0.01193,0.96511,-0.65073,0.80343,-0.01236,0.98979,-0.65061,0.8086,-0.00618,1.00912,-0.65113,0.8245399999999999,-0.08774,0.8668399999999999,-0.52805,0.7884399999999999,0.00469,1.02339,-0.5936100000000001,0.9016,0.01399,0.8226600000000001,-0.57899,0.8722700000000001,0.05922,0.8925299999999999,-0.58921,0.91571,-0.02168,0.5624100000000001,-0.40376,0.95888,0.16731,1.0146899999999999,-0.51232,0.9893,-0.014980000000000002,0.47463999999999995,-0.13267,0.48368,0.30509000000000003,0.8895200000000001,-0.08957999999999999,0.65056,-0.030139999999999997,0.45511999999999997,0.03102,0.32406999999999997,0.42299,0.85005,0.14031,0.77328,-0.02435,0.42649,0.0487,0.32978,0.45277,0.8587899999999999,0.18348,0.75825,-0.04845,0.47131999999999996,0.01175,0.35954,0.45486000000000004,0.88279,0.15685,0.78285,-0.0471,0.49878999999999996,0.0157,0.42418999999999996,0.42972,0.86392,0.13082,0.80294,0.18841,0.15654,-0.0289,0.8941100000000001,0.35548,0.39188,0.02864,0.93826,0.3546,-0.03325,0.35995,0.36465,0.5073,0.23442,0.52517,0.3601,0.43923999999999996,0.06555,1.04964,0.20285999999999998,0.47555,0.13495,1.0518299999999998,0.21335,0.43116000000000004,0.08981,1.17311,0.2113,0.45713000000000004,0.16359,1.10795,0.21498,0.54693,-0.018369999999999997,1.07158,0.20988,0.52999,0.13810999999999998,1.11105,0.21336,idle
400,0.09504,0.8624200000000001,-0.47471,0.78808,0.046669999999999996,0.8932100000000001,-0.47885,0.76694,0.03499,0.8793200000000001,-0.47916000000000003,0.7764300000000001,0.02332,0.8660899999999999,-0.48021,0.75965,0.0739,0.93484,-0.47545,0.80772,0.07939,0.9543299999999999,-0.47523000000000004,0.81307,0.08728999999999999,0.9722,-0.47581,0.8265899999999999,-0.00775,0.8458700000000001,-0.37121,0.80016,0.08946,0.99756,-0.34471,0.9006200000000001,0.08822999999999999,0.80485,-0.42376,0.8779899999999999,0.12309,0.8634799999999999,-0.41534,0.91615,0.01281,0.55375,-0.24891,0.96154,0.21478000000000003,0.9711700000000001,-0.18086,0.98782,0.02399,0.46617,0.06417,0.47275,0.32318,0.78149,0.12955999999999998,0.62961,0.006229999999999999,0.36575,0.31235999999999997,0.3204,0.46342,0.79267,0.30286,0.75571,0.00629,0.32979,0.3495,0.32928,0.49145,0.8127,0.33486,0.74335,-0.008620000000000001,0.37501,0.30918,0.36145,0.48963,0.83835,0.31067,0.7695,-0.00251,0.40164,0.29886,0.42323999999999995,0.46713000000000005,0.81172,0.29389,0.78799,0.19546,0.20079,-0.03102,0.9043899999999999,0.36911,0.43187,0.030330000000000003,0.9437,0.35294000000000003,0.04455,0.34469,0.41478999999999994,0.52398,0.33909,0.5939800000000001,0.39164,0.43095,0.09155,1.08212,0.23758,0.48613999999999996,0.21756,1.20836,0.24353000000000002,0.42108,0.10702,1.17515,0.24670999999999998,0.46487,0.1811,1.28172,0.25349,0.54804,-0.0109,1.1918,0.24297,0.5300199999999999,0.17665999999999998,1.31788,0.24629,idle
