,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_x_cumsum_7,left_elbow_x_cumsum_8,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,left_elbow_y_cumsum_7,left_elbow_y_cumsum_8,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_x_cumsum_7,right_elbow_x_cumsum_8,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,right_elbow_y_cumsum_7,right_elbow_y_cumsum_8,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_x_cumsum_7,left_wrist_x_cumsum_8,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,left_wrist_y_cumsum_7,left_wrist_y_cumsum_8,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_x_cumsum_7,right_wrist_x_cumsum_8,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_wrist_y_cumsum_7,right_wrist_y_cumsum_8,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,right_forearm_angle_cumsum_7,right_forearm_angle_cumsum_8,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,left_forearm_angle_cumsum_7,left_forearm_angle_cumsum_8,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,right_forearm_r_cumsum_7,right_forearm_r_cumsum_8,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,left_forearm_r_cumsum_7,left_forearm_r_cumsum_8,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.034175,0.029964,0.032849,0.028001,0.022229,0.006461,-0.016743,-0.030523,-0.042482,0.066479,0.057509,0.074734,0.070288,0.091581,0.1181,0.114642,0.110144,0.149285,-0.001859,-0.002145,-0.002145,-0.002184,-0.002145,-0.00091,0.001066,0.002132,0.003484,-0.008151,-0.020071,-0.027962,-0.027104,-0.025115,-0.017419,-0.017224,-0.008047,0.020825,0.041585,0.043379,0.03853,0.015157,0.012284,-0.013155,-0.059082,-0.09019,-0.137911,0.043366,0.040298,0.038231,0.040272,0.059745,0.088617,0.140199,0.163377,0.231272,-0.000507,-0.000533,0.003783,0.007371,0.012635,0.017094,0.026987,0.028547,0.029912,9.1e-05,-0.000286,0.003133,0.009386,0.022255,0.033265,0.032291,0.03749,0.049073,0.008155,0.01967,0.030766,0.036017,0.046738,0.049982,0.048723,0.044743,0.027454,-0.02022,-0.012829,-0.033539,-0.032294,-0.033323,-0.033416,0.015973,0.040827,0.066246,-0.001177,-0.001797,-0.005684,-0.009009,-0.014195,-0.01748,-0.025431,-0.025902,-0.025863,-0.006651,-0.008518,-0.007763,-0.000174,-0.001441,0.002396,0.019136,0.03462,0.070081,0.993386,1.029502,1,0,0,0,0,0,0,0,0,0,0
1,-0.003986,-0.001255,-0.005844,-0.011306,-0.02623,-0.048191,-0.061232,-0.07255,-0.083635,-0.008489,0.007812,0.003605,0.023757,0.048855,0.045582,0.041326,0.07837,0.094044,-0.000271,-0.000271,-0.000308,-0.000271,0.000898,0.002768,0.003777,0.005057,0.006754,-0.011282,-0.01875,-0.017938,-0.016055,-0.008772,-0.008587,9.8e-05,0.027423,0.036589,0.001698,-0.002891,-0.025012,-0.027731,-0.051808,-0.095274,-0.124715,-0.169879,-0.212545,-0.002903,-0.00486,-0.002928,0.015502,0.042826,0.091644,0.113581,0.177839,0.229388,-2.5e-05,0.00406,0.007456,0.012438,0.016658,0.026021,0.027497,0.028789,0.031483,-0.000357,0.002879,0.008797,0.020976,0.031397,0.030474,0.035396,0.046357,0.046653,0.010897,0.021399,0.026369,0.036515,0.039586,0.038394,0.034627,0.018265,0.009392,0.006995,-0.012605,-0.011428,-0.012401,-0.012489,0.034254,0.057776,0.081833,0.116921,-0.000422,-0.003065,-0.005327,-0.008854,-0.011088,-0.016496,-0.016816,-0.016789,-0.017339,-0.00127,-0.000756,0.004405,0.003544,0.006153,0.017539,0.02807,0.052188,0.080881,0.997431,1.075361,1,0,0,0,0,0,0,0,0,0,0
2,0.002619,-0.001781,-0.007018,-0.021326,-0.042381,-0.054884,-0.065735,-0.076363,-0.085705,0.015629,0.011595,0.030916,0.054978,0.05184,0.047759,0.083275,0.098302,0.121421,0.0,-3.5e-05,0.0,0.001121,0.002913,0.003881,0.005107,0.006735,0.009448,-0.00716,-0.006381,-0.004577,0.002406,0.002583,0.010911,0.037108,0.045896,0.056983,-0.0044,-0.025608,-0.028214,-0.051298,-0.092971,-0.121197,-0.164497,-0.205404,-0.224948,-0.001875,-2.4e-05,0.017646,0.043843,0.090647,0.111678,0.173285,0.222707,0.230469,0.003916,0.007172,0.011949,0.015994,0.024971,0.026386,0.027625,0.030208,0.034855,0.003102,0.008776,0.020453,0.030444,0.029559,0.034277,0.044787,0.04507,0.048915,0.010068,0.014833,0.024561,0.027505,0.026362,0.022751,0.007063,-0.001443,-0.008684,-0.018792,-0.017663,-0.018596,-0.01868,0.026134,0.048685,0.07175,0.105391,0.090187,-0.001968,-0.003652,-0.006278,-0.007942,-0.011968,-0.012207,-0.012187,-0.012597,-0.013378,0.000382,0.004225,0.003584,0.005527,0.014004,0.021845,0.039803,0.061167,0.068985,0.997083,1.087599,1,0,0,0,0,0,0,0,0,0,0
3,-0.004349,-0.009527,-0.023671,-0.044485,-0.056845,-0.067573,-0.078079,-0.087315,-0.097413,-0.003988,0.015112,0.0389,0.035798,0.031763,0.066873,0.081729,0.104584,0.126168,-3.5e-05,0.0,0.001108,0.00288,0.003836,0.005049,0.006658,0.00934,0.011649,0.00077,0.002554,0.009457,0.009632,0.017864,0.043762,0.052449,0.06341,0.065824,-0.020966,-0.023543,-0.046363,-0.087559,-0.115463,-0.158269,-0.198708,-0.21803,-0.221761,0.001831,0.019298,0.045196,0.091466,0.112257,0.17316,0.222018,0.22969,0.241537,0.003218,0.007941,0.01194,0.020814,0.022213,0.023438,0.025991,0.030586,0.034784,0.005609,0.017153,0.027029,0.026155,0.030819,0.041209,0.041488,0.04529,0.044439,0.004711,0.014327,0.017238,0.016108,0.012538,-0.002971,-0.01138,-0.018538,-0.021794,0.001116,0.000194,0.00011,0.044413,0.066706,0.089508,0.122764,0.107733,0.097879,-0.001554,-0.003977,-0.005512,-0.009227,-0.009447,-0.009429,-0.009807,-0.010528,-0.011204,0.003546,0.002954,0.004747,0.01257,0.019805,0.036375,0.056089,0.063302,0.059469,1.003456,1.09945,1,0,0,0,0,0,0,0,0,0,0
4,-0.005157,-0.019246,-0.039978,-0.05229,-0.062976,-0.073441,-0.08264,-0.092698,-0.098657,0.019025,0.04272,0.03963,0.035611,0.070584,0.085381,0.108146,0.129645,0.173666,3.5e-05,0.001138,0.002904,0.003856,0.005064,0.006667,0.009338,0.011638,0.016807,0.001777,0.008653,0.008827,0.017027,0.042824,0.051477,0.062395,0.064799,0.074115,-0.002567,-0.025297,-0.066333,-0.094127,-0.136765,-0.177046,-0.196292,-0.200008,-0.214016,0.017399,0.043196,0.089284,0.109993,0.170658,0.219324,0.226967,0.238767,0.271974,0.004704,0.008688,0.017527,0.018921,0.02014,0.022684,0.02726,0.031442,0.033486,0.011499,0.021337,0.020465,0.025111,0.03546,0.035739,0.039525,0.038678,0.038248,0.009579,0.012478,0.011352,0.007797,-0.007651,-0.016028,-0.023158,-0.026401,-0.036157,-0.000919,-0.001002,0.043127,0.065333,0.088045,0.121171,0.106199,0.096384,0.085741,-0.002358,-0.003851,-0.007465,-0.007679,-0.007662,-0.008029,-0.008731,-0.009389,-0.008392,-0.000576,0.001169,0.008779,0.015818,0.031939,0.051118,0.058136,0.054407,0.058931,0.998259,1.121147,1,0,0,0,0,0,0,0,0,0,0
5,-0.014166,-0.035012,-0.047391,-0.058135,-0.068657,-0.077906,-0.088019,-0.09401,-0.10034,0.023824,0.020717,0.016677,0.05184,0.066718,0.089608,0.111224,0.155485,0.213106,0.001109,0.002885,0.003842,0.005057,0.006668,0.009354,0.011667,0.016863,0.022037,0.006914,0.007089,0.015334,0.041271,0.049972,0.060949,0.063367,0.072733,0.089,-0.022854,-0.064114,-0.09206,-0.134931,-0.175432,-0.194783,-0.19852,-0.212604,-0.237374,0.025938,0.072277,0.0931,0.154095,0.203028,0.210712,0.222577,0.255965,0.295216,0.004006,0.012893,0.014294,0.01552,0.018078,0.022679,0.026883,0.028939,0.031368,0.009892,0.009016,0.013687,0.024092,0.024373,0.02818,0.027327,0.026895,0.033201,0.002915,0.001783,-0.001792,-0.017324,-0.025746,-0.032915,-0.036176,-0.045985,-0.055938,-8.4e-05,0.044286,0.066614,0.08945,0.122757,0.107703,0.097834,0.087133,0.06969,-0.001551,-0.005306,-0.005529,-0.00551,-0.005892,-0.006621,-0.007304,-0.006269,-0.005441,0.001812,0.009718,0.01703,0.033778,0.053702,0.060993,0.057119,0.061819,0.07128,1.005908,1.147206,1,0,0,0,0,0,0,0,0,0,0
6,-0.020685,-0.032969,-0.04363,-0.054072,-0.06325,-0.073285,-0.07923,-0.085511,-0.095628,-0.003083,-0.007092,0.027801,0.042564,0.065278,0.086728,0.130648,0.187825,0.181463,0.001761,0.002712,0.003917,0.005516,0.008181,0.010476,0.015633,0.020766,0.02721,0.000174,0.008355,0.034093,0.042727,0.05362,0.056018,0.065312,0.081455,0.084167,-0.040942,-0.068673,-0.111214,-0.151403,-0.170605,-0.174313,-0.188289,-0.212868,-0.222254,0.045983,0.066645,0.127171,0.175727,0.183352,0.195126,0.228257,0.267206,0.252813,0.008819,0.010209,0.011426,0.013964,0.01853,0.022702,0.024741,0.027152,0.028635,-0.000869,0.003766,0.014092,0.01437,0.018147,0.017302,0.016873,0.023131,0.02116,-0.001123,-0.004671,-0.020083,-0.028441,-0.035555,-0.03879,-0.048524,-0.0584,-0.063022,0.044028,0.066184,0.088844,0.121895,0.106957,0.097164,0.086546,0.069236,0.061174,-0.003557,-0.003768,-0.00375,-0.004112,-0.004803,-0.00545,-0.004469,-0.003685,-0.002371,0.00749,0.014417,0.030283,0.049158,0.056065,0.052395,0.056847,0.06581,0.065739,0.998879,1.128807,1,0,0,0,0,0,0,0,0,0,0
7,-0.012124,-0.022646,-0.032952,-0.04201,-0.051915,-0.057783,-0.063982,-0.073967,-0.082259,-0.003957,0.030481,0.045053,0.06747,0.088641,0.13199,0.188423,0.182144,0.187005,0.000938,0.002127,0.003706,0.006336,0.008601,0.013691,0.018758,0.025117,0.032185,0.008075,0.033478,0.041999,0.05275,0.055118,0.064291,0.080223,0.0829,0.093091,-0.02737,-0.069358,-0.109023,-0.127975,-0.131635,-0.145429,-0.169688,-0.178953,-0.192701,0.020393,0.080132,0.128055,0.135581,0.147202,0.179902,0.218344,0.204138,0.203201,0.001373,0.002573,0.005078,0.009585,0.013702,0.015715,0.018094,0.019558,0.020874,0.004575,0.014766,0.01504,0.018769,0.017934,0.017511,0.023687,0.021743,0.020656,-0.003501,-0.018713,-0.026962,-0.033983,-0.037177,-0.046784,-0.056532,-0.061093,-0.072222,0.021867,0.044233,0.076853,0.06211,0.052444,0.041964,0.02488,0.016923,0.01155,-0.000192,-0.000176,-0.000506,-0.001136,-0.001727,-0.000832,-0.000116,0.001082,0.002412,0.00632,0.020796,0.038017,0.044319,0.04097,0.045033,0.05321,0.053145,0.055211,0.989679,1.134211,1,0,0,0,0,0,0,0,0,0,0
8,-0.010571,-0.020924,-0.030024,-0.039975,-0.045869,-0.052097,-0.062128,-0.070458,-0.07633,0.034597,0.049236,0.071757,0.093025,0.136574,0.193267,0.186958,0.191842,0.178593,0.001195,0.002781,0.005423,0.007698,0.012812,0.017902,0.02429,0.031391,0.032311,0.02552,0.03408,0.044881,0.04726,0.056475,0.072481,0.075169,0.085407,0.092152,-0.042181,-0.082029,-0.101069,-0.104745,-0.118603,-0.142974,-0.152281,-0.166092,-0.173572,0.060014,0.108158,0.115719,0.127393,0.160244,0.198862,0.184591,0.183649,0.177467,0.001206,0.003723,0.00825,0.012387,0.014409,0.016799,0.01827,0.019591,0.019465,0.010238,0.010514,0.014259,0.013421,0.012996,0.0192,0.017247,0.016155,0.013501,-0.015282,-0.023569,-0.030622,-0.03383,-0.043482,-0.053275,-0.057857,-0.069037,-0.078395,0.022468,0.055239,0.040428,0.030718,0.020189,0.003026,-0.004967,-0.010365,-0.003189,1.6e-05,-0.000325,-0.000975,-0.001585,-0.000661,7.8e-05,0.001316,0.00269,0.002963,0.014949,0.032733,0.03924,0.035782,0.039977,0.048423,0.048355,0.050489,0.050861,0.987155,1.131773,1,0,0,0,0,0,0,0,0,0,0
9,-0.01052,-0.019767,-0.029878,-0.035868,-0.042196,-0.052389,-0.060854,-0.06682,-0.07051,0.014875,0.037759,0.059371,0.103622,0.16123,0.15482,0.159782,0.14632,0.141603,0.001611,0.004297,0.006608,0.011804,0.016976,0.023468,0.030684,0.031618,0.038518,0.008698,0.019674,0.02209,0.031454,0.047719,0.050451,0.060854,0.067707,0.081204,-0.040491,-0.059838,-0.063574,-0.077655,-0.102419,-0.111877,-0.125911,-0.133512,-0.133979,0.048921,0.056604,0.068466,0.101847,0.141089,0.126588,0.12563,0.119349,0.109565,0.002557,0.007157,0.01136,0.013415,0.015844,0.017338,0.018681,0.018553,0.02167,0.00028,0.004086,0.003234,0.002802,0.009107,0.007122,0.006013,0.003316,0.002849,-0.00842,-0.015588,-0.018848,-0.028655,-0.038606,-0.043262,-0.054623,-0.064132,-0.077928,0.0333,0.01825,0.008383,-0.002316,-0.019756,-0.027878,-0.033363,-0.026072,-0.031383,-0.000381,-0.001109,-0.001791,-0.000757,6.9e-05,0.001453,0.00299,0.003296,0.004127,0.019893,0.027172,0.023304,0.027996,0.037443,0.037367,0.039754,0.04017,0.039032,0.981228,1.130489,1,0,0,0,0,0,0,0,0,0,0
