,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_x_cumsum_7,left_elbow_x_cumsum_8,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,left_elbow_y_cumsum_7,left_elbow_y_cumsum_8,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_x_cumsum_7,right_elbow_x_cumsum_8,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,right_elbow_y_cumsum_7,right_elbow_y_cumsum_8,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_x_cumsum_7,left_wrist_x_cumsum_8,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,left_wrist_y_cumsum_7,left_wrist_y_cumsum_8,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_x_cumsum_7,right_wrist_x_cumsum_8,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_wrist_y_cumsum_7,right_wrist_y_cumsum_8,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,right_forearm_angle_cumsum_7,right_forearm_angle_cumsum_8,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,left_forearm_angle_cumsum_7,left_forearm_angle_cumsum_8,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,right_forearm_r_cumsum_7,right_forearm_r_cumsum_8,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,left_forearm_r_cumsum_7,left_forearm_r_cumsum_8,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.003042,-0.022009,-0.035741,-0.052754,-0.075363,-0.089458,-0.096004,-0.112416,-0.114188,0.00575,0.00508,0.006838,0.006797,0.006727,0.005708,0.00561,0.002303,-0.012909,-0.000879,-0.004382,-0.01464,-0.031206,-0.043306,-0.05334,-0.060025,-0.062397,-0.065552,0.034709,0.058867,0.077456,0.111579,0.119868,0.135332,0.157326,0.162672,0.161164,-0.007201,-0.014528,-0.01577,-0.021771,-0.034988,-0.044199,-0.053605,-0.05782,-0.0641,0.005792,0.004871,9.8e-05,-0.016608,-0.037318,-0.045957,-0.062146,-0.084922,-0.107643,-0.002847,-0.00709,-0.010704,-0.01764,-0.023069,-0.030145,-0.036076,-0.041031,-0.046878,0.010355,0.020376,0.043347,0.064602,0.074232,0.079773,0.090156,0.098599,0.093296,-0.023863,-0.037743,-0.034331,-0.048258,-0.047589,-0.057733,-0.069367,-0.066052,-0.069571,0.000602,-0.001132,-0.008935,-0.026457,-0.047664,-0.055524,-0.071451,-0.091407,-0.09876,0.001193,0.001691,0.000492,-0.000756,-0.001718,-0.001995,-0.001968,-0.001721,-0.001393,0.002951,-0.005258,-0.01324,-0.018975,-0.022899,-0.02477,-0.023431,-0.026809,-0.025611,0.883728,0.975345,1,0,0,0,0,0,0,0,0,0,0
1,-0.018969,-0.032704,-0.049718,-0.07233,-0.086428,-0.092974,-0.109389,-0.111161,-0.119369,-0.00067,0.001089,0.001047,0.000977,-4.2e-05,-0.00014,-0.003448,-0.018662,-0.03241,-0.003503,-0.013763,-0.030331,-0.042432,-0.052468,-0.059154,-0.061527,-0.064681,-0.068952,0.024161,0.042753,0.076881,0.085172,0.100637,0.122635,0.127981,0.126473,0.135225,-0.007328,-0.00857,-0.014572,-0.02779,-0.037003,-0.04641,-0.050626,-0.056907,-0.060675,-0.000921,-0.005695,-0.022403,-0.043116,-0.051756,-0.067947,-0.090727,-0.11345,-0.132601,-0.004243,-0.007858,-0.014795,-0.020225,-0.027302,-0.033234,-0.038189,-0.044037,-0.047024,0.010022,0.032997,0.054255,0.063886,0.069427,0.079812,0.088256,0.082952,0.090029,-0.013881,-0.010469,-0.024398,-0.02373,-0.033875,-0.04551,-0.042195,-0.045714,-0.047508,-0.001735,-0.009539,-0.027063,-0.048273,-0.056134,-0.072063,-0.092022,-0.099376,-0.104926,0.000499,-0.000702,-0.00195,-0.002914,-0.003191,-0.003164,-0.002916,-0.002589,-0.002704,-0.008217,-0.016207,-0.021947,-0.025875,-0.027748,-0.026408,-0.029789,-0.02859,-0.02958,0.88985,0.961827,1,0,0,0,0,0,0,0,0,0,0
2,-0.014038,-0.031429,-0.05454,-0.068949,-0.07564,-0.092417,-0.094229,-0.102617,-0.107753,0.001798,0.001755,0.001683,0.000642,0.000542,-0.002839,-0.018389,-0.032442,-0.047364,-0.010486,-0.02742,-0.039789,-0.050046,-0.05688,-0.059305,-0.062529,-0.066895,-0.07136,0.019003,0.053884,0.062358,0.078165,0.100649,0.106113,0.104572,0.113517,0.114259,-0.00127,-0.007404,-0.020914,-0.03033,-0.039946,-0.044254,-0.050674,-0.054526,-0.056994,-0.004879,-0.021956,-0.043127,-0.051958,-0.068507,-0.091789,-0.115015,-0.134588,-0.153791,-0.003695,-0.010785,-0.016335,-0.023568,-0.029631,-0.034696,-0.040673,-0.043726,-0.046751,0.023482,0.04521,0.055054,0.060717,0.071331,0.079963,0.074541,0.081774,0.081675,0.003487,-0.010749,-0.010066,-0.020435,-0.032327,-0.028938,-0.032536,-0.034369,-0.035345,-0.007976,-0.025888,-0.047566,-0.055601,-0.071882,-0.092281,-0.099798,-0.10547,-0.109817,-0.001399,-0.002854,-0.003976,-0.004299,-0.004268,-0.00398,-0.003598,-0.003732,-0.003888,-0.00931,-0.015999,-0.020576,-0.022759,-0.021197,-0.025137,-0.02374,-0.024893,-0.025532,0.899337,0.953528,1,0,0,0,0,0,0,0,0,0,0
3,-0.017861,-0.041599,-0.056398,-0.06327,-0.080501,-0.082362,-0.090978,-0.096253,-0.100253,-4.4e-05,-0.000117,-0.001187,-0.001289,-0.004762,-0.020733,-0.035166,-0.050493,-0.052837,-0.017393,-0.030096,-0.040632,-0.04765,-0.050141,-0.053453,-0.057936,-0.062522,-0.065072,0.035826,0.044529,0.060764,0.083857,0.089469,0.087886,0.097073,0.097835,0.094245,-0.006301,-0.020177,-0.029847,-0.039723,-0.044148,-0.050742,-0.054698,-0.057233,-0.060471,-0.017539,-0.039284,-0.048353,-0.06535,-0.089263,-0.113118,-0.133221,-0.152943,-0.164285,-0.007282,-0.012982,-0.020411,-0.026638,-0.03184,-0.037979,-0.041115,-0.044221,-0.047137,0.022316,0.032426,0.038243,0.049145,0.05801,0.052442,0.05987,0.059768,0.057599,-0.014622,-0.01392,-0.02457,-0.036784,-0.033304,-0.036998,-0.038882,-0.039884,-0.038434,-0.018397,-0.040661,-0.048914,-0.065636,-0.086588,-0.094308,-0.100134,-0.104598,-0.11361,-0.001754,-0.003108,-0.003497,-0.003459,-0.003111,-0.002651,-0.002813,-0.003001,-0.00297,-0.008064,-0.013583,-0.016214,-0.014331,-0.019081,-0.017396,-0.018787,-0.019557,-0.01971,0.916565,0.957646,1,0,0,0,0,0,0,0,0,0,0
4,-0.024168,-0.039236,-0.046233,-0.063777,-0.065671,-0.074444,-0.079814,-0.083887,-0.084409,-7.5e-05,-0.001164,-0.001268,-0.004804,-0.021065,-0.03576,-0.051365,-0.053752,-0.054676,-0.012934,-0.023661,-0.030807,-0.033343,-0.036715,-0.04128,-0.045949,-0.048545,-0.051126,0.008862,0.025391,0.048903,0.054617,0.053006,0.06236,0.063135,0.05948,0.055616,-0.014128,-0.023974,-0.034029,-0.038535,-0.045248,-0.049276,-0.051857,-0.055154,-0.057287,-0.022139,-0.031374,-0.048679,-0.073026,-0.097314,-0.117782,-0.137862,-0.149409,-0.150782,-0.005803,-0.013367,-0.019707,-0.025003,-0.031254,-0.034447,-0.03761,-0.040578,-0.039892,0.010294,0.016216,0.027316,0.036342,0.030673,0.038236,0.038132,0.035924,0.02933,0.000715,-0.010128,-0.022564,-0.019021,-0.022782,-0.0247,-0.02572,-0.024244,-0.027258,-0.022669,-0.031072,-0.048097,-0.069429,-0.077289,-0.083221,-0.087767,-0.096941,-0.097352,-0.001535,-0.001977,-0.001934,-0.001539,-0.001017,-0.001201,-0.001415,-0.001379,-0.00183,-0.006259,-0.009244,-0.007107,-0.012495,-0.010585,-0.012162,-0.013035,-0.013208,-0.012748,0.920816,0.958804,1,0,0,0,0,0,0,0,0,0,0
5,-0.015303,-0.022409,-0.040227,-0.042152,-0.051061,-0.056515,-0.060652,-0.061182,-0.065455,-0.001106,-0.001212,-0.004803,-0.021318,-0.036242,-0.052091,-0.054515,-0.055455,-0.061288,-0.010894,-0.018152,-0.020727,-0.024152,-0.028788,-0.03353,-0.036167,-0.038788,-0.039697,0.016788,0.040667,0.04647,0.044833,0.054333,0.055121,0.051409,0.047485,0.044591,-0.01,-0.020212,-0.024788,-0.031606,-0.035697,-0.038318,-0.041667,-0.043833,-0.045394,-0.009379,-0.026955,-0.051682,-0.076349,-0.097137,-0.117531,-0.129258,-0.130652,-0.151303,-0.007682,-0.014121,-0.0195,-0.025849,-0.029091,-0.032303,-0.035318,-0.034621,-0.034758,0.006015,0.017288,0.026455,0.020697,0.028379,0.028273,0.02603,0.019333,0.008545,-0.011013,-0.023643,-0.020044,-0.023864,-0.025812,-0.026848,-0.025349,-0.028409,-0.036341,-0.008534,-0.025825,-0.04749,-0.055473,-0.061498,-0.066114,-0.075432,-0.075849,-0.090724,-0.000492,-0.000444,-5e-06,0.000577,0.000373,0.000134,0.000174,-0.000329,-0.000343,-0.003327,-0.000946,-0.006951,-0.004821,-0.00658,-0.007553,-0.007746,-0.007232,-0.00791,0.924887,0.94973,1,0,0,0,0,0,0,0,0,0,0
6,-0.007161,-0.025118,-0.027057,-0.036035,-0.041532,-0.045701,-0.046235,-0.050541,-0.050327,-0.000107,-0.003726,-0.020369,-0.035409,-0.051381,-0.053824,-0.05477,-0.060649,-0.065932,-0.007314,-0.00991,-0.013361,-0.018033,-0.022812,-0.025469,-0.028111,-0.029027,-0.028614,0.024064,0.029912,0.028263,0.037837,0.038631,0.03489,0.030935,0.028019,0.022705,-0.010291,-0.014903,-0.021774,-0.025896,-0.028538,-0.031913,-0.034096,-0.035669,-0.035256,-0.017712,-0.042631,-0.06749,-0.088439,-0.108991,-0.12081,-0.122214,-0.143026,-0.149057,-0.006489,-0.01191,-0.018308,-0.021575,-0.024812,-0.027851,-0.027149,-0.027286,-0.02637,0.01136,0.020598,0.014796,0.022537,0.02243,0.020171,0.013422,0.00255,-0.017117,-0.012728,-0.009101,-0.012951,-0.014914,-0.015958,-0.014448,-0.017532,-0.025525,-0.039867,-0.017425,-0.039259,-0.047304,-0.053375,-0.058027,-0.067418,-0.067838,-0.082828,-0.08358,5.1e-05,0.000514,0.001129,0.000913,0.000661,0.000703,0.000172,0.000157,0.00026,0.002514,-0.003826,-0.001578,-0.003433,-0.004461,-0.004665,-0.004123,-0.004838,-0.004888,0.915789,0.955605,1,0,0,0,0,0,0,0,0,0,0
7,-0.018026,-0.019972,-0.028985,-0.034503,-0.038687,-0.039224,-0.043546,-0.043332,-0.045984,-0.003633,-0.02034,-0.035438,-0.051471,-0.053923,-0.054874,-0.060775,-0.066078,-0.064316,-0.002606,-0.00607,-0.01076,-0.015558,-0.018225,-0.020877,-0.021796,-0.021382,-0.019942,0.005871,0.004215,0.013826,0.014623,0.010867,0.006898,0.00397,-0.001364,-0.001625,-0.004629,-0.011527,-0.015665,-0.018317,-0.021704,-0.023896,-0.025475,-0.025061,-0.024785,-0.025015,-0.049969,-0.070999,-0.09163,-0.103494,-0.104904,-0.125796,-0.13185,-0.12762,-0.005441,-0.011864,-0.015144,-0.018393,-0.021444,-0.020739,-0.020877,-0.019957,-0.019282,0.009273,0.003449,0.01122,0.011113,0.008844,0.002069,-0.008844,-0.028586,-0.035039,0.003641,-0.000224,-0.002194,-0.003242,-0.001726,-0.004822,-0.012846,-0.027243,-0.033342,-0.021918,-0.029993,-0.036088,-0.040758,-0.050185,-0.050606,-0.065654,-0.066409,-0.063986,0.000476,0.001107,0.000886,0.000627,0.00067,0.000125,0.00011,0.000215,0.000375,-0.006512,-0.004203,-0.006109,-0.007164,-0.007374,-0.006817,-0.007552,-0.007603,-0.008434,0.915744,0.968067,1,0,0,0,0,0,0,0,0,0,0
8,-0.001972,-0.0111,-0.016689,-0.020927,-0.02147,-0.025848,-0.025631,-0.028316,-0.029341,-0.016922,-0.032213,-0.048452,-0.050935,-0.051898,-0.057875,-0.063246,-0.061461,-0.061042,-0.003509,-0.008259,-0.013118,-0.015819,-0.018505,-0.019437,-0.019017,-0.017558,-0.013242,-0.001677,0.008057,0.008864,0.005061,0.00104,-0.001925,-0.007327,-0.007591,-0.008818,-0.006986,-0.011178,-0.013863,-0.017294,-0.019514,-0.021113,-0.020694,-0.020415,-0.021563,-0.025274,-0.046573,-0.067469,-0.079485,-0.080913,-0.102073,-0.108205,-0.10392,-0.100412,-0.006505,-0.009827,-0.013118,-0.016207,-0.015493,-0.015633,-0.014702,-0.014019,-0.013708,-0.005899,0.001972,0.001863,-0.000435,-0.007296,-0.01835,-0.038345,-0.044881,-0.045455,-0.003914,-0.00591,-0.006971,-0.005436,-0.008572,-0.016698,-0.03128,-0.037457,-0.036419,-0.008179,-0.014352,-0.019082,-0.02863,-0.029057,-0.044297,-0.045062,-0.042608,-0.039517,0.00069,0.000448,0.000165,0.000212,-0.000384,-0.000401,-0.000286,-0.000111,0.000384,0.002525,0.00044,-0.000713,-0.000942,-0.000333,-0.001137,-0.001193,-0.002101,-0.002074,0.91436,0.967963,1,0,0,0,0,0,0,0,0,0,0
9,-0.009145,-0.014743,-0.018989,-0.019533,-0.023919,-0.023701,-0.026392,-0.027418,-0.02804,-0.015319,-0.031586,-0.034074,-0.035038,-0.041026,-0.046407,-0.044618,-0.044198,-0.035489,-0.004759,-0.009627,-0.012333,-0.015023,-0.015956,-0.015536,-0.014074,-0.009751,-0.0014,0.009751,0.01056,0.00675,0.002722,-0.000249,-0.005661,-0.005925,-0.007154,-0.007729,-0.004199,-0.006889,-0.010326,-0.01255,-0.014152,-0.013732,-0.013452,-0.014603,-0.015365,-0.021337,-0.04227,-0.054307,-0.055738,-0.076935,-0.083078,-0.078786,-0.075271,-0.074136,-0.003328,-0.006625,-0.00972,-0.009005,-0.009145,-0.008211,-0.007527,-0.007216,-0.005723,0.007885,0.007776,0.005474,-0.0014,-0.012473,-0.032503,-0.039051,-0.039626,-0.047091,-0.001999,-0.003062,-0.001524,-0.004665,-0.012806,-0.027414,-0.033602,-0.032562,-0.038627,-0.006184,-0.010922,-0.020486,-0.020914,-0.036182,-0.036948,-0.034489,-0.031393,-0.038965,-0.000245,-0.000532,-0.000484,-0.001088,-0.001104,-0.000988,-0.000811,-0.000309,0.000626,-0.00211,-0.003278,-0.00351,-0.002894,-0.003708,-0.003764,-0.004684,-0.004656,-0.004584,0.909301,0.961742,1,0,0,0,0,0,0,0,0,0,0
