,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_x_cumsum_7,left_elbow_x_cumsum_8,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,left_elbow_y_cumsum_7,left_elbow_y_cumsum_8,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_x_cumsum_7,right_elbow_x_cumsum_8,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,right_elbow_y_cumsum_7,right_elbow_y_cumsum_8,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_x_cumsum_7,left_wrist_x_cumsum_8,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,left_wrist_y_cumsum_7,left_wrist_y_cumsum_8,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_x_cumsum_7,right_wrist_x_cumsum_8,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_wrist_y_cumsum_7,right_wrist_y_cumsum_8,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,right_forearm_angle_cumsum_7,right_forearm_angle_cumsum_8,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,left_forearm_angle_cumsum_7,left_forearm_angle_cumsum_8,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,right_forearm_r_cumsum_7,right_forearm_r_cumsum_8,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,left_forearm_r_cumsum_7,left_forearm_r_cumsum_8,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.056005,0.05542,0.049174,0.050421,0.051604,0.049047,0.04747,0.008891,-0.004516,-0.04817,-0.05743,-0.078086,-0.072986,-0.068203,-0.067949,-0.069132,-0.098985,-0.102534,-0.000623,-0.004541,-0.005253,-0.005991,-0.006436,-0.006385,-0.00229,0.000242,0.002964,0.006589,0.006538,0.007301,0.008649,-0.000865,-0.000827,0.002595,0.001844,-0.00089,-0.007734,-0.016892,-0.001259,-0.001666,-0.003154,-0.03143,-0.045498,-0.041326,-0.05037,-0.148961,-0.159569,-0.125213,-0.093108,-0.087105,-0.081775,-0.118612,-0.032295,0.005787,0.000878,0.000382,0.000356,0.000229,-0.001781,-1.3e-05,0.00262,0.002658,0.002951,-0.029815,-0.056984,-0.052736,-0.05397,-0.051897,-0.03966,-0.028899,-0.031265,-0.034343,-0.036157,-0.06284,-0.059303,-0.061811,-0.050435,-0.038128,-0.030961,-0.032795,-0.033345,-0.113367,-0.121063,-0.069023,-0.051324,-0.052282,-0.06548,-0.100668,0.016916,0.053859,-0.002855,-0.005584,-0.00572,-0.006075,-0.004916,-0.005173,-0.004015,-0.002723,-0.001417,-0.002789,-0.002683,-0.001555,-0.000116,0.000106,0.001732,0.001061,0.004699,0.009755,0.930073,0.874031,1,0,0,0,0,0,0,0,0,0,0
1,-0.000591,-0.006904,-0.005644,-0.004448,-0.007032,-0.008627,-0.04762,-0.061171,-0.060155,-0.009359,-0.030238,-0.025083,-0.020249,-0.019992,-0.021187,-0.051361,-0.054948,-0.013821,-0.00396,-0.00468,-0.005425,-0.005875,-0.005824,-0.001684,0.000874,0.003625,0.00639,-5.1e-05,0.00072,0.002083,-0.007534,-0.007495,-0.004037,-0.004795,-0.00756,-0.007662,-0.009257,0.006544,0.006132,0.004628,-0.023951,-0.038171,-0.033954,-0.043095,0.004603,-0.010722,0.024003,0.056452,0.062521,0.067907,0.030675,0.117919,0.156411,0.174448,-0.000501,-0.000527,-0.000656,-0.002687,-0.0009,0.001761,0.0018,0.002096,0.003073,-0.027461,-0.023167,-0.024414,-0.022319,-0.009951,0.000926,-0.001466,-0.004577,0.004885,-0.026969,-0.023395,-0.025929,-0.014431,-0.001992,0.005252,0.003398,0.002842,0.012232,-0.007779,0.04482,0.062709,0.061741,0.048401,0.012835,0.131682,0.169023,0.177803,-0.00294,-0.003087,-0.003469,-0.00222,-0.002498,-0.001249,0.000143,0.00155,0.003104,0.000115,0.00133,0.002881,0.00312,0.004872,0.004149,0.00807,0.013518,-0.004799,0.966502,0.91815,1,0,0,0,0,0,0,0,0,0,0
2,-0.006414,-0.005133,-0.003919,-0.006544,-0.008164,-0.047782,-0.061549,-0.060517,-0.058793,-0.021213,-0.015975,-0.011064,-0.010802,-0.012017,-0.042674,-0.046319,-0.004533,-0.021461,-0.000731,-0.001489,-0.001946,-0.001894,0.002312,0.004911,0.007707,0.010515,0.011769,0.000784,0.002168,-0.007602,-0.007563,-0.004049,-0.00482,-0.007628,-0.007733,-0.015583,0.016054,0.015636,0.014107,-0.01493,-0.029377,-0.025093,-0.03438,0.014081,-0.000157,0.035281,0.06825,0.074416,0.079889,0.042061,0.130701,0.16981,0.188136,0.227192,-2.6e-05,-0.000157,-0.002221,-0.000405,0.002299,0.002338,0.002639,0.003631,0.004833,0.004363,0.003096,0.005225,0.017791,0.028841,0.026412,0.023251,0.032865,0.038886,0.003632,0.001057,0.012739,0.025377,0.032737,0.030854,0.030289,0.039829,0.053656,0.053442,0.071617,0.070633,0.05708,0.020944,0.141695,0.179633,0.188554,0.224085,-0.000164,-0.000591,0.000805,0.000495,0.00189,0.003446,0.005018,0.006755,0.007596,0.001358,0.003091,0.003359,0.005316,0.004509,0.008891,0.01498,-0.005492,0.01751,0.988646,0.948343,1,0,0,0,0,0,0,0,0,0,0
3,0.001282,0.0025,-0.000131,-0.001754,-0.041445,-0.055239,-0.054205,-0.052477,-0.048146,0.005248,0.010168,0.01043,0.009213,-0.021501,-0.025152,0.016712,-0.000249,0.019944,-0.000759,-0.001217,-0.001165,0.003049,0.005653,0.008454,0.011268,0.012524,0.016031,0.001387,-0.008402,-0.008362,-0.004842,-0.005614,-0.008428,-0.008532,-0.016398,-0.024106,-0.000419,-0.00195,-0.031041,-0.045515,-0.041223,-0.050527,-0.001976,-0.01624,-0.070956,0.033031,0.039207,0.044691,0.006792,0.095598,0.134779,0.15314,0.192268,0.335357,-0.000131,-0.002199,-0.00038,0.002329,0.002369,0.00267,0.003664,0.004868,0.006727,-0.001269,0.000864,0.013453,0.024524,0.02209,0.018923,0.028555,0.034588,0.036878,-0.00258,0.009124,0.021786,0.02916,0.027273,0.026707,0.036265,0.050117,0.059967,0.018209,0.017223,0.003645,-0.032558,0.088418,0.126427,0.135364,0.170962,0.252433,-0.000433,0.000982,0.000668,0.002081,0.003657,0.00525,0.00701,0.007862,0.009887,0.001757,0.002027,0.004011,0.003192,0.007632,0.013801,-0.00694,0.016365,0.115108,1.003772,1.023581,1,0,0,0,0,0,0,0,0,0,0
4,0.001199,-0.001393,-0.002992,-0.042103,-0.055695,-0.054676,-0.052974,-0.048706,-0.048048,0.004849,0.005107,0.003907,-0.026358,-0.029956,0.011296,-0.005416,0.014481,0.052007,-0.000451,-0.0004,0.003753,0.006319,0.009078,0.011851,0.013089,0.016545,0.021032,-0.009646,-0.009607,-0.006138,-0.006899,-0.009671,-0.009775,-0.017525,-0.02512,-0.024952,-0.001509,-0.030175,-0.044437,-0.040208,-0.049376,-0.001535,-0.01559,-0.069506,-0.161746,0.006087,0.01149,-0.025855,0.061652,0.100261,0.118353,0.15691,0.297907,0.312737,-0.002037,-0.000245,0.002424,0.002463,0.00276,0.00374,0.004926,0.006757,0.010329,0.002102,0.014507,0.025417,0.023018,0.019897,0.029388,0.035333,0.03759,0.042322,0.011533,0.02401,0.031276,0.029416,0.028858,0.038276,0.051927,0.061632,0.066121,-0.000971,-0.014352,-0.050026,0.069182,0.106635,0.115443,0.150519,0.230799,0.180825,0.001276,0.000993,0.002268,0.003689,0.005127,0.006714,0.007482,0.009309,0.010336,0.000244,0.002033,0.001295,0.0053,0.010865,-0.007845,0.013177,0.102249,0.17971,0.994547,1.013455,1,0,0,0,0,0,0,0,0,0,0
5,-0.002507,-0.004053,-0.041878,-0.055023,-0.054038,-0.052392,-0.048264,-0.047628,-0.054587,0.000249,-0.00091,-0.03018,-0.03366,0.006236,-0.009927,0.009316,0.045607,0.049099,5e-05,0.004066,0.006547,0.009216,0.011898,0.013095,0.016437,0.020777,0.026788,3.7e-05,0.003392,0.002656,-2.5e-05,-0.000125,-0.00762,-0.014965,-0.014803,-0.015427,-0.027724,-0.041517,-0.037426,-0.046293,-2.5e-05,-0.013619,-0.065761,-0.154968,-0.18324,0.005225,-0.030891,0.053739,0.091077,0.108575,0.145864,0.282224,0.296566,0.340141,0.001734,0.004315,0.004352,0.004639,0.005587,0.006734,0.008505,0.01196,0.015115,0.011997,0.022548,0.020228,0.01721,0.026389,0.032138,0.034321,0.038898,0.041903,0.012067,0.019094,0.017295,0.016756,0.025864,0.039066,0.048452,0.052794,0.056226,-0.01294,-0.047441,0.067846,0.104068,0.112586,0.146509,0.224149,0.175818,0.21073,-0.000224,0.000785,0.00191,0.003047,0.004303,0.004911,0.006357,0.00717,0.009356,0.001416,0.000832,0.004001,0.008404,-0.006401,0.010234,0.080717,0.142013,0.163138,0.990719,1.032171,1,0,0,0,0,0,0,0,0,0,0
6,-0.001558,-0.039677,-0.052923,-0.05193,-0.050271,-0.046111,-0.045471,-0.052483,-0.06343,-0.001169,-0.030666,-0.034172,0.006033,-0.010255,0.009137,0.045709,0.049228,0.078499,0.004047,0.006548,0.009237,0.011939,0.013146,0.016514,0.020888,0.026945,0.031897,0.003381,0.002639,-6.3e-05,-0.000163,-0.007717,-0.015119,-0.014956,-0.015584,-0.006799,-0.0139,-0.009778,-0.018714,0.027913,0.014214,-0.038332,-0.12823,-0.156721,-0.185326,-0.036397,0.048889,0.086517,0.10415,0.141728,0.279145,0.293598,0.33751,0.337636,0.002602,0.002639,0.002928,0.003883,0.00504,0.006824,0.010306,0.013485,0.014579,0.010632,0.008295,0.005253,0.014503,0.020297,0.022496,0.027109,0.030138,0.040846,0.007081,0.005269,0.004725,0.013904,0.027208,0.036667,0.041042,0.044501,0.046192,-0.034768,0.081412,0.117915,0.126498,0.160684,0.238926,0.190221,0.225403,0.193749,0.001065,0.002252,0.003453,0.004778,0.005421,0.006946,0.007804,0.010112,0.013125,-0.000617,0.002728,0.007376,-0.008251,0.009308,0.083703,0.148402,0.170699,0.180483,0.986403,1.008876,1,0,0,0,0,0,0,0,0,0,0
7,-0.038794,-0.052275,-0.051265,-0.049577,-0.045343,-0.044691,-0.051828,-0.062968,-0.092975,-0.03002,-0.033588,0.007329,-0.009248,0.010488,0.047709,0.051291,0.08108,0.082474,0.002545,0.005283,0.008033,0.00926,0.012688,0.017139,0.023305,0.028344,0.035903,-0.000755,-0.003505,-0.003607,-0.011294,-0.018828,-0.018662,-0.019301,-0.01036,0.007022,0.004195,-0.004899,0.042555,0.028613,-0.024865,-0.116357,-0.145353,-0.174465,-0.188701,0.086797,0.125093,0.143038,0.181282,0.321135,0.335844,0.380535,0.380663,0.368576,3.8e-05,0.000333,0.001305,0.002481,0.004298,0.007841,0.011077,0.01219,0.01375,-0.002379,-0.005474,0.00394,0.009836,0.012074,0.016769,0.019851,0.030749,0.042529,-0.001845,-0.002398,0.006944,0.020483,0.03011,0.034563,0.038083,0.039804,0.033908,0.11824,0.15539,0.164125,0.198918,0.278546,0.228977,0.264783,0.232569,0.221957,0.001343,0.0027,0.0042,0.004926,0.006651,0.007621,0.010231,0.013638,0.018365,0.003783,0.009039,-0.008633,0.011223,0.095357,0.168524,0.19374,0.204805,0.192296,0.969897,0.984232,1,0,0,0,0,0,0,0,0,0,0
8,-0.014052,-0.012998,-0.011239,-0.006826,-0.006146,-0.013585,-0.025197,-0.056473,-0.071071,-0.00372,0.038929,0.021651,0.042222,0.081017,0.08475,0.115799,0.117253,0.126531,0.002853,0.005719,0.006999,0.010572,0.015211,0.021637,0.02689,0.034769,0.041008,-0.002866,-0.002973,-0.010985,-0.018838,-0.018664,-0.019331,-0.010012,0.008106,0.021091,-0.009479,0.039982,0.02545,-0.03029,-0.125652,-0.155875,-0.186218,-0.201056,-0.218614,0.039915,0.05862,0.098481,0.244251,0.259582,0.306163,0.306296,0.293698,0.321241,0.000307,0.00132,0.002546,0.004439,0.008132,0.011505,0.012665,0.014292,0.015425,-0.003226,0.006586,0.012732,0.015065,0.019958,0.023171,0.034529,0.046808,0.049474,-0.000577,0.00916,0.023272,0.033306,0.037948,0.041617,0.04341,0.037265,0.026748,0.038721,0.047826,0.08409,0.167087,0.115421,0.152742,0.119164,0.108104,0.125531,0.001814,0.003818,0.004788,0.007094,0.008391,0.011879,0.016433,0.02275,0.027357,0.007025,-0.016593,0.009944,0.122385,0.220169,0.253868,0.268656,0.251939,0.257702,0.968805,0.997636,1,0,0,0,0,0,0,0,0,0,0
9,0.001052,0.002809,0.007214,0.007893,0.000466,-0.011128,-0.042354,-0.056929,-0.068736,0.04258,0.02533,0.045868,0.084602,0.088329,0.119329,0.12078,0.130044,0.140373,0.002862,0.00414,0.007707,0.012339,0.018755,0.023999,0.031865,0.038095,0.044604,-0.000106,-0.008106,-0.015946,-0.015773,-0.016439,-0.007134,0.010955,0.023919,0.026022,0.049382,0.034874,-0.020778,-0.115988,-0.146163,-0.176458,-0.191272,-0.208802,-0.226253,0.018675,0.058473,0.204011,0.219318,0.265825,0.265958,0.253379,0.280879,0.294695,0.001012,0.002236,0.004126,0.007813,0.011181,0.012339,0.013963,0.015094,0.015227,0.009797,0.015933,0.018262,0.023147,0.026355,0.037695,0.049954,0.052617,0.052217,0.009722,0.023811,0.033829,0.038463,0.042127,0.043917,0.037781,0.027281,0.024587,0.009091,0.045297,0.128162,0.076579,0.11384,0.080316,0.069273,0.086672,0.08915,0.001981,0.002941,0.005221,0.006504,0.009953,0.014456,0.020704,0.02526,0.031031,-0.023357,0.002887,0.114082,0.210784,0.24411,0.258734,0.242202,0.247901,0.254094,0.968937,1.005332,1,0,0,0,0,0,0,0,0,0,0
