,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.001035,0.001632,0.002189,0.000265,0.000279,0.003184,0.04026,0.037514,0.037421,0.037938,0.035245,0.022816,-0.037222,-0.033481,-0.023347,-0.022166,-0.022577,-0.022139,0.025336,0.024076,0.018637,0.053127,0.115937,0.12444,0.002547,0.003078,0.00447,0.004457,0.004457,0.005677,0.043483,0.050606,0.047211,0.050129,0.0505,0.049413,-0.023493,-0.046813,-0.01093,0.040352,0.021569,0.018624,0.031173,0.046362,0.134084,0.122915,0.201762,0.177938,-0.004775,0.025468,0.082712,0.016845,0.040363,0.015772,0.003403,0.013167,0.010012,0.012661,0.015691,0.026688,-0.107813,-0.027685,-0.985962,-1.176198,-1.111913,-0.901061,-0.000709,0.000359,-0.000642,-0.001842,-0.001475,0.001408,0.708486,-1.088677,-0.076321,-0.810048,1,0,0,0,0,0,0,0,0,0,0
1,0.000628,0.001215,-0.00081,-0.000796,0.002262,0.002387,-0.00289,-0.002988,-0.002443,-0.005278,-0.01836,-0.021794,0.003937,0.014604,0.015847,0.015414,0.015875,0.021529,-0.001326,-0.007051,0.02925,0.095359,0.104309,0.151388,0.000558,0.002024,0.002011,0.002011,0.003295,0.003337,0.007498,0.003923,0.006995,0.007386,0.006241,0.000949,-0.024545,0.013222,0.067198,0.047428,0.044329,0.115367,0.015986,0.108316,0.09656,0.179549,0.154474,0.297973,0.031831,0.092082,0.022755,0.047509,0.021626,0.070511,0.010277,0.006956,0.009744,0.012934,0.024508,0.022657,0.114658,-1.256578,-1.528794,-1.436806,-1.135089,-2.699649,0.001527,9.6e-05,-0.001622,-0.001097,0.003029,0.002814,0.646258,-1.23219,-0.080834,-0.819293,1,0,0,0,0,0,0,0,0,0,0
2,0.00062,-0.001521,-0.001506,0.001727,0.00186,0.01116,-0.000103,0.000472,-0.002524,-0.016357,-0.019988,-0.055048,0.011278,0.012592,0.012135,0.012622,0.0186,0.02669,-0.006053,0.032329,0.102229,0.111691,0.161469,0.199777,0.00155,0.001535,0.001535,0.002893,0.002938,0.004443,-0.003779,-0.000531,-0.000118,-0.001329,-0.006923,-0.019634,0.039932,0.097003,0.076099,0.072822,0.147932,0.214451,0.097623,0.085193,0.17294,0.146427,0.298153,0.375301,0.063706,-0.009596,0.016577,-0.01079,0.040897,0.053134,-0.003511,-0.000563,0.002809,0.015047,0.01309,0.034314,-2.025731,-2.427878,-2.291984,-1.846255,-4.157587,-5.955034,-0.002115,-0.004652,-0.003877,0.002219,0.001901,0.023022,0.560896,-1.291135,-0.089341,-0.818334,1,0,0,0,0,0,0,0,0,0,0
3,-0.002136,-0.002121,0.001105,0.001237,0.010517,0.018589,0.000574,-0.002416,-0.016217,-0.019841,-0.054824,-0.070614,0.001311,0.000854,0.00134,0.007306,0.015378,0.046723,0.038297,0.108042,0.117484,0.167153,0.205376,0.195375,-1.5e-05,-1.5e-05,0.00134,0.001385,0.002887,0.005627,0.003241,0.003653,0.002445,-0.003137,-0.01582,-0.028443,0.056945,0.036088,0.032818,0.107762,0.174134,0.265606,-0.012402,0.075151,0.048696,0.200088,0.277066,0.23597,-0.07314,-0.047025,-0.074332,-0.022758,-0.010548,-0.059407,0.002941,0.006306,0.018517,0.016564,0.037741,0.040336,-0.395981,-0.262171,0.176724,-2.099171,-3.86906,-4.923967,-0.002499,-0.001735,0.004267,0.003954,0.024752,0.037618,0.462205,-1.244947,-0.077562,-0.814641,1,0,0,0,0,0,0,0,0,0,0
4,1.6e-05,0.003515,0.003659,0.013725,0.02248,0.030325,-0.003243,-0.018214,-0.022145,-0.060091,-0.077219,-0.073656,-0.000495,3.2e-05,0.006503,0.015258,0.049258,0.088611,0.075653,0.085894,0.13977,0.181231,0.170383,0.151258,0.0,0.00147,0.001518,0.003148,0.006119,0.015402,0.000447,-0.000863,-0.006918,-0.020675,-0.034367,-0.019189,-0.022624,-0.026171,0.055122,0.127116,0.226336,0.370723,0.09497,0.066274,0.23049,0.313988,0.269411,0.041397,0.028327,-0.001293,0.054649,0.067894,0.014896,-0.213852,0.00365,0.016895,0.014777,0.037748,0.040562,0.052262,0.236413,1.011844,-3.009163,-6.13617,-7.999959,-8.633169,0.001349,0.011954,0.0114,0.048145,0.070876,0.069704,0.325743,-1.022797,-0.083698,-0.826105,1,0,0,0,0,0,0,0,0,0,0
5,0.003615,0.003764,0.014165,0.023211,0.031317,0.039027,-0.015469,-0.01953,-0.058739,-0.076436,-0.072755,-0.057484,0.000545,0.007231,0.016278,0.051409,0.09207,0.136941,0.010582,0.06625,0.109091,0.097881,0.07812,0.073877,0.001519,0.001568,0.003252,0.006323,0.015915,0.025985,-0.001354,-0.007611,-0.021825,-0.035973,-0.020289,-0.001354,-0.003665,0.080332,0.154721,0.257241,0.406432,0.435537,-0.02965,0.140028,0.226304,0.180244,-0.055354,-0.075181,-0.030605,0.027198,0.040883,-0.013878,-0.250236,-0.261786,0.013686,0.011497,0.035232,0.03814,0.050229,0.054113,0.975048,-4.081074,-8.013056,-10.356634,-11.152849,-11.055046,0.013334,0.012638,0.058842,0.087425,0.085951,0.075462,0.296448,-0.978039,-0.069757,-0.833055,1,0,0,0,0,0,0,0,0,0,0
6,0.000141,0.010031,0.018633,0.02634,0.033671,0.03747,-0.003862,-0.041143,-0.05797,-0.05447,-0.03995,-0.040248,0.006357,0.01496,0.048364,0.087026,0.129692,0.180394,0.052932,0.093666,0.083008,0.064218,0.060184,-0.009622,4.7e-05,0.001648,0.004568,0.013688,0.023264,0.027282,-0.005949,-0.019465,-0.032917,-0.018005,0.0,0.017126,0.079868,0.150601,0.248082,0.389939,0.417613,0.478519,0.161338,0.243372,0.199577,-0.024441,-0.043293,-0.036402,0.054962,0.067974,0.015905,-0.208835,-0.219817,-0.147275,-0.002081,0.020487,0.023252,0.034747,0.03844,0.055797,-3.552937,-6.315941,-7.962773,-8.522273,-8.453547,-8.594576,-0.000489,0.031978,0.052064,0.051028,0.043657,0.05036,0.237703,-0.962089,-0.083647,-0.833261,1,0,0,0,0,0,0,0,0,0,0
7,0.010086,0.01886,0.026721,0.034197,0.038072,0.036759,-0.038024,-0.055186,-0.051616,-0.036807,-0.037111,-0.026753,0.008773,0.042843,0.082275,0.12579,0.177502,0.230703,0.041546,0.030675,0.011511,0.007397,-0.0638,-0.122476,0.001633,0.004611,0.013913,0.023679,0.027777,0.027601,-0.013785,-0.027505,-0.012296,0.006068,0.023535,0.043659,0.072141,0.171563,0.316245,0.34447,0.406589,0.447782,0.083668,0.039,-0.189478,-0.208706,-0.201677,-0.200957,0.013272,-0.039834,-0.269049,-0.28025,-0.206264,-0.145666,0.023018,0.025837,0.037562,0.041328,0.059031,0.068862,-3.171905,-5.062455,-5.704757,-5.62586,-5.787759,-5.786418,0.037273,0.06033,0.059141,0.05068,0.058375,0.057468,0.200016,-0.980773,-0.084408,-0.840276,1,0,0,0,0,0,0,0,0,0,0
8,0.008543,0.016197,0.023477,0.02725,0.025971,0.025691,-0.016712,-0.013235,0.001185,0.000889,0.010975,0.011162,0.033174,0.07157,0.113941,0.164293,0.216096,0.239059,-0.010585,-0.029245,-0.033252,-0.102576,-0.15971,-0.19159,0.0029,0.011957,0.021466,0.025457,0.025286,0.025239,-0.01336,0.00145,0.01933,0.036338,0.055934,0.051506,0.096808,0.237687,0.26517,0.325656,0.365767,0.404708,-0.043494,-0.265965,-0.284688,-0.277844,-0.277143,-0.288835,-0.05171,-0.274899,-0.285805,-0.213764,-0.154759,-0.137786,0.002745,0.014162,0.017829,0.035067,0.044639,0.040071,-1.568928,-2.101961,-2.036486,-2.170843,-2.169729,-2.417205,0.019135,0.018148,0.011127,0.017512,0.016759,0.013342,0.193163,-0.992075,-0.08119,-0.801499,1,0,0,0,0,0,0,0,0,0,0
9,0.007552,0.014734,0.018456,0.017195,0.016918,0.016226,0.00343,0.017656,0.017364,0.027315,0.0275,0.047402,0.037881,0.079685,0.129363,0.180471,0.203126,0.223089,-0.01841,-0.022363,-0.090758,-0.147127,-0.178579,-0.173334,0.008936,0.018318,0.022255,0.022086,0.02204,0.021824,0.014611,0.032252,0.049032,0.068365,0.063997,0.062443,0.138991,0.166106,0.225781,0.265354,0.303774,0.333365,-0.21949,-0.237962,-0.23121,-0.230518,-0.242053,-0.239408,-0.220198,-0.230958,-0.159883,-0.101668,-0.084923,-0.089006,0.011263,0.014881,0.031888,0.041332,0.036825,0.015535,-0.484992,-0.425418,-0.547666,-0.546653,-0.771824,-0.884871,-0.000898,-0.007287,-0.001477,-0.002162,-0.005271,-0.015992,0.187076,-0.997696,-0.071034,-0.781683,1,0,0,0,0,0,0,0,0,0,0
10,0.007224,0.010967,0.009698,0.00942,0.008724,0.008507,0.014308,0.014014,0.024022,0.024208,0.044223,0.059475,0.042042,0.092004,0.143405,0.166189,0.186267,0.214496,-0.003975,-0.072762,-0.129453,-0.161085,-0.15581,-0.169314,0.009436,0.013395,0.013225,0.013179,0.012962,0.012637,0.017742,0.034618,0.054061,0.049668,0.048106,0.047209,0.02727,0.087286,0.127086,0.165725,0.195486,0.235904,-0.018577,-0.011787,-0.011091,-0.022692,-0.020031,-0.02413,-0.010822,0.06066,0.119208,0.136049,0.131943,0.139561,0.003639,0.020743,0.030241,0.025708,0.004296,-0.01177,0.062,-0.065226,-0.064171,-0.298511,-0.416161,-0.59067,-0.006649,-0.000602,-0.001315,-0.004551,-0.015708,-0.021241,0.187719,-1.062491,-0.081133,-0.675545,1,0,0,0,0,0,0,0,0,0,0
