,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-1.029774,-1.421294,-0.780288,-0.960434,3.305857,3.36754,0.018066,0.021335,-1.098339,-1.415874,-6.333839,-6.333667,-0.794999,-1.16983,-0.42619,-0.641178,3.598444,3.646018,-0.606164,-0.798784,-0.666213,-0.868038,-5.263115,-5.256061,-1.080187,-1.482547,-0.802828,-1.136966,3.109108,3.24426,-0.11158,-0.373626,-1.395571,-1.596106,-6.192837,-6.216323,-0.631457,-1.288981,-0.057124,-0.58242,3.539341,3.618403,-0.889115,-1.158732,-0.956649,-1.420778,-5.821619,-5.808715,-0.201174,-0.36053,-0.049384,-0.438945,-0.554542,-0.523495,0.02434,0.267058,0.185403,0.043351,-0.023026,-0.049355,-5.494852,-4.998139,-7.660715,-8.148689,-8.148601,-8.148602,-0.015756,-0.26514,0.194925,0.027985,-0.018568,-0.020061,-0.499931,0.028747,-0.357015,-0.386037,1,0,0,0,0,0,0,0,0,0,0
1,-0.684744,0.436334,0.121271,7.58274,7.69062,7.659926,0.005717,-1.952521,-2.50787,-11.109074,-11.108773,-11.147893,-0.655555,0.645023,0.269023,7.683849,7.767053,7.795641,-0.33688,-0.105021,-0.458001,-8.144708,-8.132371,-8.171641,-0.703702,0.485083,-0.099304,7.326807,7.56318,7.479374,-0.458302,-2.245618,-2.59634,-10.635727,-10.676802,-10.688237,-1.149967,1.004472,0.085762,7.294458,7.432731,7.444768,-0.471542,-0.118111,-0.929844,-8.626632,-8.604063,-8.605116,-0.278705,0.265469,-0.415846,-0.618018,-0.563719,-0.557236,0.424498,0.281689,0.033249,-0.08284,-0.128887,-0.109114,24.861192,-108.404672,-132.828503,-132.82412,-132.824142,-132.823718,-12.482037,10.544905,2.189291,-0.140767,-0.215482,-0.191909,-0.437603,-0.000844,-0.143711,-0.375731,1,0,0,0,0,0,0,0,0,0,0
2,0.827783,0.595146,6.104552,6.184209,6.161545,6.169766,-1.445926,-1.855985,-8.20695,-8.206728,-8.235613,-8.237835,0.960322,0.68269,6.157657,6.219093,6.240202,6.309415,0.1712,-0.089433,-5.765151,-5.756041,-5.785038,-5.783705,0.877777,0.446276,5.929575,6.104108,6.042227,6.054448,-1.31972,-1.578687,-7.514816,-7.545146,-7.553589,-7.555367,1.590797,0.912439,6.235202,6.3373,6.346188,6.426511,0.260967,-0.338401,-6.021563,-6.004899,-6.005676,-5.990345,0.401808,-0.101263,-0.250542,-0.210449,-0.205662,-0.187885,-0.105447,-0.288891,-0.374609,-0.408609,-0.394009,-0.393506,-15.947118,-18.86977,-18.869246,-18.869248,-18.869198,-18.869191,2.755495,1.755629,1.476805,1.467864,1.470685,1.470338,-0.520275,-0.052959,-0.059069,-0.38526,1,0,0,0,0,0,0,0,0,0,0
3,-0.171568,3.891571,3.950317,3.933603,3.939666,3.94663,-0.302415,-4.986196,-4.986032,-5.007334,-5.008973,-5.007744,-0.204751,3.832989,3.878298,3.893865,3.944909,3.958592,-0.192215,-4.378007,-4.371289,-4.392673,-4.39169,-4.392345,-0.318228,3.725657,3.854373,3.808737,3.817749,3.806115,-0.190986,-4.568829,-4.591197,-4.597424,-4.598735,-4.598407,-0.500283,3.425208,3.500505,3.50706,3.566297,3.575392,-0.442028,-4.63331,-4.62102,-4.621594,-4.610287,-4.601029,-0.37101,-0.481103,-0.451534,-0.448004,-0.434893,-0.430149,-0.135288,-0.198504,-0.223579,-0.212812,-0.212441,-0.212306,-0.346797,-0.346735,-0.346735,-0.346729,-0.346728,-0.346717,-0.118642,-0.151727,-0.152788,-0.152453,-0.152494,-0.152231,-0.496695,-0.10324,0.094537,-0.404859,1,0,0,0,0,0,0,0,0,0,0
4,3.779355,3.833998,3.818451,3.82409,3.830568,3.844819,-4.356649,-4.356497,-4.376311,-4.377836,-4.376692,-4.411673,3.755729,3.797874,3.812354,3.859833,3.87256,3.847182,-3.893442,-3.887192,-3.907083,-3.906169,-3.906779,-3.925145,3.761445,3.881172,3.838723,3.847106,3.836284,3.839256,-4.072079,-4.092885,-4.098677,-4.099896,-4.099591,-4.158654,3.651321,3.721358,3.727455,3.782555,3.791015,3.756872,-3.898548,-3.887116,-3.88765,-3.877133,-3.868521,-3.908608,-0.102403,-0.0749,-0.071616,-0.059421,-0.055009,-0.077453,-0.058801,-0.082125,-0.072109,-0.071764,-0.071639,-0.092642,3.7e-05,3.7e-05,4.1e-05,4.1e-05,4.8e-05,4.6e-05,-0.019931,-0.02057,-0.020368,-0.020393,-0.020234,-0.020145,-0.436646,-0.122497,0.100168,-0.270733,1,0,0,0,0,0,0,0,0,0,0
5,0.18277,0.130769,0.149632,0.1713,0.218968,0.185065,0.00051,-0.065767,-0.070865,-0.067041,-0.184045,-0.154221,0.140965,0.189398,0.348207,0.390777,0.305892,0.291362,0.020903,-0.045629,-0.04257,-0.044609,-0.106043,-0.129494,0.400464,0.258479,0.286519,0.250322,0.260263,0.109356,-0.06959,-0.088964,-0.093042,-0.092023,-0.289578,-0.236302,0.234262,0.254655,0.438955,0.46725,0.35305,0.207242,0.038237,0.036452,0.07163,0.100435,-0.033648,-0.022177,0.091994,0.102977,0.143767,0.158525,0.083454,0.084929,-0.078012,-0.044513,-0.043358,-0.042939,-0.113191,-0.038872,-0.000854,0.016102,0.018284,0.050506,0.039397,0.061299,-2.993415,-2.048974,-2.16517,-1.421138,-1.006103,-0.270118,-0.179496,-0.269406,0.408298,-0.403142,1,0,0,0,0,0,0,0,0,0,0
6,-0.055852,-0.035592,-0.01232,0.038877,0.002464,0.119096,-0.071184,-0.07666,-0.072553,-0.19822,-0.166187,-0.219302,0.052019,0.222587,0.268309,0.177139,0.161533,0.15989,-0.071458,-0.068172,-0.070363,-0.136345,-0.161533,-0.185626,-0.152498,-0.122382,-0.161259,-0.150582,-0.312662,-0.162081,-0.020808,-0.025188,-0.024093,-0.236276,-0.179055,-0.304175,0.021903,0.219849,0.250239,0.127584,-0.029021,-0.101848,-0.001916,0.035866,0.066803,-0.077207,-0.064887,-0.144285,0.011796,0.055607,0.071458,-0.009172,-0.007588,-0.018285,0.03598,0.03722,0.03767,-0.037783,0.042038,-0.036029,0.027956,0.031555,0.08468,0.066363,0.102475,0.121074,1.557155,1.365576,2.592306,3.276599,4.49006,4.680365,0.017085,-0.12233,0.392959,-0.319151,1,0,0,0,0,0,0,0,0,0,0
7,0.020811,0.044716,0.097308,0.059903,0.17971,0.122619,-0.005625,-0.001406,-0.130493,-0.097589,-0.152149,-0.12515,0.17521,0.222176,0.128525,0.112494,0.110807,0.121775,0.003375,0.001125,-0.066653,-0.092527,-0.117275,0.087746,0.030936,-0.009,0.001969,-0.164523,-0.009843,-0.187022,-0.0045,-0.003375,-0.221333,-0.162554,-0.291079,-0.228645,0.203333,0.234551,0.108557,-0.05231,-0.127119,-0.106307,0.038811,0.07059,-0.07734,-0.064684,-0.146243,0.124025,0.045003,0.061285,-0.021539,-0.019912,-0.030901,0.012916,0.001274,0.001736,-0.075771,0.006223,-0.073968,0.034259,0.004343,0.068453,0.04635,0.089928,0.112374,0.092444,-0.231194,1.249199,2.07499,3.53937,3.769027,4.876036,-0.092048,-0.287691,0.494238,-0.355043,1,0,0,0,0,0,0,0,0,0,0
8,0.024733,0.079147,0.040446,0.164405,0.105335,0.090204,0.004365,-0.129196,-0.095151,-0.151601,-0.123667,-0.112319,0.048594,-0.048303,-0.064889,-0.066635,-0.055286,-0.231912,-0.002328,-0.072454,-0.099225,-0.124831,0.087294,0.070418,-0.041319,-0.029971,-0.202232,-0.042192,-0.225511,-0.236277,0.001164,-0.224347,-0.163532,-0.29651,-0.231912,-0.223183,0.032299,-0.098061,-0.264502,-0.341903,-0.320371,-0.611643,0.032881,-0.120175,-0.107081,-0.191466,0.088167,0.046557,0.016846,-0.068848,-0.067164,-0.078534,-0.033199,0.030797,0.000479,-0.079714,0.005121,-0.077849,0.034128,0.029133,0.081375,0.053319,0.108633,0.137123,0.111827,0.301381,1.879065,2.927242,4.785981,5.077485,6.482613,6.442044,0.240068,-0.256095,0.571956,-0.359601,1,0,0,0,0,0,0,0,0,0,0
9,0.056122,0.016206,0.144056,0.083133,0.067526,0.056722,-0.137754,-0.10264,-0.160863,-0.132052,-0.120347,-0.107742,-0.099939,-0.117046,-0.118847,-0.107142,-0.289313,-0.088535,-0.072328,-0.099939,-0.12635,0.092436,0.075029,0.017107,0.011705,-0.165965,-0.0009,-0.189974,-0.201079,-0.191475,-0.232591,-0.169867,-0.30702,-0.240394,-0.231391,-0.096638,-0.134453,-0.30612,-0.385951,-0.363743,-0.66416,-0.277009,-0.157862,-0.144357,-0.231391,0.057022,0.014106,-0.182471,-0.088385,-0.086649,-0.098375,-0.051617,0.014389,-0.215047,-0.082711,0.004788,-0.080787,0.034706,0.029554,0.10694,-0.034835,0.033844,0.069217,0.037809,0.273159,0.288118,1.301417,3.609228,3.97116,5.715766,5.665396,-1.540661,-0.177914,-0.035994,0.516944,-0.539911,1,0,0,0,0,0,0,0,0,0,0
