,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.007534,0.156365,0.199646,0.171663,0.15475,0.141297,-0.025984,-0.38553,-0.313191,-0.294433,-0.48247,-0.048893,0.063576,0.427043,0.392219,0.430503,0.438036,0.375306,-0.044818,0.218096,0.258071,0.341558,0.386222,0.346478,0.021141,0.104012,0.091174,0.077952,0.093634,0.02952,-0.090636,-0.235546,-0.122539,-0.134686,-0.36931,0.300967,-0.058195,0.298354,0.204796,0.235777,0.272523,0.115851,0.018143,0.584868,0.493771,0.613851,0.662436,0.771983,-0.13663,-0.020585,-0.161495,-0.135608,-0.116136,-0.004743,0.06062,-0.088581,-0.064155,-0.096472,-0.112781,0.094346,0.00691,0.156745,0.146149,0.148211,0.144903,0.244301,-0.003412,0.003562,0.003643,0.003633,0.003627,0.011302,0.066601,-0.751384,0.050632,-0.916601,1,0,0,0,0,0,0,0,0,0,0
1,0.14542,0.187709,0.160368,0.143843,0.130698,0.126341,-0.351307,-0.280625,-0.262297,-0.446025,-0.022384,-0.06933,0.355138,0.321111,0.358518,0.365879,0.304586,0.365503,0.256889,0.295948,0.377522,0.421163,0.382329,0.778704,0.080973,0.068429,0.055509,0.070832,0.008187,-0.030571,-0.141589,-0.031172,-0.04304,-0.272287,0.382629,0.324942,0.348378,0.256964,0.287235,0.323139,0.170058,0.252082,0.553739,0.464729,0.582056,0.629528,0.736565,1.052719,0.113386,-0.024295,0.000999,0.020024,0.128865,0.051953,-0.145781,-0.121915,-0.153491,-0.169426,0.032954,0.027598,0.12739,0.118381,0.120134,0.117322,0.20183,0.175495,0.005929,0.005998,0.005989,0.005985,0.01251,0.030257,0.080727,-0.938177,0.089325,-1.013344,1,0,0,0,0,0,0,0,0,0,0
2,0.041601,0.014704,-0.001552,-0.014483,-0.018769,-0.026379,0.069532,0.087562,-0.093178,0.323573,0.27739,0.225149,-0.033473,0.003325,0.010567,-0.049729,0.010197,0.083572,0.038424,0.11867,0.161602,0.1234,0.513327,0.599929,-0.01234,-0.025049,-0.009975,-0.071601,-0.10973,-0.048621,0.108621,0.096946,-0.128572,0.515692,0.458943,0.432933,-0.089927,-0.060148,-0.024828,-0.17542,-0.094729,0.089409,-0.087562,0.027857,0.074557,0.179853,0.490864,0.539485,-0.135442,-0.110559,-0.091843,0.015227,-0.060434,-0.045133,0.023478,-0.007585,-0.02326,0.175828,0.170559,0.191418,-0.008032,-0.006469,-0.008976,0.066367,0.042888,-0.004316,6.2e-05,5.4e-05,5e-05,0.005867,0.021689,-0.016122,-0.066734,-0.915638,0.035912,-1.058568,1,0,0,0,0,0,0,0,0,0,0
3,-0.02641,-0.042372,-0.055069,-0.059277,-0.066751,0.104189,0.017703,-0.159766,0.249444,0.204097,0.152801,0.222453,0.036132,0.043243,-0.015962,0.04288,0.114927,-0.021621,0.078795,0.120949,0.083438,0.46631,0.551345,0.442005,-0.012479,0.002322,-0.058189,-0.095627,-0.035624,-0.00682,-0.011464,-0.232901,0.399705,0.343983,0.318444,0.438304,0.02924,0.063921,-0.083946,-0.004716,0.176091,-0.048176,0.113331,0.159185,0.262576,0.56796,0.615701,0.397166,0.024432,0.04281,0.147942,0.07365,0.088674,-0.05103,-0.030501,-0.045893,0.149593,0.144419,0.164901,0.240323,0.001375,-0.000831,0.065471,0.04481,0.00327,0.002516,-7e-06,-1e-05,0.005109,0.019033,-0.014242,0.148986,0.096836,-0.718463,0.146035,-0.89105,1,0,0,0,0,0,0,0,0,0,0
4,-0.016759,-0.03009,-0.034509,-0.042355,0.137121,0.075112,-0.186332,0.243314,0.195702,0.141844,0.214975,0.075188,0.007465,-0.054696,0.007085,0.08273,-0.060638,0.082425,0.04426,0.004875,0.406869,0.49615,0.381349,0.326881,0.01554,-0.047992,-0.0873,-0.024301,0.005942,0.001676,-0.232496,0.431703,0.373198,0.346383,0.47223,0.396508,0.036413,-0.118838,-0.035651,0.154185,-0.081282,0.060409,0.048145,0.156699,0.477334,0.527459,0.29801,0.206748,0.019295,0.129678,0.051676,0.06745,-0.079231,-0.101195,-0.016161,0.189088,0.183656,0.20516,0.284349,0.328605,-0.003104,0.090154,0.061092,0.002664,0.001604,0.001532,-5e-06,0.007195,0.02678,-0.020022,0.209565,-0.108243,-0.038029,-0.444545,0.130393,-0.96369,1,0,0,0,0,0,0,0,0,0,0
5,-0.013414,-0.017859,-0.025754,0.154833,0.09244,0.071744,0.432306,0.3844,0.330208,0.403792,0.263139,0.16679,-0.062546,-0.000383,0.07573,-0.068525,0.075424,0.015713,-0.039628,0.364854,0.454688,0.339176,0.284371,0.417972,-0.063926,-0.103477,-0.040088,-0.009658,-0.01395,-0.008738,0.668311,0.609444,0.582463,0.709089,0.632899,0.544598,-0.156213,-0.072511,0.118501,-0.118424,0.024145,0.033726,0.109226,0.431846,0.482282,0.251412,0.159585,0.278163,0.111067,0.032581,0.048453,-0.099136,-0.121236,-0.056858,0.206519,0.201054,0.222692,0.30237,0.3469,0.350675,0.097375,0.06703,0.006023,0.004916,0.00484,0.004586,0.007518,0.027967,-0.020901,0.218823,-0.113017,-0.278476,-0.034471,-0.500708,0.077929,-0.967297,1,0,0,0,0,0,0,0,0,0,0
6,-0.004518,-0.012541,0.170981,0.107574,0.086542,0.068237,-0.048685,-0.103757,-0.028977,-0.171916,-0.269831,-0.340639,0.063174,0.140524,-0.006076,0.140213,0.079532,0.115442,0.411057,0.50235,0.384961,0.329266,0.465038,0.502584,-0.040194,0.024226,0.05515,0.050788,0.056085,0.100797,-0.059824,-0.087243,0.041441,-0.035988,-0.125724,-0.155091,0.085062,0.279179,0.038403,0.183289,0.193026,0.256978,0.327864,0.379119,0.144497,0.051178,0.171683,0.201439,-0.079761,-0.063631,-0.213619,-0.236079,-0.170654,-0.14309,-0.005554,0.016435,0.097409,0.142663,0.146499,0.18506,-0.033971,-0.102267,-0.103506,-0.103591,-0.103876,-0.104417,0.022893,-0.031815,0.236551,-0.134937,-0.320164,-0.89534,-0.088722,-0.464256,0.016772,-0.939082,1,0,0,0,0,0,0,0,0,0,0
7,-0.007635,0.167013,0.106672,0.086657,0.069237,-0.005337,-0.052409,0.018755,-0.117272,-0.210452,-0.277836,-0.332617,0.07361,-0.065901,0.073314,0.015567,0.049741,0.087472,0.086879,-0.024833,-0.077835,0.051371,0.087102,0.153744,0.061305,0.090734,0.086583,0.091623,0.134174,0.101038,-0.026093,0.096368,0.022683,-0.062713,-0.09066,-0.15152,0.18473,-0.044403,0.093477,0.102743,0.163603,0.152409,0.048777,-0.1745,-0.263306,-0.148629,-0.120311,-0.09659,0.01535,-0.127385,-0.148759,-0.086498,-0.060266,-0.102334,0.020926,0.097984,0.14105,0.1447,0.181397,0.178819,-0.048274,-0.04915,-0.04921,-0.049411,-0.049794,-0.051419,-0.038669,0.151021,-0.111559,-0.242484,-0.649038,-0.989965,-0.077503,-0.496887,-0.025955,-1.060968,1,0,0,0,0,0,0,0,0,0,0
8,0.168878,0.11053,0.091177,0.074332,0.002222,-0.035768,0.068813,-0.06272,-0.152821,-0.217978,-0.27095,-0.230379,-0.134901,-0.000287,-0.056125,-0.023081,0.013404,0.000502,-0.108022,-0.159273,-0.034335,0.000215,0.064655,0.035266,0.028457,0.024443,0.029317,0.070461,0.03842,0.006523,0.118415,0.047165,-0.03541,-0.062433,-0.121282,-0.141281,-0.221562,-0.088238,-0.079278,-0.020429,-0.031252,-0.039496,-0.2159,-0.301772,-0.190883,-0.163502,-0.140564,-0.170455,-0.138019,-0.158687,-0.098483,-0.073118,-0.113796,-0.109243,0.074512,0.116155,0.119685,0.155169,0.152676,0.093792,-0.000692,-0.000739,-0.000899,-0.001201,-0.002486,-0.002472,0.149936,-0.057614,-0.1611,-0.48245,-0.751927,-0.820643,-0.081708,-0.515611,-0.034257,-0.972256,1,0,0,0,0,0,0,0,0,0,0
9,-0.057789,-0.076958,-0.093642,-0.165062,-0.202689,-0.178622,-0.130275,-0.219514,-0.284048,-0.336513,-0.29633,-0.280925,0.133327,0.078023,0.110751,0.146887,0.134108,0.113023,-0.050761,0.072982,0.107201,0.171025,0.141918,0.082566,-0.003976,0.000852,0.041603,0.009868,-0.021724,-0.013276,-0.070568,-0.152354,-0.179119,-0.237405,-0.257212,-0.302152,0.132049,0.140924,0.19921,0.18849,0.180326,0.163997,-0.085051,0.024777,0.051897,0.074615,0.04501,0.014838,-0.02047,0.039158,0.06428,0.023992,0.028501,0.027078,0.041245,0.044741,0.079885,0.077416,0.019096,-0.043023,-4.4e-05,-0.000193,-0.000476,-0.001677,-0.001664,-0.001292,-0.194048,-0.290802,-0.591248,-0.843194,-0.90744,-0.898774,-0.071536,-0.515047,-0.027492,-0.888699,1,0,0,0,0,0,0,0,0,0,0
