,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.106966,0.152505,0.209792,0.151132,0.142691,0.132193,0.153937,0.146703,0.204332,0.175771,0.197558,0.169852,0.00171,0.023923,0.043808,0.046517,0.042499,0.031617,0.050876,0.053446,0.110594,0.099075,0.152617,0.12863,0.008847,0.03276,0.052986,0.050758,0.04595,0.042894,0.153461,0.11482,0.144353,0.122294,0.118591,0.115616,-0.005535,-0.001138,-0.001389,-0.004707,-0.027252,-0.02543,0.091185,0.087274,0.113126,-0.011588,0.033802,0.034127,0.039695,0.032661,0.00187,-0.110422,-0.115405,-0.093655,-0.024651,-0.057141,-0.082836,-0.077635,-0.10256,-0.07705,0.002281,0.007329,0.011878,0.012906,0.013262,0.01289,0.012705,0.014324,0.016113,0.014006,0.013812,0.013691,0.021162,-0.378703,-0.086917,-0.375668,1,0,0,0,0,0,0,0,0,0,0
1,0.047779,0.107885,0.046339,0.037482,0.026468,-0.083188,-0.00759,0.052875,0.022909,0.045767,0.016698,-0.050834,0.023307,0.04417,0.047011,0.042796,0.031378,0.012208,0.002696,0.062656,0.050571,0.106747,0.081579,-0.036092,0.025089,0.046311,0.043973,0.038929,0.035722,-0.051591,-0.040543,-0.009557,-0.032701,-0.036586,-0.039708,-0.117812,0.004613,0.00435,0.000869,-0.022785,-0.020874,-0.043172,-0.004103,0.023021,-0.107829,-0.060206,-0.059864,-0.206924,-0.00738,-0.039686,-0.157502,-0.162731,-0.139911,-0.168488,-0.034089,-0.061048,-0.055591,-0.081742,-0.054977,-0.061064,0.007064,0.013432,0.01487,0.015368,0.014847,0.015057,0.002265,0.00477,0.001821,0.00155,0.00138,0.000185,0.008219,-0.232826,-0.074281,-0.306079,1,0,0,0,0,0,0,0,0,0,0
2,0.0619,-0.001484,-0.010604,-0.021947,-0.134877,-0.149274,0.062269,0.031409,0.054949,0.025013,-0.044536,-0.17398,0.021486,0.024412,0.020071,0.008313,-0.01143,-0.002026,0.061749,0.049304,0.107157,0.081238,-0.039946,-0.168641,0.021855,0.019448,0.014253,0.010951,-0.078969,-0.079183,0.031911,0.008076,0.004075,0.00086,-0.079575,-0.237791,-0.000271,-0.003856,-0.028216,-0.026248,-0.049211,-0.043214,0.027934,-0.106822,-0.057778,-0.057426,-0.208876,-0.368038,-0.03327,-0.154603,-0.159988,-0.136487,-0.165917,-0.195171,-0.027764,-0.022144,-0.049076,-0.021512,-0.027781,-0.051362,0.007823,0.00959,0.010202,0.009562,0.00982,0.009971,0.003077,-0.000546,-0.000879,-0.001088,-0.002556,-0.003512,0.027587,-0.089791,-0.070998,-0.16494,1,0,0,0,0,0,0,0,0,0,0
3,-0.062763,-0.071795,-0.083027,-0.194851,-0.209107,-0.215572,-0.030558,-0.007248,-0.036892,-0.10576,-0.233938,-0.446618,0.002898,-0.0014,-0.013044,-0.032593,-0.023282,-0.074281,-0.012324,0.044963,0.019298,-0.100701,-0.228136,-0.32718,-0.002384,-0.007528,-0.010798,-0.099838,-0.100049,-0.08896,-0.023602,-0.027563,-0.030747,-0.110396,-0.267063,-0.446687,-0.00355,-0.027672,-0.025723,-0.048461,-0.042522,-0.071463,-0.133437,-0.084873,-0.084524,-0.234493,-0.392098,-0.491438,-0.120147,-0.125479,-0.102207,-0.13135,-0.160318,-0.164032,0.005565,-0.021103,0.006191,-1.7e-05,-0.023367,0.01368,0.001649,0.002221,0.001624,0.001864,0.002006,0.001788,-0.003382,-0.003693,-0.003888,-0.005259,-0.006151,-0.006406,-0.021805,-0.030035,-0.144863,-0.080278,1,0,0,0,0,0,0,0,0,0,0
4,-0.008972,-0.020131,-0.131222,-0.145384,-0.151807,-0.19405,0.023157,-0.006292,-0.074708,-0.202046,-0.41333,-0.416681,-0.00427,-0.015838,-0.035259,-0.026008,-0.076673,-0.058882,0.056911,0.031414,-0.087797,-0.214397,-0.31279,-0.300399,-0.005111,-0.008359,-0.096815,-0.097025,-0.086008,-0.138837,-0.003935,-0.007098,-0.086224,-0.241864,-0.420309,-0.39387,-0.023964,-0.022027,-0.044617,-0.038717,-0.067468,-0.055117,0.048246,0.048592,-0.100392,-0.256964,-0.355652,-0.325147,-0.005297,0.017822,-0.011129,-0.039907,-0.043598,-0.025016,-0.026493,0.000622,-0.005545,-0.028742,0.008062,0.033023,0.000546,-2.5e-05,0.000205,0.00034,0.000133,0.000174,-0.000297,-0.000483,-0.001792,-0.002644,-0.002888,-0.001257,-0.025223,-0.071627,-0.119313,-0.143132,1,0,0,0,0,0,0,0,0,0,0
5,-0.010999,-0.120501,-0.134461,-0.140792,-0.182431,-0.246863,-0.029028,-0.096466,-0.221982,-0.430245,-0.433547,-0.641054,-0.011402,-0.030545,-0.021427,-0.071367,-0.05383,-0.048641,-0.025132,-0.142639,-0.267427,-0.364414,-0.3522,-0.394365,-0.003202,-0.090393,-0.0906,-0.079741,-0.131813,-0.173867,-0.003118,-0.081112,-0.234526,-0.410419,-0.384357,-0.71494,0.001909,-0.020358,-0.014542,-0.042882,-0.030707,-0.028217,0.000341,-0.146512,-0.300844,-0.398121,-0.368052,-0.483387,0.022788,-0.005749,-0.034116,-0.037753,-0.019438,-0.091325,0.026728,0.020649,-0.002217,0.034061,0.058665,-0.044107,-0.000516,-0.000308,-0.000186,-0.000374,-0.000336,-0.000266,-0.000168,-0.001352,-0.002122,-0.002343,-0.000869,-0.003439,-0.052503,0.046032,-0.174052,0.160997,1,0,0,0,0,0,0,0,0,0,0
6,-0.108746,-0.12261,-0.128897,-0.170249,-0.234236,-0.196731,-0.066972,-0.191622,-0.398448,-0.401727,-0.607802,-0.471307,-0.019011,-0.009956,-0.059551,-0.042136,-0.036983,-0.049023,-0.116695,-0.240623,-0.33694,-0.324811,-0.366685,-0.270724,-0.086589,-0.086795,-0.076011,-0.127724,-0.169487,-0.188998,-0.077456,-0.229811,-0.40449,-0.378608,-0.70691,-0.532631,-0.022113,-0.016337,-0.044481,-0.032391,-0.029917,-0.070558,-0.14584,-0.299107,-0.395713,-0.365851,-0.48039,-0.396535,-0.02834,-0.056511,-0.060123,-0.041934,-0.113325,-0.115227,-0.006037,-0.028745,0.007283,0.031717,-0.070346,-0.058845,0.000198,0.000314,0.000135,0.000171,0.000238,0.000275,-0.001128,-0.001861,-0.002071,-0.000667,-0.003116,-0.002367,-0.000713,-0.046543,-0.114602,-0.023131,1,0,0,0,0,0,0,0,0,0,0
7,-0.01387,-0.020159,-0.061529,-0.125545,-0.088023,0.181357,-0.124705,-0.331621,-0.334903,-0.541068,-0.404512,0.318163,0.009059,-0.040558,-0.023135,-0.017979,-0.030025,0.14992,-0.123982,-0.220341,-0.208207,-0.250099,-0.154096,0.524073,-0.000206,0.010583,-0.041153,-0.082935,-0.102454,0.134298,-0.152422,-0.327178,-0.301285,-0.629731,-0.455375,0.193914,0.005778,-0.022378,-0.010283,-0.007808,-0.048466,0.187602,-0.153334,-0.249983,-0.220108,-0.334697,-0.250806,0.497474,-0.028183,-0.031797,-0.0136,-0.085022,-0.086926,-0.029473,-0.022718,0.013325,0.037771,-0.064337,-0.052831,-0.130754,0.000117,-6.3e-05,-2.7e-05,4e-05,7.7e-05,-0.00017,-0.000736,-0.000947,0.000462,-0.001994,-0.001244,-0.001162,0.064509,-1.35297,0.059323,-0.96105,1,0,0,0,0,0,0,0,0,0,0
8,-0.006083,-0.046095,-0.108008,-0.071718,0.188816,0.184411,-0.200122,-0.203295,-0.402691,-0.270619,0.428326,0.429428,-0.047988,-0.031137,-0.026151,-0.037801,0.136235,0.136068,-0.093195,-0.081459,-0.121976,-0.029125,0.626775,0.626963,0.010435,-0.039603,-0.080012,-0.098891,0.130087,0.129458,-0.169017,-0.143975,-0.461635,-0.293005,0.334964,0.332215,-0.027232,-0.015533,-0.01314,-0.052463,0.175854,0.1768,-0.093475,-0.064581,-0.175407,-0.094271,0.629437,0.638818,-0.003495,0.014104,-0.054973,-0.056813,-0.001247,0.007968,0.034859,0.058502,-0.040253,-0.029125,-0.104489,-0.107873,-0.000142,-0.000113,-6.1e-05,-3.2e-05,-0.000227,-0.000234,-0.000167,0.000948,-0.000996,-0.000402,-0.000337,-0.00034,0.050222,-1.291271,0.033568,-0.875282,1,0,0,0,0,0,0,0,0,0,0
9,-0.040817,-0.103975,-0.066956,0.198821,0.194327,0.208203,-0.003237,-0.206645,-0.071916,0.641092,0.642217,0.669404,0.01719,0.022277,0.010392,0.187929,0.187759,0.187715,0.011972,-0.02936,0.065359,0.734456,0.734648,0.732964,-0.051044,-0.092267,-0.111525,0.12206,0.121418,0.13671,0.025547,-0.298505,-0.126482,0.514121,0.511318,0.559443,0.011934,0.014375,-0.025739,0.207172,0.208137,0.212022,0.029475,-0.083581,-0.000812,0.737457,0.747026,0.746626,0.017954,-0.052513,-0.054391,0.002293,0.011694,0.013119,0.024118,-0.076624,-0.065271,-0.142152,-0.145604,-0.124661,3.3e-05,9.3e-05,0.000127,-9.8e-05,-0.000106,-0.000147,0.001282,-0.000953,-0.00027,-0.000196,-0.000199,-0.000198,0.033414,-1.245748,0.015199,-1.001491,1,0,0,0,0,0,0,0,0,0,0
