,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.395876,-0.120719,-0.169273,-0.084282,-0.063078,-0.062,0.01915,0.018411,0.025651,0.02342,0.023272,0.022637,0.45331,0.077086,0.0,-0.021381,-0.030571,-0.036467,-0.002024,0.024853,0.039171,0.039186,0.043944,0.043663,-0.560066,-0.113568,-0.269749,-0.090458,-0.069284,-0.069757,0.004448,0.00461,-0.010875,-0.0211,-0.023553,-0.024026,0.45597,0.079435,0.011466,-0.005408,-0.011717,-0.011998,-0.007255,0.00724,0.006043,-0.009412,-0.012648,-0.031502,-0.005553,-0.017768,-0.034381,-0.050301,-0.058589,-0.077697,-0.014097,-0.012412,-0.042542,-0.044936,-0.047215,-0.047302,-0.016254,-1.3e-05,-0.048028,-0.062897,-0.07283,-0.088486,0.796939,0.015142,0.431766,0.117948,0.116848,0.121815,0.131888,-1.070586,-0.112296,-1.014341,1,0,0,0,0,0,0,0,0,0,0
1,0.263176,0.216737,0.298027,0.318307,0.319339,0.319918,-0.000707,0.006218,0.004084,0.003943,0.003335,0.003561,-0.359843,-0.433572,-0.454022,-0.462813,-0.468452,-0.469653,0.025707,0.039402,0.039416,0.043966,0.043698,0.042921,0.427057,0.277676,0.449161,0.469413,0.46896,0.465003,0.000155,-0.014655,-0.024435,-0.026781,-0.027233,-0.026696,-0.36014,-0.425149,-0.441289,-0.447323,-0.447592,-0.444624,0.013864,0.012719,-0.002063,-0.005158,-0.023192,-0.031459,-0.011683,-0.027573,-0.0428,-0.050727,-0.069003,-0.076912,0.001612,-0.027207,-0.029496,-0.031676,-0.031759,-0.032143,0.011893,-0.023266,-0.034155,-0.041428,-0.052892,-0.063115,-0.572476,-0.267401,-0.497196,-0.498001,-0.494364,-0.483332,0.11809,-1.067285,-0.108244,-1.010314,1,0,0,0,0,0,0,0,0,0,0
2,-0.047008,0.035278,0.055806,0.056851,0.057437,0.055949,0.00701,0.00485,0.004707,0.004091,0.00432,0.002174,-0.074633,-0.095333,-0.104231,-0.109939,-0.111155,-0.102643,0.013862,0.013876,0.018483,0.018211,0.017424,0.006523,-0.151211,0.022374,0.042874,0.042416,0.038411,0.035678,-0.014992,-0.024892,-0.027267,-0.027724,-0.027181,-0.028339,-0.065806,-0.082143,-0.088251,-0.088523,-0.085519,-0.081628,-0.001159,-0.016122,-0.019255,-0.037509,-0.045878,-0.049869,-0.016085,-0.031498,-0.039522,-0.058022,-0.066027,-0.058643,-0.029172,-0.031489,-0.033696,-0.03378,-0.034168,-0.033373,-0.038287,-0.050144,-0.058064,-0.070548,-0.08168,-0.069029,0.332213,0.081977,0.0811,0.08506,0.097074,0.100684,0.114333,-1.063245,-0.106148,-1.007897,1,0,0,0,0,0,0,0,0,0,0
3,0.083227,0.10399,0.105046,0.105639,0.104135,0.101848,-0.002185,-0.00233,-0.002952,-0.00272,-0.004891,-0.010172,-0.020937,-0.029937,-0.03571,-0.03694,-0.028331,-0.024742,1.4e-05,0.004674,0.004399,0.003603,-0.007423,-0.007538,0.175569,0.196303,0.19584,0.191789,0.189025,0.186175,-0.010013,-0.012415,-0.012878,-0.012328,-0.0135,-0.027781,-0.016524,-0.022702,-0.022977,-0.019938,-0.016003,-0.013456,-0.015135,-0.018303,-0.036766,-0.045231,-0.049267,-0.062203,-0.015589,-0.023705,-0.042416,-0.050513,-0.043045,-0.05565,-0.002344,-0.004576,-0.004661,-0.005054,-0.00425,-0.013236,-0.012838,-0.021415,-0.034932,-0.046986,-0.033288,-0.024459,-0.270957,-0.271907,-0.267618,-0.25461,-0.250701,-0.25271,0.114496,-1.049693,-0.105544,-0.99583,1,0,0,0,0,0,0,0,0,0,0
4,0.020969,0.022036,0.022635,0.021115,0.018806,0.016264,-0.000146,-0.000774,-0.000541,-0.002733,-0.008066,-0.009863,-0.009089,-0.014919,-0.016161,-0.007467,-0.003843,-0.001023,0.004705,0.004428,0.003624,-0.007511,-0.007628,-0.013166,0.02094,0.020472,0.016381,0.01359,0.010711,0.005407,-0.002426,-0.002893,-0.002338,-0.003522,-0.017944,-0.02338,-0.00624,-0.006517,-0.003449,0.000526,0.003098,0.004267,-0.0032,-0.021846,-0.030394,-0.034471,-0.047534,-0.06805,-0.008197,-0.027093,-0.03527,-0.027728,-0.040458,-0.055111,-0.002255,-0.00234,-0.002737,-0.001925,-0.011,-0.014998,-0.009189,-0.023671,-0.036586,-0.021909,-0.01245,-0.001318,-0.001017,0.003577,0.017514,0.021703,0.019551,0.025412,0.118599,-1.029672,-0.1018,-0.99266,1,0,0,0,0,0,0,0,0,0,0
5,0.001077,0.001681,0.000147,-0.002183,-0.004749,-0.009292,-0.000634,-0.000398,-0.002611,-0.007994,-0.009808,-0.009926,-0.005885,-0.007139,0.001637,0.005295,0.008142,0.009823,-0.00028,-0.001091,-0.012331,-0.012449,-0.018039,-0.018083,-0.000472,-0.004602,-0.007419,-0.010325,-0.015679,-0.032596,-0.000472,8.8e-05,-0.001106,-0.015664,-0.021151,-0.021018,-0.00028,0.002817,0.006829,0.009425,0.010605,0.013673,-0.01882,-0.027449,-0.031564,-0.04475,-0.065458,-0.067641,-0.019073,-0.027327,-0.019714,-0.032564,-0.047354,-0.049653,-8.6e-05,-0.000487,0.000333,-0.008828,-0.012862,-0.014192,-0.01546,-0.029247,-0.013579,-0.003481,0.008402,0.005034,0.004905,0.019782,0.024253,0.021956,0.028213,0.061705,0.1143,-1.030131,-0.090827,-0.994273,1,0,0,0,0,0,0,0,0,0,0
6,0.00061,-0.000937,-0.003288,-0.005876,-0.010458,-0.012778,0.000238,-0.001993,-0.007423,-0.009253,-0.009372,-0.00903,-0.001264,0.007587,0.011276,0.014147,0.015843,0.017092,-0.000818,-0.012153,-0.012272,-0.01791,-0.017955,-0.017955,-0.004165,-0.007006,-0.009937,-0.015337,-0.032399,-0.036178,0.000565,-0.00064,-0.015322,-0.020856,-0.020722,-0.023117,0.003124,0.00717,0.009788,0.010978,0.014072,0.021823,-0.008702,-0.012853,-0.026151,-0.047037,-0.049238,-0.055352,-0.008324,-0.000646,-0.013606,-0.028523,-0.030841,-0.037693,-0.000404,0.000423,-0.008816,-0.012885,-0.014226,-0.01711,-0.014634,0.001997,0.012715,0.025329,0.021753,0.00425,0.015792,0.020538,0.0181,0.024742,0.060292,0.063483,0.111135,-1.014976,-0.090883,-1.002137,1,0,0,0,0,0,0,0,0,0,0
7,-0.001551,-0.003908,-0.006504,-0.011099,-0.013426,-0.014232,-0.002238,-0.007683,-0.009518,-0.009637,-0.009294,-0.006653,0.008876,0.012576,0.015455,0.017156,0.018409,0.019244,-0.011367,-0.011487,-0.017141,-0.017185,-0.017185,-0.01453,-0.002849,-0.005788,-0.011203,-0.028314,-0.032103,-0.035534,-0.001208,-0.015932,-0.021482,-0.021347,-0.023749,-0.02642,0.004058,0.006683,0.007877,0.01098,0.018752,0.024749,-0.004162,-0.017499,-0.038443,-0.040651,-0.046782,-0.052123,0.0077,-0.005296,-0.020256,-0.02258,-0.029452,-0.037965,0.000829,-0.008436,-0.012517,-0.013861,-0.016753,-0.022319,0.016964,0.027898,0.040764,0.037117,0.019263,0.007083,0.004841,0.002354,0.009129,0.045392,0.048646,0.05416,0.110467,-1.002184,-0.092016,-1.01172,1,0,0,0,0,0,0,0,0,0,0
8,-0.002364,-0.004968,-0.009576,-0.011911,-0.012719,-0.013961,-0.005462,-0.007302,-0.007422,-0.007078,-0.004429,0.004399,0.003711,0.006599,0.008305,0.009561,0.010399,0.01432,-0.00012,-0.005791,-0.005836,-0.005836,-0.003172,0.008753,-0.002948,-0.008379,-0.025542,-0.029343,-0.032784,-0.035612,-0.014769,-0.020335,-0.0202,-0.022609,-0.025288,-0.024599,0.002633,0.003831,0.006943,0.014739,0.020754,0.025392,-0.013377,-0.034385,-0.0366,-0.042749,-0.048106,-0.047268,-0.013036,-0.028041,-0.030372,-0.037265,-0.045804,-0.056905,-0.009293,-0.013386,-0.014735,-0.017636,-0.023218,-0.031481,0.011168,0.024309,0.020584,0.002348,-0.010093,-0.008905,-0.002541,0.004379,0.041418,0.044742,0.050374,0.052199,0.109541,-0.994476,-0.092547,-1.023463,1,0,0,0,0,0,0,0,0,0,0
9,-0.002618,-0.007252,-0.009599,-0.010411,-0.01166,-0.01473,-0.001851,-0.001971,-0.001625,0.001038,0.009915,0.013752,0.002904,0.004619,0.005883,0.006725,0.010667,0.021169,-0.005702,-0.005747,-0.005747,-0.003069,0.008922,0.014865,-0.005462,-0.022719,-0.02654,-0.030001,-0.032844,-0.039404,-0.005597,-0.005462,-0.007884,-0.010577,-0.009885,-0.011735,0.001204,0.004333,0.012172,0.01822,0.022884,0.037839,-0.021124,-0.023351,-0.029534,-0.034921,-0.034078,-0.049785,-0.015088,-0.017432,-0.024362,-0.032949,-0.044111,-0.066106,-0.004116,-0.005472,-0.008389,-0.014002,-0.02231,-0.028323,0.013656,0.009785,-0.009165,-0.022093,-0.020859,-0.025761,0.007191,0.045682,0.049136,0.054988,0.056885,0.06394,0.103991,-0.991639,-0.091742,-1.04274,1,0,0,0,0,0,0,0,0,0,0
10,-0.00467,-0.007035,-0.007854,-0.009113,-0.012206,-0.012251,-0.000121,0.000227,0.002911,0.011857,0.015723,0.022122,0.001729,0.003002,0.003851,0.007824,0.018407,0.027777,-4.5e-05,-4.5e-05,0.002653,0.014738,0.020727,0.028323,-0.017391,-0.021242,-0.02473,-0.027595,-0.034206,-0.035904,0.000136,-0.002305,-0.005019,-0.004321,-0.006186,-0.005747,0.003154,0.011053,0.017149,0.021849,0.03692,0.044213,-0.002244,-0.008476,-0.013904,-0.013055,-0.028884,-0.030021,-0.002363,-0.009347,-0.018,-0.029249,-0.051415,-0.059884,-0.001367,-0.004306,-0.009963,-0.018335,-0.024396,-0.030487,-0.004086,-0.024091,-0.037739,-0.036436,-0.04161,-0.03578,0.040632,0.044279,0.050456,0.052459,0.059906,0.062442,0.105336,-0.992248,-0.092828,-1.051883,1,0,0,0,0,0,0,0,0,0,0
11,-0.002379,-0.003203,-0.004469,-0.00758,-0.007626,-0.00758,0.000351,0.00305,0.012049,0.015939,0.022375,0.024556,0.001281,0.002135,0.006131,0.016777,0.026203,0.037459,0.0,0.002715,0.014871,0.020895,0.028537,0.040647,-0.003874,-0.007382,-0.010265,-0.016915,-0.018623,-0.018669,-0.002456,-0.005186,-0.004484,-0.00636,-0.005918,-0.005811,0.007946,0.014078,0.018806,0.033967,0.041303,0.049432,-0.006269,-0.011729,-0.010875,-0.026798,-0.027942,-0.028674,-0.007026,-0.01573,-0.027046,-0.049343,-0.057862,-0.070267,-0.002957,-0.008647,-0.017069,-0.023166,-0.029293,-0.031367,-0.02085,-0.035074,-0.033716,-0.039109,-0.033033,-0.024869,0.0038,0.010239,0.012326,0.020088,0.022731,0.022474,0.104043,-0.986449,-0.095885,-1.061774,1,0,0,0,0,0,0,0,0,0,0
12,-0.000837,-0.002124,-0.005288,-0.005334,-0.005288,-0.006156,0.002745,0.011893,0.015848,0.022391,0.024609,0.025617,0.000868,0.004931,0.015755,0.025338,0.036781,0.048923,0.00276,0.015119,0.021244,0.029013,0.041325,0.042317,-0.003566,-0.006497,-0.013258,-0.014995,-0.015041,-0.015972,-0.002776,-0.002062,-0.00397,-0.00352,-0.003411,-0.003954,0.006234,0.011041,0.026454,0.033913,0.042178,0.055048,-0.005551,-0.004683,-0.020872,-0.022035,-0.022779,-0.033339,-0.008849,-0.020354,-0.043023,-0.051684,-0.064296,-0.075852,-0.005785,-0.014348,-0.020546,-0.026776,-0.028884,-0.030433,-0.015969,-0.014445,-0.020499,-0.013678,-0.004512,-0.003386,0.007229,0.009572,0.018286,0.021253,0.020965,0.02074,0.101316,-0.987462,-0.098296,-1.075213,1,0,0,0,0,0,0,0,0,0,0
13,-0.001319,-0.004561,-0.004609,-0.004561,-0.005451,-0.010203,0.009376,0.013429,0.020136,0.022408,0.023441,0.027224,0.004164,0.015257,0.025078,0.036807,0.04925,0.058325,0.012666,0.018944,0.026906,0.039524,0.040541,0.048313,-0.003004,-0.009933,-0.011713,-0.01176,-0.012714,-0.014001,0.000731,-0.001224,-0.000763,-0.000652,-0.001208,-0.001335,0.004927,0.020724,0.028368,0.036838,0.050029,0.058786,0.00089,-0.015702,-0.016894,-0.017656,-0.028479,-0.025825,-0.011791,-0.035024,-0.043901,-0.056826,-0.06867,-0.073711,-0.008775,-0.015128,-0.021512,-0.023673,-0.025261,-0.0288,0.001811,-0.005381,0.002722,0.013608,0.014945,0.01662,0.002783,0.013133,0.016657,0.016315,0.016048,0.005016,0.098005,-0.993886,-0.099113,-1.074664,1,0,0,0,0,0,0,0,0,0,0
14,-0.003324,-0.003373,-0.003324,-0.004236,-0.009108,-0.009515,0.004155,0.011031,0.013361,0.01442,0.018298,0.033597,0.011373,0.021442,0.033467,0.046225,0.055528,0.061753,0.006436,0.014599,0.027536,0.028579,0.036546,0.038485,-0.007104,-0.008929,-0.008978,-0.009955,-0.011275,-0.011047,-0.002004,-0.001532,-0.001418,-0.001988,-0.002118,0.001727,0.016196,0.024033,0.032717,0.046241,0.055219,0.063561,-0.01701,-0.018232,-0.019015,-0.03011,-0.027389,-0.026004,-0.023819,-0.03292,-0.046172,-0.058315,-0.063483,-0.064288,-0.006513,-0.013059,-0.015274,-0.016902,-0.02053,-0.03185,-0.008563,0.001085,0.014047,0.015639,0.017633,0.013562,0.012324,0.01652,0.016112,0.015794,0.002658,-0.003061,0.096607,-1.005339,-0.10162,-1.078569,1,0,0,0,0,0,0,0,0,0,0
15,-5.1e-05,0.0,-0.000945,-0.005989,-0.006411,-0.00636,0.007119,0.009532,0.010628,0.014644,0.030485,0.039545,0.010426,0.022877,0.036086,0.045719,0.052164,0.062185,0.008452,0.021847,0.022927,0.031177,0.033185,0.034686,-0.00189,-0.00194,-0.002952,-0.004319,-0.004083,-0.003813,0.000489,0.000607,1.7e-05,-0.000118,0.003863,0.010578,0.008115,0.017107,0.031109,0.040405,0.049043,0.064041,-0.001265,-0.002075,-0.013564,-0.010747,-0.009313,-0.007811,-0.009423,-0.023144,-0.035718,-0.041069,-0.041902,-0.042461,-0.006778,-0.009071,-0.010757,-0.014514,-0.026235,-0.028542,0.012309,0.028848,0.030879,0.033423,0.028229,0.016143,0.005354,0.004833,0.004428,-0.012332,-0.019629,-0.021299,0.088202,-1.012794,-0.103563,-1.081012,1,0,0,0,0,0,0,0,0,0,0
16,5.2e-05,-0.000911,-0.006048,-0.006477,-0.006426,-0.00634,0.002457,0.003574,0.007663,0.023796,0.033022,0.039258,0.012679,0.026132,0.035942,0.042506,0.052711,0.061473,0.013642,0.014741,0.023143,0.025187,0.026716,0.037351,-5.2e-05,-0.001082,-0.002474,-0.002234,-0.001959,-0.002027,0.00012,-0.000481,-0.000619,0.003436,0.010274,0.013607,0.009157,0.023418,0.032884,0.041681,0.056955,0.063604,-0.000825,-0.012525,-0.009656,-0.008195,-0.006666,0.008058,-0.013974,-0.026778,-0.032227,-0.033076,-0.033645,-0.029351,-0.002336,-0.004052,-0.007879,-0.019815,-0.022164,-0.025067,0.018789,0.021097,0.023986,0.018086,0.004356,0.008972,-0.000591,-0.001052,-0.020092,-0.028382,-0.030279,-0.030917,0.088019,-1.027768,-0.104021,-1.086869,1,0,0,0,0,0,0,0,0,0,0
17,-0.000978,-0.006201,-0.006638,-0.006586,-0.006498,-0.006271,0.001135,0.005293,0.021696,0.031077,0.037418,0.046501,0.013678,0.023652,0.030325,0.040702,0.049611,0.055008,0.001118,0.00966,0.011739,0.013294,0.024107,0.031042,-0.001048,-0.002463,-0.002219,-0.001939,-0.002009,-0.003599,-0.000611,-0.000751,0.003371,0.010324,0.013713,0.020421,0.014499,0.024124,0.033068,0.048598,0.055358,0.066835,-0.011896,-0.008979,-0.007494,-0.005939,0.009031,0.009084,-0.013019,-0.018559,-0.019422,-0.020001,-0.015635,-0.023114,-0.001745,-0.005636,-0.017772,-0.020161,-0.023112,-0.025672,0.002592,0.005838,-0.00079,-0.016212,-0.011027,-0.027135,-0.000518,-0.021904,-0.031216,-0.033347,-0.034064,-0.027745,0.080639,-1.006994,-0.09876,-1.079497,1,0,0,0,0,0,0,0,0,0,0
18,-0.005344,-0.005791,-0.005737,-0.005648,-0.005415,-0.002699,0.004254,0.021035,0.030633,0.03712,0.046413,0.059943,0.010205,0.017032,0.027648,0.036763,0.042285,0.044966,0.008739,0.010866,0.012457,0.02352,0.030615,0.035708,-0.001448,-0.001197,-0.000911,-0.000983,-0.002609,-0.003521,-0.000143,0.004075,0.011188,0.014655,0.021518,0.027576,0.009847,0.018998,0.034886,0.041803,0.053544,0.057458,0.002985,0.004504,0.006094,0.021411,0.021464,0.024753,-0.005668,-0.006551,-0.007143,-0.002677,-0.010329,-0.012245,-0.00398,-0.016397,-0.01884,-0.02186,-0.024479,-0.032288,0.003808,-0.003968,-0.022063,-0.01598,-0.034879,-0.038338,-0.025093,-0.036018,-0.038519,-0.039359,-0.031946,-0.0194,0.078666,-1.00518,-0.096628,-1.074894,1,0,0,0,0,0,0,0,0,0,0
19,-0.000454,-0.000399,-0.000309,-7.3e-05,0.002687,0.00363,0.017045,0.026793,0.033382,0.042822,0.056563,0.069361,0.006934,0.017717,0.026975,0.032584,0.035307,0.039119,0.00216,0.003776,0.015012,0.022219,0.027392,0.033655,0.000254,0.000545,0.000472,-0.00118,-0.002106,-0.003721,0.004284,0.011509,0.01503,0.022001,0.028155,0.03331,0.009294,0.025432,0.032457,0.044383,0.048358,0.05522,0.001543,0.003159,0.018715,0.01877,0.02211,0.022908,-0.000897,-0.001498,0.003039,-0.004733,-0.00668,-0.012404,-0.012611,-0.015093,-0.01816,-0.020821,-0.028752,-0.036612,-0.008672,-0.028852,-0.022067,-0.043144,-0.047001,-0.055748,-0.012184,-0.014973,-0.01591,-0.007642,0.006348,0.014356,0.073766,-0.997112,-0.094396,-1.072054,1,0,0,0,0,0,0,0,0,0,0
