,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.007101,0.006892,0.012777,0.012379,0.033624,0.031251,0.057451,0.224887,0.278256,0.396765,0.39855,0.416511,-0.000285,0.008961,0.014049,0.024226,0.032485,0.033985,0.061894,0.241386,0.280306,0.38807,0.403486,0.419169,0.003095,0.002981,0.014012,0.015227,0.032845,0.039965,0.02284,0.264548,0.310589,0.497675,0.505763,0.545443,-0.002563,-0.005715,-0.01198,-0.011866,-0.002677,0.00767,0.042832,0.289837,0.336827,0.568492,0.597901,0.636195,-0.018972,0.049033,0.057784,0.182087,0.195979,0.217992,-0.034038,0.039853,0.032106,0.100372,0.106916,0.127987,0.033509,0.165285,0.374106,0.414277,0.316903,-0.268304,0.015243,-0.004403,-0.021427,-0.056613,-0.032653,-0.126119,0.147859,-1.158598,0.10172,-0.942906,1,0,0,0,0,0,0,0,0,0,0
1,-0.00019,0.005165,0.004803,0.024134,0.021975,0.028643,0.152354,0.200916,0.308751,0.310375,0.326718,0.29982,0.008413,0.013043,0.022303,0.029818,0.031183,0.044934,0.163324,0.19874,0.296796,0.310824,0.325094,0.298679,-0.000104,0.009934,0.011039,0.027071,0.033549,0.064905,0.219937,0.26183,0.432065,0.439424,0.475531,0.45746,-0.002868,-0.008569,-0.008465,-0.000104,0.009312,0.034551,0.224757,0.267514,0.478312,0.505072,0.539917,0.495294,0.061879,0.069842,0.182948,0.195589,0.21562,0.196871,0.067236,0.060187,0.122303,0.128259,0.147431,0.15554,0.068058,0.175908,0.196655,0.146364,-0.155877,-0.500508,-0.010147,-0.018939,-0.037111,-0.024737,-0.073009,-0.212731,0.128376,-1.142035,0.078966,-0.944136,1,0,0,0,0,0,0,0,0,0,0
2,0.005165,0.004815,0.023459,0.021377,0.027808,0.04222,0.046835,0.150836,0.152402,0.168164,0.142222,0.11598,0.004465,0.013396,0.020643,0.02196,0.035222,0.049718,0.034156,0.128726,0.142255,0.156017,0.130542,0.109882,0.00968,0.010747,0.026208,0.032456,0.062697,0.093071,0.040404,0.204585,0.211683,0.246506,0.229078,0.199704,-0.005498,-0.005398,0.002666,0.011746,0.036089,0.068029,0.041237,0.24454,0.270348,0.303954,0.260918,0.209417,0.007679,0.116764,0.128956,0.148274,0.130192,0.098856,-0.006798,0.05311,0.058853,0.077344,0.085165,0.082225,0.083705,0.099808,0.060776,-0.173803,-0.441283,-0.802516,-0.006824,-0.020928,-0.011324,-0.048789,-0.157232,-0.231205,0.101284,-1.119169,0.063166,-0.93806,1,0,0,0,0,0,0,0,0,0,0
3,-0.000339,0.017748,0.015728,0.021967,0.035949,0.055282,0.100897,0.102416,0.117708,0.09254,0.067081,0.056672,0.008664,0.015695,0.016972,0.029839,0.043902,0.057254,0.091748,0.104873,0.118225,0.09351,0.073466,0.068455,0.001035,0.016035,0.022096,0.051434,0.080902,0.108494,0.159282,0.166168,0.199951,0.183043,0.154546,0.14863,9.7e-05,0.00792,0.01673,0.040346,0.071333,0.101673,0.197236,0.222274,0.254877,0.213125,0.163161,0.149616,0.105829,0.117657,0.136399,0.118857,0.088455,0.079867,0.05812,0.063692,0.081631,0.089218,0.086366,0.091162,0.013025,-0.018548,-0.2083,-0.424665,-0.716868,-0.981856,-0.011409,-0.00364,-0.033946,-0.121666,-0.181503,-0.213006,0.076507,-1.119039,0.045754,-0.944051,1,0,0,0,0,0,0,0,0,0,0
4,0.017478,0.015525,0.021554,0.035064,0.053745,0.074533,0.001468,0.016244,-0.008075,-0.032675,-0.042733,-0.032519,0.006794,0.008028,0.020461,0.034049,0.04695,0.055244,0.012683,0.025584,0.001702,-0.017665,-0.022507,-0.015353,0.014494,0.020351,0.0487,0.077173,0.103834,0.143537,0.006654,0.039297,0.02296,-0.004576,-0.010293,0.00189,0.00756,0.016072,0.038891,0.068832,0.098149,0.118282,0.024194,0.055697,0.015353,-0.032925,-0.046013,-0.058305,0.011429,0.029538,0.012588,-0.016788,-0.025086,-0.044282,0.005384,0.022718,0.030049,0.027293,0.031927,0.035134,-0.024831,-0.17406,-0.34422,-0.574022,-0.782421,-0.921178,0.00611,-0.017724,-0.086711,-0.13377,-0.158545,-0.220552,0.05805,-1.095844,0.017771,-0.943751,1,0,0,0,0,0,0,0,0,0,0
5,-0.001879,0.003923,0.016922,0.034897,0.0549,0.085769,0.014217,-0.009183,-0.032853,-0.042532,-0.032703,-0.014307,0.001187,0.01315,0.026225,0.038639,0.046619,0.050452,0.012414,-0.010565,-0.029201,-0.03386,-0.026977,-0.02872,0.005636,0.032913,0.060311,0.085965,0.124168,0.171794,0.03141,0.01569,-0.010806,-0.016306,-0.004584,0.00762,0.008191,0.030148,0.058958,0.087167,0.106539,0.125566,0.030313,-0.008506,-0.05496,-0.067554,-0.079382,-0.082373,0.017425,0.001115,-0.02715,-0.035135,-0.053606,-0.054173,0.016679,0.023733,0.021081,0.02554,0.028626,0.024233,-0.113966,-0.243917,-0.419416,-0.57857,-0.684538,-0.810525,-0.018202,-0.070887,-0.106826,-0.125746,-0.173101,-0.218232,0.040051,-1.090394,-0.001471,-0.946676,1,0,0,0,0,0,0,0,0,0,0
6,0.005531,0.017925,0.035063,0.054134,0.083566,0.110031,-0.02231,-0.044878,-0.054106,-0.044734,-0.027196,-0.003339,0.011406,0.023872,0.035707,0.043316,0.04697,0.050695,-0.021909,-0.039676,-0.044118,-0.037556,-0.039218,-0.034991,0.026007,0.052128,0.076587,0.113011,0.158419,0.201234,-0.014988,-0.04025,-0.045494,-0.034317,-0.022682,-0.003869,0.020934,0.048403,0.075298,0.093768,0.111908,0.134275,-0.037011,-0.081302,-0.093309,-0.104586,-0.107437,-0.108727,-0.01555,-0.042499,-0.050112,-0.067723,-0.068263,-0.072345,0.006726,0.004197,0.008449,0.011391,0.007202,0.004574,-0.093063,-0.218744,-0.332721,-0.408609,-0.498833,-0.614371,-0.03773,-0.063467,-0.077017,-0.11093,-0.143249,-0.175037,0.015415,-1.085293,-0.027142,-0.948551,1,0,0,0,0,0,0,0,0,0,0
7,0.012471,0.029715,0.048905,0.078519,0.105149,0.166309,-0.022708,-0.031993,-0.022564,-0.004916,0.019089,0.039332,0.012543,0.024453,0.032108,0.035785,0.039534,0.04308,-0.017878,-0.022348,-0.015744,-0.017417,-0.013163,-0.019637,0.026284,0.050895,0.087545,0.133235,0.176315,0.195823,-0.025419,-0.030696,-0.01945,-0.007742,0.011188,0.01325,0.027639,0.054701,0.073286,0.091539,0.114045,0.121528,-0.044565,-0.056648,-0.067994,-0.070864,-0.072161,-0.079976,-0.027117,-0.034777,-0.052497,-0.053041,-0.057148,-0.058097,-0.002544,0.001734,0.004694,0.000479,-0.002165,-0.025124,-0.13125,-0.250276,-0.329527,-0.423749,-0.544405,-0.569345,-0.026877,-0.041028,-0.076443,-0.110195,-0.143391,-0.077709,0.007785,-1.08091,-0.025082,-0.927641,1,0,0,0,0,0,0,0,0,0,0
8,0.017447,0.036864,0.066827,0.093771,0.155653,0.157374,-0.009395,0.000146,0.018001,0.04229,0.062772,0.079154,0.01205,0.019796,0.023516,0.027309,0.030897,0.036047,-0.004522,0.002159,0.000467,0.00477,-0.00178,0.01434,0.024902,0.061984,0.108213,0.151802,0.171539,0.175215,-0.005339,0.006039,0.017885,0.037039,0.039125,0.045529,0.027381,0.046185,0.064654,0.087425,0.094996,0.104493,-0.012225,-0.023705,-0.026608,-0.027921,-0.035828,-0.037287,-0.007751,-0.02568,-0.02623,-0.030385,-0.031346,-0.048357,0.004328,0.007324,0.003059,0.000384,-0.022846,-0.032655,-0.12921,-0.21524,-0.317524,-0.448504,-0.475577,-0.513307,-0.015361,-0.053806,-0.090446,-0.126482,-0.05518,-0.059101,0.003944,-1.086174,-0.014821,-0.928328,1,0,0,0,0,0,0,0,0,0,0
9,0.019538,0.049688,0.076801,0.139069,0.140801,0.145249,0.0096,0.027567,0.052008,0.072617,0.089102,0.118357,0.007795,0.011538,0.015354,0.018965,0.024147,0.024485,0.006723,0.00502,0.009351,0.00276,0.01898,0.024719,0.037314,0.083832,0.127693,0.147553,0.151252,0.169616,0.01145,0.023369,0.042643,0.044742,0.051186,0.062166,0.018921,0.037505,0.060419,0.068037,0.077593,0.075377,-0.011552,-0.014473,-0.015795,-0.023751,-0.025219,-0.027274,-0.018041,-0.018595,-0.022776,-0.023743,-0.04086,-0.048891,0.003014,-0.001277,-0.003969,-0.027344,-0.037215,-0.05407,-0.089863,-0.196703,-0.333517,-0.361796,-0.401207,-0.391868,-0.040158,-0.07843,-0.116071,-0.041594,-0.045689,-0.065732,0.013119,-1.089274,-0.025934,-0.917202,1,0,0,0,0,0,0,0,0,0,0
