,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.004132,0.03033,0.099172,-0.074627,-0.022892,0.126858,-0.175369,-0.216691,-0.151898,-0.142477,-0.164956,-0.115453,-0.086858,-0.122229,-0.042479,-0.074296,-0.072148,0.044379,0.003884,0.079503,0.049669,0.042065,0.061652,0.0619,-0.031735,0.034214,0.053305,-0.159419,-0.142064,0.135948,-0.167518,-0.141981,-0.094131,-0.089668,-0.096858,-0.097436,-0.15851,-0.159419,-0.077189,-0.171981,-0.16884,-0.158262,-0.016281,0.012396,0.032727,-0.141237,-0.158758,-0.138014,0.022435,0.066806,0.016589,0.187511,0.22423,0.22514,0.022771,-0.047492,0.004148,0.040981,0.066117,-0.018706,-0.914737,-0.211108,-0.194297,-1.853565,-1.408205,-11.644745,-0.090128,-0.162266,-0.180286,-0.230387,-0.390821,0.021972,0.262415,0.47612,-0.004759,0.28119,1,0,0,0,0,0,0,0,0,0,0
1,0.027762,0.100712,-0.08346,-0.028637,0.13005,0.286636,-0.043788,0.024872,0.034855,0.011035,0.063493,-0.084774,-0.037483,0.047028,0.013312,0.015589,0.139071,0.214211,0.080132,0.048517,0.04046,0.061216,0.061478,-0.08311,0.069886,0.090116,-0.135305,-0.116914,0.177692,0.495768,0.027061,0.077767,0.082497,0.074877,0.074264,0.062179,-0.000963,0.086175,-0.014275,-0.010947,0.000263,0.113849,0.030389,0.051933,-0.132415,-0.150981,-0.128999,-0.119016,0.047019,-0.006195,0.174928,0.213839,0.214803,0.05568,-0.074457,-0.019734,0.019297,0.045933,-0.043952,-0.255186,1.055805,1.081031,-1.408724,-0.740454,-16.100516,-16.620979,-0.108244,-0.135283,-0.21046,-0.451193,0.168208,0.16909,0.226606,0.340995,-0.277938,0.141227,1,0,0,0,0,0,0,0,0,0,0
2,0.072833,-0.111042,-0.056308,0.102124,0.258456,-0.032176,0.068549,0.078516,0.054734,0.107107,-0.040919,0.044154,0.084374,0.050712,0.052985,0.176268,0.251287,0.118124,-0.031564,-0.039608,-0.018886,-0.018624,-0.162978,-0.107282,0.020197,-0.204859,-0.186498,0.107632,0.425194,-0.109381,0.050625,0.055346,0.047739,0.047127,0.035061,0.059718,0.086997,-0.01329,-0.009968,0.001224,0.114627,0.093992,0.021509,-0.162541,-0.181077,-0.159131,-0.149163,-0.241057,-0.053128,0.127703,0.16655,0.167514,0.008647,0.134777,0.054635,0.093603,0.120196,0.030455,-0.180437,0.06262,0.024942,-2.436801,-1.77605,-16.963302,-17.47791,-8.846381,-0.026735,-0.101066,-0.339091,0.273342,0.274213,0.235309,0.123335,0.35355,0.129818,0.063413,1,0,0,0,0,0,0,0,0,0,0
3,-0.180785,-0.126971,0.028798,0.182504,-0.103244,-0.103244,0.0098,-0.013582,0.037911,-0.107628,-0.023984,-0.018998,-0.033097,-0.030861,0.090349,0.164108,0.033183,-0.029486,-0.007909,0.012465,0.012723,-0.129206,-0.074446,-0.050204,-0.221274,-0.203222,0.085965,0.398191,-0.1274,-0.074532,0.004642,-0.002837,-0.003439,-0.015302,0.00894,-0.004212,-0.098602,-0.095335,-0.084332,0.027165,0.006877,-0.059832,-0.180957,-0.199181,-0.177604,-0.167804,-0.258153,-0.118632,0.177792,0.215987,0.216934,0.060738,0.184748,0.070062,0.038313,0.064459,-0.023773,-0.231121,0.007851,-0.032286,-2.186349,-1.599516,-15.08778,-15.544819,-7.878894,-8.6132,-0.066015,-0.277412,0.266507,0.267282,0.23273,0.347339,0.170385,0.229507,0.072394,0.105144,1,0,0,0,0,0,0,0,0,0,0
4,0.054216,0.211148,0.366002,0.07812,0.07812,0.077946,-0.023557,0.028321,-0.118305,-0.034037,-0.029013,-0.02936,0.002252,0.124368,0.198677,0.066774,0.003638,-0.003031,0.020526,0.020786,-0.122203,-0.067034,-0.042611,-0.050925,0.018188,0.309534,0.624092,0.094575,0.147839,0.174514,-0.007535,-0.008141,-0.020093,0.00433,-0.008921,-0.004157,0.003291,0.014377,0.126706,0.106267,0.03906,0.045122,-0.018361,0.003378,0.013251,-0.077773,0.06279,-0.006929,0.03848,0.039434,-0.117929,0.007007,-0.108535,-0.048138,0.026341,-0.06255,-0.271447,-0.03069,-0.071127,-0.096994,0.618209,-13.591231,-14.072706,-5.996908,-6.770475,-5.948021,-0.2227,0.350302,0.351118,0.314718,0.435455,0.45126,0.20141,0.343654,0.10053,0.17235,1,0,0,0,0,0,0,0,0,0,0
5,0.157916,0.313741,0.024054,0.024054,0.023879,-0.085669,0.052203,-0.095343,-0.010545,-0.00549,-0.005839,0.081137,0.122882,0.197657,0.064927,0.001394,-0.005316,0.077477,0.000261,-0.143624,-0.088109,-0.063533,-0.071899,-0.099613,0.293174,0.609704,0.076867,0.130464,0.157306,-0.057432,-0.00061,-0.012637,0.01194,-0.001394,0.003399,-0.02876,0.011155,0.124189,0.103622,0.035993,0.042094,0.077041,0.021875,0.03181,-0.059785,0.08166,0.011504,-0.087238,0.00096,-0.15739,-0.03167,-0.147937,-0.087161,-0.012239,-0.089449,-0.299656,-0.057388,-0.098079,-0.124109,0.029799,-14.845106,-15.34812,-6.911047,-7.71922,-6.859973,-10.559617,0.598635,0.599487,0.56146,0.687598,0.70411,0.907057,0.158653,0.35298,0.206433,0.188074,1,0,0,0,0,0,0,0,0,0,0
6,0.154698,-0.132895,-0.132895,-0.133068,-0.241824,0.101315,-0.146478,-0.062294,-0.057276,-0.057622,0.028725,-0.134885,0.074234,-0.057536,-0.120609,-0.127271,-0.045077,-0.065236,-0.142845,-0.087731,-0.063333,-0.071639,-0.099152,-0.075619,0.314241,-0.214743,-0.161533,-0.134885,-0.34807,0.094826,-0.01194,0.012459,-0.000779,0.00398,-0.027946,-0.027946,0.112217,0.091798,0.024658,0.030715,0.065409,0.065409,0.009863,-0.081069,0.059353,-0.010296,-0.108323,-0.060391,-0.157205,-0.032394,-0.14782,-0.087484,-0.013103,-0.039493,-0.208687,0.031828,-0.008568,-0.03441,0.118385,-0.050087,-0.478093,7.540984,6.77285,7.589527,4.073173,5.869053,0.00081,-0.035333,0.084556,0.100249,0.293142,-0.110781,0.192623,0.291636,-0.087042,-0.020784,1,0,0,0,0,0,0,0,0,0,0
7,-0.288708,-0.288708,-0.288882,-0.398059,-0.05359,-0.303213,0.084511,0.089548,0.089201,0.175883,0.011639,0.13784,-0.132281,-0.195599,-0.202287,-0.119774,-0.140011,-0.1381,0.055327,0.07982,0.071482,0.043862,0.067487,0.067053,-0.531035,-0.477619,-0.450868,-0.66488,-0.220266,-0.545019,0.024493,0.011204,0.015981,-0.016068,-0.016068,0.021714,-0.020498,-0.087898,-0.081818,-0.046989,-0.046989,0.016242,-0.091285,0.049681,-0.020237,-0.118645,-0.070527,-0.023885,0.125295,0.009421,0.069991,0.14466,0.118168,0.068367,0.241448,0.200895,0.174953,0.32834,0.159215,0.265523,8.239338,7.450106,8.289215,4.676277,6.521484,11.135332,-0.037136,0.086046,0.102171,0.300361,-0.114656,0.01396,0.119016,0.321609,0.151964,0.225496,1,0,0,0,0,0,0,0,0,0,0
8,0.0,-0.000166,-0.104636,0.224979,-0.013879,-0.049949,0.00482,0.004488,0.087432,-0.069729,0.05103,0.107129,-0.060587,-0.066987,0.011968,-0.007397,-0.005568,0.005402,0.023437,0.015458,-0.010971,0.011635,0.01122,-0.047705,0.051113,0.076711,-0.128073,0.297368,-0.013381,-0.022024,-0.012716,-0.008145,-0.038812,-0.038812,-0.00266,0.067485,-0.064493,-0.058676,-0.025349,-0.025349,0.035156,-0.038979,0.134888,0.067984,-0.02618,0.019863,0.064493,0.064493,-0.110877,-0.052918,0.018531,-0.006819,-0.054473,-0.106662,-0.038804,-0.063627,0.083145,-0.078687,0.023036,-0.007736,-0.579689,0.036634,-2.617057,-1.261758,2.127099,-1.320305,0.090477,0.10232,0.247891,-0.056938,0.03753,0.043333,0.188795,0.317674,0.158191,0.154476,1,0,0,0,0,0,0,0,0,0,0
9,-0.000172,-0.108505,0.233299,-0.014393,-0.051796,0.029475,-0.000345,0.085666,-0.077307,0.047918,0.106092,0.103334,-0.006636,0.075238,0.055157,0.057054,0.06843,0.110143,-0.008274,-0.03568,-0.012238,-0.012669,-0.073773,-0.08808,0.026545,-0.185812,0.255362,-0.066878,-0.075842,0.013876,0.00474,-0.027062,-0.027062,0.010428,0.083167,0.064982,0.006033,0.040592,0.040592,0.103334,0.026458,0.022322,-0.069378,-0.167024,-0.119278,-0.072998,-0.072998,-0.072998,0.060102,0.134193,0.107906,0.05849,0.004371,-0.000212,-0.025741,0.126459,-0.041358,0.064128,0.032217,0.033144,0.794704,-2.627038,-0.879479,3.490206,-0.954972,-2.703887,0.015272,0.202974,-0.190081,-0.068271,-0.060788,0.002676,0.19685,0.362152,0.088687,0.172062,1,0,0,0,0,0,0,0,0,0,0
