,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,3.488689,3.490418,3.456143,3.456083,2.190244,2.091294,1.190376,1.109249,1.093036,1.077537,1.525672,0.330408,3.383004,3.239825,3.175031,3.078287,1.931127,2.320964,1.3388,1.401985,1.409376,1.535746,1.006365,0.99796,3.653208,3.621198,3.514559,3.507585,2.311666,2.309102,1.505405,1.440551,1.446512,1.364312,1.885229,0.891321,3.609336,3.427114,3.399992,3.276544,1.981853,2.523454,1.093512,1.189124,1.211775,1.316447,1.068417,1.066808,0.206363,0.16356,0.161524,0.172782,-0.071175,-0.038501,-0.343051,-0.354789,-0.34511,-0.284682,-0.379504,-0.47433,0.132752,0.081336,0.134216,0.088437,0.051541,0.051888,0.430412,0.424894,0.413503,0.423787,0.432165,0.435674,-0.19532,-0.27256,-0.074657,-0.256283,1,0,0,0,0,0,0,0,0,0,0
1,0.002233,-0.042045,-0.042122,-1.677401,-1.805229,-1.856977,-0.104804,-0.125749,-0.145771,0.433153,-1.110952,-0.377325,-0.184966,-0.268671,-0.39365,-1.875612,-1.371999,-1.585534,0.081625,0.091174,0.254425,-0.429457,-0.440315,-0.075696,-0.041352,-0.179114,-0.188123,-1.733076,-1.736387,-1.887394,-0.083781,-0.076081,-0.182271,0.490676,-0.793306,-0.340439,-0.235404,-0.270442,-0.429919,-2.102469,-1.402801,-1.713824,0.123516,0.152778,0.287999,-0.032419,-0.034498,0.499686,-0.055295,-0.057926,-0.043382,-0.358538,-0.316329,-0.268326,-0.015164,-0.002659,0.075405,-0.047091,-0.169593,-0.03337,-0.308737,0.008789,-0.266099,-0.487648,-0.485565,-0.475644,-0.033132,-0.101531,-0.039779,0.010524,0.031599,0.005302,-0.01194,-0.71526,0.047889,-0.380547,1,0,0,0,0,0,0,0,0,0,0
2,-0.046186,-0.046266,-1.752007,-1.885344,-1.939321,-2.173222,-0.021848,-0.042732,0.561137,-1.049502,-0.284263,-0.760178,-0.087311,-0.217676,-1.763494,-1.238181,-1.460917,-1.346295,0.00996,0.180245,-0.533104,-0.54443,-0.1641,0.019438,-0.143698,-0.153096,-1.764618,-1.768072,-1.925586,-2.112417,0.008032,-0.102733,0.59921,-0.740097,-0.267717,-0.111649,-0.036547,-0.202896,-1.947514,-1.217698,-1.542123,-1.439069,0.030523,0.17157,-0.162654,-0.164823,0.392378,0.569892,-0.002744,0.012427,-0.316309,-0.272281,-0.22221,-0.229366,0.013044,0.094471,-0.033303,-0.161083,-0.018991,0.153717,0.426608,0.057285,-0.240372,-0.237574,-0.224245,-0.222954,-0.091897,-0.008931,0.058654,0.086968,0.051637,-2.413098,0.002855,-0.782786,0.104756,-0.736446,1,0,0,0,0,0,0,0,0,0,0
3,-8.4e-05,-1.789391,-1.929259,-1.985881,-2.23124,-2.214894,-0.021907,0.611546,-1.077999,-0.275271,-0.774501,-0.38961,-0.136751,-1.758299,-1.207251,-1.440899,-1.320662,-1.405089,0.178627,-0.569669,-0.58155,-0.182587,0.009942,-0.139869,-0.009858,-1.70033,-1.703953,-1.869183,-2.065168,-1.786779,-0.116192,0.62014,-0.784781,-0.289258,-0.125545,-0.114086,-0.174499,-2.004586,-1.239016,-1.579335,-1.471232,-1.498868,0.147957,-0.202641,-0.204916,0.379583,0.565794,0.392306,0.015914,-0.328927,-0.282742,-0.230217,-0.237725,-0.246938,0.085416,-0.048618,-0.182658,-0.033604,0.147565,-0.004598,-0.516186,-0.93221,-0.928299,-0.90967,-0.907865,-0.915472,0.115958,0.210418,0.249992,0.200612,-3.244244,-5.297284,-0.129023,-0.832903,-0.02741,-0.639369,1,0,0,0,0,0,0,0,0,0,0
4,-1.672114,-1.802822,-1.855735,-2.085025,-2.069749,-2.026285,0.591964,-0.986922,-0.23677,-0.703302,-0.34362,-0.256219,-1.515344,-1.000387,-1.218732,-1.10637,-1.185267,-1.451013,-0.699286,-0.710389,-0.337557,-0.157637,-0.297636,-0.357793,-1.579753,-1.583138,-1.737547,-1.920695,-1.66054,-1.660697,0.688105,-0.624799,-0.161731,-0.00874,0.001968,0.508185,-1.710224,-0.994796,-1.312825,-1.211803,-1.237629,-1.472982,-0.327635,-0.329761,0.216455,0.39047,0.228345,0.353935,-0.322255,-0.279095,-0.230011,-0.237026,-0.245636,-0.060373,-0.125255,-0.250516,-0.111225,0.058078,-0.084119,0.171406,-0.258933,-0.256498,-0.244904,-0.24378,-0.248515,-0.221823,0.058792,0.083422,0.052688,-2.091385,-3.369195,-1.006708,0.006596,-0.91398,-0.016733,-0.976675,1,0,0,0,0,0,0,0,0,0,0
5,-0.122742,-0.172431,-0.387748,-0.373403,-0.332588,0.340499,-1.48267,-0.778232,-1.216334,-0.87857,-0.796495,-2.453888,0.483576,0.278537,0.384051,0.309962,0.06041,0.647356,-0.010426,0.339686,0.508642,0.377174,0.320683,-1.628926,-0.003179,-0.148178,-0.320166,-0.075864,-0.076012,0.32963,-1.232896,-0.798048,-0.65438,-0.644324,-0.168956,-2.791208,0.67183,0.373182,0.468048,0.443795,0.222785,0.637152,-0.001996,0.510934,0.674344,0.522099,0.640035,-2.025103,0.04053,0.086623,0.080035,0.07195,0.245923,0.341998,-0.117628,0.013175,0.172162,0.03863,0.278583,0.332276,0.001567,0.009034,0.009757,0.006709,0.023897,-5.628225,0.015861,-0.00393,-1.384616,-2.207467,-0.686133,-36.004058,0.498838,0.959427,0.518019,1.347884,1,0,0,0,0,0,0,0,0,0,0
6,-0.040361,-0.215261,-0.203609,-0.170455,0.376286,0.431002,0.572207,0.216342,0.490703,0.557372,-0.788909,-0.880323,-0.166551,-0.080843,-0.141025,-0.343732,0.133036,0.26319,0.284392,0.421632,0.314843,0.268956,-1.314688,-1.490128,-0.117781,-0.257484,-0.059041,-0.059161,0.270337,0.348357,0.353222,0.469922,0.47809,0.864226,-1.265798,-1.31613,-0.242589,-0.16553,-0.18523,-0.364754,-0.028169,0.167692,0.416647,0.549383,0.425717,0.521515,-1.643345,-1.812058,0.037441,0.03209,0.025522,0.166838,0.244879,0.231267,0.10625,0.235392,0.126926,0.321837,0.365451,0.321918,0.001742,0.001911,0.0012,0.00521,-1.313598,-1.158178,-0.004618,-0.326773,-0.518769,-0.163796,-8.40452,-8.275889,0.315889,0.802133,0.460501,0.904694,1,0,0,0,0,0,0,0,0,0,0
7,-0.186936,-0.174482,-0.139046,0.44532,0.503802,-0.149703,-0.380355,-0.087112,-0.015856,-1.454785,-1.552489,-0.525307,0.091606,0.027283,-0.189375,0.320204,0.459314,-1.016462,0.146685,0.032547,-0.016498,-1.709125,-1.896638,-0.523188,-0.149317,0.062783,0.062654,0.414827,0.498217,0.189568,0.124731,0.133461,0.54617,-1.730438,-1.784233,-0.836716,0.082362,0.061306,-0.130572,0.229176,0.438515,-1.113011,0.141871,0.009693,0.112084,-2.201757,-2.38208,-0.684895,-0.00572,-0.012739,0.138302,0.221713,0.207165,-0.058262,0.13803,0.022099,0.230424,0.277039,0.23051,0.395273,0.000269,-0.000865,0.005526,-2.095868,-1.848221,-1.92732,-0.513323,-0.819249,-0.253635,-13.384433,-13.179473,-6.82439,0.371579,0.16234,-0.771187,0.916669,1,0,0,0,0,0,0,0,0,0,0
8,0.01154,0.044377,0.585885,0.640078,0.034502,-0.377384,0.271736,0.337766,-0.99563,-1.086169,-0.134321,-0.232593,-0.059606,-0.260374,0.211832,0.34074,-1.026801,-0.579877,-0.105767,-0.151215,-1.719703,-1.893464,-0.620744,-0.935846,0.196544,0.196425,0.52277,0.600043,0.314031,-0.20749,0.00809,0.390531,-1.719108,-1.768958,-0.890933,-0.882903,-0.019512,-0.197318,0.136046,0.330033,-1.107703,-0.369056,-0.122483,-0.027602,-2.171743,-2.338841,-0.76613,-1.364329,-0.006505,0.133459,0.210753,0.197271,-0.048689,0.251122,-0.107428,0.085618,0.128814,0.085698,0.238376,0.092052,-0.000665,0.003084,-1.229868,-1.084566,-1.130976,-0.982174,-0.179497,0.152367,-7.551878,-7.431622,-3.702898,-4.273084,-0.40119,0.832492,-0.218971,0.856167,1,0,0,0,0,0,0,0,0,0,0
9,0.038208,0.668302,0.73136,0.026718,-0.452549,-0.569182,0.076832,-1.474695,-1.580045,-0.472484,-0.586832,-0.574511,-0.233612,0.315843,0.465839,-1.125419,-0.605383,-0.656258,-0.052883,-1.87796,-2.080147,-0.599222,-0.965871,-0.981238,-0.000138,0.379593,0.469507,0.136706,-0.47013,-0.628432,0.445004,-2.009752,-2.067757,-1.046095,-1.036751,-0.910912,-0.206893,0.181006,0.406726,-1.266209,-0.406726,-0.52066,0.110403,-2.384499,-2.578933,-0.748941,-1.445,-1.446938,0.16286,0.252799,0.237112,-0.049086,0.299772,0.254432,0.224626,0.274889,0.22472,0.402375,0.232114,0.112137,0.010829,-3.549974,-3.130338,-3.264371,-2.834625,-3.221507,0.958431,-21.291652,-20.944347,-10.175686,-11.822399,-11.719971,-0.284581,0.827391,-0.097565,0.664514,1,0,0,0,0,0,0,0,0,0,0
