,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.016662,-0.130774,-0.181751,-0.024957,-0.071546,-0.066867,0.150862,0.214696,0.120905,0.067391,-0.029505,-0.054767,-0.041342,-0.043441,-0.067231,-0.037216,0.02586,0.021575,-0.014869,-0.025715,-0.018499,-0.03726,-0.088018,-0.083368,-0.006356,-0.242801,-0.081211,0.002755,-0.020671,-0.024884,0.287102,0.613607,0.687733,0.357584,-0.011764,0.054724,-0.080934,-0.163573,-0.09452,-0.115103,0.026866,0.003659,-0.118339,-0.092435,-0.050977,-0.054447,-0.462294,-0.319624,-0.077785,0.002468,-0.021661,0.015359,-0.133473,-0.176871,-0.108594,0.039988,0.079226,-0.13644,-0.039074,-0.113794,0.007455,0.011071,-0.005259,0.001976,0.027035,0.026644,-0.005138,-0.031347,-0.175087,-0.151884,-0.144375,-0.146257,0.172119,-0.379523,-0.00585,-0.282664,1,0,0,0,0,0,0,0,0,0,0
1,-0.112787,-0.163173,-0.008198,-0.054247,-0.049622,-0.167927,0.063093,-0.029609,-0.082501,-0.178273,-0.203242,0.041179,-0.002075,-0.025589,0.004078,0.066422,0.062186,0.057085,-0.01072,-0.003588,-0.022131,-0.0723,-0.067704,0.103537,-0.233701,-0.073986,0.009005,-0.014149,-0.018313,-0.136316,0.322715,0.39598,0.069664,-0.295397,-0.229681,0.404712,-0.08168,-0.013428,-0.033773,0.106549,0.083611,0.057532,0.025603,0.06658,0.063151,-0.339961,-0.198948,0.228975,0.079322,0.055472,0.092062,-0.055041,-0.097936,0.111057,0.146857,0.18564,-0.027522,0.068713,-0.005139,0.137323,0.003332,-0.011716,-0.005049,0.018043,0.017683,0.010183,-0.024152,-0.15661,-0.135229,-0.128309,-0.130043,-0.164598,0.192577,-0.698161,0.087073,-0.748948,1,0,0,0,0,0,0,0,0,0,0
2,-0.048871,0.101446,0.056781,0.061267,-0.053483,-0.019803,-0.089916,-0.141219,-0.234112,-0.258331,-0.021256,-0.057005,-0.022807,0.005967,0.066438,0.062329,0.057382,0.054098,0.006918,-0.011068,-0.05973,-0.055272,0.110823,0.101376,0.154914,0.235411,0.212953,0.208914,0.094458,0.130807,0.071064,-0.245445,-0.599534,-0.535793,0.079533,-0.079994,0.0662,0.046467,0.182571,0.160323,0.135028,0.12846,0.039745,0.036419,-0.354577,-0.217803,0.197259,0.197734,-0.023133,0.012358,-0.130325,-0.17193,0.030781,0.04122,0.037617,-0.169138,-0.075796,-0.147428,-0.009247,-0.122944,-0.012154,-0.00677,0.011881,0.01159,0.005533,0.005366,-0.106981,-0.089712,-0.084123,-0.085524,-0.113433,-0.109293,0.179597,-0.684461,0.050647,-0.611445,1,0,0,0,0,0,0,0,0,0,0
3,0.160519,0.112823,0.117614,-0.004925,0.031041,0.054054,-0.054785,-0.153983,-0.179845,0.07332,0.035145,0.060157,0.030728,0.095303,0.090915,0.085632,0.082125,0.077454,-0.019207,-0.071171,-0.06641,0.110958,0.100869,0.130478,0.08596,0.061978,0.057665,-0.06456,-0.025743,-0.027728,-0.337992,-0.716113,-0.648046,0.009044,-0.16131,-0.134462,-0.021072,0.12427,0.100511,0.073499,0.066485,0.058859,-0.003552,-0.421087,-0.275029,0.168205,0.168712,0.227333,0.037899,-0.114468,-0.158897,0.057573,0.06872,0.096928,-0.220789,-0.12111,-0.197605,-0.050045,-0.171459,-0.155668,0.008526,0.038061,0.037601,0.028008,0.027745,0.023058,0.027347,0.036198,0.033979,-0.010216,-0.003661,-0.002978,0.186382,-0.715616,0.056455,-0.63663,1,0,0,0,0,0,0,0,0,0,0
4,-0.037037,-0.033318,-0.128472,-0.100544,-0.082674,-0.082384,-0.07703,-0.097113,0.099477,0.069833,0.089256,-0.005447,0.050144,0.046737,0.042635,0.039911,0.036284,0.056518,-0.040352,-0.036655,0.101077,0.093243,0.116235,0.074666,-0.018623,-0.021972,-0.116884,-0.086741,-0.088283,-0.080356,-0.293623,-0.240767,0.269484,0.137199,0.158047,-0.219536,0.112862,0.094413,0.073438,0.067991,0.062069,0.117567,-0.324229,-0.21081,0.133374,0.133768,0.179289,-0.131022,-0.118318,-0.152818,0.015277,0.023933,0.045837,-0.166849,0.077403,0.018003,0.132588,0.038306,0.050569,0.08213,0.005029,0.00495,0.003317,0.003272,0.002474,0.005883,0.001507,0.001129,-0.006396,-0.005279,-0.005163,3.1e-05,0.157259,-0.41049,0.04696,-0.268773,1,0,0,0,0,0,0,0,0,0,0
5,0.003679,-0.090438,-0.062814,-0.045139,-0.044852,-0.064338,-0.019864,0.174583,0.145262,0.164473,0.070803,0.196499,-0.00337,-0.007428,-0.010121,-0.013709,0.006304,0.005353,0.003656,0.139887,0.132138,0.154879,0.113764,0.168244,-0.003313,-0.097189,-0.067376,-0.0689,-0.06106,-0.094828,0.05228,0.556967,0.426125,0.446745,0.073279,0.540783,-0.018248,-0.038995,-0.044382,-0.05024,0.004654,-0.006751,0.112182,0.452614,0.453004,0.498028,0.1911,0.542731,-0.034124,0.132139,0.1407,0.162365,-0.048002,0.185468,-0.058753,0.054583,-0.038671,-0.026542,0.004675,0.029204,-7.3e-05,-0.001585,-0.001627,-0.002366,0.000791,-0.004345,-0.00035,-0.007319,-0.006285,-0.006177,-0.001366,-0.01454,0.1696,-0.766934,0.141878,-0.718479,1,0,0,0,0,0,0,0,0,0,0
6,-0.094187,-0.066542,-0.048854,-0.048567,-0.068068,-0.186951,0.194591,0.165248,0.184474,0.090734,0.216523,0.194189,-0.004061,-0.006756,-0.010347,0.009681,0.008729,-0.037418,0.136331,0.128576,0.151334,0.110189,0.164709,0.116016,-0.093946,-0.06411,-0.065636,-0.05779,-0.091583,-0.335728,0.50506,0.37412,0.394756,0.021015,0.488863,0.439756,-0.020762,-0.026153,-0.032015,0.022919,0.011505,-0.150703,0.340683,0.341073,0.38613,0.078977,0.430867,0.262475,0.166386,0.174953,0.196634,-0.013888,0.219754,0.173939,0.113419,0.020096,0.032234,0.063475,0.088022,0.153839,-0.00152,-0.001562,-0.002305,0.000869,-0.004294,0.02201,-0.007005,-0.005966,-0.005858,-0.001022,-0.014263,-0.004185,0.364291,-0.64541,0.416567,-0.72741,1,0,0,0,0,0,0,0,0,0,0
7,0.027692,0.04541,0.045697,0.026163,-0.092922,-0.040745,-0.029392,-0.010134,-0.104033,0.021969,-0.000402,0.041135,-0.0027,-0.006297,0.013765,0.012812,-0.033414,-0.042859,-0.007767,0.015029,-0.026186,0.028427,-0.020349,-0.008273,0.029886,0.028358,0.036217,0.002367,-0.242192,-0.111272,-0.131162,-0.110491,-0.484867,-0.016224,-0.065414,0.014053,-0.0054,-0.011272,0.043755,0.032322,-0.130162,-0.099598,0.000391,0.045524,-0.262151,0.090337,-0.078341,0.005331,0.008582,0.0303,-0.180579,0.053459,0.007566,0.037447,-0.093481,-0.081322,-0.050029,-0.02544,0.040488,0.009366,-4.2e-05,-0.000794,0.002417,-0.002807,0.023812,0.013074,0.001051,0.001161,0.006054,-0.007345,0.002854,-0.007755,0.315179,-0.743991,0.31215,-0.785962,1,0,0,0,0,0,0,0,0,0,0
8,0.017456,0.017739,-0.001506,-0.11883,-0.067424,-0.054575,0.018973,-0.073537,0.050602,0.028561,0.069484,0.0607,-0.003543,0.016222,0.015282,-0.030259,-0.039565,-0.057937,0.02246,-0.018146,0.035659,-0.012396,-0.000498,-0.003317,-0.001506,0.006238,-0.027112,-0.268054,-0.13907,-0.112003,0.020365,-0.348474,0.113237,0.064775,0.143066,0.107113,-0.005785,0.048428,0.037165,-0.122916,-0.092804,-0.138368,0.044466,-0.258658,0.088616,-0.077567,0.004868,-0.033927,0.021397,-0.186364,0.044213,-0.001001,0.028438,0.015209,0.011979,0.04281,0.067035,0.131988,0.101326,0.071146,-0.000677,0.002216,-0.002491,0.021491,0.011817,0.018264,9.9e-05,0.004508,-0.007565,0.001624,-0.007934,-0.007595,0.383078,-0.684894,0.311308,-0.771199,1,0,0,0,0,0,0,0,0,0,0
9,0.000285,-0.01908,-0.137138,-0.085411,-0.072482,-0.050133,-0.093089,0.031827,0.009648,0.050827,0.041988,0.042056,0.019889,0.018944,-0.026883,-0.036247,-0.054735,-0.017315,-0.04086,0.013282,-0.035073,-0.023101,-0.025938,-0.000877,0.007792,-0.025767,-0.268217,-0.138426,-0.111189,-0.046362,-0.371147,0.093453,0.044688,0.123469,0.087291,0.067846,0.054552,0.043218,-0.117864,-0.087564,-0.133413,-0.013032,-0.305021,0.044426,-0.122797,-0.039846,-0.078884,0.017804,-0.209061,0.022959,-0.022538,0.007085,-0.006226,0.0163,0.031024,0.0554,0.12076,0.089907,0.059538,0.019128,0.003023,-0.001895,0.023158,0.013052,0.019787,0.001538,0.004606,-0.008006,0.001593,-0.008391,-0.008038,-0.008685,0.232633,-0.749611,0.229753,-0.699562,1,0,0,0,0,0,0,0,0,0,0
