,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_x_cumsum_7,left_elbow_x_cumsum_8,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,left_elbow_y_cumsum_7,left_elbow_y_cumsum_8,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_x_cumsum_7,right_elbow_x_cumsum_8,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,right_elbow_y_cumsum_7,right_elbow_y_cumsum_8,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_x_cumsum_7,left_wrist_x_cumsum_8,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,left_wrist_y_cumsum_7,left_wrist_y_cumsum_8,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_x_cumsum_7,right_wrist_x_cumsum_8,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_wrist_y_cumsum_7,right_wrist_y_cumsum_8,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,right_forearm_angle_cumsum_7,right_forearm_angle_cumsum_8,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,left_forearm_angle_cumsum_7,left_forearm_angle_cumsum_8,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,right_forearm_r_cumsum_7,right_forearm_r_cumsum_8,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,left_forearm_r_cumsum_7,left_forearm_r_cumsum_8,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.007101,0.006892,0.012777,0.012379,0.033624,0.031251,0.038579,0.055002,0.077709,0.057451,0.224887,0.278256,0.396765,0.39855,0.416511,0.38695,0.357047,0.34482,-0.000285,0.008961,0.014049,0.024226,0.032485,0.033985,0.049097,0.065615,0.081297,0.061894,0.241386,0.280306,0.38807,0.403486,0.419169,0.390139,0.366597,0.360711,0.003095,0.002981,0.014012,0.015227,0.032845,0.039965,0.074424,0.109035,0.141444,0.02284,0.264548,0.310589,0.497675,0.505763,0.545443,0.525584,0.492112,0.485163,-0.002563,-0.005715,-0.01198,-0.011866,-0.002677,0.00767,0.035409,0.071804,0.107441,0.042832,0.289837,0.336827,0.568492,0.597901,0.636195,0.587155,0.52847,0.51256,-0.018972,0.049033,0.057784,0.182087,0.195979,0.217992,0.197388,0.16168,0.151593,-0.034038,0.039853,0.032106,0.100372,0.106916,0.127987,0.136898,0.133548,0.139182,0.005236,0.025826,0.058454,0.064731,0.049516,-0.041922,-0.146186,-0.286994,-0.414688,0.002382,-0.000688,-0.003348,-0.008846,-0.005102,-0.019706,-0.061977,-0.090812,-0.105992,1.125167,0.948671,1,0,0,0,0,0,0,0,0,0,0
1,-0.00019,0.005165,0.004803,0.024134,0.021975,0.028643,0.043587,0.064248,0.087242,0.152354,0.200916,0.308751,0.310375,0.326718,0.29982,0.27261,0.261485,0.272783,0.008413,0.013043,0.022303,0.029818,0.031183,0.044934,0.059964,0.074234,0.083407,0.163324,0.19874,0.296796,0.310824,0.325094,0.298679,0.277258,0.271902,0.279814,-0.000104,0.009934,0.011039,0.027071,0.033549,0.064905,0.096398,0.125888,0.169803,0.219937,0.26183,0.432065,0.439424,0.475531,0.45746,0.427003,0.42068,0.434155,-0.002868,-0.008569,-0.008465,-0.000104,0.009312,0.034551,0.067669,0.100095,0.122364,0.224757,0.267514,0.478312,0.505072,0.539917,0.495294,0.441895,0.427418,0.413822,0.061879,0.069842,0.182948,0.195589,0.21562,0.196871,0.16438,0.155201,0.133968,0.067236,0.060187,0.122303,0.128259,0.147431,0.15554,0.152492,0.157617,0.161165,0.010634,0.027486,0.030727,0.022869,-0.024356,-0.078204,-0.150927,-0.216877,-0.260788,-0.001585,-0.002959,-0.005799,-0.003865,-0.011408,-0.033239,-0.048131,-0.055972,-0.075595,1.101119,0.948245,1,0,0,0,0,0,0,0,0,0,0
2,0.005165,0.004815,0.023459,0.021377,0.027808,0.04222,0.062147,0.084323,0.118546,0.046835,0.150836,0.152402,0.168164,0.142222,0.11598,0.10525,0.116147,0.13654,0.004465,0.013396,0.020643,0.02196,0.035222,0.049718,0.06348,0.072327,0.076576,0.034156,0.128726,0.142255,0.156017,0.130542,0.109882,0.104717,0.112348,0.110415,0.00968,0.010747,0.026208,0.032456,0.062697,0.093071,0.121512,0.163865,0.216665,0.040404,0.204585,0.211683,0.246506,0.229078,0.199704,0.193606,0.206602,0.220131,-0.005498,-0.005398,0.002666,0.011746,0.036089,0.068029,0.099302,0.120779,0.141872,0.041237,0.24454,0.270348,0.303954,0.260918,0.209417,0.195455,0.182343,0.179027,0.007679,0.116764,0.128956,0.148274,0.130192,0.098856,0.090003,0.069526,0.068898,-0.006798,0.05311,0.058853,0.077344,0.085165,0.082225,0.087168,0.090589,0.085718,0.013079,0.015595,0.009496,-0.027157,-0.06895,-0.125393,-0.176579,-0.21066,-0.251179,-0.001066,-0.00327,-0.001769,-0.007623,-0.024567,-0.036126,-0.042211,-0.057441,-0.071955,1.095882,0.952496,1,0,0,0,0,0,0,0,0,0,0
3,-0.000339,0.017748,0.015728,0.021967,0.035949,0.055282,0.076796,0.109997,0.139853,0.100897,0.102416,0.117708,0.09254,0.067081,0.056672,0.067243,0.087028,0.113941,0.008664,0.015695,0.016972,0.029839,0.043902,0.057254,0.065837,0.069959,0.074161,0.091748,0.104873,0.118225,0.09351,0.073466,0.068455,0.075859,0.073984,0.078752,0.001035,0.016035,0.022096,0.051434,0.080902,0.108494,0.149584,0.200808,0.249107,0.159282,0.166168,0.199951,0.183043,0.154546,0.14863,0.161238,0.174363,0.195587,9.7e-05,0.00792,0.01673,0.040346,0.071333,0.101673,0.122508,0.142972,0.168205,0.197236,0.222274,0.254877,0.213125,0.163161,0.149616,0.136895,0.133678,0.132223,0.105829,0.117657,0.136399,0.118857,0.088455,0.079867,0.060001,0.059391,0.054787,0.05812,0.063692,0.081631,0.089218,0.086366,0.091162,0.094481,0.089755,0.086791,0.002035,-0.002898,-0.032547,-0.066354,-0.112011,-0.153415,-0.180983,-0.213759,-0.255731,-0.001783,-0.000569,-0.005304,-0.01901,-0.02836,-0.033282,-0.045602,-0.057343,-0.06889,1.091446,0.955904,1,0,0,0,0,0,0,0,0,0,0
4,0.017478,0.015525,0.021554,0.035064,0.053745,0.074533,0.106614,0.135463,0.201718,0.001468,0.016244,-0.008075,-0.032675,-0.042733,-0.032519,-0.013401,0.012604,0.034533,0.006794,0.008028,0.020461,0.034049,0.04695,0.055244,0.059227,0.063288,0.06713,0.012683,0.025584,0.001702,-0.017665,-0.022507,-0.015353,-0.017165,-0.012558,-0.01957,0.014494,0.020351,0.0487,0.077173,0.103834,0.143537,0.193034,0.239703,0.260835,0.006654,0.039297,0.02296,-0.004576,-0.010293,0.00189,0.014572,0.03508,0.037314,0.00756,0.016072,0.038891,0.068832,0.098149,0.118282,0.138055,0.162436,0.170543,0.024194,0.055697,0.015353,-0.032925,-0.046013,-0.058305,-0.061413,-0.062819,-0.071285,0.011429,0.029538,0.012588,-0.016788,-0.025086,-0.044282,-0.044871,-0.049321,-0.05035,0.005384,0.022718,0.030049,0.027293,0.031927,0.035134,0.030568,0.027704,0.002833,-0.00388,-0.027197,-0.053784,-0.089691,-0.122253,-0.143934,-0.169711,-0.202719,-0.209542,0.000955,-0.002769,-0.013549,-0.020902,-0.024773,-0.034461,-0.043695,-0.052777,-0.034808,1.087082,0.928608,1,0,0,0,0,0,0,0,0,0,0
5,-0.001879,0.003923,0.016922,0.034897,0.0549,0.085769,0.113528,0.17728,0.179053,0.014217,-0.009183,-0.032853,-0.042532,-0.032703,-0.014307,0.010716,0.031816,0.048693,0.001187,0.01315,0.026225,0.038639,0.046619,0.050452,0.054359,0.058056,0.063361,0.012414,-0.010565,-0.029201,-0.03386,-0.026977,-0.02872,-0.024287,-0.031034,-0.014428,0.005636,0.032913,0.060311,0.085965,0.124168,0.171794,0.2167,0.237034,0.240821,0.03141,0.01569,-0.010806,-0.016306,-0.004584,0.00762,0.027352,0.029502,0.036099,0.008191,0.030148,0.058958,0.087167,0.106539,0.125566,0.149026,0.156826,0.166609,0.030313,-0.008506,-0.05496,-0.067554,-0.079382,-0.082373,-0.083725,-0.091871,-0.093374,0.017425,0.001115,-0.02715,-0.035135,-0.053606,-0.054173,-0.058454,-0.059444,-0.076969,0.016679,0.023733,0.021081,0.02554,0.028626,0.024233,0.021477,-0.002455,-0.012561,-0.017807,-0.038112,-0.065534,-0.090402,-0.106959,-0.126645,-0.151853,-0.157064,-0.164325,-0.002844,-0.011076,-0.016692,-0.019648,-0.027047,-0.034099,-0.041034,-0.027312,-0.028066,1.093111,0.929703,1,0,0,0,0,0,0,0,0,0,0
6,0.005531,0.017925,0.035063,0.054134,0.083566,0.110031,0.170814,0.172504,0.176846,-0.02231,-0.044878,-0.054106,-0.044734,-0.027196,-0.003339,0.016779,0.03287,0.061428,0.011406,0.023872,0.035707,0.043316,0.04697,0.050695,0.05422,0.059278,0.059608,-0.021909,-0.039676,-0.044118,-0.037556,-0.039218,-0.034991,-0.041425,-0.025591,-0.019989,0.026007,0.052128,0.076587,0.113011,0.158419,0.201234,0.22062,0.224231,0.242157,-0.014988,-0.04025,-0.045494,-0.034317,-0.022682,-0.003869,-0.00182,0.004471,0.015189,0.020934,0.048403,0.075298,0.093768,0.111908,0.134275,0.141712,0.15104,0.148876,-0.037011,-0.081302,-0.093309,-0.104586,-0.107437,-0.108727,-0.116493,-0.117926,-0.119932,-0.01555,-0.042499,-0.050112,-0.067723,-0.068263,-0.072345,-0.073289,-0.089997,-0.097837,0.006726,0.004197,0.008449,0.011391,0.007202,0.004574,-0.018243,-0.027878,-0.044331,-0.014541,-0.034179,-0.051988,-0.063845,-0.077943,-0.095995,-0.099727,-0.104927,-0.103695,-0.005895,-0.009917,-0.012034,-0.017333,-0.022383,-0.02735,-0.017522,-0.018063,-0.020707,1.097085,0.920214,1,0,0,0,0,0,0,0,0,0,0
7,0.012471,0.029715,0.048905,0.078519,0.105149,0.166309,0.168011,0.172379,0.186422,-0.022708,-0.031993,-0.022564,-0.004916,0.019089,0.039332,0.055523,0.084258,0.09546,0.012543,0.024453,0.032108,0.035785,0.039534,0.04308,0.04817,0.048502,0.053735,-0.017878,-0.022348,-0.015744,-0.017417,-0.013163,-0.019637,-0.003705,0.001932,0.020344,0.026284,0.050895,0.087545,0.133235,0.176315,0.195823,0.199456,0.217493,0.220391,-0.025419,-0.030696,-0.01945,-0.007742,0.011188,0.01325,0.019579,0.030364,0.03146,0.027639,0.054701,0.073286,0.091539,0.114045,0.121528,0.130914,0.128737,0.13162,-0.044565,-0.056648,-0.067994,-0.070864,-0.072161,-0.079976,-0.081417,-0.083436,-0.084128,-0.027117,-0.034777,-0.052497,-0.053041,-0.057148,-0.058097,-0.074909,-0.082797,-0.102044,-0.002544,0.001734,0.004694,0.000479,-0.002165,-0.025124,-0.034819,-0.051374,-0.062572,-0.020508,-0.039106,-0.051489,-0.066211,-0.085063,-0.08896,-0.094391,-0.093104,-0.09294,-0.0042,-0.006411,-0.011944,-0.017218,-0.022405,-0.012142,-0.012706,-0.015468,-0.013965,1.091206,0.909283,1,0,0,0,0,0,0,0,0,0,0
8,0.017447,0.036864,0.066827,0.093771,0.155653,0.157374,0.161794,0.176003,0.213596,-0.009395,0.000146,0.018001,0.04229,0.062772,0.079154,0.108228,0.119562,0.167031,0.01205,0.019796,0.023516,0.027309,0.030897,0.036047,0.036382,0.041678,0.049468,-0.004522,0.002159,0.000467,0.00477,-0.00178,0.01434,0.020044,0.038673,0.058964,0.024902,0.061984,0.108213,0.151802,0.171539,0.175215,0.193465,0.196397,0.215988,-0.005339,0.006039,0.017885,0.037039,0.039125,0.045529,0.056441,0.057549,0.071393,0.027381,0.046185,0.064654,0.087425,0.094996,0.104493,0.10229,0.105208,0.110562,-0.012225,-0.023705,-0.026608,-0.027921,-0.035828,-0.037287,-0.039329,-0.040029,-0.031072,-0.007751,-0.02568,-0.02623,-0.030385,-0.031346,-0.048357,-0.056338,-0.075811,-0.087343,0.004328,0.007324,0.003059,0.000384,-0.022846,-0.032655,-0.049406,-0.060736,-0.095492,-0.020189,-0.033631,-0.049613,-0.070079,-0.074309,-0.080204,-0.078807,-0.078629,-0.077877,-0.0024,-0.008407,-0.014132,-0.019763,-0.008622,-0.009235,-0.012233,-0.010601,-0.008768,1.104761,0.906464,1,0,0,0,0,0,0,0,0,0,0
9,0.019538,0.049688,0.076801,0.139069,0.140801,0.145249,0.159546,0.197374,0.202189,0.0096,0.027567,0.052008,0.072617,0.089102,0.118357,0.129762,0.177528,0.186423,0.007795,0.011538,0.015354,0.018965,0.024147,0.024485,0.029813,0.037652,0.039134,0.006723,0.00502,0.009351,0.00276,0.01898,0.024719,0.043465,0.063883,0.071061,0.037314,0.083832,0.127693,0.147553,0.151252,0.169616,0.172566,0.19228,0.199811,0.01145,0.023369,0.042643,0.044742,0.051186,0.062166,0.063281,0.077212,0.080294,0.018921,0.037505,0.060419,0.068037,0.077593,0.075377,0.078312,0.0837,0.082276,-0.011552,-0.014473,-0.015795,-0.023751,-0.025219,-0.027274,-0.027978,-0.018965,-0.019303,-0.018041,-0.018595,-0.022776,-0.023743,-0.04086,-0.048891,-0.068485,-0.080089,-0.087869,0.003014,-0.001277,-0.003969,-0.027344,-0.037215,-0.05407,-0.065471,-0.100444,-0.106118,-0.014041,-0.030735,-0.052112,-0.056531,-0.062689,-0.061229,-0.061043,-0.060258,-0.059014,-0.006275,-0.012255,-0.018136,-0.006499,-0.007139,-0.010271,-0.008566,-0.006652,-0.00692,1.11666,0.910377,1,0,0,0,0,0,0,0,0,0,0
