,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_x_cumsum_7,left_elbow_x_cumsum_8,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,left_elbow_y_cumsum_7,left_elbow_y_cumsum_8,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_x_cumsum_7,right_elbow_x_cumsum_8,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,right_elbow_y_cumsum_7,right_elbow_y_cumsum_8,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_x_cumsum_7,left_wrist_x_cumsum_8,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,left_wrist_y_cumsum_7,left_wrist_y_cumsum_8,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_x_cumsum_7,right_wrist_x_cumsum_8,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_wrist_y_cumsum_7,right_wrist_y_cumsum_8,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,right_forearm_angle_cumsum_7,right_forearm_angle_cumsum_8,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,left_forearm_angle_cumsum_7,left_forearm_angle_cumsum_8,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,right_forearm_r_cumsum_7,right_forearm_r_cumsum_8,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,left_forearm_r_cumsum_7,left_forearm_r_cumsum_8,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.060019,0.196724,1.146057,1.185432,1.219973,1.264132,1.307938,1.346306,1.377725,0.094762,-0.239322,2.759328,2.779116,2.821663,2.894119,2.957462,3.011943,3.071257,0.0429,-0.037059,-0.2934,-0.259211,-0.218325,-0.161126,-0.099294,0.005488,0.164096,0.915043,1.018415,2.075349,2.350522,2.587326,2.665371,2.686368,2.829417,2.772872,-0.055538,0.143452,0.922042,0.947671,0.974357,1.008093,1.047921,1.115544,1.164989,0.28061,-0.384738,4.429244,4.451601,4.501298,4.571941,4.638809,4.681708,4.725313,-0.134691,-0.173764,-0.319885,-0.304779,-0.265354,-0.219131,-0.111479,-0.01289,0.148437,1.557934,1.75204,3.339431,3.629759,3.943904,4.04068,3.923058,4.381007,4.136046,0.336104,0.400801,0.895256,0.912366,0.989386,1.00923,0.866645,1.181033,0.992967,0.018713,0.152085,1.445727,1.450356,1.45866,1.458578,1.462721,1.44659,1.428396,-0.403524,-0.74523,-8.575341,-6.378414,-7.499764,-5.809287,-10.445454,-14.516948,-11.279031,-0.000764,0.010327,-131.792214,-121.924561,-116.868564,-108.687185,-106.096265,-126.727033,-137.945002,0.923927,1.072075,1,0,0,0,0,0,0,0,0,0,0
1,0.136863,1.087295,1.126716,1.161297,1.205506,1.249363,1.287776,1.319232,1.36702,-0.334471,2.667651,2.687462,2.730058,2.802598,2.866014,2.920558,2.979941,3.074057,-0.080051,-0.336689,-0.30246,-0.261527,-0.204262,-0.142358,-0.037455,0.121337,0.052527,0.103492,1.16165,1.437141,1.674219,1.752355,1.773376,1.916591,1.85998,2.057991,0.199221,0.978712,1.00437,1.031088,1.064862,1.104737,1.172437,1.22194,1.27356,-0.666119,4.153437,4.175819,4.225574,4.296299,4.363244,4.406193,4.449848,4.530303,-0.039118,-0.185408,-0.170285,-0.130814,-0.084538,0.023239,0.121942,0.283456,0.255377,0.194331,1.783559,2.074223,2.388732,2.48562,2.367862,2.826342,2.581097,2.895655,0.064771,0.559799,0.576929,0.654038,0.673905,0.531155,0.845906,0.657623,0.771412,0.133526,1.428665,1.4333,1.441613,1.441532,1.44568,1.42953,1.411315,1.397249,-0.344486,-8.238275,-6.023482,-7.153951,-5.449726,-10.123597,-14.228203,-10.963953,-22.364296,0.011181,-132.863256,-122.915354,-117.818239,-109.570324,-106.958332,-127.756882,-139.066082,-140.348788,1.001835,1.06859,1,0,0,0,0,0,0,0,0,0,0
2,0.960103,0.999925,1.034858,1.079518,1.123821,1.162624,1.1944,1.242675,1.29752,3.032672,3.052685,3.095715,3.168993,3.233054,3.288153,3.34814,3.443214,3.48329,-0.259249,-0.224673,-0.183323,-0.125474,-0.062941,0.04303,0.203438,0.133928,0.199822,1.068926,1.34722,1.586712,1.665642,1.686877,1.83155,1.774363,1.974389,2.058412,0.787423,0.813343,0.840332,0.874451,0.914731,0.983121,1.033127,1.085272,1.144088,4.868601,4.891211,4.941472,5.012917,5.080543,5.123929,5.168029,5.249302,5.284846,-0.147779,-0.132502,-0.092629,-0.045882,0.062992,0.162699,0.325857,0.297493,0.378206,1.6054,1.899023,2.216732,2.314606,2.19565,2.658795,2.411054,2.728814,2.839572,0.500065,0.517369,0.595263,0.615333,0.47113,0.789084,0.598885,0.713831,0.739992,1.308319,1.313001,1.321398,1.321316,1.325506,1.309192,1.290792,1.276582,1.271538,-8.473556,-6.096095,-7.309594,-5.4802,-10.497348,-14.90342,-11.399425,-23.637076,-28.882021,-142.633526,-131.954991,-126.483513,-117.629823,-114.825991,-137.15211,-149.291925,-150.668841,-153.017074,1.007606,1.052951,1,0,0,0,0,0,0,0,0,0,0
3,0.015002,0.028163,0.044988,0.061679,0.076297,0.088268,0.106455,0.127117,0.139434,0.00754,0.023751,0.051357,0.075491,0.096249,0.118849,0.154666,0.169765,0.17011,0.013026,0.028604,0.050398,0.073957,0.11388,0.174311,0.148124,0.172949,0.215098,0.104844,0.195069,0.224805,0.232805,0.287309,0.265765,0.341122,0.372776,0.358637,0.009765,0.019933,0.032787,0.047962,0.073727,0.092566,0.112211,0.134369,0.159175,0.008518,0.027453,0.054369,0.079846,0.096192,0.112806,0.143424,0.156815,0.145937,0.005755,0.020777,0.038388,0.079405,0.116969,0.178436,0.16775,0.198158,0.250398,0.110619,0.230311,0.267184,0.222369,0.396853,0.30352,0.423232,0.464958,0.434608,0.006519,0.035865,0.043426,-0.010901,0.108884,0.037229,0.080534,0.090389,0.073961,0.001764,0.004928,0.004897,0.006475,0.000329,-0.006603,-0.011956,-0.013856,-0.026605,0.002561,0.001254,0.003224,-0.00218,-0.006926,-0.003152,-0.016333,-0.021983,-0.030918,0.011502,0.017396,0.026932,0.029953,0.005904,-0.007172,-0.008655,-0.011185,-0.032073,0.984142,1.058164,1,0,0,0,0,0,0,0,0,0,0
4,0.01188,0.027069,0.042135,0.055332,0.066139,0.082556,0.101208,0.112327,0.12864,0.014634,0.039555,0.061341,0.08008,0.100481,0.132814,0.146444,0.146755,0.152124,0.014062,0.033736,0.055003,0.091042,0.145595,0.121955,0.144365,0.182414,0.225034,0.081448,0.108291,0.115513,0.164714,0.145266,0.213292,0.241867,0.229104,0.221588,0.009179,0.020782,0.034481,0.057739,0.074746,0.09248,0.112482,0.134875,0.158462,0.017093,0.041391,0.064389,0.079145,0.094142,0.121782,0.13387,0.124051,0.130476,0.01356,0.029458,0.066485,0.100394,0.155882,0.146236,0.173685,0.220843,0.259809,0.108049,0.141335,0.100879,0.258389,0.174136,0.282202,0.319869,0.292472,0.273387,0.026491,0.033316,-0.015725,0.092407,0.027722,0.066814,0.075711,0.060881,0.049374,0.002856,0.002828,0.004253,-0.001295,-0.007553,-0.012385,-0.014101,-0.025609,-0.025382,-0.000639,0.000324,-0.002316,-0.004634,-0.002791,-0.00923,-0.01199,-0.016354,-0.014709,0.002879,0.007538,0.009013,-0.002735,-0.009122,-0.009847,-0.011082,-0.021287,-0.028482,0.96241,1.064149,1,0,0,0,0,0,0,0,0,0,0
5,0.014758,0.029398,0.042221,0.052722,0.068675,0.086799,0.097602,0.113454,0.128111,0.024215,0.045385,0.063593,0.083416,0.114834,0.128078,0.128381,0.133597,0.13183,0.019117,0.039781,0.0748,0.127808,0.104838,0.126614,0.163585,0.204998,0.232781,0.026083,0.033101,0.080909,0.062011,0.128111,0.155878,0.143475,0.136172,0.141826,0.011275,0.024586,0.047186,0.063711,0.080943,0.100379,0.122137,0.145057,0.169306,0.02361,0.045957,0.060295,0.074868,0.101725,0.113471,0.10393,0.110173,0.105192,0.015448,0.051426,0.084375,0.138292,0.128919,0.155591,0.201414,0.239277,0.262668,0.032343,-0.006967,0.146084,0.064216,0.169222,0.205823,0.179201,0.160657,0.159496,0.006632,-0.041021,0.06405,0.001197,0.039182,0.047827,0.033417,0.022235,0.015538,-2.7e-05,0.001357,-0.004034,-0.010114,-0.01481,-0.016477,-0.027659,-0.027439,-0.031567,0.000787,-0.001372,-0.003268,-0.00176,-0.007027,-0.009284,-0.012853,-0.011508,-0.010028,0.00381,0.005017,-0.004591,-0.009816,-0.010408,-0.011419,-0.019764,-0.02565,-0.033116,0.975301,1.075408,1,0,0,0,0,0,0,0,0,0,0
6,0.014494,0.027188,0.037583,0.053376,0.071319,0.082014,0.097707,0.112217,0.124562,0.020957,0.038983,0.058608,0.08971,0.102821,0.103121,0.108286,0.106536,0.100639,0.020458,0.055126,0.107603,0.084863,0.10642,0.14302,0.184019,0.211523,0.215022,0.006947,0.054276,0.035568,0.101005,0.128493,0.116215,0.108985,0.114583,0.126044,0.013178,0.035551,0.05191,0.06897,0.088211,0.109752,0.132442,0.156448,0.181337,0.022124,0.036317,0.050744,0.077333,0.088961,0.079515,0.085696,0.080764,0.059857,0.035618,0.068237,0.121613,0.112334,0.138739,0.184102,0.221586,0.244742,0.238528,-0.038916,0.1126,0.031553,0.135507,0.171741,0.145386,0.127027,0.125878,0.134141,-0.047176,0.056842,-0.005381,0.032223,0.040782,0.026516,0.015447,0.008817,0.006048,0.001371,-0.003966,-0.009986,-0.014634,-0.016285,-0.027355,-0.027137,-0.031224,-0.047144,-0.002012,-0.003779,-0.002374,-0.007282,-0.009385,-0.012712,-0.011458,-0.010079,-0.007245,0.001124,-0.007829,-0.012698,-0.01325,-0.014192,-0.02197,-0.027454,-0.034412,-0.042222,0.980501,1.06053,1,0,0,0,0,0,0,0,0,0,0
7,0.012453,0.022651,0.038144,0.055745,0.066237,0.081632,0.095866,0.107976,0.11788,0.017683,0.036935,0.067446,0.080308,0.080602,0.085669,0.083953,0.078167,0.071696,0.034009,0.085489,0.063181,0.084328,0.120233,0.160453,0.187435,0.190867,0.180015,0.04643,0.028077,0.092271,0.119236,0.107192,0.100099,0.10559,0.116834,0.103368,0.021948,0.037997,0.054732,0.073608,0.094739,0.116998,0.140547,0.164963,0.180048,0.013924,0.028077,0.05416,0.065567,0.056301,0.062364,0.057526,0.037016,0.015248,0.031999,0.084361,0.075258,0.101161,0.145663,0.182434,0.20515,0.199054,0.209121,0.148637,0.06913,0.171108,0.206654,0.180799,0.16279,0.161662,0.169768,0.155959,0.102041,0.041,0.07789,0.086286,0.072291,0.061432,0.054928,0.052212,0.051247,-0.005236,-0.011141,-0.015701,-0.01732,-0.02818,-0.027966,-0.031975,-0.047593,-0.063171,-0.001545,-0.000316,-0.004607,-0.006447,-0.009355,-0.008259,-0.007053,-0.004575,-0.009815,-0.007829,-0.012085,-0.012568,-0.013392,-0.020191,-0.024987,-0.03107,-0.037899,-0.040105,0.975943,1.039854,1,0,0,0,0,0,0,0,0,0,0
8,0.01017,0.02562,0.043173,0.053636,0.068989,0.083184,0.095261,0.105137,0.113384,0.019199,0.049627,0.062453,0.062747,0.067799,0.066088,0.060318,0.053864,0.052479,0.051338,0.029092,0.050181,0.085987,0.126096,0.153004,0.156426,0.145605,0.160582,-0.018302,0.045715,0.072607,0.060595,0.053522,0.058998,0.070211,0.056782,0.058167,0.016004,0.032693,0.051517,0.07259,0.094788,0.118273,0.142622,0.157665,0.169774,0.014114,0.040125,0.051501,0.04226,0.048307,0.043483,0.023029,0.00132,-0.008915,0.052218,0.04314,0.068972,0.113351,0.150021,0.172675,0.166596,0.176636,0.180873,-0.079289,0.022409,0.057857,0.032074,0.014114,0.012989,0.021073,0.007301,0.006747,-0.060873,-0.024085,-0.015712,-0.029668,-0.040497,-0.046983,-0.049692,-0.050655,-0.052411,-0.005889,-0.010437,-0.012051,-0.022881,-0.022668,-0.026666,-0.042241,-0.057776,-0.066812,0.001205,-0.003004,-0.004808,-0.007661,-0.006586,-0.005403,-0.002973,-0.008112,-0.005501,-0.004176,-0.004649,-0.005457,-0.012127,-0.016831,-0.022798,-0.029497,-0.031661,-0.033175,0.978942,1.033272,1,0,0,0,0,0,0,0,0,0,0
9,0.01569,0.033515,0.044141,0.059731,0.074147,0.086411,0.096441,0.104815,0.109532,0.0309,0.043925,0.044223,0.049354,0.047616,0.041757,0.035203,0.033796,0.031397,-0.022592,-0.001175,0.035187,0.075918,0.103243,0.106719,0.095729,0.110939,0.118139,0.065011,0.09232,0.080122,0.072939,0.0785,0.089887,0.076249,0.077656,0.084772,0.016948,0.036064,0.057464,0.080006,0.103855,0.128582,0.143858,0.156155,0.165209,0.026415,0.037967,0.028583,0.034723,0.029824,0.009053,-0.012992,-0.023386,-0.029758,-0.009219,0.017014,0.062082,0.09932,0.122326,0.116153,0.126348,0.130651,0.14793,0.103276,0.139274,0.113091,0.094852,0.09371,0.101919,0.087934,0.087371,0.086262,0.037359,0.045862,0.031689,0.020692,0.014105,0.011354,0.010377,0.008593,0.000185,-0.004618,-0.006258,-0.017256,-0.017039,-0.0211,-0.036916,-0.052693,-0.061868,-0.066022,-0.004688,-0.006697,-0.009875,-0.008677,-0.00736,-0.004653,-0.010377,-0.00747,-0.009945,-0.000527,-0.001427,-0.008856,-0.014095,-0.020742,-0.028202,-0.030613,-0.032299,-0.034184,0.978866,1.028715,1,0,0,0,0,0,0,0,0,0,0
