,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_x_cumsum_7,left_elbow_x_cumsum_8,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,left_elbow_y_cumsum_7,left_elbow_y_cumsum_8,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_x_cumsum_7,right_elbow_x_cumsum_8,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,right_elbow_y_cumsum_7,right_elbow_y_cumsum_8,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_x_cumsum_7,left_wrist_x_cumsum_8,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,left_wrist_y_cumsum_7,left_wrist_y_cumsum_8,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_x_cumsum_7,right_wrist_x_cumsum_8,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_wrist_y_cumsum_7,right_wrist_y_cumsum_8,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,right_forearm_angle_cumsum_7,right_forearm_angle_cumsum_8,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,left_forearm_angle_cumsum_7,left_forearm_angle_cumsum_8,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,right_forearm_r_cumsum_7,right_forearm_r_cumsum_8,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,left_forearm_r_cumsum_7,left_forearm_r_cumsum_8,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.040312,0.052916,-0.577458,-0.553201,-0.537805,-0.292713,0.028639,0.055766,0.05722,0.019642,0.025052,0.027243,0.020844,0.023307,0.061719,0.088148,0.101818,0.108042,0.010897,0.02672,0.670336,0.704948,0.701167,0.18855,0.122003,0.108953,0.110155,0.066314,0.272645,0.287556,0.303746,0.319317,0.339036,0.363914,0.396005,0.397827,0.053556,0.082699,-0.739947,-0.732579,-0.726723,-0.661417,0.031431,0.06645,0.062999,-0.003374,-0.022667,0.110233,0.130069,0.145853,0.103505,0.093344,0.090106,0.086189,-0.033293,-0.013205,0.814347,0.843684,0.836452,0.10141,0.034476,0.035949,0.037985,0.19838,0.578175,0.518589,0.507246,0.509437,0.632138,0.683056,0.69723,0.704424,0.135837,0.307724,0.243735,0.21571,0.201903,0.301537,0.327288,0.307364,0.312561,-0.020293,-0.040923,0.079093,0.107129,0.121601,0.094052,0.005585,-0.009676,-0.020541,0.010649,-0.030034,-0.536151,-0.537437,-0.536649,-0.039941,-0.0541,-0.09728,-0.102871,-0.028693,-0.058471,0.375955,0.429391,0.464482,1.317253,0.289758,0.270435,0.275203,1.127901,0.985877,1,0,0,0,0,0,0,0,0,0,0
1,0.01265,-0.620038,-0.595692,-0.58024,-0.334248,-0.011716,0.015511,0.01697,0.007882,0.00543,0.007629,0.001207,0.003678,0.042231,0.068757,0.082477,0.088724,0.090359,0.01588,0.661861,0.696599,0.692804,0.178305,0.111513,0.098416,0.099623,0.108361,0.207088,0.222054,0.238304,0.253932,0.273724,0.298693,0.330901,0.33273,0.352951,0.02925,-0.796416,-0.789021,-0.783144,-0.717598,-0.022205,0.012942,0.009478,-0.002238,-0.019364,0.114024,0.133933,0.149774,0.107271,0.097073,0.093823,0.089892,0.090982,0.020162,0.850752,0.880197,0.872938,0.135198,0.068017,0.069496,0.07154,0.077164,0.381189,0.321385,0.31,0.312199,0.43535,0.486456,0.500682,0.507902,0.50907,0.172518,0.108295,0.080166,0.066308,0.166308,0.192154,0.172157,0.177373,0.158979,-0.020705,0.099752,0.12789,0.142415,0.114765,0.025974,0.010656,-0.000249,-0.001251,-0.041741,-0.561012,-0.562331,-0.561523,-0.051905,-0.066432,-0.110734,-0.11647,-0.096465,-0.030553,0.415164,0.469989,0.505992,1.380926,0.326726,0.306901,0.311793,0.315657,1.096744,0.983197,1,0,0,0,0,0,0,0,0,0,0
2,-0.547074,-0.526022,-0.512661,-0.299957,-0.021068,0.002474,0.003736,-0.004123,-0.008986,0.001902,-0.003652,-0.001515,0.031821,0.054758,0.066621,0.072023,0.073437,0.090164,0.558567,0.588605,0.585323,0.140445,0.082692,0.071367,0.07241,0.079966,0.08313,0.012941,0.026992,0.040505,0.057619,0.079209,0.107059,0.108641,0.126125,0.154362,-0.713939,-0.707544,-0.702462,-0.645786,-0.044493,-0.014102,-0.017097,-0.027227,-0.04106,0.115338,0.132553,0.146251,0.109499,0.100681,0.097871,0.094472,0.095414,0.100159,0.718196,0.743657,0.73738,0.099469,0.04138,0.042659,0.044426,0.049289,0.057635,-0.051712,-0.061556,-0.059655,0.046832,0.091022,0.103323,0.109566,0.110576,0.119242,-0.055533,-0.079855,-0.091838,-0.00537,0.016979,-0.000312,0.004198,-0.011707,-0.031831,0.104157,0.128488,0.141047,0.117139,0.040362,0.027118,0.017689,0.016822,0.003504,-0.187666,-0.188143,-0.187851,-0.003673,-0.008924,-0.024934,-0.027007,-0.019778,-0.022467,0.161084,0.180898,0.193909,0.510114,0.129122,0.121957,0.123725,0.125121,0.129233,1.07397,0.968186,1,0,0,0,0,0,0,0,0,0,0
3,0.02012,0.03289,0.236178,0.502721,0.525221,0.526427,0.518916,0.514268,0.510746,-0.005307,-0.003265,0.028595,0.050517,0.061855,0.067018,0.068369,0.084355,0.101403,0.028708,0.025572,-0.399613,-0.45481,-0.465634,-0.464636,-0.457415,-0.454392,-0.442908,0.013429,0.026344,0.0427,0.063335,0.089952,0.091464,0.108174,0.135161,0.17495,0.006112,0.010969,0.065136,0.639812,0.668858,0.665995,0.656313,0.643093,0.619966,0.016453,0.029544,-0.005581,-0.014008,-0.016694,-0.019943,-0.019042,-0.014507,-0.008154,0.024334,0.018335,-0.591338,-0.646856,-0.645634,-0.643945,-0.639297,-0.63132,-0.617585,-0.009409,-0.007591,0.094182,0.136416,0.148172,0.154139,0.155104,0.163387,0.163741,-0.023246,-0.034698,0.047943,0.069302,0.052776,0.057087,0.041886,0.022653,-0.016674,0.023254,0.035258,0.012407,-0.06097,-0.073629,-0.082641,-0.083469,-0.096197,-0.109543,-0.000347,-0.000135,0.134017,0.130193,0.118531,0.117021,0.122287,0.120328,0.122874,0.014432,0.02391,0.254227,-0.02328,-0.028499,-0.027211,-0.026194,-0.0232,-0.016109,1.059789,0.976644,1,0,0,0,0,0,0,0,0,0,0
4,0.012392,0.209657,0.468302,0.490136,0.491306,0.484018,0.479508,0.47609,0.477838,0.001982,0.032898,0.05417,0.065172,0.070182,0.071493,0.087006,0.103549,0.110041,-0.003043,-0.415631,-0.469192,-0.479695,-0.478727,-0.47172,-0.468786,-0.457643,-0.450605,0.012532,0.028404,0.048427,0.074255,0.075722,0.091937,0.118125,0.156735,0.149338,0.004713,0.057276,0.614925,0.64311,0.640332,0.630937,0.618108,0.595666,0.585101,0.012704,-0.021381,-0.029559,-0.032165,-0.035317,-0.034443,-0.030042,-0.023878,-0.023425,-0.005821,-0.59743,-0.651303,-0.650117,-0.648479,-0.643968,-0.636227,-0.6229,-0.611647,0.001764,0.100521,0.141504,0.152912,0.158702,0.159638,0.167676,0.168019,0.160699,-0.011113,0.069079,0.089805,0.073769,0.077952,0.063201,0.044539,0.006377,0.005825,0.011648,-0.010525,-0.081729,-0.094012,-0.102757,-0.103561,-0.115912,-0.128862,-0.136176,0.000172,0.108855,0.105757,0.096309,0.095086,0.099352,0.097765,0.099827,0.097877,0.007678,0.19427,-0.030553,-0.034781,-0.033737,-0.032913,-0.030488,-0.024743,-0.021346,1.065553,0.974942,1,0,0,0,0,0,0,0,0,0,0
5,0.192773,0.445528,0.466864,0.468008,0.460886,0.456478,0.453138,0.454846,0.454236,0.030212,0.050999,0.061751,0.066647,0.067928,0.083088,0.099254,0.105598,0.11359,-0.403191,-0.455532,-0.465796,-0.464851,-0.458003,-0.455136,-0.444247,-0.437368,-0.433403,0.01551,0.035077,0.060318,0.061751,0.077597,0.103188,0.140919,0.13369,0.139684,0.051365,0.596314,0.623858,0.621143,0.611962,0.599426,0.577495,0.56717,0.560139,-0.033308,-0.0413,-0.043847,-0.046927,-0.046073,-0.041773,-0.035748,-0.035306,-0.036511,-0.578135,-0.630782,-0.629623,-0.628021,-0.623614,-0.616049,-0.603025,-0.592029,-0.585532,0.096508,0.136558,0.147706,0.153364,0.154279,0.162133,0.162469,0.155316,0.151412,0.078366,0.09862,0.082949,0.087037,0.072622,0.054384,0.017092,0.016552,0.006394,-0.021668,-0.09125,-0.103254,-0.1118,-0.112585,-0.124655,-0.13731,-0.144457,-0.154167,0.092497,0.08986,0.081819,0.080778,0.084409,0.083058,0.084813,0.083153,0.082738,0.158802,-0.032537,-0.036135,-0.035247,-0.034546,-0.032482,-0.027593,-0.024701,-0.023413,1.066597,0.970414,1,0,0,0,0,0,0,0,0,0,0
6,0.263629,0.285883,0.287076,0.279648,0.27505,0.271567,0.273348,0.272712,0.274987,0.021681,0.032896,0.038002,0.039338,0.05515,0.072012,0.078629,0.086964,0.086519,-0.054593,-0.065299,-0.064313,-0.05717,-0.05418,-0.042822,-0.035648,-0.031512,-0.030701,0.020409,0.046735,0.04823,0.064758,0.09145,0.130804,0.123264,0.129516,0.126605,0.568394,0.597123,0.594291,0.584715,0.571639,0.548765,0.537996,0.530662,0.525174,-0.008335,-0.010992,-0.014205,-0.013314,-0.008828,-0.002545,-0.002084,-0.003341,-0.005806,-0.054911,-0.053703,-0.052032,-0.047435,-0.039545,-0.02596,-0.014491,-0.007715,-0.002927,0.041772,0.0534,0.059302,0.060256,0.068448,0.068798,0.061338,0.057266,0.056025,0.021125,0.00478,0.009044,-0.005991,-0.025013,-0.06391,-0.064473,-0.075069,-0.073962,-0.072576,-0.085096,-0.094009,-0.094828,-0.107417,-0.120617,-0.128072,-0.138199,-0.140747,-0.003541,-0.014339,-0.015737,-0.010861,-0.012675,-0.010318,-0.012548,-0.013105,-0.015054,-0.256957,-0.261789,-0.260597,-0.259655,-0.256883,-0.250317,-0.246434,-0.244704,-0.242624,1.062221,0.976116,1,0,0,0,0,0,0,0,0,0,0
7,0.02254,0.023748,0.016224,0.011568,0.008039,0.009844,0.0092,0.011503,0.015515,0.011358,0.01653,0.017883,0.033898,0.050976,0.057678,0.06612,0.065669,0.061448,-0.010843,-0.009844,-0.00261,0.000419,0.011922,0.019188,0.023377,0.024199,0.029951,0.026664,0.028179,0.044918,0.071953,0.111812,0.104175,0.110507,0.107558,0.105947,0.029097,0.026229,0.01653,0.003287,-0.019881,-0.030789,-0.038216,-0.043774,-0.04669,-0.002691,-0.005945,-0.005043,-0.000499,0.005864,0.006332,0.005059,0.002562,-0.013098,0.001224,0.002916,0.007572,0.015563,0.029322,0.040939,0.047802,0.052651,0.054633,0.011777,0.017755,0.018721,0.027019,0.027373,0.019817,0.015692,0.014436,0.012551,-0.016555,-0.012236,-0.027464,-0.046731,-0.086127,-0.086696,-0.097428,-0.096307,-0.096061,-0.012681,-0.021708,-0.022538,-0.035289,-0.048658,-0.056208,-0.066465,-0.069046,-0.080827,-0.011806,-0.013335,-0.008004,-0.009987,-0.00741,-0.009847,-0.010457,-0.012588,-0.01067,-0.005283,-0.00398,-0.00295,8.2e-05,0.00726,0.011505,0.013397,0.015671,0.017381,1.055132,0.967274,1,0,0,0,0,0,0,0,0,0,0
8,0.00122,-0.006377,-0.011079,-0.014642,-0.01282,-0.01347,-0.011144,-0.007093,-0.001903,0.005222,0.006589,0.02276,0.040004,0.046772,0.055296,0.054841,0.050579,0.048203,0.001009,0.008313,0.011372,0.022987,0.030324,0.034554,0.035384,0.041192,0.057623,0.001529,0.018432,0.045731,0.085979,0.078267,0.084661,0.081684,0.080057,0.084905,-0.002896,-0.012689,-0.026062,-0.049456,-0.06047,-0.06797,-0.073582,-0.076527,-0.077324,-0.003286,-0.002375,0.002213,0.008639,0.00911,0.007825,0.005304,-0.010509,-0.023736,0.001708,0.00641,0.014479,0.028372,0.040102,0.047032,0.051929,0.05393,0.064342,0.006036,0.007012,0.01539,0.015748,0.008118,0.003953,0.002684,0.000781,-0.000569,0.00436,-0.011016,-0.03047,-0.070251,-0.070826,-0.081663,-0.080531,-0.080282,-0.085517,-0.009116,-0.009954,-0.022829,-0.036328,-0.043952,-0.054309,-0.056916,-0.068811,-0.079875,-0.001636,0.00407,0.001947,0.004706,0.002097,0.001444,-0.000837,0.001216,0.004823,0.001395,0.002497,0.005742,0.013425,0.01797,0.019994,0.022428,0.024259,0.025646,1.058746,0.969439,1,0,0,0,0,0,0,0,0,0,0
9,-0.00758,-0.012271,-0.015826,-0.014008,-0.014657,-0.012336,-0.008294,-0.003116,-0.001964,0.001363,0.017498,0.034703,0.041455,0.049961,0.049506,0.045254,0.042884,0.040563,0.007288,0.01034,0.021929,0.029249,0.033469,0.034297,0.040092,0.056486,0.069244,0.016865,0.044101,0.084258,0.076564,0.082943,0.079973,0.07835,0.083187,0.085979,-0.009771,-0.023114,-0.046455,-0.057443,-0.064926,-0.070526,-0.073464,-0.074259,-0.072652,0.000909,0.005486,0.011898,0.012368,0.011086,0.00857,-0.007207,-0.020403,-0.03269,0.004691,0.012742,0.026604,0.038306,0.045221,0.050107,0.052103,0.062491,0.074665,0.000974,0.009333,0.00969,0.002078,-0.002078,-0.003344,-0.005243,-0.00659,-0.007158,-0.015342,-0.034752,-0.074442,-0.075016,-0.085828,-0.084699,-0.084451,-0.089674,-0.0929,-0.000836,-0.013682,-0.027151,-0.034757,-0.045091,-0.047691,-0.05956,-0.070598,-0.080546,0.005616,0.003527,0.006242,0.003674,0.003032,0.000787,0.002808,0.006357,0.006904,0.001085,0.004278,0.01184,0.016313,0.018306,0.020701,0.022503,0.023869,0.023706,1.067111,0.970055,1,0,0,0,0,0,0,0,0,0,0
