,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_x_cumsum_7,left_elbow_x_cumsum_8,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,left_elbow_y_cumsum_7,left_elbow_y_cumsum_8,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_x_cumsum_7,right_elbow_x_cumsum_8,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,right_elbow_y_cumsum_7,right_elbow_y_cumsum_8,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_x_cumsum_7,left_wrist_x_cumsum_8,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,left_wrist_y_cumsum_7,left_wrist_y_cumsum_8,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_x_cumsum_7,right_wrist_x_cumsum_8,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_wrist_y_cumsum_7,right_wrist_y_cumsum_8,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,right_forearm_angle_cumsum_7,right_forearm_angle_cumsum_8,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,left_forearm_angle_cumsum_7,left_forearm_angle_cumsum_8,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,right_forearm_r_cumsum_7,right_forearm_r_cumsum_8,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,left_forearm_r_cumsum_7,left_forearm_r_cumsum_8,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.052124,-0.038038,-0.03446,-0.027336,0.077026,0.571532,0.531399,0.628089,0.673315,0.115983,0.256577,0.249324,0.215831,0.143367,0.598465,0.579414,0.564279,0.629588,-0.017423,0.127346,-0.051093,-0.161676,-0.161257,-0.525597,-0.558847,-0.54078,-0.558896,-0.027787,-0.046516,-0.133132,-0.240846,-0.309233,-0.620739,-0.46825,-0.487204,-0.430486,0.038102,-0.126169,-0.104072,-0.053172,0.118787,0.669946,0.669414,0.625736,0.653684,-0.015682,0.639726,0.428053,0.431663,0.300207,0.962482,1.00803,1.021021,1.18173,-0.02553,0.038376,-0.152392,-0.297596,-0.196974,-0.549016,-0.613583,-0.658825,-0.656182,-0.309201,0.107182,-0.119996,-0.203856,-0.177181,-0.552046,-0.387726,-0.225002,-0.059087,-0.14298,0.147992,0.010375,0.042088,0.125491,0.063405,0.073369,0.25903,0.365679,0.042058,0.364758,0.15954,0.195809,0.154362,0.367934,0.442315,0.437823,0.531967,-0.000705,0.008043,0.010098,0.010778,0.003043,0.001588,0.0033,0.015096,-0.019995,-1.2e-05,0.023322,0.023677,0.022868,0.021492,0.023491,0.015756,0.12602,0.153512,1.41797,2.052632,1,0,0,0,0,0,0,0,0,0,0
1,-0.110129,-0.105759,-0.097057,0.030416,0.634433,0.585413,0.703515,0.758757,0.810435,0.17173,0.162871,0.121961,0.033448,0.58933,0.56606,0.547574,0.627346,0.537849,0.176829,-0.041126,-0.176199,-0.175687,-0.620711,-0.661326,-0.639257,-0.661385,-0.600099,-0.022876,-0.128674,-0.260242,-0.343774,-0.724265,-0.538006,-0.561158,-0.49188,-0.461207,-0.20065,-0.173659,-0.111487,0.098553,0.77177,0.77112,0.717768,0.751906,0.799391,0.800552,0.542003,0.546413,0.385846,1.194784,1.25042,1.266288,1.462587,1.344386,0.078059,-0.154956,-0.332317,-0.209411,-0.639414,-0.71828,-0.773542,-0.770313,-0.719324,0.508594,0.231106,0.128674,0.161256,-0.296624,-0.095915,0.102845,0.305503,0.362576,0.35541,0.187317,0.226053,0.327926,0.252091,0.264261,0.491038,0.621305,0.648407,0.394164,0.143498,0.1878,0.137174,0.398043,0.488896,0.48341,0.598402,0.569555,0.035484,0.043822,0.046579,0.015201,0.009301,0.016247,0.064096,-0.078251,-0.024221,0.094649,0.096089,0.092808,0.087227,0.095338,0.06396,0.511237,0.622758,0.639204,1.239379,1.634256,1,0,0,0,0,0,0,0,0,0,0
2,0.006026,0.018022,0.193767,1.02651,0.958926,1.121751,1.197912,1.269159,1.284603,-0.012214,-0.068615,-0.190645,0.575736,0.543654,0.518168,0.628147,0.50476,0.476912,-0.300489,-0.48671,-0.486004,-1.099549,-1.155543,-1.125117,-1.155624,-1.071131,-1.066843,-0.145861,-0.327251,-0.442414,-0.966988,-0.710197,-0.742116,-0.646604,-0.604316,-0.554809,0.037212,0.122926,0.412504,1.340651,1.339756,1.266201,1.313265,1.378732,1.385409,-0.356456,-0.350376,-0.571746,0.543518,0.620222,0.642098,0.912731,0.74977,0.744288,-0.321253,-0.565775,-0.396327,-0.989163,-1.097893,-1.174081,-1.16963,-1.099332,-1.162817,-0.382566,-0.523786,-0.478866,-1.110134,-0.833422,-0.559396,-0.279997,-0.201312,0.006541,-0.231746,-0.178341,-0.037892,-0.142444,-0.125666,0.186986,0.366582,0.403947,0.568521,-0.345586,-0.284509,-0.354305,0.005349,0.130606,0.123041,0.281578,0.241808,0.263877,0.078934,0.105034,-0.19203,-0.247888,-0.182131,0.270876,-1.076792,-0.565263,3.112179,0.013631,-0.017436,-0.070268,0.006521,-0.290551,3.944035,4.999861,5.155567,5.4903,1.216601,1.368588,1,0,0,0,0,0,0,0,0,0,0
3,0.010725,0.167838,0.9123,0.851881,0.997444,1.06553,1.129225,1.143031,1.146865,-0.050422,-0.159515,0.525619,0.496939,0.474154,0.572474,0.462167,0.437272,0.412546,-0.166479,-0.165848,-0.714349,-0.764407,-0.737206,-0.76448,-0.688944,-0.68511,-0.648883,-0.16216,-0.265115,-0.734076,-0.504509,-0.533044,-0.447657,-0.409853,-0.365594,-0.311654,0.076628,0.335506,1.165258,1.164457,1.0987,1.140775,1.199301,1.20527,1.227399,0.005435,-0.192467,0.804565,0.873136,0.892694,1.134636,0.988951,0.98405,0.962236,-0.2186,-0.067116,-0.597103,-0.694307,-0.762417,-0.758438,-0.695593,-0.752347,-0.738298,-0.126249,-0.086091,-0.650436,-0.403059,-0.158084,0.091696,0.162039,0.347857,0.398521,0.047743,0.173303,0.079835,0.094834,0.37434,0.534897,0.568301,0.715427,0.715222,0.054602,-0.007795,0.313731,0.425709,0.418947,0.560676,0.525122,0.544852,0.548454,0.011911,-0.123659,-0.149151,-0.119142,0.087597,-0.527439,-0.293992,1.384282,2.563696,-0.014178,-0.038289,-0.003245,-0.138819,1.793719,2.275567,2.346626,2.499388,2.149276,1.218103,1.350566,1,0,0,0,0,0,0,0,0,0,0
4,0.150815,0.865433,0.807436,0.947164,1.012521,1.073662,1.086915,1.090595,1.066884,-0.10472,0.552949,0.525418,0.503547,0.597926,0.492041,0.468143,0.444409,0.412499,0.000606,-0.525907,-0.573958,-0.547848,-0.574028,-0.501521,-0.49784,-0.463066,-0.451699,-0.098827,-0.548989,-0.328625,-0.356016,-0.274052,-0.237763,-0.195279,-0.143501,-0.05604,0.248501,1.04499,1.044221,0.9811,1.021488,1.077668,1.083398,1.10464,1.08978,-0.189968,0.767094,0.832917,0.85169,1.083934,0.944089,0.939384,0.918445,0.920495,0.145411,-0.36333,-0.456637,-0.522017,-0.518197,-0.457872,-0.512351,-0.498865,-0.492926,0.038548,-0.503174,-0.265714,-0.030559,0.209208,0.276731,0.4551,0.503733,0.566225,0.120526,0.030805,0.045203,0.313505,0.467625,0.49969,0.640919,0.640721,0.616866,-0.059896,0.248741,0.35623,0.349739,0.485787,0.451658,0.470597,0.474055,0.508432,-0.101809,-0.120953,-0.098417,0.056837,-0.405035,-0.229724,1.030607,1.916309,2.271598,-0.018107,0.00821,-0.093602,1.357673,1.719525,1.772888,1.887608,1.624685,1.5057,1.309629,1.380574,1,0,0,0,0,0,0,0,0,0,0
5,0.603456,0.554481,0.672474,0.727665,0.779295,0.790487,0.793594,0.773571,0.77542,0.555366,0.532118,0.513649,0.593347,0.503933,0.483753,0.46371,0.436764,0.433263,-0.444612,-0.485188,-0.46314,-0.485247,-0.424019,-0.420911,-0.391546,-0.381947,-0.374512,-0.380138,-0.194052,-0.217182,-0.147968,-0.117324,-0.081448,-0.037725,0.036131,0.08849,0.672592,0.671943,0.618641,0.652746,0.700187,0.705026,0.722964,0.710415,0.697237,0.808188,0.863772,0.879625,1.075742,0.957651,0.953678,0.935996,0.937727,0.971439,-0.429605,-0.508397,-0.563608,-0.560382,-0.50944,-0.555445,-0.544057,-0.539041,-0.502772,-0.457455,-0.256933,-0.058357,0.144113,0.201132,0.351756,0.392824,0.445595,0.461724,-0.075765,-0.063606,0.16296,0.293106,0.320184,0.439443,0.439277,0.419132,0.379163,0.260627,0.351396,0.345914,0.4608,0.43198,0.447973,0.450893,0.479922,0.516416,-0.005862,0.001039,0.048578,-0.092847,-0.039167,0.346746,0.617947,0.726737,0.451633,0.008058,-0.023117,0.421263,0.532062,0.548402,0.583529,0.503022,0.466589,0.593931,1.394338,1.51873,1,0,0,0,0,0,0,0,0,0,0
6,-0.050073,0.070565,0.126993,0.179781,0.191224,0.194401,0.173929,0.17582,0.1575,-0.02377,-0.042653,0.038832,-0.052587,-0.07322,-0.093711,-0.121262,-0.124841,-0.107607,-0.041486,-0.018943,-0.041547,0.021055,0.024232,0.054256,0.06407,0.071671,0.08068,0.190258,0.166609,0.237375,0.268706,0.305387,0.350091,0.425603,0.479135,0.569166,-0.000664,-0.055161,-0.020291,0.028214,0.033161,0.051501,0.038671,0.025198,0.026746,0.05683,0.073039,0.273553,0.152814,0.148752,0.130673,0.132443,0.166911,0.158445,-0.08056,-0.137008,-0.13371,-0.081625,-0.128662,-0.117019,-0.111891,-0.074808,-0.056609,0.205019,0.408047,0.615057,0.673355,0.827355,0.869344,0.923299,0.939789,0.988293,0.012431,0.244077,0.377142,0.404826,0.52676,0.526589,0.505994,0.465128,0.422774,0.092804,0.0872,0.204661,0.175195,0.191546,0.194532,0.224212,0.261524,0.236803,0.008059,0.06358,-0.101592,-0.038898,0.411815,0.728555,0.855612,0.534315,0.49374,-0.03641,0.482588,0.611992,0.631075,0.6721,0.578075,0.535524,0.684249,0.493094,1.46459,1.511219,1,0,0,0,0,0,0,0,0,0,0
7,0.141264,0.207339,0.269152,0.282551,0.286272,0.2623,0.264514,0.243061,0.248124,-0.022111,0.073305,-0.033744,-0.057904,-0.0819,-0.11416,-0.118352,-0.098171,-0.010243,0.026397,-7.1e-05,0.073234,0.076955,0.112112,0.123603,0.132504,0.143053,0.195353,-0.027692,0.055173,0.09186,0.134812,0.187159,0.275581,0.338266,0.44369,0.67201,-0.063815,-0.022983,0.033815,0.039608,0.061083,0.04606,0.030283,0.032096,0.027998,0.01898,0.253776,0.112394,0.107637,0.086468,0.08854,0.128901,0.118988,0.131303,-0.066099,-0.062237,-0.001248,-0.056327,-0.042692,-0.036688,0.006735,0.028046,0.038736,0.23774,0.480142,0.548407,0.728737,0.777905,0.841084,0.860393,0.917191,0.988659,0.271251,0.427065,0.459483,0.602263,0.602064,0.577947,0.530094,0.480499,0.332392,-0.006563,0.130981,0.096477,0.115624,0.11912,0.153874,0.197566,0.168619,0.092599,0.167602,-0.331003,-0.141749,1.218816,2.174958,2.558503,1.588606,1.466122,2.49369,1.566695,1.957326,2.014933,2.138776,1.854943,1.726495,2.175449,1.598412,1.680277,0.95423,0.885233,1,0,0,0,0,0,0,0,0,0,0
8,0.071615,0.138611,0.153134,0.157166,0.131184,0.133584,0.110333,0.11582,0.129449,0.103416,-0.012608,-0.038794,-0.064801,-0.099767,-0.10431,-0.082437,0.012863,0.013016,-0.028687,0.050764,0.054796,0.092901,0.105356,0.115003,0.126437,0.183122,0.154308,0.089813,0.129577,0.176129,0.232865,0.328701,0.396642,0.510905,0.758369,0.732923,0.044256,0.105815,0.112094,0.13537,0.119087,0.101987,0.103952,0.099511,0.107832,0.254483,0.101247,0.096091,0.073147,0.075393,0.119138,0.108393,0.121741,0.107678,0.004186,0.070288,0.010592,0.025369,0.031877,0.07894,0.102038,0.113625,0.114825,0.262726,0.336715,0.532165,0.585455,0.653932,0.67486,0.736419,0.81388,0.860994,0.168879,0.204014,0.358766,0.35855,0.332411,0.280546,0.226793,0.066268,0.132365,0.149076,0.111679,0.132431,0.13622,0.173889,0.221244,0.189869,0.107476,0.092997,-0.876044,-0.543527,1.846973,3.526905,4.200791,2.496691,2.281487,4.086914,3.273667,0.686334,0.78755,1.005141,0.506448,0.280767,1.069576,0.055726,0.199563,0.297651,1.745279,1.626298,1,0,0,0,0,0,0,0,0,0,0
9,0.070019,0.085197,0.089411,0.062257,0.064765,0.040465,0.046199,0.060443,0.070179,-0.12126,-0.148628,-0.175809,-0.212352,-0.2171,-0.19424,-0.094639,-0.094479,-0.036063,0.083036,0.087251,0.127075,0.140092,0.150175,0.162125,0.221368,0.191253,0.192827,0.041558,0.090212,0.149508,0.249669,0.320675,0.440095,0.698727,0.672132,0.812465,0.064338,0.0709,0.095226,0.078208,0.060337,0.062391,0.057749,0.066445,0.099654,-0.160151,-0.165539,-0.189519,-0.187172,-0.141452,-0.152682,-0.138732,-0.153429,-0.158364,0.069086,0.006695,0.022139,0.028941,0.078128,0.102268,0.114378,0.115632,0.147721,0.077328,0.281598,0.337293,0.40886,0.430732,0.49507,0.576026,0.625266,0.68571,0.036721,0.198457,0.198231,0.170912,0.116706,0.060528,-0.107242,-0.038162,-0.121597,-0.039085,-0.017395,-0.013435,0.025933,0.075425,0.042635,-0.043477,-0.05861,-0.12027,0.452898,3.708834,5.996954,6.914807,4.593769,4.300655,6.759703,5.652035,5.20125,0.137858,0.434225,-0.24501,-0.552396,0.521987,-0.858909,-0.662998,-0.529398,-1.158341,1.919107,1.584343,1,0,0,0,0,0,0,0,0,0,0
