,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_x_cumsum_7,left_elbow_x_cumsum_8,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,left_elbow_y_cumsum_7,left_elbow_y_cumsum_8,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_x_cumsum_7,right_elbow_x_cumsum_8,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,right_elbow_y_cumsum_7,right_elbow_y_cumsum_8,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_x_cumsum_7,left_wrist_x_cumsum_8,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,left_wrist_y_cumsum_7,left_wrist_y_cumsum_8,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_x_cumsum_7,right_wrist_x_cumsum_8,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_wrist_y_cumsum_7,right_wrist_y_cumsum_8,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,right_forearm_angle_cumsum_7,right_forearm_angle_cumsum_8,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,left_forearm_angle_cumsum_7,left_forearm_angle_cumsum_8,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,right_forearm_r_cumsum_7,right_forearm_r_cumsum_8,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,left_forearm_r_cumsum_7,left_forearm_r_cumsum_8,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.002638,-0.011536,-0.013802,-0.019282,-0.020709,-0.021441,-0.023575,-0.023959,-0.030195,0.02252,0.036095,0.028168,-0.006236,-0.005708,-0.001523,0.013862,0.030675,0.035843,-0.005024,-0.00524,-0.003741,-0.000324,0.002158,0.002686,0.003454,0.00355,0.004053,0.046599,0.050976,0.048386,0.016872,-0.001391,0.000516,0.001379,0.005564,0.01475,-0.011212,-0.062045,-0.052583,-0.048002,-0.056468,-0.05648,-0.047295,-0.046971,-0.053123,0.090213,0.050521,0.048122,0.021813,0.021669,0.021645,0.00849,0.007123,0.007123,-0.008046,-0.015337,-0.015901,-0.01662,-0.016512,-0.016716,-0.016117,-0.016393,-0.014822,0.086531,0.105274,0.100178,0.091952,0.083378,0.087011,0.083845,0.08285,0.081363,0.040014,0.055127,0.052912,0.076545,0.086469,0.088281,0.084316,0.079242,0.068528,0.061416,-0.00088,0.007295,0.01773,0.015241,0.011356,-0.012864,-0.029921,-0.034788,-0.000135,0.00052,0.000841,0.000989,0.001185,0.001286,0.001436,0.00165,0.001737,0.008314,0.015754,0.013735,0.012025,0.013586,0.013184,0.009579,0.008652,0.008431,0.661299,0.717542,1,0,0,0,0,0,0,0,0,0,0
1,-0.00712,-0.008934,-0.01332,-0.014462,-0.015047,-0.016755,-0.017062,-0.022052,-0.02258,0.010863,0.00452,-0.023012,-0.02259,-0.019241,-0.006929,0.006526,0.010662,0.015393,-0.000173,0.001027,0.003762,0.005748,0.00617,0.006785,0.006861,0.007264,0.007216,0.003503,0.00143,-0.023789,-0.038405,-0.036879,-0.036188,-0.032839,-0.025488,-0.02567,-0.040679,-0.033107,-0.029442,-0.036217,-0.036226,-0.028875,-0.028616,-0.033539,-0.045554,-0.031764,-0.033683,-0.054738,-0.054853,-0.054872,-0.065399,-0.066493,-0.066493,-0.089419,-0.005835,-0.006286,-0.006861,-0.006775,-0.006938,-0.006458,-0.006679,-0.005422,-0.002505,0.014999,0.010921,0.004338,-0.002524,0.000384,-0.00215,-0.002946,-0.004136,-0.054882,0.012095,0.010322,0.029235,0.037176,0.038626,0.035453,0.031393,0.022819,-0.027599,-0.049853,-0.043311,-0.03496,-0.036953,-0.040061,-0.059444,-0.073093,-0.076988,-0.106867,0.000138,0.000205,0.000236,0.000278,0.000299,0.00033,0.000375,0.000393,0.00053,0.001564,0.00114,0.00078,0.001108,0.001024,0.000266,7.1e-05,2.5e-05,7.5e-05,0.615009,0.691041,1,0,0,0,0,0,0,0,0,0,0
2,-0.001885,-0.006445,-0.007632,-0.00824,-0.010016,-0.010335,-0.015523,-0.016071,-0.036582,-0.006594,-0.035215,-0.034776,-0.031295,-0.018496,-0.004509,-0.000209,0.004709,0.001397,0.001247,0.00409,0.006155,0.006594,0.007233,0.007312,0.007731,0.007682,0.006006,-0.002155,-0.028372,-0.043565,-0.041979,-0.041261,-0.037779,-0.030138,-0.030327,-0.022995,0.007871,0.011682,0.004639,0.004629,0.012271,0.01254,0.007422,-0.005068,-0.062231,-0.001995,-0.023883,-0.024002,-0.024022,-0.034966,-0.036103,-0.036103,-0.059936,-0.063807,-0.000469,-0.001067,-0.000978,-0.001147,-0.000648,-0.000878,0.000429,0.003462,0.005467,-0.00424,-0.011083,-0.018216,-0.015194,-0.017827,-0.018655,-0.019892,-0.072646,-0.077045,-0.001843,0.017818,0.026074,0.027581,0.024282,0.020061,0.011148,-0.041264,-0.053433,0.006801,0.015482,0.013411,0.010179,-0.00997,-0.02416,-0.028209,-0.05927,-0.069129,8.8e-05,0.000129,0.000183,0.000211,0.000253,0.000312,0.000336,0.000515,0.00048,-0.000557,-0.001028,-0.000598,-0.000709,-0.001703,-0.001959,-0.002019,-0.001954,-0.00119,0.607838,0.676869,1,0,0,0,0,0,0,0,0,0,0
3,-0.004629,-0.005835,-0.006453,-0.008256,-0.00858,-0.013847,-0.014405,-0.035231,-0.036416,-0.029062,-0.028617,-0.025081,-0.012085,0.002117,0.006483,0.011477,0.008114,0.044794,0.002887,0.004984,0.00543,0.006078,0.006159,0.006584,0.006534,0.004832,-0.006858,-0.026621,-0.042049,-0.040438,-0.039709,-0.036173,-0.028414,-0.028606,-0.021161,0.036356,0.00387,-0.003282,-0.003292,0.004467,0.004741,-0.000456,-0.013138,-0.071182,-0.094744,-0.022225,-0.022346,-0.022367,-0.033479,-0.034634,-0.034634,-0.058834,-0.062764,0.002998,-0.000608,-0.000517,-0.000689,-0.000182,-0.000415,0.000912,0.003991,0.006027,0.001297,-0.006949,-0.014192,-0.011122,-0.013797,-0.014638,-0.015894,-0.06946,-0.073927,0.002796,0.019964,0.028347,0.029877,0.026528,0.022242,0.013191,-0.040029,-0.052385,-0.034327,0.008815,0.006712,0.00343,-0.01703,-0.031438,-0.035549,-0.067089,-0.0771,-0.051491,4.6e-05,0.000106,0.000137,0.000183,0.000249,0.000275,0.000475,0.000436,0.000216,-0.000525,-4.6e-05,-0.000169,-0.001276,-0.00156,-0.001628,-0.001555,-0.000705,1.3e-05,0.715499,0.772874,1,0,0,0,0,0,0,0,0,0,0
4,-0.001269,-0.00192,-0.003818,-0.004159,-0.009704,-0.010291,-0.032216,-0.033463,-0.04513,0.000469,0.004191,0.017873,0.032824,0.03742,0.042677,0.039137,0.077751,0.072643,0.002207,0.002677,0.003359,0.003444,0.003892,0.003839,0.002047,-0.010259,-0.015591,-0.016241,-0.014546,-0.013778,-0.010056,-0.001888,-0.00209,0.005748,0.066298,0.085695,-0.007529,-0.007539,0.000629,0.000917,-0.004554,-0.017905,-0.079009,-0.103813,-0.111588,-0.000128,-0.000149,-0.011848,-0.013063,-0.013063,-0.038539,-0.042677,0.026553,0.03678,9.6e-05,-8.5e-05,0.000448,0.000203,0.0016,0.004841,0.006985,0.002005,0.000149,-0.007625,-0.004394,-0.007209,-0.008094,-0.009416,-0.065807,-0.07051,0.010259,0.013021,0.008825,0.010436,0.00691,0.002398,-0.00713,-0.063156,-0.076164,-0.057153,-0.074084,-0.002214,-0.005668,-0.027207,-0.042375,-0.046703,-0.079906,-0.090446,-0.063486,-0.047838,8.6e-05,0.00013,0.000197,0.000291,0.000329,0.000615,0.000559,0.000244,0.000197,0.000686,0.000509,-0.001076,-0.001484,-0.001581,-0.001476,-0.000258,0.00077,0.000647,0.740058,0.814914,1,0,0,0,0,0,0,0,0,0,0
5,-0.000633,-0.002482,-0.002814,-0.008213,-0.008784,-0.030131,-0.031346,-0.042705,-0.061862,0.003624,0.016945,0.031502,0.035977,0.041096,0.037649,0.075246,0.070272,0.067521,0.000457,0.001121,0.001204,0.001641,0.001589,-0.000156,-0.012138,-0.017329,-0.022811,0.001651,0.002398,0.006022,0.013976,0.013778,0.02141,0.080364,0.099251,0.117089,-1e-05,0.007943,0.008223,0.002897,-0.010103,-0.069597,-0.093748,-0.101317,-0.11846,-2.1e-05,-0.011411,-0.012595,-0.012595,-0.0374,-0.041428,0.025978,0.035936,0.040971,-0.000177,0.000343,0.000104,0.001464,0.00462,0.006707,0.001859,5.2e-05,-0.002056,0.003146,0.000405,-0.000457,-0.001744,-0.05665,-0.061229,0.017412,0.020102,0.03307,0.001569,-0.001865,-0.006258,-0.015535,-0.070085,-0.08275,-0.06424,-0.080725,-0.085938,-0.003364,-0.024335,-0.039103,-0.043317,-0.075646,-0.085907,-0.059658,-0.044423,-0.036466,3.7e-05,9.1e-05,0.00017,0.000201,0.000439,0.000392,0.000131,9.2e-05,2.9e-05,-0.000147,-0.001462,-0.0018,-0.001881,-0.001794,-0.000784,6.9e-05,-3.3e-05,-9.6e-05,0.727101,0.798126,1,0,0,0,0,0,0,0,0,0,0
6,-0.001778,-0.002097,-0.00729,-0.007839,-0.028371,-0.029539,-0.040464,-0.058888,-0.066627,0.012812,0.026813,0.031117,0.03604,0.032725,0.068884,0.064101,0.061455,0.064141,0.000639,0.000719,0.001138,0.001088,-0.000589,-0.012113,-0.017106,-0.022379,-0.022099,0.000719,0.004204,0.011854,0.011664,0.019004,0.075705,0.09387,0.111026,0.100151,0.007649,0.007919,0.002796,-0.009707,-0.066927,-0.090155,-0.097435,-0.113922,-0.132955,-0.010955,-0.012093,-0.012093,-0.03595,-0.039825,0.025005,0.034582,0.039425,0.051449,0.000499,0.00027,0.001578,0.004614,0.006621,0.001957,0.00022,-0.001807,-0.000489,-0.002636,-0.003465,-0.004703,-0.05751,-0.061914,0.013721,0.016307,0.02878,0.000719,-0.003302,-0.007527,-0.01645,-0.068915,-0.081096,-0.063294,-0.079148,-0.084162,-0.101361,-0.02017,-0.034373,-0.038426,-0.069519,-0.079389,-0.054143,-0.03949,-0.031837,-0.023534,4.2e-05,0.000101,0.000125,0.000306,0.000271,7.2e-05,4.2e-05,-6e-06,6e-06,-0.001001,-0.001259,-0.00132,-0.001254,-0.000485,0.000165,8.7e-05,3.8e-05,0.000625,0.6669,0.776804,1,0,0,0,0,0,0,0,0,0,0
7,-0.000331,-0.005713,-0.006283,-0.027563,-0.028774,-0.040098,-0.059195,-0.067216,-0.088973,0.014511,0.018972,0.024075,0.020639,0.058118,0.05316,0.050417,0.053202,0.036113,8.3e-05,0.000518,0.000466,-0.001273,-0.013218,-0.018393,-0.023858,-0.023568,-0.023082,0.003612,0.011541,0.011344,0.018952,0.077722,0.09655,0.114332,0.10306,0.098019,0.000279,-0.00503,-0.017989,-0.077298,-0.101373,-0.108918,-0.126007,-0.145735,-0.166664,-0.00118,-0.00118,-0.025907,-0.029923,0.037272,0.047198,0.052218,0.06468,0.063355,-0.000238,0.001118,0.004264,0.006345,0.001511,-0.00029,-0.002391,-0.001025,0.000186,-0.000859,-0.002143,-0.056876,-0.061441,0.016954,0.019635,0.032563,0.003478,-0.024013,-0.004379,-0.013627,-0.068007,-0.080632,-0.06218,-0.078613,-0.083811,-0.101637,-0.124026,-0.014722,-0.018923,-0.05115,-0.06138,-0.035213,-0.020025,-0.012093,-0.003487,0.012296,7.7e-05,0.000107,0.00034,0.000294,3.9e-05,1e-06,-6.1e-05,-4.6e-05,-2.5e-05,-0.000331,-0.00041,-0.000325,0.000663,0.001498,0.001398,0.001336,0.002089,0.002108,0.694098,0.844562,1,0,0,0,0,0,0,0,0,0,0
8,-0.005244,-0.005799,-0.026532,-0.027712,-0.038744,-0.05735,-0.065165,-0.086363,-0.091476,0.004346,0.009318,0.00597,0.042486,0.037655,0.034983,0.037696,0.021046,0.031594,0.000424,0.000373,-0.001321,-0.012958,-0.018001,-0.023325,-0.023043,-0.022569,-0.026744,0.007725,0.007533,0.014945,0.072204,0.090548,0.107873,0.096891,0.09198,0.087684,-0.005173,-0.017799,-0.075583,-0.099039,-0.106391,-0.12304,-0.142261,-0.162651,-0.177486,0.0,-0.024092,-0.028004,0.037464,0.047135,0.052025,0.064167,0.062876,0.073989,0.001321,0.004387,0.006414,0.001704,-5e-05,-0.002098,-0.000766,0.000413,-0.001119,-0.00125,-0.054577,-0.059024,0.017355,0.019967,0.032563,0.004225,-0.022559,-0.018212,-0.00901,-0.061992,-0.074293,-0.056315,-0.072326,-0.077389,-0.094757,-0.116571,-0.108266,-0.004093,-0.035492,-0.045458,-0.019964,-0.005167,0.002561,0.010946,0.026324,0.026361,2.6e-05,0.000219,0.000182,-3.2e-05,-6.3e-05,-0.000115,-0.000102,-8.5e-05,-0.000115,-6.5e-05,5e-06,0.000829,0.001524,0.001441,0.001389,0.002017,0.002033,0.002708,0.712473,0.881116,1,0,0,0,0,0,0,0,0,0,0
9,-0.000552,-0.0212,-0.022375,-0.033362,-0.051891,-0.059674,-0.080784,-0.085876,-0.102045,0.004951,0.001617,0.037982,0.033171,0.03051,0.033212,0.016631,0.027136,0.026965,-5e-05,-0.001737,-0.013327,-0.018348,-0.023651,-0.02337,-0.022898,-0.027055,-0.026473,-0.000191,0.007191,0.064214,0.082482,0.099735,0.088799,0.083908,0.079629,0.077199,-0.012574,-0.070119,-0.093478,-0.1008,-0.11738,-0.136522,-0.156828,-0.171601,-0.202091,-0.023992,-0.027889,0.037309,0.04694,0.051811,0.063902,0.062617,0.073684,0.089411,0.003053,0.005072,0.000382,-0.001366,-0.003405,-0.002079,-0.000904,-0.00243,-0.005986,-0.053106,-0.057535,0.018529,0.02113,0.033674,0.005453,-0.02122,-0.016892,0.021451,-0.052763,-0.065013,-0.04711,-0.063054,-0.068097,-0.085393,-0.107116,-0.098846,-0.057863,-0.031269,-0.041195,-0.015805,-0.001069,0.006627,0.014977,0.030291,0.030328,0.045961,0.000188,0.000151,-5.6e-05,-8.7e-05,-0.000136,-0.000124,-0.000107,-0.000137,-0.000137,6.9e-05,0.000869,0.001544,0.001464,0.001413,0.002023,0.002038,0.002694,0.003804,0.772616,0.912566,1,0,0,0,0,0,0,0,0,0,0
