,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.187993,0.16017,0.574736,0.630756,0.618993,-0.011881,0.197977,-0.000363,-0.00604,0.0576,-0.096004,-0.128731,-0.37196,-0.531943,-0.470129,0.217454,0.230377,0.370333,0.51359,0.631248,0.279573,0.25367,0.698259,0.719327,0.727018,0.001803,0.281633,0.096191,0.074994,0.154154,-0.045942,-0.047382,-0.345518,-0.527144,-0.450851,0.032551,0.083363,0.283704,0.551221,0.659457,-0.179768,-0.136296,-0.085215,0.037731,0.028888,0.005048,0.075046,0.089828,0.072299,0.088606,-0.020102,-0.023556,-0.009675,0.001071,-0.010505,-0.011537,-0.009748,-0.021659,-0.010748,-0.015976,1.387294,0.944765,1,0,0,0,0,0,0,0,0,0,0
1,-0.056269,-0.032556,0.435385,0.436055,0.356685,0.015303,0.269445,0.013694,0.054589,0.178284,-0.004005,-0.016807,-0.399799,-0.369028,-0.034682,-0.008327,0.02134,0.231311,0.398942,0.272628,-0.039509,-0.017124,0.441927,0.500322,0.345386,0.07432,0.376545,0.083011,0.154477,0.330107,-0.002161,-0.001503,-0.443818,-0.378788,-0.187198,0.010053,0.066533,0.355146,0.545092,0.379176,0.018425,0.047223,0.118871,0.143504,0.110605,0.059773,0.107684,0.06951,0.105783,0.151638,0.000145,-0.000479,0.018624,-0.009697,0.091839,-0.00268,-0.002724,-0.002097,-0.023189,0.010997,0.909034,0.873472,1,0,0,0,0,0,0,0,0,0,0
2,0.029111,0.456226,0.513942,0.501823,0.493333,0.200498,-0.003847,-0.009696,0.055871,0.029039,-0.029606,-0.280197,-0.445023,-0.381338,-0.284683,0.021863,0.166056,0.31365,0.43487,0.299987,0.01388,0.471928,0.493634,0.501557,0.52277,0.21199,0.020935,-0.000904,0.080652,0.140744,0.000736,-0.306426,-0.49355,-0.414948,-0.316303,0.042027,0.248433,0.524048,0.63556,0.424366,0.025869,0.078496,0.205164,0.196053,0.119989,0.010743,0.025973,0.007914,0.024714,0.113838,-0.004431,0.012673,0.025913,0.011651,0.044585,0.005429,-0.009247,0.004196,-0.002245,-0.036828,0.975685,0.844364,1,0,0,0,0,0,0,0,0,0,0
3,-0.004954,0.494715,0.49543,0.410678,0.257804,0.062868,-0.210224,-0.166556,-0.034475,-0.175586,0.017118,-0.391842,-0.358985,-0.001969,0.045561,0.008942,0.233149,0.412146,0.277268,0.027289,0.009468,0.499644,0.561997,0.396557,0.488721,0.102259,-0.211177,-0.134865,0.052672,-0.086307,-6.3e-05,-0.472367,-0.402928,-0.198348,-0.012842,0.016604,0.324785,0.52761,0.350444,0.061563,0.003848,0.080354,0.106658,0.071528,0.024454,0.039988,-0.000774,0.037958,0.086922,0.140367,0.00484,0.035077,-0.009751,0.150964,0.058539,-0.007212,-0.00622,-0.039603,0.014507,-0.326001,0.501793,0.632475,1,0,0,0,0,0,0,0,0,0,0
4,0.48672,0.551765,0.538106,0.528538,0.016309,-0.298422,-0.305014,-0.231122,-0.261361,-0.147907,-0.300964,-0.48672,-0.414948,-0.30602,0.114514,0.152813,0.319148,0.455761,0.30375,-0.01813,0.505951,0.530414,0.539343,0.563249,0.123009,-0.326134,-0.350746,-0.258833,-0.191111,-0.03081,-0.346098,-0.556984,-0.4684,-0.357229,0.062204,0.214623,0.525236,0.650908,0.412896,-0.065575,0.05514,0.197892,0.187625,0.101902,-0.05433,-0.026171,-0.046523,-0.027589,0.072851,0.130264,0.030996,0.061568,0.028636,0.10468,0.094584,-0.021229,0.009812,-0.005062,-0.084913,-0.139131,0.538045,0.751898,1,0,0,0,0,0,0,0,0,0,0
5,0.062173,0.063053,-0.041207,-0.22927,-0.481974,0.002808,0.056527,0.21901,0.045419,0.294127,-0.16145,-0.12103,0.318164,0.376634,0.489858,0.102347,0.322545,0.156621,-0.150897,0.083618,0.028665,0.105371,-0.09815,0.015227,-0.458138,-0.015366,0.078511,0.309216,0.138247,-0.019454,-0.18814,-0.102717,0.148954,0.377159,0.460792,0.135485,0.384996,0.16705,-0.188325,-0.315819,0.031523,0.063881,0.020665,-0.037245,-0.40043,-0.020437,0.027211,0.087445,0.153193,-0.304938,0.053632,-0.137497,0.547732,0.153664,0.153996,0.055794,-0.086542,0.144164,-1.307635,-0.330228,0.406497,0.55574,1,0,0,0,0,0,0,0,0,0,0
6,0.012402,-0.004085,-0.015634,-0.633921,-0.494744,-0.010942,0.07825,0.04175,0.178695,0.399861,-0.052544,0.034089,0.165571,0.673177,0.67941,0.091947,0.256846,0.073361,-0.315164,0.1137,-0.000951,0.009826,0.038682,-0.49271,-0.422958,-0.01337,0.097574,0.179318,0.37281,-0.062108,-0.054496,0.052429,0.186618,0.692895,0.672849,0.230861,0.382554,0.095261,-0.482277,-0.430734,0.13879,0.126396,0.022925,-0.165655,-0.543631,-0.002836,0.020018,0.141255,0.210556,-0.434431,0.031702,-0.091238,0.192647,0.154957,0.154238,0.030128,-0.025397,-0.323493,-0.525899,-0.595011,0.472715,0.581174,1,0,0,0,0,0,0,0,0,0,0
7,-0.010936,-0.116662,-0.307371,-0.563631,-0.271106,0.06491,0.229679,0.053646,0.305853,0.458936,0.091099,0.536471,0.595765,0.710581,0.451396,0.135608,-0.03265,-0.344496,-0.106681,0.124015,0.078693,-0.127692,-0.012719,-0.492745,-0.331292,0.107948,0.341899,0.168524,0.008605,-0.291288,0.138596,0.393808,0.625224,0.710033,0.423345,0.032854,-0.188158,-0.548533,-0.677821,-0.661066,-0.099548,-0.143372,-0.202096,-0.570391,-0.727266,0.051022,0.112104,0.178777,-0.2858,-0.414498,-0.233512,0.522118,0.087563,0.087929,0.087926,-0.178577,0.075833,-1.525126,-0.447299,-0.450403,0.512106,0.688777,1,0,0,0,0,0,0,0,0,0,0
8,-0.004651,-0.015352,-0.588247,-0.459288,-0.055861,0.019578,-0.014243,0.112648,0.317577,0.519937,-0.008238,0.113591,0.58393,0.589706,0.311619,0.021037,-0.148977,-0.508978,-0.1116,0.057928,-0.06647,-0.039733,-0.532112,-0.467481,-0.144964,-0.002082,0.07366,0.252946,-0.150041,-0.025597,-0.035584,0.088754,0.557862,0.539287,0.271536,0.108636,-0.157565,-0.692702,-0.644943,-0.582151,0.085236,-0.010639,-0.185374,-0.535601,-0.612752,-0.028397,0.08394,0.148152,-0.449482,-0.55275,0.118755,0.285224,0.263122,0.262701,0.262707,0.113389,-0.061414,-0.180104,-0.220631,-0.222337,0.40488,0.443252,1,0,0,0,0,0,0,0,0,0,0
9,-0.098486,-0.28456,-0.534592,-0.249177,-0.045458,0.141105,-0.030651,0.215427,0.36479,0.432198,0.442822,0.500674,0.6127,0.359814,0.215855,-0.185295,-0.489561,-0.257527,-0.032437,-0.046786,-0.134617,-0.022439,-0.490798,-0.333269,-0.126573,0.230356,0.061195,-0.094838,-0.387442,0.007434,0.284743,0.510535,0.593283,0.313562,0.162841,-0.324736,-0.676353,-0.802498,-0.78615,-0.443936,-0.128355,-0.185652,-0.544996,-0.698059,-0.397835,0.088114,0.153166,-0.300119,-0.42569,-0.420101,0.513766,0.147963,0.148271,0.148268,0.149615,0.097371,-1.250298,-0.342996,-0.345609,-0.345762,0.695158,0.580635,1,0,0,0,0,0,0,0,0,0,0
