,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.016368,0.106313,-0.019886,0.035442,0.16351,0.344734,0.361915,0.338361,0.898218,0.978667,-0.008614,0.003285,-0.118317,-0.226789,-0.199033,0.290498,0.288002,0.530823,0.87341,0.710306,-0.045669,0.126071,-0.049314,0.026572,0.202016,0.317047,0.130564,-0.312764,0.788886,0.834961,0.005688,0.002182,-0.043161,-0.111816,-0.141232,0.259503,0.212104,0.258005,0.553077,0.480023,-0.02146,-0.067965,-0.082391,-0.031871,-0.101638,0.023375,0.14293,0.565196,0.041627,0.053334,-0.000512,-0.000521,-0.001296,-0.001474,-0.001366,2e-06,0.07298,0.106856,-0.02352,-0.023519,0.753124,0.398982,1,0,0,0,0,0,0,0,0,0,0
1,0.21628,0.132277,0.009309,0.180552,0.204417,0.135531,-0.057102,0.699216,0.863298,0.962651,0.07035,-0.028816,-0.132558,-0.283516,-0.353897,0.095912,0.114515,0.62415,0.731146,0.740299,0.363891,0.102248,0.03758,0.27553,0.328849,0.775902,-0.978156,0.844337,0.833658,1.135341,-6.2e-05,0.003581,-0.058036,-0.259963,-0.603149,-0.021639,-0.033112,0.279188,0.385048,0.559653,-0.136935,-0.090338,-0.084392,-0.132979,-0.189472,0.521702,0.815123,0.051711,-0.080104,0.053463,0.000143,-0.002431,-0.006562,-0.007417,-0.004958,-0.117764,0.60611,-0.184128,-0.183447,-0.18493,0.320264,0.318795,1,0,0,0,0,0,0,0,0,0,0
2,-0.047146,-0.201287,-0.133709,0.022715,0.071959,-0.102458,-0.131228,0.552588,0.650849,0.948682,-0.049542,-0.198068,-0.330558,-0.296655,-0.325765,-0.090406,0.206178,0.624618,0.425402,0.477949,-0.121671,-0.335889,-0.2432,-0.028911,0.06969,-0.934474,-1.47596,-0.130391,-0.074114,0.48182,-0.004225,-0.059609,-0.143464,-0.179394,-0.459786,-0.038184,0.01788,0.378284,0.289055,0.456326,0.067921,0.0503,0.112006,0.026792,-0.031977,-0.329146,0.186615,-0.452879,-0.438581,-0.464963,-0.00011,-0.003252,-0.003978,-0.003539,-0.002692,0.357196,0.494579,-0.034155,-0.034149,-0.034952,0.436257,0.363012,1,0,0,0,0,0,0,0,0,0,0
3,-0.027141,-0.130659,0.013498,0.033589,0.168572,-0.067466,0.569225,0.707354,0.790992,1.011291,-0.037691,-0.125024,-0.252105,-0.311354,-0.238332,0.09922,0.528245,0.618318,0.626023,0.345008,-0.107804,-0.162243,0.038071,0.082956,0.135403,-0.612918,0.92131,0.91232,1.166286,1.476421,0.006972,-0.044898,-0.214886,-0.503791,-0.343331,0.025634,0.288538,0.377653,0.524641,0.402147,-0.02355,-0.018544,-0.059446,-0.107003,0.023999,0.551228,-0.091435,-0.202401,-0.08996,0.012297,-0.000708,-0.001946,-0.002202,-0.001465,-0.001881,0.011072,-0.225698,-0.225494,-0.225938,-0.225609,0.656597,0.647702,1,0,0,0,0,0,0,0,0,0,0
4,-0.125145,-0.057367,0.099519,0.148908,0.218946,0.044355,0.730191,0.828743,1.127455,1.229348,-0.108065,-0.240946,-0.206944,-0.23614,-0.260941,0.189793,0.609469,0.409664,0.462367,0.455342,-0.097869,-0.004906,0.210016,0.308908,0.255821,0.122016,1.47156,1.528003,2.08558,2.381789,-0.063113,-0.147216,-0.183252,-0.464472,-0.495886,0.028414,0.389883,0.30039,0.468155,0.559781,0.007882,0.069771,-0.015696,-0.074638,0.021358,-0.080875,-0.722258,-0.707917,-0.734377,-0.527197,-0.001953,-0.002694,-0.002246,-0.001382,-0.000349,0.120632,-0.419133,-0.419127,-0.419946,-0.419505,0.543245,0.84815,1,0,0,0,0,0,0,0,0,0,0
5,0.012687,0.167583,0.18917,0.334209,0.356444,0.640199,0.788617,0.878485,1.115194,1.121207,0.013166,-0.123382,-0.187044,-0.108582,0.04185,0.273053,0.369835,0.378115,0.076167,-0.016475,0.038414,0.253649,0.301878,0.358232,0.511015,1.527696,1.518036,1.79092,2.124157,2.2246,0.006759,-0.175891,-0.486317,-0.313903,-0.196619,0.254353,0.350107,0.508044,0.376425,0.424978,-0.002426,-0.046375,-0.097475,0.043286,0.18464,-0.610454,-0.729686,-0.60887,-0.498995,-0.414807,-0.000224,-0.000647,0.000571,-0.000117,-0.003343,-0.504098,-0.503761,-0.504496,-0.503951,-0.518184,1.170504,1.160938,1,0,0,0,0,0,0,0,0,0,0
6,0.061704,0.237826,0.293272,0.371898,0.390066,0.04411,0.154746,0.490084,0.604471,0.403652,-0.164101,-0.12593,-0.158705,-0.186548,0.064625,0.161563,-0.062741,-0.003576,-0.011463,-0.204699,0.06081,0.302084,0.413103,0.353506,0.482677,-0.216992,-0.153628,0.472316,0.804844,0.620117,-0.102078,-0.142533,-0.458235,-0.493501,-0.139883,0.11742,0.016955,0.20529,0.308151,0.153788,0.072228,-0.023718,-0.089888,0.017879,0.050497,-0.02793,-0.01183,-0.041535,0.191048,0.189886,-0.001126,-0.00012,0.001822,0.004144,-0.020189,0.000812,0.000825,-0.001016,-2.5e-05,-0.023676,0.908689,0.97394,1,0,0,0,0,0,0,0,0,0,0
7,0.117938,0.143278,0.313533,0.339633,0.417685,0.12855,0.234042,0.511904,0.518962,0.408941,0.00962,-0.06511,0.026993,0.203578,0.288639,-0.053671,-0.043952,-0.398395,-0.507143,-0.600089,0.189693,0.246307,0.312458,0.491804,0.47501,0.21333,0.533657,0.924829,1.042734,1.042552,-0.108715,-0.473109,-0.270721,-0.133046,-0.051738,-0.009174,0.176222,0.02172,0.078714,-0.128286,-0.126372,-0.186356,-0.021124,0.144806,0.031194,-0.111043,0.030778,0.159755,0.25858,0.366176,0.000136,0.003877,0.001765,-0.008144,-0.017016,1e-06,-0.002257,-0.000583,-0.044296,-0.015359,1.529262,1.8473,1,0,0,0,0,0,0,0,0,0,0
8,0.070656,0.133625,0.222921,0.243554,0.326231,-0.015357,0.365485,0.495393,0.267323,0.329259,0.032799,-0.004424,-0.036044,0.24921,0.27987,-0.195869,-0.128676,-0.137632,-0.35709,-0.410504,0.065942,0.192025,0.124342,0.27104,0.306178,-0.162037,0.548843,0.926494,0.7167,0.822839,0.073304,-0.285237,-0.325288,0.076313,0.02823,-0.104036,0.109856,0.226674,0.051365,0.031258,0.029651,-0.045498,0.076892,0.113937,0.146706,0.140085,0.10635,0.370493,0.369173,0.415836,0.002193,0.006926,0.012585,-0.046711,-0.03026,3.2e-05,-0.004456,-0.002041,-0.059675,-0.015116,1.183789,1.07567,1,0,0,0,0,0,0,0,0,0,0
9,-0.049572,0.166413,0.199523,0.298541,0.274782,0.151587,0.504082,0.513036,0.373464,0.376735,-0.132736,-0.015895,0.208121,0.316029,0.488586,0.238862,-0.210784,-0.348741,-0.466652,-0.362015,-0.004446,0.079474,0.306991,0.285686,0.399466,0.593768,1.090007,1.239582,1.239351,1.023451,-0.547048,-0.2903,-0.115646,-0.012498,0.320684,0.355514,0.159514,0.231816,-0.030783,-0.300491,-0.110388,0.099225,0.309723,0.165596,-0.142892,0.017899,0.181518,0.306887,0.443383,0.230979,0.013714,0.002544,-0.049852,-0.096763,-0.111426,-0.012023,-0.003176,-0.234312,-0.081303,-0.176534,1.260784,1.211141,1,0,0,0,0,0,0,0,0,0,0
