,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.179974,-0.457777,-0.473235,-0.511138,0.105769,-0.15609,-0.230215,-0.278225,-0.502712,0.155371,-0.21125,-0.379183,-0.439729,-0.293531,-0.038281,-0.10076,-0.34235,-0.367664,-0.466221,0.067659,-0.014793,-0.376791,-0.415765,-0.456473,0.104168,-0.06979,-0.377268,-0.318799,-0.416511,0.323835,-0.171791,-0.467309,-0.510563,-0.439082,0.022742,-0.017949,-0.382582,-0.34592,-0.322576,0.229909,0.090599,-0.061533,-0.002337,0.131096,0.170318,0.156178,-0.047561,-0.010214,0.09925,0.165092,2.3e-05,0.00022,0.000216,0.000249,-0.001474,-0.001684,-0.003313,-0.003218,-0.002791,0.001774,0.485532,0.642545,1,0,0,0,0,0,0,0,0,0,0
1,-0.067206,-0.283049,-0.306435,0.519774,0.552771,0.148188,-0.142247,-0.12053,0.331069,0.390692,-0.296205,-0.191954,-0.204203,-0.036174,-0.030251,-0.008561,-0.287276,-0.212845,0.310473,0.195481,-0.112678,-0.388143,-0.422245,0.412544,0.391966,0.002979,-0.290641,-0.232265,0.387784,0.430169,-0.397611,-0.326492,-0.349286,-0.009521,-0.09289,-0.043623,-0.381646,-0.263548,0.317105,0.30534,-0.066592,-0.122546,-0.077673,0.020617,0.081991,-0.132703,-0.18079,-0.158906,-0.002369,-0.032275,0.00019,0.000194,0.000203,-0.002149,0.000992,-0.001488,-0.001536,-0.00148,-0.000482,0.00282,0.427432,0.422029,1,0,0,0,0,0,0,0,0,0,0
2,-0.220345,-0.23653,-0.276213,0.369675,0.596498,-0.233074,-0.28334,-0.518373,0.170626,0.29928,0.134934,0.071544,0.22461,0.491851,0.319267,-0.243958,-0.270461,-0.373648,0.185313,0.234957,-0.260792,-0.301596,-0.344217,0.242762,0.425618,-0.325048,-0.263833,-0.366135,0.408991,0.503168,0.107744,0.062458,0.137297,0.620816,0.340827,-0.335998,-0.297613,-0.273172,0.305268,0.399595,-0.089414,-0.027437,0.112264,0.153329,0.165864,-0.074088,-0.034986,0.079619,0.148555,0.110863,6e-06,1e-06,4.6e-05,-0.00233,0.001959,-0.000165,-3.4e-05,0.000555,0.00685,0.008503,0.47723,0.45731,1,0,0,0,0,0,0,0,0,0,0
3,-0.006084,-0.03055,0.833816,0.868337,0.881866,-0.071427,-0.048707,0.423747,0.486124,0.532475,-0.02549,-0.038305,0.137484,0.143681,0.165791,-0.048313,0.029555,0.577042,0.456738,0.489006,-0.028128,-0.063804,0.809537,0.78801,0.827178,0.016956,0.078027,0.726712,0.771054,0.819667,-0.033038,-0.056885,0.298571,0.211353,0.204893,-0.01858,0.104972,0.712442,0.700134,0.768576,0.030626,0.077572,0.180401,0.244609,0.277333,0.023573,0.046467,0.210233,0.178946,0.186515,-0.0,1.2e-05,-0.003214,0.001094,0.002503,9.5e-05,0.000173,0.001542,0.006071,0.004626,0.747708,0.706279,1,0,0,0,0,0,0,0,0,0,0
4,-0.009794,-0.048337,0.578995,0.799301,0.916761,0.020749,-0.207532,0.461672,0.58663,0.587298,-0.036742,0.111927,0.37149,0.203865,0.170616,0.021316,-0.078907,0.463995,0.512213,0.523918,-0.012235,-0.053632,0.516484,0.694086,0.875712,0.042942,-0.056421,0.696436,0.787907,0.813201,-0.011805,0.060883,0.530511,0.258566,0.229689,0.055378,0.079117,0.640939,0.732556,0.788867,0.030367,0.166055,0.205939,0.218114,0.262934,0.015018,0.126332,0.193286,0.156678,0.188113,-4e-06,3.2e-05,-0.001905,0.001592,0.001344,2.8e-05,0.000508,0.005641,0.006989,0.004669,0.716492,0.701852,1,0,0,0,0,0,0,0,0,0,0
5,-0.014078,0.830313,0.864037,0.877253,0.926109,0.001385,0.462922,0.523857,0.569137,0.59412,0.024332,0.196059,0.202112,0.223711,0.210045,0.05469,0.589525,0.472001,0.503524,0.510146,-0.02258,0.830579,0.809549,0.847812,0.898604,0.016591,0.650286,0.693603,0.741093,0.822783,-0.011455,0.335787,0.250583,0.244273,0.252555,0.065154,0.658586,0.646562,0.713423,0.754419,0.015404,0.115857,0.178581,0.21055,0.246777,0.007302,0.167284,0.13672,0.144114,0.199749,1.4e-05,-0.002724,0.000934,0.00213,0.000812,3.8e-05,0.0012,0.005045,0.003819,0.004234,0.768589,0.784325,1,0,0,0,0,0,0,0,0,0,0
6,-0.024324,0.598318,0.816977,0.933559,0.930337,-0.227944,0.436257,0.56028,0.560943,0.582426,0.123479,0.381102,0.214729,0.181729,0.209275,-0.153593,0.38525,0.433107,0.444725,0.454472,-0.018742,0.547111,0.723385,0.903653,0.911722,-0.115038,0.63219,0.722977,0.748081,0.780782,0.083481,0.549598,0.279686,0.251024,0.273841,-0.040915,0.516707,0.607639,0.663529,0.689142,0.11943,0.159016,0.1711,0.215585,0.230964,0.103255,0.169709,0.133374,0.164574,0.177918,2.1e-05,-0.001817,0.001501,0.001266,0.001876,0.000421,0.005291,0.00657,0.004368,0.003637,0.785233,0.797249,1,0,0,0,0,0,0,0,0,0,0
7,0.854391,0.887549,0.900543,0.94858,0.959293,0.68027,0.740183,0.784703,0.809267,0.818014,0.046161,0.052113,0.073349,0.059913,0.102476,0.678467,0.562915,0.593908,0.600419,0.627129,0.857466,0.836789,0.87441,0.92435,0.924386,0.73736,0.779951,0.826644,0.906964,0.891192,0.258472,0.174698,0.168494,0.176637,0.193933,0.624126,0.612304,0.678043,0.718351,0.739245,-0.019894,0.041778,0.07321,0.10883,0.100946,0.054707,0.024656,0.031926,0.086628,0.060429,-0.002453,0.000796,0.001859,0.000688,0.0027,0.00063,0.004046,0.002956,0.003325,0.003643,0.77151,0.7675,1,0,0,0,0,0,0,0,0,0,0
8,-0.269931,-0.021186,0.111435,0.10777,0.131249,-0.023293,0.117795,0.118549,0.142988,0.202355,0.240216,0.050953,0.013412,0.044748,0.09631,-0.163834,-0.109391,-0.096175,-0.085087,-0.017593,-0.338054,-0.137526,0.067545,0.076723,0.081679,0.005792,0.109071,0.137629,0.174829,0.206041,0.234311,-0.072738,-0.105344,-0.079387,-0.058118,-0.080255,0.023189,0.086769,0.115906,0.152693,0.067811,0.081557,0.132163,0.149658,0.117618,0.01296,-0.028374,0.007118,0.022298,-0.009088,0.001796,0.009977,0.009396,0.0109,0.015527,0.010381,0.013535,0.008107,0.006305,0.008167,0.766279,0.779904,1,0,0,0,0,0,0,0,0,0,0
9,0.291464,0.305548,0.357613,0.369224,0.04536,0.086987,0.13524,0.161864,0.171344,0.206403,-0.220946,-0.197929,-0.212492,-0.16636,0.207536,0.029849,0.063442,0.070498,0.099448,0.169409,0.297602,0.338378,0.392505,0.392544,0.039906,0.040678,0.091287,0.178342,0.161248,0.209257,-0.312605,-0.319329,-0.310503,-0.291757,0.103455,0.063158,0.134409,0.178098,0.200744,0.207224,0.002651,0.036719,0.075326,0.066781,0.005318,-0.044839,-0.03696,0.022329,-0.006067,0.002142,0.004486,0.006353,0.004296,0.007831,0.006707,-0.00107,-0.002984,-0.002336,-0.001777,0.001126,0.790969,0.79614,1,0,0,0,0,0,0,0,0,0,0
