,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.040312,-0.577458,-0.537805,0.028639,0.05722,0.019642,0.027243,0.023307,0.088148,0.108042,0.010897,0.670336,0.701167,0.122003,0.110155,0.066314,0.287556,0.319317,0.363914,0.397827,0.053556,-0.739947,-0.726723,0.031431,0.062999,-0.003374,0.110233,0.145853,0.093344,0.086189,-0.033293,0.814347,0.836452,0.034476,0.037985,0.19838,0.518589,0.509437,0.683056,0.704424,0.135837,0.243735,0.201903,0.327288,0.312561,-0.020293,0.079093,0.121601,0.005585,-0.020541,0.010649,-0.536151,-0.536649,-0.0541,-0.102871,-0.028693,0.375955,0.464482,0.289758,0.275203,1.127901,0.985877,1,0,0,0,0,0,0,0,0,0,0
1,0.01265,-0.595692,-0.334248,0.015511,0.007882,0.00543,0.001207,0.042231,0.082477,0.090359,0.01588,0.696599,0.178305,0.098416,0.108361,0.207088,0.238304,0.273724,0.330901,0.352951,0.02925,-0.789021,-0.717598,0.012942,-0.002238,-0.019364,0.133933,0.107271,0.093823,0.090982,0.020162,0.880197,0.135198,0.069496,0.077164,0.381189,0.31,0.43535,0.500682,0.50907,0.172518,0.080166,0.166308,0.172157,0.158979,-0.020705,0.12789,0.114765,0.010656,-0.001251,-0.041741,-0.562331,-0.051905,-0.110734,-0.096465,-0.030553,0.469989,1.380926,0.306901,0.315657,1.096744,0.983197,1,0,0,0,0,0,0,0,0,0,0
2,-0.547074,-0.512661,-0.021068,0.003736,-0.008986,0.001902,-0.001515,0.054758,0.072023,0.090164,0.558567,0.585323,0.082692,0.07241,0.08313,0.012941,0.040505,0.079209,0.108641,0.154362,-0.713939,-0.702462,-0.044493,-0.017097,-0.04106,0.115338,0.146251,0.100681,0.094472,0.100159,0.718196,0.73738,0.04138,0.044426,0.057635,-0.051712,-0.059655,0.091022,0.109566,0.119242,-0.055533,-0.091838,0.016979,0.004198,-0.031831,0.104157,0.141047,0.040362,0.017689,0.003504,-0.187666,-0.187851,-0.008924,-0.027007,-0.022467,0.161084,0.193909,0.129122,0.123725,0.129233,1.07397,0.968186,1,0,0,0,0,0,0,0,0,0,0
3,0.02012,0.236178,0.525221,0.518916,0.510746,-0.005307,0.028595,0.061855,0.068369,0.101403,0.028708,-0.399613,-0.465634,-0.457415,-0.442908,0.013429,0.0427,0.089952,0.108174,0.17495,0.006112,0.065136,0.668858,0.656313,0.619966,0.016453,-0.005581,-0.016694,-0.019042,-0.008154,0.024334,-0.591338,-0.645634,-0.639297,-0.617585,-0.009409,0.094182,0.148172,0.155104,0.163741,-0.023246,0.047943,0.052776,0.041886,-0.016674,0.023254,0.012407,-0.073629,-0.083469,-0.109543,-0.000347,0.134017,0.118531,0.122287,0.122874,0.014432,0.254227,-0.028499,-0.026194,-0.016109,1.059789,0.976644,1,0,0,0,0,0,0,0,0,0,0
4,0.012392,0.468302,0.491306,0.479508,0.477838,0.001982,0.05417,0.070182,0.087006,0.110041,-0.003043,-0.469192,-0.478727,-0.468786,-0.450605,0.012532,0.048427,0.075722,0.118125,0.149338,0.004713,0.614925,0.640332,0.618108,0.585101,0.012704,-0.029559,-0.035317,-0.030042,-0.023425,-0.005821,-0.651303,-0.648479,-0.636227,-0.611647,0.001764,0.141504,0.158702,0.167676,0.160699,-0.011113,0.089805,0.077952,0.044539,0.005825,0.011648,-0.081729,-0.102757,-0.115912,-0.136176,0.000172,0.105757,0.095086,0.097765,0.097877,0.007678,-0.030553,-0.033737,-0.030488,-0.021346,1.065553,0.974942,1,0,0,0,0,0,0,0,0,0,0
5,0.192773,0.466864,0.460886,0.453138,0.454236,0.030212,0.061751,0.067928,0.099254,0.11359,-0.403191,-0.465796,-0.458003,-0.444247,-0.433403,0.01551,0.060318,0.077597,0.140919,0.139684,0.051365,0.623858,0.611962,0.577495,0.560139,-0.033308,-0.043847,-0.046073,-0.035748,-0.036511,-0.578135,-0.629623,-0.623614,-0.603025,-0.585532,0.096508,0.147706,0.154279,0.162469,0.151412,0.078366,0.082949,0.072622,0.017092,0.006394,-0.021668,-0.103254,-0.112585,-0.13731,-0.154167,0.092497,0.081819,0.084409,0.084813,0.082738,0.158802,-0.036135,-0.034546,-0.027593,-0.023413,1.066597,0.970414,1,0,0,0,0,0,0,0,0,0,0
6,0.263629,0.287076,0.27505,0.273348,0.274987,0.021681,0.038002,0.05515,0.078629,0.086519,-0.054593,-0.064313,-0.05418,-0.035648,-0.030701,0.020409,0.04823,0.09145,0.123264,0.126605,0.568394,0.594291,0.571639,0.537996,0.525174,-0.008335,-0.014205,-0.008828,-0.002084,-0.005806,-0.054911,-0.052032,-0.039545,-0.014491,-0.002927,0.041772,0.059302,0.068448,0.061338,0.056025,0.021125,0.009044,-0.025013,-0.064473,-0.073962,-0.072576,-0.094009,-0.107417,-0.128072,-0.140747,-0.003541,-0.015737,-0.012675,-0.012548,-0.015054,-0.256957,-0.260597,-0.256883,-0.246434,-0.242624,1.062221,0.976116,1,0,0,0,0,0,0,0,0,0,0
7,0.02254,0.016224,0.008039,0.0092,0.015515,0.011358,0.017883,0.050976,0.06612,0.061448,-0.010843,-0.00261,0.011922,0.023377,0.029951,0.026664,0.044918,0.111812,0.110507,0.105947,0.029097,0.01653,-0.019881,-0.038216,-0.04669,-0.002691,-0.005043,0.005864,0.005059,-0.013098,0.001224,0.007572,0.029322,0.047802,0.054633,0.011777,0.018721,0.027373,0.015692,0.012551,-0.016555,-0.027464,-0.086127,-0.097428,-0.096061,-0.012681,-0.022538,-0.048658,-0.066465,-0.080827,-0.011806,-0.008004,-0.00741,-0.010457,-0.01067,-0.005283,-0.00295,0.00726,0.013397,0.017381,1.055132,0.967274,1,0,0,0,0,0,0,0,0,0,0
8,0.00122,-0.011079,-0.01282,-0.011144,-0.001903,0.005222,0.02276,0.046772,0.054841,0.048203,0.001009,0.011372,0.030324,0.035384,0.057623,0.001529,0.045731,0.078267,0.081684,0.084905,-0.002896,-0.026062,-0.06047,-0.073582,-0.077324,-0.003286,0.002213,0.00911,0.005304,-0.023736,0.001708,0.014479,0.040102,0.051929,0.064342,0.006036,0.01539,0.008118,0.002684,-0.000569,0.00436,-0.03047,-0.070826,-0.080531,-0.085517,-0.009116,-0.022829,-0.043952,-0.056916,-0.079875,-0.001636,0.001947,0.002097,-0.000837,0.004823,0.001395,0.005742,0.01797,0.022428,0.025646,1.058746,0.969439,1,0,0,0,0,0,0,0,0,0,0
9,-0.00758,-0.015826,-0.014657,-0.008294,-0.001964,0.001363,0.034703,0.049961,0.045254,0.040563,0.007288,0.021929,0.033469,0.040092,0.069244,0.016865,0.084258,0.082943,0.07835,0.085979,-0.009771,-0.046455,-0.064926,-0.073464,-0.072652,0.000909,0.011898,0.011086,-0.007207,-0.03269,0.004691,0.026604,0.045221,0.052103,0.074665,0.000974,0.00969,-0.002078,-0.005243,-0.007158,-0.015342,-0.074442,-0.085828,-0.084451,-0.0929,-0.000836,-0.027151,-0.045091,-0.05956,-0.080546,0.005616,0.006242,0.003032,0.002808,0.006904,0.001085,0.01184,0.018306,0.022503,0.023706,1.067111,0.970055,1,0,0,0,0,0,0,0,0,0,0
