,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.052124,-0.03446,0.077026,0.531399,0.673315,0.115983,0.249324,0.143367,0.579414,0.629588,-0.017423,-0.051093,-0.161257,-0.558847,-0.558896,-0.027787,-0.133132,-0.309233,-0.46825,-0.430486,0.038102,-0.104072,0.118787,0.669414,0.653684,-0.015682,0.428053,0.300207,1.00803,1.18173,-0.02553,-0.152392,-0.196974,-0.613583,-0.656182,-0.309201,-0.119996,-0.177181,-0.387726,-0.059087,-0.14298,0.010375,0.125491,0.073369,0.365679,0.042058,0.15954,0.154362,0.442315,0.531967,-0.000705,0.010098,0.003043,0.0033,-0.019995,-1.2e-05,0.023677,0.021492,0.015756,0.153512,1.41797,2.052632,1,0,0,0,0,0,0,0,0,0,0
1,-0.110129,-0.097057,0.634433,0.703515,0.810435,0.17173,0.121961,0.58933,0.547574,0.537849,0.176829,-0.176199,-0.620711,-0.639257,-0.600099,-0.022876,-0.260242,-0.724265,-0.561158,-0.461207,-0.20065,-0.111487,0.77177,0.717768,0.799391,0.800552,0.546413,1.194784,1.266288,1.344386,0.078059,-0.332317,-0.639414,-0.773542,-0.719324,0.508594,0.128674,-0.296624,0.102845,0.362576,0.35541,0.226053,0.252091,0.491038,0.648407,0.394164,0.1878,0.398043,0.48341,0.569555,0.035484,0.046579,0.009301,0.064096,-0.024221,0.094649,0.092808,0.095338,0.511237,0.639204,1.239379,1.634256,1,0,0,0,0,0,0,0,0,0,0
2,0.006026,0.193767,0.958926,1.197912,1.284603,-0.012214,-0.190645,0.543654,0.628147,0.476912,-0.300489,-0.486004,-1.155543,-1.155624,-1.066843,-0.145861,-0.442414,-0.710197,-0.646604,-0.554809,0.037212,0.412504,1.339756,1.313265,1.385409,-0.356456,-0.571746,0.620222,0.912731,0.744288,-0.321253,-0.396327,-1.097893,-1.16963,-1.162817,-0.382566,-0.478866,-0.833422,-0.279997,0.006541,-0.231746,-0.037892,-0.125666,0.366582,0.568521,-0.345586,-0.354305,0.130606,0.281578,0.263877,0.078934,-0.19203,-0.182131,-1.076792,3.112179,0.013631,-0.070268,-0.290551,4.999861,5.4903,1.216601,1.368588,1,0,0,0,0,0,0,0,0,0,0
3,0.010725,0.9123,0.997444,1.129225,1.146865,-0.050422,0.525619,0.474154,0.462167,0.412546,-0.166479,-0.714349,-0.737206,-0.688944,-0.648883,-0.16216,-0.734076,-0.533044,-0.409853,-0.311654,0.076628,1.165258,1.0987,1.199301,1.227399,0.005435,0.804565,0.892694,0.988951,0.962236,-0.2186,-0.597103,-0.762417,-0.695593,-0.738298,-0.126249,-0.650436,-0.158084,0.162039,0.398521,0.047743,0.079835,0.37434,0.568301,0.715222,0.054602,0.313731,0.418947,0.525122,0.548454,0.011911,-0.149151,0.087597,-0.293992,2.563696,-0.014178,-0.003245,1.793719,2.346626,2.149276,1.218103,1.350566,1,0,0,0,0,0,0,0,0,0,0
4,0.150815,0.807436,1.012521,1.086915,1.066884,-0.10472,0.525418,0.597926,0.468143,0.412499,0.000606,-0.573958,-0.574028,-0.49784,-0.451699,-0.098827,-0.328625,-0.274052,-0.195279,-0.05604,0.248501,1.044221,1.021488,1.083398,1.08978,-0.189968,0.832917,1.083934,0.939384,0.920495,0.145411,-0.456637,-0.518197,-0.512351,-0.492926,0.038548,-0.265714,0.209208,0.4551,0.566225,0.120526,0.045203,0.467625,0.640919,0.616866,-0.059896,0.35623,0.485787,0.470597,0.508432,-0.101809,-0.098417,-0.405035,1.030607,2.271598,-0.018107,-0.093602,1.719525,1.887608,1.5057,1.309629,1.380574,1,0,0,0,0,0,0,0,0,0,0
5,0.603456,0.672474,0.779295,0.793594,0.77542,0.555366,0.513649,0.503933,0.46371,0.433263,-0.444612,-0.46314,-0.424019,-0.391546,-0.374512,-0.380138,-0.217182,-0.117324,-0.037725,0.08849,0.672592,0.618641,0.700187,0.722964,0.697237,0.808188,0.879625,0.957651,0.935996,0.971439,-0.429605,-0.563608,-0.50944,-0.544057,-0.502772,-0.457455,-0.058357,0.201132,0.392824,0.461724,-0.075765,0.16296,0.320184,0.439277,0.379163,0.260627,0.345914,0.43198,0.450893,0.516416,-0.005862,0.048578,-0.039167,0.617947,0.451633,0.008058,0.421263,0.548402,0.503022,0.593931,1.394338,1.51873,1,0,0,0,0,0,0,0,0,0,0
6,-0.050073,0.126993,0.191224,0.173929,0.1575,-0.02377,0.038832,-0.07322,-0.121262,-0.107607,-0.041486,-0.041547,0.024232,0.06407,0.08068,0.190258,0.237375,0.305387,0.425603,0.569166,-0.000664,-0.020291,0.033161,0.038671,0.026746,0.05683,0.273553,0.148752,0.132443,0.158445,-0.08056,-0.13371,-0.128662,-0.111891,-0.056609,0.205019,0.615057,0.827355,0.923299,0.988293,0.012431,0.377142,0.52676,0.505994,0.422774,0.092804,0.204661,0.191546,0.224212,0.236803,0.008059,-0.101592,0.411815,0.855612,0.49374,-0.03641,0.611992,0.6721,0.535524,0.493094,1.46459,1.511219,1,0,0,0,0,0,0,0,0,0,0
7,0.141264,0.269152,0.286272,0.264514,0.248124,-0.022111,-0.033744,-0.0819,-0.118352,-0.010243,0.026397,0.073234,0.112112,0.132504,0.195353,-0.027692,0.09186,0.187159,0.338266,0.67201,-0.063815,0.033815,0.061083,0.030283,0.027998,0.01898,0.112394,0.086468,0.128901,0.131303,-0.066099,-0.001248,-0.042692,0.006735,0.038736,0.23774,0.548407,0.777905,0.860393,0.988659,0.271251,0.459483,0.602064,0.530094,0.332392,-0.006563,0.096477,0.11912,0.197566,0.092599,0.167602,-0.141749,2.174958,1.588606,2.49369,1.566695,2.014933,1.854943,2.175449,1.680277,0.95423,0.885233,1,0,0,0,0,0,0,0,0,0,0
8,0.071615,0.153134,0.131184,0.110333,0.129449,0.103416,-0.038794,-0.099767,-0.082437,0.013016,-0.028687,0.054796,0.105356,0.126437,0.154308,0.089813,0.176129,0.328701,0.510905,0.732923,0.044256,0.112094,0.119087,0.103952,0.107832,0.254483,0.096091,0.075393,0.108393,0.107678,0.004186,0.010592,0.031877,0.102038,0.114825,0.262726,0.532165,0.653932,0.736419,0.860994,0.168879,0.358766,0.332411,0.226793,0.132365,0.149076,0.132431,0.173889,0.189869,0.092997,-0.876044,1.846973,4.200791,2.281487,3.273667,0.686334,1.005141,0.280767,0.055726,0.297651,1.745279,1.626298,1,0,0,0,0,0,0,0,0,0,0
9,0.070019,0.089411,0.064765,0.046199,0.070179,-0.12126,-0.175809,-0.2171,-0.094639,-0.036063,0.083036,0.127075,0.150175,0.221368,0.192827,0.041558,0.149508,0.320675,0.698727,0.812465,0.064338,0.095226,0.060337,0.057749,0.099654,-0.160151,-0.189519,-0.141452,-0.138732,-0.158364,0.069086,0.022139,0.078128,0.114378,0.147721,0.077328,0.337293,0.430732,0.576026,0.68571,0.036721,0.198231,0.116706,-0.107242,-0.121597,-0.039085,-0.013435,0.075425,-0.043477,-0.12027,0.452898,5.996954,4.593769,6.759703,5.20125,0.137858,-0.24501,0.521987,-0.662998,-1.158341,1.919107,1.584343,1,0,0,0,0,0,0,0,0,0,0
