,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_shoulder_elbow_wrist_dist,left_shoulder_elbow_wrist_dist,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.000946,0.004238,0.012191,0.036766,0.057063,-0.008996,-0.015743,-0.015208,-0.010752,-0.020406,0.039125,0.040332,0.013549,0.065085,0.104059,-0.204444,-0.318775,-0.164084,0.012918,-0.238783,-0.002537,-0.001577,0.003895,0.026385,0.060848,-0.046681,-0.066539,-0.061424,-0.048862,-0.05986,0.241141,0.163933,-0.019158,0.214002,0.209792,-0.420777,-0.563482,-0.203305,0.143404,0.315044,0.056074,0.105899,0.047677,-0.183608,0.131013,-0.036395,-0.048776,-0.043782,-0.035421,-0.039498,0.029631,0.013389,-0.032782,-0.050102,-0.632005,0.007591,0.010495,0.011279,0.011364,0.003623,0.679232,0.927711,1,0,0,0,0,0,0,0,0,0,0
1,0.001488,0.007754,0.023793,0.041376,0.079981,-0.006689,-0.00632,-0.001761,-0.003891,-0.013282,0.005242,-0.010907,0.015562,0.068623,0.080076,-0.165135,0.053976,0.242249,-0.238249,0.052965,0.0,0.00142,0.015589,0.042932,0.089823,-0.003153,-0.01578,-0.013446,-0.01432,-0.010579,-0.026319,-0.243627,-0.123404,0.100471,-0.123868,-0.19802,0.25478,0.724739,-0.369925,0.829974,0.039348,-0.021047,-0.120304,0.125848,0.135139,0.003758,-0.007978,-0.009752,-0.010532,0.00084,-0.004249,-0.06287,-0.0778,-0.050878,-0.595557,0.000464,0.004509,0.005748,0.000141,-0.005811,0.784458,0.930794,1,0,0,0,0,0,0,0,0,0,0
2,0.001763,0.009567,0.033679,0.053592,0.10779,-2.7e-05,0.000498,0.004871,-0.004602,-0.02469,-0.003983,-0.030261,0.020304,0.058544,0.061504,0.050592,0.202367,0.376034,0.129076,0.225308,0.000942,0.006311,0.028377,0.06219,0.11959,-0.016375,-0.011356,0.000969,-0.009822,0.002758,-0.049811,-0.229453,-0.000686,-0.004817,-0.176748,0.055167,0.408555,0.748731,0.917137,1.001475,0.010101,-0.047023,-0.27395,0.034742,0.118576,-0.015852,-0.010952,-0.002749,-0.006749,0.02488,-0.010376,-0.05079,-0.065951,-0.5753,-0.486769,0.002123,0.002809,0.002884,-0.003893,-0.009083,0.820892,0.938543,1,0,0,0,0,0,0,0,0,0,0
3,0.004446,0.020375,0.037836,0.076173,0.12983,0.000393,0.004921,0.002806,-0.006521,-0.031613,-0.012025,0.014261,0.066955,0.078329,0.063471,0.166622,0.353591,-0.12358,0.165618,0.17748,0.000461,0.014532,0.041686,0.088252,0.129789,0.003958,0.006277,0.005409,0.009123,0.037307,-0.165618,-0.046227,0.176097,-0.046688,-0.143711,0.394084,0.86079,-0.226297,0.965296,0.799515,-0.070154,-0.168724,0.075724,0.084951,0.016514,0.004316,0.002554,0.001779,0.013073,0.067653,-0.044904,-0.059126,-0.033482,-0.552309,-0.436223,0.001616,0.002797,-0.002544,-0.008214,-0.004638,0.749116,0.95492,1,0,0,0,0,0,0,0,0,0,0
4,0.003374,0.027365,0.04718,0.101107,0.127174,0.000134,0.004485,-0.00494,-0.024929,-0.010014,-0.014272,0.036041,0.07409,0.077035,0.075697,-0.013535,0.159266,-0.086461,0.009291,0.071827,0.004887,0.026843,0.060488,0.117602,0.147283,0.001084,0.013348,0.002611,0.015129,0.101884,-0.015182,0.212443,0.208333,0.037259,-0.197234,-0.037567,0.300912,0.468478,0.552395,0.505082,0.012444,-0.213352,0.093801,0.177218,0.298854,0.000613,0.008775,0.004794,0.036266,0.106751,0.002121,-0.012518,-0.504351,-0.418864,-0.295606,-0.000818,-0.000746,-0.007289,-0.012301,-0.031814,0.965892,1.005415,1,0,0,0,0,0,0,0,0,0,0
5,0.012451,0.029827,0.067977,0.121371,0.144939,0.004371,0.002266,-0.007015,-0.031985,-0.042089,0.040538,0.092974,0.104293,0.089507,0.094162,0.199695,-0.275146,0.01264,0.024444,0.108947,0.009079,0.0361,0.082439,0.123773,0.177288,0.001214,0.000351,0.004047,0.032093,0.096428,0.134106,0.355345,0.133647,0.037098,-0.041712,0.502281,-0.579498,0.606276,0.441305,0.275025,-0.110628,0.132627,0.141809,0.073706,0.086503,-0.002371,-0.003142,0.008097,0.06241,0.131791,-0.01598,0.008801,-0.492552,-0.380376,-0.055429,0.002004,-0.003158,-0.008636,-0.00518,-0.059047,0.792917,0.992433,1,0,0,0,0,0,0,0,0,0,0
6,0.0117,0.031625,0.085855,0.112068,0.147248,1.3e-05,-0.009465,-0.029565,-0.014567,-0.066145,0.010138,0.048401,0.051362,0.050016,0.083917,-0.025526,-0.272632,-0.176342,-0.113455,-0.047727,0.013019,0.046852,0.104287,0.134135,0.187948,0.011121,0.000323,0.012911,0.100153,0.100571,0.095064,0.090931,-0.081103,-0.316912,0.029188,-0.1609,0.007607,0.091995,0.044415,0.063681,-0.116655,0.192221,0.276106,0.398425,0.109887,0.010575,0.006571,0.03822,0.1091,0.158563,0.000534,-0.510949,-0.422047,-0.293864,-0.100622,-0.001901,-0.008705,-0.013917,-0.03421,-0.074716,0.73125,1.023339,1,0,0,0,0,0,0,0,0,0,0
7,0.005535,0.04289,0.095172,0.118249,0.126095,-0.002074,-0.011162,-0.035612,-0.045506,-0.060538,0.041398,0.05248,0.038003,0.04256,0.084235,-0.439906,-0.158114,-0.146556,-0.063814,0.033525,0.013685,0.059058,0.099531,0.151932,0.180174,-0.011756,-0.008137,0.019325,0.08232,0.088026,0.123361,-0.093719,-0.188258,-0.265426,-0.078423,-0.901383,0.259693,0.098158,-0.064659,0.309994,0.352642,0.361632,0.294948,0.307479,0.26429,-0.01113,-0.000125,0.053057,0.120992,0.139791,0.020918,-0.411748,-0.31494,-0.034512,-0.089693,-0.002791,-0.007518,-0.004536,-0.051023,-0.091256,0.802599,1.028818,1,0,0,0,0,0,0,0,0,0,0
8,0.013656,0.065501,0.090561,0.124193,0.115247,-0.00704,-0.026257,-0.011919,-0.061228,-0.046194,-0.003758,-0.000927,-0.002214,0.030196,0.064934,0.192409,0.284463,0.344584,0.40742,0.521214,0.019011,0.073918,0.102454,0.153899,0.169602,0.001133,0.013167,0.096572,0.096971,0.096662,-0.124154,-0.288621,-0.514057,-0.183181,-0.100793,1.039402,1.120078,1.074592,1.09301,1.251273,-0.048324,0.03187,0.148808,-0.127037,-0.127252,0.007018,0.037274,0.105037,0.152323,0.135115,-0.390757,-0.325871,-0.232315,-0.091275,-0.09947,-0.002639,-0.006443,-0.021254,-0.050818,-0.086669,0.802265,1.043854,1,0,0,0,0,0,0,0,0,0,0
9,0.022526,0.072985,0.095256,0.102829,0.106539,-0.001798,-0.025395,-0.034943,-0.049451,-0.055162,0.014418,0.000446,0.004844,0.045066,0.118216,0.081386,0.092541,0.172397,0.26634,0.312872,0.024961,0.064023,0.114596,0.141852,0.166456,0.002371,0.028875,0.089673,0.09518,0.069683,-0.086536,-0.177777,-0.252253,-0.071774,0.132291,0.091075,-0.064826,-0.221963,0.139621,0.331268,0.056541,-0.007817,0.004277,-0.037406,0.012004,0.00367,0.054997,0.120562,0.138705,0.117782,0.027978,0.103482,0.322199,0.279161,0.254122,-0.001219,0.001107,-0.03515,-0.066529,-0.092369,0.827715,1.053273,1,0,0,0,0,0,0,0,0,0,0
