,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,gt_idle,gt_sr,gt_sl,gt_r
0,-0.910901,-0.681921,-0.159332,-1.007015,-0.643011,0.91787,-0.236032,-1.312446,-0.962629,1.228611,1.346129,-0.323351,0.938238,0.731118,0.305556,0.225662,-0.084955,-0.178331,-0.016344,-0.201478,0.219564,1.488205,1.470367,0.200855,-1.193476,-0.867469,-0.607336,-1.10599,-0.791723,0.844903,-0.4753,-1.419593,-0.834077,0.704487,0.753933,-0.022691,1.089149,0.663544,0.496746,0.357367,0.025055,-0.070976,-0.018294,-0.132867,-0.126437,0.89323,0.87029,0.431287,0.007557,0.071222,-0.32282,-0.578726,-0.588908,0.234145,-0.276763,-0.141475,0.108262,-0.52654,-0.608781,0.277533,-79.853847,58.3959,-23.044788,-23.242642,-23.068852,2.849092,28.069885,21.648699,80.476985,50.524193,50.559411,65.929308,1,0,0,0
1,0.136547,0.448182,-0.057315,0.15975,1.090547,1.09119,-0.641896,-0.43329,0.873407,0.943487,-0.052071,-0.041508,-0.123511,-0.377286,-0.424929,-0.610158,-0.665841,-0.651889,-0.1104,0.140678,0.897204,0.886567,0.129522,0.153591,0.194407,0.349531,0.05217,0.239576,1.215542,1.21903,-0.563109,-0.213949,0.70354,0.733026,0.269903,0.270571,-0.2538,-0.353266,-0.436382,-0.634549,-0.691814,-0.669304,-0.068323,-0.064489,0.543567,0.529887,0.268098,0.2773,0.037965,-0.197013,-0.349617,-0.355689,0.13512,0.121015,0.080676,0.229601,-0.148949,-0.197992,0.330542,0.321232,3.707321,1.523398,1.518093,1.522753,2.217772,1.619658,-0.172191,1.405355,0.602137,0.603082,1.015243,0.829684,1,0,0,0
2,0.216753,-0.134838,0.016139,0.663542,0.663989,0.668532,0.145093,1.053949,1.102692,0.410245,0.417591,0.459194,-0.17651,-0.209647,-0.338481,-0.37721,-0.367507,-0.349407,0.174634,0.700826,0.693428,0.166875,0.183616,0.196382,0.107895,-0.098931,0.031417,0.710237,0.712663,0.714556,0.242854,0.881001,0.901509,0.579391,0.579855,0.611066,-0.069183,-0.126993,-0.264825,-0.304655,-0.288998,-0.272172,0.002667,0.425592,0.416077,0.233993,0.240393,0.245624,-0.163436,-0.269578,-0.273801,0.067575,0.057764,0.050145,0.103583,-0.159712,-0.193823,0.173791,0.167316,0.156631,-0.17198,-0.172398,-0.172031,-0.117299,-0.1644,-0.160579,0.124229,0.060977,0.061051,0.093508,0.078896,0.082935,1,0,0,0
3,-0.331121,-0.188934,0.420776,0.421197,0.425475,0.438778,0.855941,0.901846,0.249714,0.256633,0.295814,0.34107,-0.031208,-0.152541,-0.189015,-0.179877,-0.16283,-0.13287,0.495556,0.488588,-0.007308,0.008458,0.020481,0.027708,-0.194784,-0.072025,0.567273,0.569558,0.57134,0.578114,0.600993,0.620308,0.316943,0.317381,0.346774,0.377756,-0.054444,-0.184252,-0.221763,-0.207018,-0.191171,-0.173185,0.398302,0.389341,0.217858,0.223886,0.228812,0.243055,-0.099962,-0.103939,0.217561,0.208321,0.201146,0.207239,-0.247966,-0.280091,0.06612,0.060022,0.049959,0.034836,-0.000275,-3.3e-05,0.035932,0.004981,0.007492,0.062701,-0.041564,-0.041515,-0.020187,-0.029789,-0.027135,-0.015988,1,0,0,0
4,0.192978,1.020484,1.021056,1.026862,1.044917,1.067458,0.062303,-0.822778,-0.813387,-0.760211,-0.698788,-0.645678,-0.164674,-0.214178,-0.201774,-0.178639,-0.137976,-0.094213,-0.009456,-0.682492,-0.661094,-0.644777,-0.634968,-0.628833,0.16661,1.034273,1.037374,1.039793,1.048985,1.062576,0.026214,-0.385516,-0.384922,-0.345029,-0.302981,-0.261614,-0.176176,-0.227087,-0.207074,-0.185567,-0.161156,-0.133204,-0.012161,-0.2449,-0.236719,-0.230034,-0.210703,-0.206525,-0.005398,0.430946,0.418406,0.408667,0.416936,0.414177,-0.0436,0.426282,0.418005,0.404348,0.383822,0.370896,0.002046,0.307124,0.044582,0.065881,0.534199,0.977548,0.000415,0.181332,0.099882,0.122396,0.21695,0.319458,1,0,0,0
5,0.813634,0.814196,0.819905,0.837657,0.859821,0.883455,-0.870243,-0.86101,-0.808726,-0.748332,-0.696112,-0.664413,-0.048674,-0.036478,-0.013731,0.02625,0.06928,0.103921,-0.661753,-0.640714,-0.62467,-0.615026,-0.608993,-0.597187,0.853118,0.856167,0.858545,0.867584,0.880947,0.902981,-0.404828,-0.404244,-0.36502,-0.323676,-0.283003,-0.257034,-0.050057,-0.03038,-0.009233,0.014769,0.042252,0.06768,-0.228837,-0.220793,-0.21422,-0.195213,-0.191105,-0.186845,0.429029,0.416699,0.407123,0.415254,0.412541,0.404702,0.462005,0.453867,0.440439,0.420257,0.407547,0.40165,0.271029,0.037789,0.056711,0.472761,0.866629,1.086353,0.160726,0.088366,0.108367,0.192368,0.283436,0.292825,1,0,0,0
6,0.000355,0.003963,0.015181,0.029188,0.044123,0.054262,0.005835,0.038876,0.077041,0.110041,0.130074,0.141374,0.007707,0.022082,0.047348,0.074541,0.096431,0.118855,0.013296,0.023435,0.029529,0.033342,0.040803,0.039791,0.001927,0.00343,0.009142,0.017586,0.031511,0.039873,0.000369,0.025157,0.051283,0.076987,0.093398,0.096855,0.012435,0.025799,0.040967,0.058334,0.074404,0.088807,0.005083,0.009237,0.021249,0.023845,0.026537,0.030677,-0.007792,-0.013843,-0.008705,-0.01042,-0.015373,-0.010345,-0.005143,-0.013629,-0.026383,-0.034414,-0.038141,-0.046154,-0.009388,-0.008626,0.00812,0.023973,0.032817,0.045467,-0.002912,-0.002107,0.001274,0.004939,0.005317,0.005792,1,0,0,0
7,0.003581,0.014719,0.028624,0.043451,0.053517,0.06281,0.032802,0.070691,0.103453,0.12334,0.134559,0.147053,0.014271,0.039354,0.06635,0.088083,0.110344,0.129784,0.010066,0.016116,0.019901,0.027308,0.026304,0.026521,0.001492,0.007163,0.015546,0.02937,0.037672,0.048186,0.024608,0.050546,0.076063,0.092356,0.095788,0.104253,0.013267,0.028325,0.045567,0.061521,0.075819,0.090796,0.004124,0.016048,0.018626,0.021298,0.025409,0.025165,-0.006007,-0.000906,-0.002609,-0.007527,-0.002535,-0.002996,-0.008424,-0.021086,-0.02906,-0.03276,-0.040715,-0.044535,0.000724,0.01664,0.031707,0.040113,0.052136,0.058998,0.000765,0.003979,0.007462,0.007822,0.008273,0.007184,1,0,0,0
8,0.011126,0.025016,0.039828,0.049884,0.059167,0.066132,0.03785,0.070577,0.090444,0.101651,0.114132,0.126654,0.025057,0.052025,0.073735,0.095973,0.115393,0.134121,0.006044,0.009825,0.017224,0.016221,0.016438,0.023444,0.005665,0.01404,0.027849,0.036142,0.046645,0.054207,0.025911,0.051402,0.067677,0.071106,0.079562,0.085321,0.015042,0.032267,0.048203,0.062487,0.077448,0.091921,0.011912,0.014487,0.017156,0.021263,0.021019,0.020599,0.005096,0.003395,-0.001517,0.003469,0.003009,-0.004371,-0.012649,-0.020614,-0.02431,-0.032257,-0.036073,-0.042678,0.015801,0.030759,0.039103,0.051039,0.057852,0.064164,0.00319,0.006649,0.007005,0.007454,0.006373,0.005487,1,0,0,0
9,0.01425,0.029445,0.039761,0.049284,0.05643,0.057945,0.033574,0.053955,0.065452,0.078256,0.091102,0.095898,0.027666,0.049937,0.072751,0.092673,0.111886,0.124412,0.003879,0.011469,0.010441,0.010663,0.017851,0.020186,0.008592,0.022758,0.031266,0.042041,0.049798,0.057222,0.02615,0.042847,0.046364,0.055039,0.060948,0.062491,0.01767,0.034019,0.048672,0.06402,0.078868,0.090768,0.002641,0.00538,0.009593,0.009342,0.008911,0.008147,-0.001744,-0.006784,-0.001669,-0.002141,-0.009712,-0.012801,-0.008171,-0.011963,-0.020116,-0.02403,-0.030807,-0.033099,0.017887,0.027866,0.042139,0.050285,0.057834,0.058913,0.004136,0.004562,0.005099,0.003806,0.002746,-0.001168,1,0,0,0
