,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,gt_idle,gt_sr,gt_sl,gt_r
0,0.008486,0.011675,0.015024,0.014879,0.014783,0.01504,-0.028052,-0.030113,-0.029034,-0.027843,-0.029582,-0.01161,-0.004074,-0.003575,0.001063,0.009243,0.016329,0.02583,0.098488,0.094397,0.107199,0.107473,0.106121,0.103898,0.006538,0.007327,0.007633,0.004525,-0.002786,-0.002882,-0.030918,-0.039228,-0.039179,-0.055121,-0.064639,-0.062626,0.035508,0.047134,0.119808,0.150227,0.177104,0.19179,0.105122,0.114462,0.106539,0.099083,0.092111,0.092143,1,0,0,0
1,0.003143,0.006445,0.006302,0.006207,0.00646,0.006841,-0.002032,-0.000968,0.000206,-0.001508,0.016207,0.016937,0.000492,0.005064,0.013127,0.020112,0.029477,0.040826,-0.004032,0.008588,0.008857,0.007524,0.005333,0.002508,0.000778,0.001079,-0.001984,-0.009191,-0.009286,-0.017,-0.008191,-0.008143,-0.023858,-0.033239,-0.031255,-0.028302,0.011461,0.083097,0.113082,0.139575,0.154052,0.17264,0.009207,0.001397,-0.005953,-0.012826,-0.012794,-0.011842,1,0,0,0
2,0.003265,0.003124,0.00303,0.003281,0.003658,0.008336,0.001052,0.002214,0.000518,0.018039,0.018761,0.024758,0.004521,0.012497,0.019404,0.028667,0.039892,0.051117,0.012481,0.012748,0.011429,0.009263,0.006468,0.007646,0.000298,-0.002732,-0.009859,-0.009953,-0.017583,-0.017473,4.7e-05,-0.015495,-0.024774,-0.022811,-0.019891,-0.0046,0.070851,0.100507,0.126709,0.141027,0.159411,0.1715,-0.007724,-0.014993,-0.021791,-0.021759,-0.020817,-0.008933,1,0,0,0
3,-0.00014,-0.000234,1.6e-05,0.000389,0.005032,0.014317,0.001153,-0.00053,0.016856,0.017573,0.023524,0.035566,0.007914,0.014768,0.02396,0.035098,0.046237,0.064682,0.000265,-0.001044,-0.003194,-0.005967,-0.004798,-0.006668,-0.003007,-0.010079,-0.010173,-0.017744,-0.017635,-0.006932,-0.015423,-0.02463,-0.022682,-0.019785,-0.004611,0.006122,0.029428,0.055428,0.069636,0.087879,0.099874,0.10609,-0.007213,-0.013958,-0.013927,-0.012993,-0.0012,-0.004315,1,0,0,0
4,-9.3e-05,0.000156,0.000529,0.005169,0.014448,0.024521,-0.001681,0.015693,0.016409,0.022357,0.034391,0.052669,0.00685,0.016036,0.027168,0.038299,0.056733,0.069421,-0.001308,-0.003456,-0.006228,-0.00506,-0.006928,-0.010524,-0.007068,-0.007162,-0.014728,-0.014619,-0.003923,0.010026,-0.009201,-0.007255,-0.004359,0.010805,0.021532,0.030406,0.025984,0.040183,0.058414,0.070402,0.076614,0.077408,-0.006741,-0.00671,-0.005776,0.00601,0.002896,-0.002366,1,0,0,0
5,0.000249,0.000622,0.005256,0.014524,0.024585,0.029467,0.017354,0.018069,0.024009,0.036029,0.054285,0.087593,0.009175,0.020293,0.031411,0.049822,0.062496,0.078497,-0.002146,-0.004914,-0.003748,-0.005614,-0.009206,-0.007713,-9.3e-05,-0.007651,-0.007542,0.003141,0.017074,0.02079,0.001944,0.004836,0.019982,0.030696,0.039559,0.077144,0.014182,0.032391,0.044364,0.050569,0.051362,0.056291,3.1e-05,0.000964,0.012735,0.009625,0.00437,0.003032,1,0,0,0
6,0.000374,0.005018,0.014306,0.024388,0.029281,0.038148,0.000717,0.00667,0.018716,0.03701,0.07039,0.105858,0.011142,0.022284,0.040735,0.053435,0.069471,0.083355,-0.002774,-0.001605,-0.003475,-0.007075,-0.005579,-0.006311,-0.007574,-0.007464,0.003241,0.017204,0.020928,0.043306,0.002899,0.018077,0.028814,0.037696,0.075361,0.095588,0.018248,0.030247,0.036465,0.03726,0.0422,0.051565,0.000935,0.012732,0.009615,0.004348,0.003008,-0.000281,1,0,0,0
7,0.004611,0.013834,0.023845,0.028704,0.037508,0.055118,0.005911,0.017872,0.036038,0.069183,0.104402,0.100905,0.011064,0.029385,0.041996,0.057918,0.071706,0.092115,0.001161,-0.000696,-0.004271,-0.002785,-0.003513,-0.001919,0.000108,0.010739,0.024603,0.028302,0.050522,0.064355,0.015071,0.025733,0.034553,0.071953,0.092038,0.093199,0.011915,0.018089,0.018878,0.023783,0.033083,0.048634,0.011714,0.008619,0.003389,0.002058,-0.001207,-0.001934,1,0,0,0
8,0.009263,0.019318,0.024198,0.033041,0.050728,0.079791,0.012014,0.03026,0.06355,0.098922,0.09541,0.109242,0.018401,0.031068,0.04706,0.060908,0.081407,0.097648,-0.001865,-0.005455,-0.003963,-0.004694,-0.003093,-0.002533,0.010677,0.024602,0.028317,0.050635,0.064529,0.094586,0.010708,0.019567,0.057131,0.077304,0.07847,0.098969,0.006201,0.006994,0.01192,0.021261,0.03688,0.040812,-0.003108,-0.008361,-0.009698,-0.012977,-0.013708,-0.019582,1,0,0,0
9,0.010114,0.015023,0.023918,0.041708,0.070942,0.081822,0.018353,0.051838,0.087419,0.083886,0.097799,0.104708,0.012741,0.028827,0.042756,0.063375,0.079712,0.097783,-0.003611,-0.00211,-0.002845,-0.001235,-0.000672,0.00172,0.014007,0.017743,0.040192,0.054168,0.084401,0.089513,0.008911,0.046695,0.066987,0.068159,0.088779,0.093218,0.000797,0.005753,0.015148,0.030859,0.034814,0.040802,-0.005284,-0.006628,-0.009927,-0.010662,-0.016571,-0.016461,1,0,0,0
