,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_x_cumsum_7,left_elbow_x_cumsum_8,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,left_elbow_y_cumsum_7,left_elbow_y_cumsum_8,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_x_cumsum_7,right_elbow_x_cumsum_8,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,right_elbow_y_cumsum_7,right_elbow_y_cumsum_8,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_x_cumsum_7,left_wrist_x_cumsum_8,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,left_wrist_y_cumsum_7,left_wrist_y_cumsum_8,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_x_cumsum_7,right_wrist_x_cumsum_8,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_wrist_y_cumsum_7,right_wrist_y_cumsum_8,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,right_forearm_r_cumsum_7,right_forearm_r_cumsum_8,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,left_forearm_r_cumsum_7,left_forearm_r_cumsum_8,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,right_forearm_angle_cumsum_7,right_forearm_angle_cumsum_8,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,left_forearm_angle_cumsum_7,left_forearm_angle_cumsum_8,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.002341,0.003072,0.003984,0.004164,0.004344,0.004389,0.00494,0.005109,0.005109,-0.016903,-0.028607,-0.027729,-0.027864,-0.023228,-0.022969,-0.022474,-0.008902,0.001598,-0.004265,-0.011884,-0.018524,-0.018422,-0.00449,0.020358,0.020515,0.018332,0.062649,-0.067027,-0.080621,-0.076514,-0.048402,-0.053579,-0.074522,-0.078989,-0.066858,-0.143011,-0.000551,-0.001148,-0.000889,-0.000889,-0.001699,-0.002442,-0.002431,-0.002352,-0.003196,-0.000574,-0.002138,-0.001812,-0.002847,-0.0026,-0.001159,-0.00117,0.001463,0.005199,-0.022395,-0.022699,-0.061738,-0.0333,0.134718,0.281499,0.173554,0.137857,0.177346,-0.263403,-0.294407,-0.221427,0.019356,0.066284,0.053534,0.042888,0.044452,0.033153,-0.123114,-0.138381,-0.073368,0.064308,0.048661,0.038674,0.04714,0.046042,0.109502,0.016517,0.026735,0.026244,0.025364,0.021085,0.022336,0.021883,0.011006,0.004362,0.03154,0.032425,0.027918,-0.036709,-0.152907,-0.230068,-0.162221,-0.139381,-0.151796,0.000441,0.000589,0.000845,0.00094,0.001431,0.001664,0.001869,0.002249,0.002701,0.38615,-0.960712,0.064154,-0.92894,1,0,0,0,0,0,0,0,0,0,0
1,0.000727,0.001634,0.001813,0.001992,0.002037,0.002585,0.002753,0.002753,0.002227,-0.011637,-0.010764,-0.010899,-0.006289,-0.006031,-0.005539,0.007956,0.018396,0.018295,-0.007575,-0.014177,-0.014077,-0.000224,0.024483,0.02464,0.022469,0.066534,-0.002853,-0.013517,-0.009433,0.018519,0.013372,-0.007452,-0.011895,0.000168,-0.075552,-0.075172,-0.000593,-0.000336,-0.000336,-0.001141,-0.00188,-0.001869,-0.00179,-0.00263,-0.003167,-0.001555,-0.001231,-0.00226,-0.002014,-0.000582,-0.000593,0.002025,0.00574,0.005774,-0.000302,-0.039119,-0.010843,0.156218,0.302165,0.194834,0.15934,0.198605,-0.004185,-0.030827,0.041737,0.281151,0.327812,0.315134,0.304548,0.306104,0.294869,-0.098995,-0.015181,0.049462,0.186355,0.170797,0.160867,0.169285,0.168193,0.231292,-0.010873,0.010159,0.009671,0.008796,0.004541,0.005785,0.005335,-0.00548,-0.012086,-0.011951,0.00085,-0.00348,-0.065577,-0.177226,-0.251366,-0.186176,-0.16423,-0.176159,-0.0524,0.000143,0.000388,0.000479,0.000951,0.001176,0.001372,0.001737,0.002171,0.00217,0.595412,-0.564226,0.065206,-0.934512,1,0,0,0,0,0,0,0,0,0,0
2,0.000899,0.001076,0.001254,0.001298,0.001842,0.002008,0.002008,0.001487,0.001398,0.000865,0.000732,0.005303,0.005558,0.006046,0.019425,0.029775,0.029675,0.045361,-0.006545,-0.006445,0.007288,0.031783,0.031938,0.029786,0.073472,0.004681,0.077288,0.004049,0.03176,0.026657,0.006013,0.001609,0.013567,-0.061502,-0.061125,-0.08705,0.000255,0.000255,-0.000544,-0.001276,-0.001265,-0.001187,-0.002019,-0.002551,-0.002574,0.000322,-0.000699,-0.000455,0.000965,0.000954,0.00355,0.007233,0.007266,0.012103,-0.038483,-0.01045,0.155175,0.299866,0.193458,0.15827,0.197197,-0.003849,0.130448,0.071941,0.309296,0.355555,0.342986,0.332492,0.334034,0.322896,-0.067581,0.04474,0.064087,0.199803,0.184379,0.174534,0.18288,0.181797,0.244353,0.00427,0.047736,-0.000484,-0.001352,-0.005569,-0.004336,-0.004782,-0.015505,-0.022054,-0.02192,-0.032718,-0.004076,-0.062531,-0.167631,-0.237422,-0.176055,-0.155397,-0.166626,-0.050127,-0.06411,0.000231,0.000317,0.000761,0.000972,0.001157,0.001501,0.00191,0.001909,0.00217,0.471234,-0.677676,0.066908,-0.939455,1,0,0,0,0,0,0,0,0,0,0
3,0.000178,0.000356,0.0004,0.000944,0.001111,0.001111,0.000589,0.0005,0.0003,-0.000133,0.004444,0.0047,0.005188,0.018587,0.028953,0.028853,0.044562,0.068093,0.0001,0.013854,0.038385,0.03854,0.036385,0.080136,0.011243,0.083958,0.15765,0.027753,0.022642,0.001966,-0.002444,0.009532,-0.065649,-0.065271,-0.091235,-0.081658,0.0,-0.0008,-0.001533,-0.001522,-0.001444,-0.002278,-0.002811,-0.002833,-0.004211,-0.001022,-0.000778,0.000644,0.000633,0.003233,0.006922,0.006955,0.011799,0.02492,0.028075,0.193946,0.338854,0.232287,0.197046,0.236031,0.034685,0.169182,0.378749,0.237709,0.284037,0.271449,0.260939,0.262484,0.251329,-0.13973,-0.027242,-0.018065,0.135918,0.120471,0.110612,0.11897,0.117886,0.180535,-0.059906,-0.016375,-0.080884,-0.000869,-0.005093,-0.003858,-0.004305,-0.015043,-0.021602,-0.021469,-0.032282,-0.042505,-0.059067,-0.165268,-0.235791,-0.173781,-0.152906,-0.164253,-0.046533,-0.060663,-0.070679,8.7e-05,0.000535,0.000749,0.000936,0.001283,0.001696,0.001695,0.001959,0.002463,0.263534,-0.683323,0.069177,-0.93798,1,0,0,0,0,0,0,0,0,0,0
4,0.000178,0.000222,0.000767,0.000933,0.000933,0.000411,0.000322,0.000122,2.2e-05,0.004577,0.004833,0.005321,0.018719,0.029085,0.028985,0.044693,0.068223,0.070334,0.013754,0.038283,0.038439,0.036284,0.080033,0.011143,0.083854,0.157544,0.145468,-0.00511,-0.025785,-0.030196,-0.01822,-0.093397,-0.09302,-0.118983,-0.109406,-0.108329,-0.0008,-0.001533,-0.001522,-0.001444,-0.002277,-0.002811,-0.002833,-0.00421,-0.004533,0.000244,0.001666,0.001655,0.004255,0.007943,0.007977,0.01282,0.025941,0.029373,0.165865,0.310766,0.204203,0.168964,0.207947,0.00661,0.141102,0.35066,0.329796,0.046327,0.03374,0.02323,0.024774,0.01362,-0.377423,-0.264939,-0.255763,-0.239676,-0.015446,-0.025305,-0.016948,-0.018031,0.044615,-0.195815,-0.152287,-0.216792,-0.199805,-0.004224,-0.002989,-0.003436,-0.014174,-0.020732,-0.020599,-0.031412,-0.041634,-0.040296,-0.10617,-0.176672,-0.11468,-0.093811,-0.105155,0.01253,-0.001596,-0.011608,-0.011392,0.000449,0.000662,0.000849,0.001196,0.001609,0.001608,0.001872,0.002376,0.002392,0.287318,-0.700022,0.070227,-0.931647,1,0,0,0,0,0,0,0,0,0,0
5,4.4e-05,0.000589,0.000756,0.000756,0.000233,0.000145,-5.6e-05,-0.000156,-0.000122,0.000256,0.000745,0.014151,0.024522,0.024422,0.04014,0.063683,0.065795,0.071387,0.024544,0.0247,0.022543,0.066318,-0.002612,0.070142,0.143874,0.131791,0.121353,-0.020687,-0.0251,-0.013117,-0.088338,-0.08796,-0.113938,-0.104356,-0.103278,-0.097087,-0.000734,-0.000723,-0.000645,-0.001478,-0.002012,-0.002034,-0.003413,-0.003735,-0.003624,0.001423,0.001412,0.004013,0.007703,0.007737,0.012583,0.025711,0.029146,0.03476,0.144985,0.038361,0.003101,0.042107,-0.159347,-0.024777,0.184903,0.164027,0.161681,-0.012594,-0.02311,-0.021565,-0.032725,-0.423995,-0.311447,-0.302265,-0.286169,-0.260491,-0.009864,-0.001502,-0.002587,0.060096,-0.180474,-0.13692,-0.201463,-0.184466,-0.168229,0.001236,0.000789,-0.009955,-0.016518,-0.016384,-0.027204,-0.037432,-0.036093,-0.036079,-0.070789,-0.008545,0.012409,0.001019,0.119184,0.105001,0.094947,0.095164,0.094154,0.000214,0.000402,0.00075,0.001165,0.001164,0.001429,0.001935,0.001951,0.001934,0.292652,-0.724237,0.070348,-0.936866,1,0,0,0,0,0,0,0,0,0,0
6,0.000544,0.000711,0.000711,0.000189,0.0001,-0.0001,-0.0002,-0.000167,-0.000178,0.000488,0.013878,0.024236,0.024136,0.039835,0.063349,0.065458,0.071043,0.074718,0.000155,-0.001998,0.041722,-0.027123,0.045541,0.119182,0.107114,0.096689,0.109811,-0.004408,0.007561,-0.067568,-0.06719,-0.093136,-0.083566,-0.082489,-0.076305,-0.02982,1.1e-05,8.9e-05,-0.000744,-0.001277,-0.001299,-0.002676,-0.002998,-0.002887,-0.003753,-1.1e-05,0.002587,0.006273,0.006306,0.011147,0.024258,0.027689,0.033295,0.043743,-0.106492,-0.141708,-0.102751,-0.303955,-0.169552,0.039868,0.019018,0.016675,0.115618,-0.010503,-0.008959,-0.020106,-0.410891,-0.298482,-0.289311,-0.273235,-0.247589,-0.109767,0.008352,0.007269,0.069874,-0.170398,-0.126898,-0.191361,-0.174385,-0.158168,-0.080069,-0.000446,-0.011177,-0.017731,-0.017598,-0.028404,-0.038619,-0.037282,-0.037268,-0.030443,0.061706,0.082479,0.071188,0.188331,0.17427,0.164303,0.164519,0.163517,0.149351,0.000186,0.000531,0.000942,0.000942,0.001205,0.001706,0.001722,0.001705,0.001727,0.195235,-0.877311,0.071977,-0.962477,1,0,0,0,0,0,0,0,0,0,0
7,0.000166,0.000166,-0.000355,-0.000443,-0.000643,-0.000742,-0.000709,-0.00072,-0.000598,0.013365,0.023704,0.023604,0.039274,0.062745,0.064851,0.070425,0.074093,0.099681,-0.00215,0.04149,-0.027228,0.045303,0.118808,0.106762,0.096357,0.109455,0.099083,0.011946,-0.063045,-0.062668,-0.088566,-0.079013,-0.077939,-0.071766,-0.025366,0.02653,7.8e-05,-0.000754,-0.001285,-0.001308,-0.002682,-0.003003,-0.002892,-0.003757,-0.004366,0.002593,0.006272,0.006306,0.011137,0.024225,0.027649,0.033245,0.043673,0.0841,-0.035152,0.003735,-0.197101,-0.062945,0.146092,0.12528,0.122942,0.221703,0.236797,0.00154,-0.009586,-0.399655,-0.287452,-0.278298,-0.262252,-0.236653,-0.099083,0.077096,-0.001081,0.061409,-0.178423,-0.135002,-0.199347,-0.182402,-0.166215,-0.088259,0.036173,-0.010711,-0.017254,-0.01712,-0.027907,-0.038103,-0.036768,-0.036755,-0.029942,-0.015113,0.020508,0.009361,0.125011,0.111129,0.101289,0.101502,0.100513,0.086528,0.075096,0.000341,0.000747,0.000746,0.001006,0.001501,0.001516,0.0015,0.001521,0.001301,0.183017,-1.081071,0.074227,-1.018508,1,0,0,0,0,0,0,0,0,0,0
8,0.0,-0.000525,-0.000614,-0.000816,-0.000916,-0.000883,-0.000894,-0.000771,-0.00162,0.010423,0.010323,0.026119,0.049781,0.051904,0.057523,0.061221,0.087017,0.086391,0.043994,-0.025282,0.047837,0.121939,0.109796,0.099305,0.11251,0.102054,0.101149,-0.075599,-0.075219,-0.101327,-0.091697,-0.090614,-0.084391,-0.037615,0.014702,0.009395,-0.000838,-0.001374,-0.001396,-0.002782,-0.003106,-0.002994,-0.003865,-0.00448,-0.0041,0.003709,0.003743,0.008613,0.021807,0.025259,0.030901,0.041414,0.082168,0.075945,0.039202,-0.163263,-0.028019,0.182713,0.161733,0.159376,0.258938,0.274154,0.215826,-0.011216,-0.40445,-0.291336,-0.282108,-0.265932,-0.240125,-0.101439,0.076169,0.035437,0.062998,-0.17878,-0.135007,-0.199874,-0.182791,-0.166473,-0.087885,0.037557,0.003502,-0.006596,-0.006461,-0.017335,-0.027614,-0.026268,-0.026255,-0.019387,-0.004437,-0.010134,-0.011796,0.110583,0.095893,0.085481,0.085706,0.08466,0.069861,0.057764,0.101679,0.000429,0.000429,0.000703,0.001227,0.001244,0.001226,0.001249,0.001016,0.000848,0.242118,-1.044685,0.072659,-1.015538,1,0,0,0,0,0,0,0,0,0,0
9,-0.00053,-0.00062,-0.000823,-0.000925,-0.000891,-0.000902,-0.000778,-0.001635,-0.003372,-0.000102,0.015847,0.039735,0.041878,0.047551,0.051284,0.077327,0.076695,0.072207,-0.06994,0.00388,0.078692,0.066432,0.055841,0.069173,0.058616,0.057702,0.058232,0.000383,-0.025975,-0.016253,-0.015159,-0.008876,0.038348,0.091166,0.085809,0.094798,-0.000541,-0.000564,-0.001963,-0.00229,-0.002177,-0.003057,-0.003677,-0.003293,-0.002098,3.4e-05,0.004951,0.018272,0.021757,0.027452,0.038066,0.079211,0.072928,0.084906,-0.204405,-0.067864,0.144887,0.123705,0.121325,0.221842,0.237203,0.178317,0.19069,-0.397001,-0.282803,-0.273487,-0.257155,-0.231102,-0.091087,0.088222,0.0471,0.059067,-0.244094,-0.199902,-0.26539,-0.248144,-0.231669,-0.152328,-0.025685,-0.060066,-0.057896,0.000136,-0.010842,-0.02122,-0.019861,-0.019848,-0.012914,0.002179,-0.003572,0.01251,0.130825,0.115122,0.103991,0.104231,0.103113,0.087293,0.074361,0.121307,0.113073,-1e-06,0.000293,0.000853,0.00087,0.000852,0.000876,0.000627,0.000447,-0.000954,0.221158,-1.047051,0.065159,-1.023616,1,0,0,0,0,0,0,0,0,0,0
