,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_x_cumsum_7,left_elbow_x_cumsum_8,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,left_elbow_y_cumsum_7,left_elbow_y_cumsum_8,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_x_cumsum_7,right_elbow_x_cumsum_8,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,right_elbow_y_cumsum_7,right_elbow_y_cumsum_8,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_x_cumsum_7,left_wrist_x_cumsum_8,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,left_wrist_y_cumsum_7,left_wrist_y_cumsum_8,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_x_cumsum_7,right_wrist_x_cumsum_8,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_wrist_y_cumsum_7,right_wrist_y_cumsum_8,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,right_forearm_r_cumsum_7,right_forearm_r_cumsum_8,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,left_forearm_r_cumsum_7,left_forearm_r_cumsum_8,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,right_forearm_angle_cumsum_7,right_forearm_angle_cumsum_8,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,left_forearm_angle_cumsum_7,left_forearm_angle_cumsum_8,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,4.054115,4.309924,4.587533,4.679672,4.599455,4.652763,4.574589,4.544955,-2.590961,-0.891755,-0.75244,-1.641981,-1.479163,-1.216371,-1.264058,-1.257075,-1.264739,-1.387705,4.112872,4.11168,4.008641,4.087155,4.143188,4.142847,4.115257,4.046791,-3.107859,-1.990611,-1.997423,-1.998445,-1.958592,-1.972217,-1.973579,-1.989759,-2.130607,2.943678,4.674563,4.672008,4.770278,4.845215,4.823926,4.820861,4.886601,4.840958,-2.167054,-1.194741,-0.716504,-0.818351,-1.016254,-0.930246,-0.925818,-0.707988,-1.088977,-0.867571,4.619041,4.371407,4.210461,4.289827,4.348414,4.317758,4.334619,4.336663,-2.410941,-1.559891,-1.555803,-1.557166,-1.593953,-1.594123,-1.540475,-1.528042,-1.89217,2.261237,0.203113,0.124321,0.124752,0.048418,0.061528,0.120105,0.143981,-0.071065,0.637616,0.598788,0.22624,0.658003,0.303311,0.176053,0.188194,0.442016,0.172951,0.483489,-1.185795,-0.450629,-0.342339,-0.334773,-0.337392,-0.310988,-0.408499,-0.456991,-13.844058,1.467055,3.472616,13.259983,12.060924,11.90535,11.938305,11.850099,11.062987,11.8315,-0.69612,0.21214,-0.608326,0.150951,1,0,0,0,0,0,0,0,0,0,0
1,0.100016,0.208556,0.24458,0.213217,0.234059,0.203495,0.191908,-2.598088,0.277874,0.054469,-0.293323,-0.229664,-0.126918,-0.145563,-0.142833,-0.145829,-0.193906,-0.5118,-0.000466,-0.040752,-0.010055,0.011853,0.01172,0.000932,-0.025836,-2.823157,-0.059464,-0.002664,-0.003063,0.012519,0.007192,0.006659,0.000333,-0.054736,1.929205,0.111136,-0.000999,0.037423,0.066722,0.058398,0.0572,0.082903,0.065057,-2.674931,0.124854,0.186981,0.147161,0.069785,0.103412,0.105143,0.19031,0.041352,0.127917,0.142966,-0.09682,-0.159746,-0.128716,-0.105809,-0.117795,-0.111203,-0.110404,-2.748578,-0.085034,0.001598,0.001065,-0.013318,-0.013384,0.007591,0.012452,-0.129914,1.493982,0.330812,-0.030806,-0.030637,-0.060482,-0.055357,-0.032454,-0.023119,-0.107198,0.169882,0.193122,-0.145659,0.023152,-0.115525,-0.165281,-0.160534,-0.061295,-0.166494,-0.04508,0.237574,0.001027,0.001178,0.001189,0.001185,0.001222,0.001086,0.001018,-0.017679,0.495669,0.002801,0.01647,0.014796,0.014578,0.014624,0.014501,0.013402,0.014475,0.161183,-0.385281,-0.253348,-0.439048,-0.294674,1,0,0,0,0,0,0,0,0,0,0
2,0.107426,0.14308,0.112039,0.132667,0.102417,0.090949,-2.670418,0.176033,0.176099,-0.344224,-0.281218,-0.179526,-0.19798,-0.195278,-0.198243,-0.245827,-0.560459,-0.328209,-0.039873,-0.00949,0.012192,0.012061,0.001384,-0.02511,-2.793727,-0.058392,-0.058985,-0.000395,0.015026,0.009754,0.009227,0.002966,-0.051538,1.912046,0.112632,0.076121,0.038027,0.067026,0.058788,0.057601,0.083041,0.065378,-2.646495,0.124561,0.104921,-0.039411,-0.115993,-0.082711,-0.080998,0.003295,-0.144135,-0.058458,-0.043563,0.087918,-0.062281,-0.031569,-0.008897,-0.02076,-0.014236,-0.013445,-2.624548,0.011665,-0.024451,-0.000527,-0.014763,-0.014829,0.005931,0.010743,-0.130163,1.47707,0.325836,0.45534,0.000167,-0.029372,-0.024299,-0.001631,0.007608,-0.075608,0.198629,0.22163,0.380753,0.167078,0.029824,-0.019421,-0.014723,0.083498,-0.020621,0.099547,0.379301,0.27679,0.000141,0.000151,0.000147,0.000181,5.5e-05,-8e-06,-0.017403,0.460188,0.567931,0.012717,0.011159,0.010957,0.011,0.010885,0.009862,0.010861,0.14735,0.158828,-0.374511,-0.294525,-0.463583,-0.221462,1,0,0,0,0,0,0,0,0,0,0
3,0.035238,0.004559,0.024947,-0.00495,-0.016284,-2.745396,0.067806,0.067871,0.070346,0.06227,0.162774,0.144536,0.147206,0.144275,0.097247,-0.21371,0.015828,-0.027161,0.030027,0.051457,0.051327,0.040775,0.01459,-2.721686,-0.018303,-0.018889,0.000521,0.015242,0.010031,0.00951,0.003322,-0.050545,1.890102,0.111707,0.075622,0.028529,0.02866,0.020518,0.019345,0.044488,0.027031,-2.653164,0.085523,0.066113,0.066503,-0.075687,-0.042794,-0.0411,0.042208,-0.1035,-0.018824,-0.004104,0.125842,0.151896,0.030353,0.05276,0.041035,0.047484,0.048265,-2.532338,0.073082,0.037388,0.038821,-0.014069,-0.014134,0.006383,0.011138,-0.128122,1.460338,0.322551,0.450542,0.450347,-0.029194,-0.02418,-0.001777,0.007354,-0.07489,0.196143,0.218876,0.376141,0.421794,-0.135651,-0.18432,-0.179677,-0.082604,-0.185507,-0.066743,0.209743,0.10843,0.176759,9e-06,6e-06,3.8e-05,-7.9e-05,-0.000137,-0.016158,0.423723,0.522959,0.621714,-0.001435,-0.001621,-0.001582,-0.001687,-0.002629,-0.00171,0.124002,0.134574,0.14986,-0.383753,-0.367028,-0.479806,-0.265477,1,0,0,0,0,0,0,0,0,0,0
4,-0.030104,-0.010099,-0.039436,-0.050557,-2.728543,0.031958,0.032022,0.03445,0.03445,0.098621,0.080725,0.083346,0.080469,0.034323,-0.270809,-0.045572,-0.087756,-0.260071,0.021028,0.0209,0.010546,-0.015148,-2.700165,-0.047425,-0.048,-0.028954,-0.045316,-0.005113,-0.005625,-0.011696,-0.064554,1.839737,0.094659,0.059249,0.013039,0.029785,-0.007989,-0.00914,0.015531,-0.001598,-2.631583,0.055798,0.036751,0.037135,0.108464,0.032277,0.033939,0.115687,-0.027292,0.055798,0.070243,0.197754,0.22332,0.168033,0.021987,0.010482,0.01681,0.017577,-2.514682,0.041928,0.006903,0.008309,0.010035,-6.4e-05,0.020069,0.024735,-0.111916,1.446786,0.330314,0.455908,0.455716,0.517138,0.00492,0.026903,0.035863,-0.04484,0.221116,0.243423,0.397741,0.442539,0.488199,-0.047758,-0.043202,0.052054,-0.048922,0.067617,0.338924,0.239508,0.306557,0.433406,-3e-06,2.5e-05,-7.7e-05,-0.000128,-0.014163,0.371177,0.458109,0.544619,0.446783,-0.000163,-0.000129,-0.000221,-0.001046,-0.000241,0.109884,0.119145,0.132536,-0.064893,-0.407427,-0.414805,-0.554927,-0.342372,1,0,0,0,0,0,0,0,0,0,0
5,0.020116,-0.009383,-0.020566,-2.713409,0.062406,0.06247,0.064913,0.064913,0.067419,-0.017996,-0.01536,-0.018253,-0.064655,-0.37148,-0.144993,-0.187411,-0.360682,-0.359397,-0.000129,-0.01054,-0.036377,-2.736289,-0.068833,-0.069411,-0.050259,-0.066712,-0.051095,-0.000514,-0.00662,-0.059771,1.855085,0.100325,0.06472,0.018253,0.035091,0.035927,-0.001157,0.023651,0.006427,-2.638149,0.064141,0.044989,0.045375,0.1171,0.109516,0.001671,0.083872,-0.0599,0.023651,0.038176,0.166395,0.192103,0.136509,0.133617,-0.011569,-0.005206,-0.004435,-2.550742,0.020052,-0.015168,-0.013754,-0.012018,-0.010412,0.020245,0.024937,-0.112472,1.454877,0.332211,0.458501,0.458308,0.520072,0.560433,0.022105,0.031115,-0.050036,0.217395,0.239826,0.395,0.440047,0.48596,0.5246,0.004581,0.100365,-0.001171,0.116015,0.388827,0.28886,0.356281,0.483833,0.477747,2.9e-05,-7.7e-05,-0.00013,-0.014719,0.385837,0.476201,0.566128,0.464428,0.616221,3.6e-05,-6e-05,-0.000918,-8e-05,0.114393,0.12402,0.137939,-0.067286,-0.005956,-0.400309,-0.460332,-0.54056,-0.399537,1,0,0,0,0,0,0,0,0,0,0
6,-0.029603,-0.040825,-2.743089,0.042438,0.042502,0.044953,0.044953,0.047468,0.046436,0.002644,-0.000258,-0.046823,-0.354721,-0.127442,-0.170008,-0.343886,-0.342596,-0.336791,-0.010448,-0.036375,-2.745734,-0.068945,-0.069525,-0.050306,-0.066817,-0.051144,-0.032118,-0.006127,-0.059464,1.862092,0.101192,0.065462,0.018832,0.03573,0.036569,0.115317,0.024895,0.00761,-2.646218,0.065527,0.046307,0.046694,0.11867,0.11106,0.10848,0.082489,-0.061786,0.022057,0.036633,0.1653,0.191098,0.13531,0.132408,0.138019,0.006385,0.007159,-2.548057,0.031731,-0.003612,-0.002193,-0.000451,0.001161,0.02038,0.004708,-0.133182,1.439651,0.313057,0.439789,0.439596,0.501575,0.542078,0.520472,0.009042,-0.072393,0.195974,0.218483,0.3742,0.419404,0.465478,0.504253,0.404033,0.096119,-0.005772,0.111824,0.38559,0.285273,0.35293,0.480929,0.474822,0.47434,-0.000109,-0.000163,-0.015113,0.395357,0.487957,0.580109,0.475893,0.631443,0.593022,-9.9e-05,-0.000977,-0.000119,0.117187,0.127052,0.141316,-0.068988,-0.00614,0.003822,-0.405263,-0.436,-0.532315,-0.412947,1,0,0,0,0,0,0,0,0,0,0
7,-0.011284,-2.728409,0.072437,0.072502,0.074966,0.074966,0.077495,0.076457,0.080543,-0.002918,-0.049739,-0.359331,-0.130801,-0.173602,-0.348436,-0.347139,-0.341302,-0.339487,-0.026069,-2.750328,-0.058818,-0.059402,-0.040077,-0.056678,-0.04092,-0.021789,-0.021465,-0.05363,1.878493,0.107909,0.071983,0.025097,0.042087,0.04293,0.122111,0.082294,-0.01738,-2.685803,0.040855,0.02153,0.021919,0.094291,0.086639,0.084045,0.086315,-0.145068,-0.060764,-0.046108,0.083267,0.109206,0.053112,0.050193,0.055835,0.01939,0.000778,-2.56849,0.025486,-0.010052,-0.008625,-0.006874,-0.005253,0.014072,0.014137,-0.138648,1.442834,0.310045,0.437474,0.437279,0.4996,0.540325,0.518601,0.516266,-0.081883,0.18796,0.210593,0.367167,0.41262,0.458947,0.497935,0.397164,0.434582,-0.102451,0.015791,0.291063,0.190195,0.258223,0.386926,0.380785,0.380301,0.342402,-5.6e-05,-0.015591,0.410942,0.507167,0.602926,0.494631,0.656268,0.616344,0.629243,-0.000913,-2.2e-05,0.121876,0.132127,0.146949,-0.071586,-0.006278,0.004073,-0.028588,-0.418491,-0.435961,-0.538229,-0.38302,1,0,0,0,0,0,0,0,0,0,0
8,-2.77367,0.085463,0.085529,0.088045,0.088045,0.090626,0.089567,0.093738,0.095393,-0.047796,-0.363829,-0.130544,-0.174236,-0.352708,-0.351384,-0.345426,-0.343573,-0.394943,-2.780951,-0.03343,-0.034026,-0.014299,-0.031246,-0.01516,0.004369,0.0047,-0.009202,1.972331,0.164902,0.128227,0.080366,0.09771,0.09857,0.179399,0.138753,0.123792,-2.723954,0.059447,0.039719,0.040117,0.113995,0.106183,0.103535,0.105852,0.109096,0.086059,0.10102,0.233086,0.259566,0.202304,0.199325,0.205084,0.167881,0.060837,-2.622736,0.025222,-0.011055,-0.009599,-0.007811,-0.006157,0.013571,0.013637,0.021846,1.614394,0.45803,0.588111,0.587913,0.65153,0.693103,0.670926,0.668543,0.467762,0.275458,0.298562,0.458394,0.504793,0.552085,0.591884,0.489016,0.527213,0.343943,0.120703,0.401703,0.298736,0.36818,0.499562,0.493293,0.492799,0.454111,0.399994,-0.017944,0.47474,0.585889,0.696499,0.571408,0.758114,0.711998,0.726898,0.597849,0.00103,0.141833,0.153673,0.170794,-0.081633,-0.006197,0.00576,-0.031967,-0.089604,-0.433289,-0.25103,-0.541894,-0.318551,1,0,0,0,0,0,0,0,0,0,0
9,2.298051,2.298104,2.300126,2.300126,2.302201,2.30135,2.304702,2.306032,2.159604,-0.254015,-0.06651,-0.101627,-0.245076,-0.244012,-0.239223,-0.237733,-0.279022,0.181971,2.208342,2.207864,2.22372,2.210098,2.223028,2.238724,2.23899,2.227817,2.231541,-1.452736,-1.482214,-1.520683,-1.506743,-1.506051,-1.441084,-1.473754,-1.485779,-1.55016,2.237181,2.221325,2.221644,2.281024,2.274746,2.272618,2.27448,2.277087,2.270543,0.012025,0.118175,0.139458,0.093433,0.091039,0.095668,0.065765,-0.020272,0.078216,2.128318,2.09916,2.10033,2.101767,2.103097,2.118953,2.119006,2.125604,2.122412,-0.929436,-0.824883,-0.825042,-0.77391,-0.740495,-0.75832,-0.760235,-0.921615,-1.061605,0.01857,0.147036,0.18433,0.222341,0.25433,0.171649,0.20235,0.055045,-0.020817,0.225856,0.143095,0.198912,0.30451,0.299472,0.299075,0.267979,0.224482,0.051079,0.106769,0.130856,0.154826,0.127718,0.168179,0.158185,0.161414,0.133448,0.132889,0.030513,0.033079,0.036789,-0.017914,-0.001566,0.001025,-0.007151,-0.019641,-0.124251,-0.437206,-0.168715,-0.618098,-0.130974,1,0,0,0,0,0,0,0,0,0,0
