,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.000289,-0.00274,-0.004232,-0.006152,-0.009193,-0.006337,-0.012858,-0.011182,-0.007227,0.016882,0.01568,0.015252,0.010742,0.018432,0.051734,-0.016397,-0.038089,0.005597,-0.068235,-0.093674,-0.000474,0.001018,0.001156,-0.012176,-0.014061,-0.010974,-0.045039,-0.043397,-0.050624,-0.034378,-0.04527,-0.050335,-0.043108,0.038841,0.0321,-0.154266,-0.187499,-0.152994,-0.279959,-0.301929,-0.114314,-0.123232,-0.136189,-0.210498,-0.194854,-0.004666,-0.031959,-0.031903,-0.043602,-0.051417,0.131341,0.138161,0.132249,0.10476,0.120026,0.000455,-0.003567,-0.004558,0.001657,0.000936,0.311307,-0.926863,-0.014966,-0.911154,1,0,0,0,0,0,0,0,0,0,0
1,-0.001785,-0.003905,-0.003894,-0.006995,-0.010866,-0.004652,-0.004708,-0.002209,0.005634,0.021822,5.6e-05,-0.004451,0.003202,0.027947,0.057936,-0.022748,-0.008802,-0.015541,-0.080639,-0.104503,1.1e-05,0.001897,-0.002789,-0.012585,-0.013142,-0.018252,-0.031774,-0.034708,-0.037173,-0.017906,-0.00019,-0.00058,0.081733,0.073008,0.110025,-0.015809,-0.010231,-0.069393,-0.116719,-0.144477,0.006538,-0.002756,-0.076018,-0.049388,-0.055264,-0.013505,-0.026743,-0.032415,-0.042993,-0.039789,-0.001559,-0.001653,-0.02191,-0.013986,-0.015513,-0.00144,-0.003848,-0.001749,0.001073,-0.000238,0.282018,-0.925544,-0.019681,-0.917431,1,0,0,0,0,0,0,0,0,0,0
2,-0.001125,-0.002548,-0.004379,-0.007281,-0.016988,-0.001622,-2.2e-05,0.003751,0.026751,0.027049,-0.000463,-0.004765,0.00257,0.03434,0.079005,0.001798,0.043474,-0.02696,-0.051229,-0.117262,0.001412,0.001544,-0.011175,-0.012973,-0.018268,-0.014451,-0.012884,-0.019779,-0.00428,0.005174,-0.004644,0.00225,0.080428,0.073997,0.201077,-0.016072,0.016845,-0.104278,-0.125237,-0.156709,-0.014972,-0.027332,-0.098222,-0.083299,-0.070483,-0.012684,-0.012631,-0.023792,-0.031247,-0.021911,0.006345,0.002093,-0.017674,-0.006696,-0.035744,-0.001561,-0.002274,0.002195,0.001677,6.2e-05,0.194999,-0.905146,-0.020295,-0.910249,1,0,0,0,0,0,0,0,0,0,0
3,-0.000949,-0.000939,-0.003938,-0.007681,-0.024327,0.001532,0.003948,0.011533,0.027186,0.033724,-0.003905,0.003495,0.027424,0.056423,0.079801,0.011727,0.005211,-0.057739,-0.080815,-0.121443,0.000442,-0.004089,-0.013561,-0.0141,-0.025967,0.001057,-0.00178,-0.004164,0.014467,0.036087,0.004164,0.08376,0.075324,0.111119,0.216175,0.021113,-0.036097,-0.081861,-0.108702,-0.144573,0.005655,-0.065188,-0.039437,-0.04512,-0.058087,-0.000397,-0.005882,-0.01611,-0.013012,0.002274,-0.005503,-0.021519,-0.015254,-0.016461,-0.039323,-0.000568,0.001092,0.003323,0.002287,0.00079,0.180453,-0.901965,-0.025083,-0.923418,1,0,0,0,0,0,0,0,0,0,0
4,-0.000446,-0.00225,-0.005109,-0.014674,-0.02375,3.3e-05,0.00375,0.026413,0.026707,0.047001,-0.000304,0.006924,0.038229,0.08224,0.09223,0.02925,-0.040153,-0.064066,-0.129133,-0.123078,-0.000315,-0.012848,-0.01462,-0.019837,-0.03112,0.000478,-0.006315,0.008957,0.018272,0.041696,0.002598,0.079632,0.073295,0.198514,0.246058,0.011163,-0.108187,-0.128839,-0.15985,-0.148176,-0.017877,-0.087729,-0.073024,-0.060396,-0.058951,0.000452,-0.010545,-0.017892,-0.008692,-0.005663,0.001966,-0.015863,-0.005961,-0.032161,-0.042684,-4.4e-05,0.003987,0.003519,0.002063,0.003053,0.14605,-0.914009,-0.019427,-0.924505,1,0,0,0,0,0,0,0,0,0,0
5,0.00046,-0.002584,-0.006384,-0.023279,-0.026881,0.00242,0.010117,0.026005,0.032641,0.071314,0.007818,0.032104,0.061536,0.085264,0.098162,-0.036079,-0.099969,-0.12339,-0.164626,-0.149625,-0.004281,-0.013895,-0.014442,-0.026487,-0.03402,-0.003362,-0.005781,0.013128,0.035071,0.045747,0.078169,0.069606,0.105937,0.212563,0.249047,-0.06931,-0.115758,-0.143001,-0.179408,-0.148892,-0.053894,-0.027758,-0.033526,-0.046687,-0.03352,-0.006023,-0.016403,-0.013259,0.002255,-0.025898,-0.019838,-0.012887,-0.014227,-0.039592,-0.046802,0.001888,0.004363,0.003213,0.001552,0.002787,0.140759,-0.926018,-0.017336,-0.924212,1,0,0,0,0,0,0,0,0,0,0
6,-0.002265,-0.005128,-0.01471,-0.023802,-0.030868,0.001317,0.02402,0.024313,0.044642,0.086115,-0.000534,0.030825,0.074911,0.084918,0.095305,-0.033645,-0.057599,-0.122776,-0.116711,-0.101152,-0.008297,-0.010072,-0.015298,-0.0266,-0.030901,-0.003462,0.011836,0.021167,0.044631,0.055889,-0.000566,-0.006914,0.118519,0.166144,0.1949,-0.05063,-0.071318,-0.102382,-0.090688,-0.006054,-0.016379,-0.001648,0.011001,0.012448,0.080643,-0.005028,-0.012386,-0.003171,-0.000137,-0.03019,0.001031,0.011052,-0.015462,-0.026112,-0.035709,0.002264,0.001791,0.000317,0.001319,-3e-06,0.114617,-1.002643,-0.017195,-0.927774,1,0,0,0,0,0,0,0,0,0,0
7,-0.000767,-0.004568,-0.021469,-0.025073,-0.02952,0.006375,0.022269,0.028907,0.067596,0.10589,0.024832,0.054276,0.078013,0.090916,0.095736,-0.030068,-0.053498,-0.09475,-0.079743,-0.020998,-0.001271,-0.001818,-0.013867,-0.021404,-0.023737,0.001063,0.01998,0.041931,0.052611,0.078232,-0.007996,0.028348,0.135016,0.171514,0.207048,0.004469,-0.022784,-0.059205,-0.028677,0.094192,0.042623,0.036854,0.023687,0.03686,0.099906,-0.005327,-0.002182,0.013339,-0.014826,-0.027384,0.005894,0.004551,-0.020883,-0.028113,-0.045246,0.000121,-0.001032,-0.002697,-0.00146,-0.002322,0.088991,-1.052191,-0.020016,-0.941398,1,0,0,0,0,0,0,0,0,0,0
8,-0.002117,-0.011771,-0.020931,-0.028051,-0.028128,0.016488,0.016785,0.037266,0.079052,0.111798,0.006725,0.051143,0.061225,0.071691,0.083966,0.005979,-0.059689,-0.053579,-0.037902,0.050343,-0.000516,-0.005781,-0.017168,-0.021502,-0.024453,0.014349,0.023751,0.047392,0.058735,0.085974,0.001613,0.12799,0.175974,0.204947,0.251351,-0.025319,-0.056618,-0.044835,0.040436,0.118907,-0.027846,-0.015102,-0.013644,0.055065,0.04566,-0.002079,0.007206,0.010263,-0.020017,-0.025656,0.004604,-0.02334,-0.034563,-0.044679,-0.06568,-0.000621,-0.002174,-0.001118,-0.002512,-0.001764,0.043107,-1.071834,-0.01785,-0.947004,1,0,0,0,0,0,0,0,0,0,0
9,-0.001682,-0.018538,-0.022132,-0.026568,-0.030424,-0.000568,0.006052,0.044636,0.082827,0.09622,0.022668,0.04634,0.059209,0.064016,0.087732,-0.029321,-0.070461,-0.055495,0.003092,0.068549,-3.3e-05,-0.012049,-0.019565,-0.021892,-0.025497,0.004577,0.026469,0.03712,0.062672,0.070974,0.034641,0.14102,0.17742,0.212858,0.261055,-0.001966,-0.038289,-0.007844,0.114693,0.148394,0.021975,0.008845,0.021981,0.084858,0.053694,0.005207,0.020685,-0.007403,-0.019927,-0.024998,-0.005789,-0.030745,-0.03784,-0.054652,-0.069483,-0.000529,-0.002163,-0.000948,-0.001794,-0.00191,0.028702,-1.072563,-0.021771,-0.95154,1,0,0,0,0,0,0,0,0,0,0
