,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-1.029774,-0.780288,3.305857,3.34999,3.363669,0.018066,-1.098339,-6.333839,-6.356035,-6.356465,-0.794999,-0.42619,3.598444,3.662364,3.730327,-0.606164,-0.666213,-5.263115,-5.278515,-5.278171,-1.080187,-0.802828,3.109108,3.196342,3.193589,-0.11158,-1.395571,-6.192837,-6.222861,-6.223893,-0.631457,-0.057124,3.539341,3.625285,3.697034,-0.889115,-0.956649,-5.821619,-5.809317,-5.787723,-0.201174,-0.049384,-0.554542,-0.519788,-0.501041,0.02434,0.185403,-0.023026,-0.038049,-0.037518,-0.858571,-1.196987,-1.273219,-1.273218,-1.273215,-0.002462,0.030457,-0.002901,-0.003061,-0.003012,-0.496695,-0.10324,0.094537,-0.404859,1,0,0,0,0,0,0,0,0,0,0
1,-0.684744,0.121271,7.69062,7.67106,7.711985,0.005717,-2.50787,-11.108773,-11.150902,-11.217706,-0.655555,0.269023,7.767053,7.889378,7.864401,-0.33688,-0.458001,-8.132371,-8.169835,-8.2073,-0.703702,-0.099304,7.56318,7.495924,7.480427,-0.458302,-2.59634,-10.676802,-10.690644,-10.806649,-1.149967,0.085762,7.432731,7.553551,7.502845,-0.471542,-0.929844,-8.604063,-8.584353,-8.646493,-0.278705,-0.415846,-0.563719,-0.533159,-0.568759,0.424498,0.033249,-0.128887,-0.108432,-0.149651,3.884561,-20.754454,-20.753772,-20.753697,-20.753615,-1.950318,0.342077,-0.033669,-0.030439,-0.025919,-0.436646,-0.122497,0.100168,-0.270733,1,0,0,0,0,0,0,0,0,0,0
2,0.827783,6.104552,6.161545,6.17921,6.185209,-1.445926,-8.20695,-8.235613,-8.236169,-8.274164,0.960322,6.157657,6.240202,6.327968,6.284641,0.1712,-5.765151,-5.785038,-5.784593,-5.821589,0.877777,5.929575,6.042227,6.038672,5.977235,-1.31972,-7.514816,-7.553589,-7.554922,-7.617803,1.590797,6.235202,6.346188,6.438843,6.325524,0.260967,-6.021563,-6.005676,-5.977791,-6.031228,0.401808,-0.250542,-0.205662,-0.181453,-0.213528,-0.105447,-0.374609,-0.394009,-0.393323,-0.391551,-2.491737,-2.94832,-2.948312,-2.948296,-2.948291,0.430546,0.230751,0.229795,0.230088,0.230625,-0.179496,-0.269406,0.408298,-0.403142,1,0,0,0,0,0,0,0,0,0,0
3,-0.171568,3.950317,3.939666,3.961951,3.985958,-0.302415,-4.986032,-5.008973,-5.045351,-5.05166,-0.204751,3.878298,3.944909,3.931309,3.926147,-0.192215,-4.371289,-4.39169,-4.412091,-4.426839,-0.318228,3.854373,3.817749,3.80931,3.805869,-0.190986,-4.591197,-4.598735,-4.661905,-4.682224,-0.500283,3.500505,3.566297,3.538686,3.470026,-0.442028,-4.62102,-4.610287,-4.644126,-4.664199,-0.37101,-0.451534,-0.434893,-0.454279,-0.457006,-0.135288,-0.223579,-0.212441,-0.234886,-0.234361,-0.054187,-0.054177,-0.054176,-0.054175,-0.054173,-0.018538,-0.023873,-0.023827,-0.023763,-0.023716,0.017085,-0.12233,0.392959,-0.319151,1,0,0,0,0,0,0,0,0,0,0
4,3.779355,3.818451,3.830568,3.834683,3.851678,-4.356649,-4.376311,-4.376692,-4.402756,-4.410225,3.755729,3.812354,3.87256,3.842838,3.845353,-3.893442,-3.907083,-3.906779,-3.932157,-3.883306,3.761445,3.838723,3.836284,3.794139,3.788043,-4.072079,-4.098677,-4.099591,-4.142726,-4.160636,3.651321,3.727455,3.791015,3.71328,3.698648,-3.898548,-3.88765,-3.868521,-3.905178,-3.854041,-0.102403,-0.071616,-0.055009,-0.077012,-0.068116,-0.058801,-0.072109,-0.071639,-0.070423,-0.062826,6e-06,6e-06,8e-06,8e-06,8e-06,-0.003114,-0.003183,-0.003162,-0.003123,-0.003101,-0.092048,-0.287691,0.494238,-0.355043,1,0,0,0,0,0,0,0,0,0,0
5,0.18277,0.149632,0.218968,0.293656,0.228654,0.00051,-0.070865,-0.184045,-0.203673,-0.16926,0.140965,0.348207,0.305892,0.289833,0.145044,0.020903,-0.04257,-0.106043,-0.151926,0.019118,0.400464,0.286519,0.260263,0.249557,0.079532,-0.06959,-0.093042,-0.289578,-0.352795,-0.288558,0.234262,0.438955,0.35305,0.139436,-0.096866,0.038237,0.07163,-0.033648,-0.096101,0.112415,0.091994,0.143767,0.083454,0.074969,0.170747,-0.078012,-0.043358,-0.113191,-0.111557,-0.017837,-0.000133,0.002857,0.006156,0.011341,0.021503,-0.467721,-0.338308,-0.157204,-0.024171,0.060252,0.240068,-0.256095,0.571956,-0.359601,1,0,0,0,0,0,0,0,0,0,0
6,-0.055852,-0.01232,0.002464,0.063518,0.039425,-0.071184,-0.072553,-0.166187,-0.193018,-0.170842,0.052019,0.268309,0.161533,0.170568,0.187543,-0.071458,-0.070363,-0.161533,0.013963,-0.054757,-0.152498,-0.161259,-0.312662,-0.334565,-0.335934,-0.020808,-0.024093,-0.179055,-0.243395,-0.112252,0.021903,0.250239,-0.029021,-0.081588,-0.002464,-0.001916,0.066803,-0.064887,0.118823,-0.099658,0.011796,0.071458,-0.007588,0.02437,-0.12472,0.03598,0.03767,0.042038,0.069331,0.135227,0.004368,0.013231,0.016012,0.016337,0.036902,0.243305,0.405048,0.701572,0.874639,0.278471,-0.177914,-0.035994,0.516944,-0.539911,1,0,0,0,0,0,0,0,0,0,0
7,0.020811,0.097308,0.17971,0.107995,0.108557,-0.005625,-0.130493,-0.152149,-0.114182,-0.095901,0.17521,0.128525,0.110807,-0.048935,0.129931,0.003375,-0.066653,-0.117275,0.071434,0.015468,0.030936,0.001969,-0.009843,-0.197427,-0.183928,-0.0045,-0.221333,-0.291079,-0.220208,-0.039935,0.203333,0.108557,-0.127119,-0.387824,-0.040217,0.038811,-0.07734,-0.146243,0.083808,-0.089433,0.045003,-0.021539,-0.030901,0.074769,-0.130303,0.001274,-0.075771,-0.073968,0.029431,0.144447,0.000679,0.007242,0.017558,0.037778,0.039261,-0.036124,0.324217,0.58891,0.756887,-0.276308,-0.161684,-0.047842,0.549657,-0.635563,1,0,0,0,0,0,0,0,0,0,0
8,0.024733,0.040446,0.105335,0.079729,0.089331,0.004365,-0.095151,-0.123667,-0.100098,-0.089331,0.048594,-0.064889,-0.055286,-0.037246,-0.059069,-0.002328,-0.099225,0.087294,0.014258,0.016295,-0.041319,-0.202232,-0.225511,-0.226966,-0.232494,0.001164,-0.163532,-0.231912,-0.092532,-0.042192,0.032299,-0.264502,-0.320371,-0.236277,-0.265375,0.032881,-0.107081,0.088167,-0.144036,-0.100971,0.016846,-0.067164,-0.033199,-0.191654,-0.163371,0.000479,0.005121,0.034128,0.104163,0.145141,0.012715,0.016974,0.017473,0.048973,0.048965,0.293604,0.74781,1.012908,0.099718,-0.03502,-0.171165,-0.060679,0.521561,-0.661159,1,0,0,0,0,0,0,0,0,0,0
9,0.056122,0.144056,0.067526,0.068127,0.05222,-0.137754,-0.160863,-0.120347,-0.10084,1.495186,-0.099939,-0.118847,-0.289313,-0.098439,0.201979,-0.072328,-0.12635,0.075029,0.015306,2.103524,0.011705,-0.0009,-0.201079,-0.186673,-0.442673,-0.232591,-0.30702,-0.231391,-0.039015,1.885039,-0.134453,-0.385951,-0.66416,-0.293215,-0.56092,-0.157862,-0.231391,0.014106,-0.170767,2.275492,-0.088385,-0.098375,0.014389,-0.204451,0.466834,-0.082711,-0.080787,0.029554,0.152292,0.558579,-0.005443,0.010815,0.042681,0.045017,0.544266,0.203346,0.620494,0.885218,-0.74306,-0.879759,0.285675,-0.414922,0.36139,-0.612176,1,0,0,0,0,0,0,0,0,0,0
