,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.002638,-0.013802,-0.020709,-0.023575,-0.030195,0.02252,0.028168,-0.005708,0.013862,0.035843,-0.005024,-0.003741,0.002158,0.003454,0.004053,0.046599,0.048386,-0.001391,0.001379,0.01475,-0.011212,-0.052583,-0.056468,-0.047295,-0.053123,0.090213,0.048122,0.021669,0.00849,0.007123,-0.008046,-0.015901,-0.016512,-0.016117,-0.014822,0.086531,0.100178,0.083378,0.083845,0.081363,0.040014,0.052912,0.086469,0.084316,0.068528,0.061416,0.007295,0.015241,-0.012864,-0.034788,-0.000135,0.000841,0.001185,0.001436,0.001737,0.008314,0.013735,0.013586,0.009579,0.008431,0.09141,-0.654932,-0.224236,-0.681565,1,0,0,0,0,0,0,0,0,0,0
1,-0.00712,-0.01332,-0.015047,-0.017062,-0.02258,0.010863,-0.023012,-0.019241,0.006526,0.015393,-0.000173,0.003762,0.00617,0.006861,0.007216,0.003503,-0.023789,-0.036879,-0.032839,-0.02567,-0.040679,-0.029442,-0.036226,-0.028616,-0.045554,-0.031764,-0.054738,-0.054872,-0.066493,-0.089419,-0.005835,-0.006861,-0.006938,-0.006679,-0.002505,0.014999,0.004338,0.000384,-0.002946,-0.054882,0.012095,0.029235,0.038626,0.031393,-0.027599,-0.049853,-0.03496,-0.040061,-0.073093,-0.106867,0.000138,0.000236,0.000299,0.000375,0.00053,0.001564,0.00078,0.001024,7.1e-05,7.5e-05,0.083503,-0.609131,-0.211772,-0.657763,1,0,0,0,0,0,0,0,0,0,0
2,-0.001885,-0.007632,-0.010016,-0.015523,-0.036582,-0.006594,-0.034776,-0.018496,-0.000209,0.001397,0.001247,0.006155,0.007233,0.007731,0.006006,-0.002155,-0.043565,-0.041261,-0.030138,-0.022995,0.007871,0.004639,0.012271,0.007422,-0.062231,-0.001995,-0.024002,-0.034966,-0.036103,-0.063807,-0.000469,-0.000978,-0.000648,0.000429,0.005467,-0.00424,-0.018216,-0.017827,-0.019892,-0.077045,-0.001843,0.026074,0.024282,0.011148,-0.053433,0.006801,0.013411,-0.00997,-0.028209,-0.069129,8.8e-05,0.000183,0.000253,0.000336,0.00048,-0.000557,-0.000598,-0.001703,-0.002019,-0.00119,0.07565,-0.602879,-0.16272,-0.656403,1,0,0,0,0,0,0,0,0,0,0
3,-0.004629,-0.006453,-0.00858,-0.014405,-0.036416,-0.029062,-0.025081,0.002117,0.011477,0.044794,0.002887,0.00543,0.006159,0.006534,-0.006858,-0.026621,-0.040438,-0.036173,-0.028606,0.036356,0.00387,-0.003292,0.004741,-0.013138,-0.094744,-0.022225,-0.022367,-0.034634,-0.058834,0.002998,-0.000608,-0.000689,-0.000415,0.003991,0.001297,-0.006949,-0.011122,-0.014638,-0.06946,0.002796,0.019964,0.029877,0.022242,-0.040029,-0.034327,0.008815,0.00343,-0.031438,-0.067089,-0.051491,4.6e-05,0.000137,0.000249,0.000475,0.000216,-0.000525,-0.000169,-0.00156,-0.001555,1.3e-05,0.081428,-0.710837,-0.149112,-0.755835,1,0,0,0,0,0,0,0,0,0,0
4,-0.001269,-0.003818,-0.009704,-0.032216,-0.04513,0.000469,0.017873,0.03742,0.039137,0.072643,0.002207,0.003359,0.003892,0.002047,-0.015591,-0.016241,-0.013778,-0.001888,0.005748,0.085695,-0.007529,0.000629,-0.004554,-0.079009,-0.111588,-0.000128,-0.011848,-0.013063,-0.042677,0.03678,9.6e-05,0.000448,0.0016,0.006985,0.000149,-0.007625,-0.007209,-0.009416,-0.07051,0.013021,0.008825,0.00691,-0.00713,-0.076164,-0.074084,-0.002214,-0.027207,-0.046703,-0.090446,-0.047838,8.6e-05,0.000197,0.000329,0.000559,0.000197,0.000686,-0.001076,-0.001581,-0.000258,0.000647,0.081986,-0.735496,-0.150197,-0.798988,1,0,0,0,0,0,0,0,0,0,0
5,-0.000633,-0.002814,-0.008784,-0.031346,-0.061862,0.003624,0.031502,0.041096,0.075246,0.067521,0.000457,0.001204,0.001589,-0.012138,-0.022811,0.001651,0.006022,0.013778,0.080364,0.117089,-1e-05,0.008223,-0.010103,-0.093748,-0.11846,-2.1e-05,-0.012595,-0.0374,0.025978,0.040971,-0.000177,0.000104,0.00462,0.001859,-0.002056,0.003146,-0.000457,-0.05665,0.017412,0.03307,0.001569,-0.006258,-0.070085,-0.06424,-0.085938,-0.003364,-0.039103,-0.075646,-0.059658,-0.036466,3.7e-05,0.00017,0.000439,0.000131,2.9e-05,-0.000147,-0.0018,-0.001794,6.9e-05,-9.6e-05,0.076323,-0.723084,-0.13782,-0.784841,1,0,0,0,0,0,0,0,0,0,0
6,-0.001778,-0.00729,-0.028371,-0.040464,-0.066627,0.012812,0.031117,0.032725,0.064101,0.064141,0.000639,0.001138,-0.000589,-0.017106,-0.022099,0.000719,0.011854,0.019004,0.09387,0.100151,0.007649,0.002796,-0.066927,-0.097435,-0.132955,-0.010955,-0.012093,-0.039825,0.034582,0.051449,0.000499,0.001578,0.006621,0.00022,-0.000489,-0.002636,-0.004703,-0.061914,0.016307,0.000719,-0.003302,-0.01645,-0.081096,-0.079148,-0.101361,-0.02017,-0.038426,-0.079389,-0.03949,-0.023534,4.2e-05,0.000125,0.000271,4.2e-05,6e-06,-0.001001,-0.00132,-0.000485,8.7e-05,0.000625,0.070585,-0.663152,-0.116019,-0.766181,1,0,0,0,0,0,0,0,0,0,0
7,-0.000331,-0.006283,-0.028774,-0.059195,-0.088973,0.014511,0.024075,0.058118,0.050417,0.036113,8.3e-05,0.000466,-0.013218,-0.023858,-0.023082,0.003612,0.011344,0.077722,0.114332,0.098019,0.000279,-0.017989,-0.101373,-0.126007,-0.166664,-0.00118,-0.025907,0.037272,0.052218,0.063355,-0.000238,0.004264,0.001511,-0.002391,0.000186,-0.000859,-0.056876,0.016954,0.032563,-0.024013,-0.004379,-0.068007,-0.06218,-0.083811,-0.124026,-0.014722,-0.05115,-0.035213,-0.012093,0.012296,7.7e-05,0.00034,3.9e-05,-6.1e-05,-2.5e-05,-0.000331,-0.000325,0.001498,0.001336,0.002108,0.072943,-0.69023,-0.118404,-0.834409,1,0,0,0,0,0,0,0,0,0,0
8,-0.005244,-0.026532,-0.038744,-0.065165,-0.091476,0.004346,0.00597,0.037655,0.037696,0.031594,0.000424,-0.001321,-0.018001,-0.023043,-0.026744,0.007725,0.014945,0.090548,0.096891,0.087684,-0.005173,-0.075583,-0.106391,-0.142261,-0.177486,0.0,-0.028004,0.047135,0.064167,0.073989,0.001321,0.006414,-5e-05,-0.000766,-0.001119,-0.00125,-0.059024,0.019967,0.004225,-0.018212,-0.00901,-0.074293,-0.072326,-0.094757,-0.108266,-0.004093,-0.045458,-0.005167,0.010946,0.026361,2.6e-05,0.000182,-6.3e-05,-0.000102,-0.000115,-6.5e-05,0.000829,0.001441,0.002017,0.002708,0.077474,-0.708234,-0.108112,-0.871997,1,0,0,0,0,0,0,0,0,0,0
9,-0.000552,-0.022375,-0.051891,-0.080784,-0.102045,0.004951,0.037982,0.03051,0.016631,0.026965,-5e-05,-0.013327,-0.023651,-0.022898,-0.026473,-0.000191,0.064214,0.099735,0.083908,0.077199,-0.012574,-0.093478,-0.11738,-0.156828,-0.202091,-0.023992,0.037309,0.051811,0.062617,0.089411,0.003053,0.000382,-0.003405,-0.000904,-0.005986,-0.053106,0.018529,0.033674,-0.02122,0.021451,-0.052763,-0.04711,-0.068097,-0.107116,-0.057863,-0.031269,-0.015805,0.006627,0.030291,0.045961,0.000188,-5.6e-05,-0.000136,-0.000107,-0.000137,6.9e-05,0.001544,0.001413,0.002038,0.003804,0.088263,-0.767506,-0.078438,-0.90601,1,0,0,0,0,0,0,0,0,0,0
10,-0.020697,-0.032888,-0.059262,-0.085526,-0.121937,-0.003342,0.028287,0.028327,0.022237,0.021442,-0.001691,-0.018341,-0.023375,-0.027069,-0.027371,0.007399,0.082868,0.0892,0.08001,0.076053,-0.057682,-0.088435,-0.124242,-0.159405,-0.211923,-0.003906,0.071101,0.088103,0.097908,0.10872,0.002023,-0.004429,-0.005144,-0.005496,-0.005547,-0.004439,0.074412,0.058698,0.0363,0.072329,-0.012279,-0.010316,-0.032708,-0.046192,-0.006402,-0.009949,0.030272,0.046356,0.061743,0.073094,-3.7e-05,-0.000279,-0.000318,-0.000331,-0.000421,0.000813,0.001418,0.001987,0.00267,0.003946,0.089934,-0.754181,-0.063011,-0.891914,1,0,0,0,0,0,0,0,0,0,0
