,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.058635,-0.023614,0.028773,0.011922,0.010088,-0.030034,0.062303,0.152347,-0.015418,-0.007508,0.125809,-0.023729,0.07967,0.280162,0.018112,0.078925,0.006247,0.098985,0.106379,0.035536,0.084255,0.000745,0.094744,0.095088,-0.011406,0.042643,-0.007165,0.297357,0.074167,0.027626,0.036969,-0.025334,0.035307,0.250587,-0.00768,0.201524,0.114919,0.236774,0.286697,0.202441,-0.117634,-0.108684,-0.136902,-0.180068,-0.166779,-0.074702,0.052118,-0.156274,-0.117457,-0.015996,-1.133802,-0.288811,-0.580156,-0.470769,-0.459943,-0.000759,5.3e-05,-0.020673,-0.018257,-0.01862,0.085505,0.336295,-0.220705,0.075822,1,0,0,0,0,0,0,0,0,0,0
1,-0.102666,-0.073298,-0.060004,-0.059884,-0.112153,0.101881,0.187869,0.114993,0.039399,0.037828,-0.054143,0.053237,-0.002055,0.202553,-0.099947,-0.044414,0.141279,0.015953,0.001571,-0.045018,-0.072573,-0.161401,-0.142911,-0.002357,-0.113422,0.0,0.12164,0.049732,0.099161,0.021693,-0.049067,0.093662,0.067618,0.286607,-0.070337,-0.093783,0.175783,0.00284,0.089372,-0.02127,0.048401,-0.038358,0.00792,-0.093117,-0.026793,0.078076,0.107315,0.103102,-0.081686,0.013917,0.135403,0.739689,1.034687,1.071718,0.710316,0.003956,-0.02881,-0.028756,-0.025385,-0.024573,0.113182,0.432776,-0.218754,0.129807,1,0,0,0,0,0,0,0,0,0,0
2,0.016441,0.073363,0.055054,0.053061,0.090552,-0.004671,0.093168,-0.08912,-0.080525,-0.019742,-0.106682,0.005667,0.223516,-0.061219,0.264557,-0.033194,0.067572,0.075605,-0.00137,0.249797,-0.015943,0.086193,0.086566,-0.029146,0.010899,-0.05412,0.276763,0.034253,-0.016317,0.001308,-0.017126,0.048764,0.28268,0.002055,0.395652,0.002553,0.134956,0.1892,0.097652,0.344397,-0.040159,-0.07082,-0.117722,-0.103283,-0.09693,0.057331,-0.1691,-0.126923,-0.016679,0.01616,1.343685,0.822732,1.018327,1.037685,1.68273,-0.003434,-0.040493,-0.036173,-0.036822,-0.035359,-0.311977,0.219074,-0.279091,0.129351,1,0,0,0,0,0,0,0,0,0,0
3,0.01431,0.028491,0.02862,-0.027137,-0.017468,0.096559,0.018822,-0.061816,-0.063492,-0.016759,0.224962,0.165982,0.38424,0.061558,0.183966,0.232439,0.098751,0.08341,0.033712,-0.026879,-0.078253,-0.058529,0.091403,-0.027073,-0.048215,0.185771,0.109064,0.161792,0.079156,0.081992,0.169978,0.142196,0.375795,-0.004963,0.10249,0.284908,0.100427,0.192732,0.074708,0.016759,-0.050982,-0.001617,-0.109394,-0.038645,-0.039819,-0.02815,-0.032644,-0.22976,-0.127779,-0.074156,-0.760064,-0.296441,-0.238243,-0.806225,-0.967046,-0.047126,-0.047041,-0.041743,-0.040466,-0.040531,-0.01335,0.397629,-0.213891,0.125868,1,0,0,0,0,0,0,0,0,0,0
4,0.039759,0.022867,0.021029,0.055617,-0.042977,0.004194,-0.163979,-0.15605,-0.099973,-0.194545,-0.09687,0.10411,-0.158578,0.141973,-0.18834,-0.114222,-0.10681,-0.177825,0.053893,-0.269582,0.163979,0.164323,0.057571,0.094515,-0.019937,0.139675,-0.084058,-0.130712,-0.114452,-0.182422,-0.090723,0.125081,-0.133814,0.229306,-0.143869,-0.131803,-0.081759,-0.166219,0.06142,-0.26263,0.017156,-0.026114,-0.012793,-0.006932,-0.008326,-0.183807,-0.144895,-0.043188,-0.012892,-0.024372,0.043444,0.154706,0.165717,0.532645,0.284444,-1.4e-05,0.002444,0.002075,0.002907,0.000724,0.099372,0.434772,-0.144262,0.143638,1,0,0,0,0,0,0,0,0,0,0
5,-0.027393,-0.027277,-0.077478,-0.068773,-0.014393,-0.074228,-0.146831,-0.14834,-0.106264,-0.074286,0.044746,0.241256,-0.049273,0.060938,0.065117,-0.004991,-0.018804,-0.06355,-0.118103,-0.104929,-0.147876,-0.012884,-0.119554,-0.13859,-0.116188,-0.210149,-0.162675,-0.237078,-0.234524,-0.242127,0.066625,0.276948,-0.065871,0.030875,-0.008938,-0.032965,0.050143,-0.056121,-0.108295,-0.082121,0.027117,-0.069922,-0.006222,-0.007278,-0.013658,0.181617,0.004142,0.095962,0.144242,0.194983,0.175757,0.203671,-0.068751,-0.145885,-0.391616,5.6e-05,0.002596,0.003209,0.003178,0.004521,0.016177,0.478667,-0.236647,0.207324,1,0,0,0,0,0,0,0,0,0,0
6,0.01035,0.00849,0.043494,-0.056287,0.011513,-0.095827,-0.087802,-0.031051,-0.126761,0.001977,0.158568,-0.107282,0.196887,-0.137402,-0.038494,0.012502,-0.059368,0.17514,-0.15223,-0.009013,0.148508,0.040471,0.077859,-0.03797,-0.030004,-0.015874,-0.06309,-0.046634,-0.115422,0.021922,0.151648,-0.110364,0.257128,-0.120539,-0.170314,0.083674,-0.001803,0.228577,-0.099374,-0.095652,-0.07096,-0.057479,-0.051547,-0.052958,0.100966,-0.142585,-0.039654,-0.008993,-0.020611,0.016297,-0.057146,-0.045172,0.353814,0.083927,-0.669384,0.002616,0.002215,0.003119,0.000746,-0.010987,0.073079,0.577962,-0.175604,0.123725,1,0,0,0,0,0,0,0,0,0,0
7,-0.009233,-0.054609,-0.046741,0.002413,0.512625,0.020826,0.019462,0.057495,0.086399,0.55711,0.03457,-0.228038,-0.128419,-0.124642,1.46307,-0.023764,-0.064209,-0.11352,-0.101612,-0.44317,-0.011961,-0.108379,-0.125586,-0.105337,0.474068,0.057232,-0.01002,-0.007711,-0.014583,0.701004,0.053298,-0.256575,-0.169127,-0.205113,1.506821,-0.000367,-0.096419,-0.143579,-0.11992,0.512048,-0.023694,0.033883,0.032929,0.027162,-0.043022,-0.031783,0.051213,0.094852,0.140717,-0.035056,0.041557,-0.092741,-0.130767,-0.251907,-7.537673,-2e-05,0.000282,0.000267,0.000929,-0.009146,-0.23551,-1.028723,0.581282,-0.150834,1,0,0,0,0,0,0,0,0,0,0
8,0.008047,0.041686,-0.054203,0.010952,-0.022016,-0.014473,0.040065,-0.051912,0.071805,0.068172,-0.292303,0.0,-0.321249,-0.226198,-0.290012,-0.043753,0.181607,-0.132992,0.004638,0.034421,-0.091083,-0.055153,-0.166464,-0.158808,-0.135507,-0.106338,-0.090524,-0.156629,-0.024643,-0.027716,-0.308564,0.044591,-0.318343,-0.366175,-0.273248,-0.081751,0.139642,-0.175516,-0.17194,0.009276,0.038195,0.043895,0.042539,0.190459,0.025457,0.132772,0.162237,0.151072,0.18654,0.145267,-0.055603,0.246386,0.042111,-0.528063,-16.447075,-0.000273,0.000412,-0.001384,-0.010265,-0.01197,-0.000297,0.412223,-0.173408,0.16622,1,0,0,0,0,0,0,0,0,0,0
9,-0.061449,-0.052314,0.00475,0.597072,-0.072168,0.01419,0.058343,0.091899,0.638363,0.063032,0.013703,0.129353,0.133738,1.976965,0.071924,0.000731,-0.056516,-0.042692,-0.439217,0.040134,-0.012667,-0.032643,-0.009135,0.663515,-0.12576,0.037819,0.040499,0.032521,0.86327,0.120401,-0.023447,0.078075,0.036297,2.023736,0.059561,-0.022412,-0.077161,-0.049695,0.683978,0.10883,0.025216,0.024108,0.017414,-0.064066,-0.068144,-0.048351,0.002312,0.055557,-0.148503,0.003188,-0.280138,-0.388213,-0.732512,-21.439809,-30.180308,0.001356,0.001313,0.003195,-0.02544,-0.029147,-0.025138,0.344838,-0.170881,0.084642,1,0,0,0,0,0,0,0,0,0,0
