,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.00691,0.02633,0.035827,-0.019391,-0.038224,-0.033916,0.002837,0.023537,0.039238,-0.000206,-0.005484,-0.012599,0.002485,0.020847,0.021993,-0.014422,-0.01945,-0.018524,0.00638,0.01401,0.014363,0.002308,0.012452,-0.015745,0.003312,0.015252,-0.008546,0.004886,0.018676,0.015266,-0.001555,0.008835,0.014857,0.0031,0.005382,0.012345,-0.023037,-1.008582,-0.112655,-0.953063,1,0,0,0,0,0,0,0,0,0,0
1,-0.006403,0.027153,1.4e-05,0.001326,-0.027766,0.030191,0.009042,0.025998,0.048502,-0.003451,-0.007473,-0.015017,0.01158,0.017299,0.021292,0.027125,-0.009384,0.031873,0.007844,0.007216,0.007615,0.010026,-0.00067,-0.018682,0.01277,0.002312,-0.012116,0.026353,0.018344,0.002446,0.002247,0.010534,0.018801,-0.011511,0.007935,-0.011667,-0.015797,-1.005738,-0.112519,-0.977123,1,0,0,0,0,0,0,0,0,0,0
2,0.024944,0.034048,-0.007596,-0.019364,-0.015234,0.092787,0.010908,0.025959,0.051058,-0.001649,-0.00847,-0.01429,0.006159,0.007258,0.011232,-0.031624,-0.030736,0.035148,-0.000437,-9.9e-05,-0.000747,-0.000183,-0.027213,-0.029369,-0.001174,-0.023986,-0.024667,-0.012823,-0.016091,-0.056134,0.005661,0.010141,0.020099,0.012291,0.01747,-0.008691,-0.010053,-1.007932,-0.107166,-0.982924,1,0,0,0,0,0,0,0,0,0,0
3,0.00826,-0.018702,-0.041343,-0.009436,0.048143,0.13216,0.00588,0.028237,0.05714,-0.002338,-0.009833,-0.012638,-0.00051,0.003457,0.00408,-0.004477,0.036511,0.064238,-0.000184,0.000213,0.004066,-0.010442,-0.028336,-0.025814,-0.00921,-0.023544,-0.021722,0.004935,-0.010859,-0.064892,0.002041,0.009937,0.020063,0.005818,-0.012908,-0.025379,-0.005649,-1.012485,-0.10169,-0.968116,1,0,0,0,0,0,0,0,0,0,0
4,0.000896,-0.041139,-0.047384,0.013642,0.122678,0.159308,0.009289,0.034624,0.063274,-0.004538,-0.010413,-0.001807,0.001622,0.005633,0.006885,0.005391,0.071894,0.081212,0.000526,-0.000128,0.009559,-0.0168,-0.018976,-0.004794,-0.01378,-0.014467,-0.011135,-0.008254,-0.048674,-0.075012,0.002683,0.013315,0.021323,-0.000454,-0.028385,-0.03223,-0.001576,-1.015861,-0.097901,-0.96674,1,0,0,0,0,0,0,0,0,0,0
5,-0.028131,-0.050997,-0.046976,0.044429,0.129282,0.15986,0.013236,0.042426,0.069141,-0.003005,-0.005838,0.007541,0.002375,0.003005,0.008786,0.035973,0.063975,0.091706,-0.000129,0.003763,0.013822,-0.001173,0.001374,0.01501,-0.000615,0.001224,-4.1e-05,-0.007648,-0.062218,-0.06483,0.005667,0.016518,0.023664,-0.019595,-0.03296,-0.033638,0.004012,-1.023032,-0.098257,-0.978677,1,0,0,0,0,0,0,0,0,0,0
6,-0.014229,-0.020544,-0.017379,0.065604,0.10265,0.130172,0.012315,0.04129,0.069517,-0.002921,0.005783,0.01502,0.001669,0.002935,0.00751,0.03109,0.040513,0.058813,-0.000532,0.009265,0.017969,-0.001021,0.013322,0.019393,-7.6e-05,0.003294,-0.001304,-0.033188,-0.059826,-0.068803,0.00562,0.014288,0.02269,-0.009876,-0.014037,-0.014879,0.008232,-1.029503,-0.093886,-0.973814,1,0,0,0,0,0,0,0,0,0,0
7,-0.008886,-0.004786,0.001868,0.019989,0.051168,0.094239,0.017275,0.044515,0.076468,7.3e-05,0.013715,0.021039,-0.001051,0.004844,0.014517,-0.002976,0.0253,0.041349,0.004508,0.014765,0.026846,0.003633,0.017538,0.020893,0.001953,0.000662,-0.00433,-0.021985,-0.024648,-0.051036,0.006235,0.014425,0.023515,-0.004421,-0.005197,-0.007167,0.019155,-1.028357,-0.099978,-0.980626,1,0,0,0,0,0,0,0,0,0,0
8,0.002508,0.005753,0.01152,0.017774,0.045992,0.097795,0.012243,0.041183,0.069548,0.00885,0.01832,0.030563,0.00236,0.007051,0.016314,0.012671,0.031433,0.051125,0.005487,0.014411,0.024604,0.011033,0.017258,0.029486,0.001481,-0.003234,-0.003851,-0.005085,-0.014289,-0.045631,0.003592,0.013598,0.022413,-0.000184,-0.001186,-0.003557,0.03184,-1.021163,-0.098722,-0.971555,1,0,0,0,0,0,0,0,0,0,0
9,0.00165,0.00843,0.017469,0.013856,0.057744,0.078127,0.015417,0.047976,0.076834,0.004981,0.012444,0.021498,0.003628,0.013485,0.019119,0.016042,0.032396,0.04814,0.004921,0.017231,0.029303,0.003048,0.006467,0.008043,-0.002808,-0.007895,-0.015578,0.002411,-0.024478,-0.029537,0.005546,0.015914,0.024287,-0.000691,-0.002938,-0.002245,0.03641,-1.013416,-0.105453,-0.980924,1,0,0,0,0,0,0,0,0,0,0
10,0.001644,0.007541,0.0241,0.014795,0.067762,0.050086,0.013951,0.042952,0.076057,0.00463,0.017148,0.009743,0.001116,0.010587,0.01852,0.002911,0.023045,0.028972,0.004132,0.014554,0.04066,0.003273,0.015775,-0.022472,-0.001972,-0.002603,-0.033488,-0.011857,-0.043903,-0.021634,0.005559,0.015855,0.019772,-0.000407,-0.003176,0.000484,0.036774,-0.990299,-0.108583,-0.986389,1,0,0,0,0,0,0,0,0,0,0
11,0.005329,0.014667,0.034771,0.030271,0.051328,0.028812,0.019428,0.049239,0.058116,0.002995,0.012348,0.006712,0.009046,0.014867,0.024635,0.01393,0.030195,0.022362,0.008509,0.02098,0.03643,0.0002,0.001828,-0.025787,-0.003246,-0.011184,-0.033154,-0.015703,-0.020929,-0.007583,0.006704,0.017216,0.014199,-0.002359,-0.001489,0.003121,0.039594,-0.996551,-0.1072,-0.980215,1,0,0,0,0,0,0,0,0,0,0
12,0.000685,0.017784,0.035132,0.023998,0.005746,-0.006291,0.010247,0.044429,0.043589,0.009889,0.002242,0.002585,0.000607,0.008799,0.018329,0.006665,0.012785,0.006089,0.002133,0.02909,0.02786,0.012707,-0.026785,-0.035086,0.00264,-0.029251,-0.037893,-0.017168,0.005826,0.01029,0.005499,0.010401,0.010469,-0.000866,0.003715,0.007363,0.051946,-1.013772,-0.111766,-0.990346,1,0,0,0,0,0,0,0,0,0,0
13,0.008722,0.028964,0.03351,-0.002629,-0.025299,-0.026536,0.01984,0.028778,0.034933,-0.000402,-0.006077,-0.00682,0.005258,0.015093,0.016392,0.009758,0.001871,-0.002196,0.010438,0.025995,0.027665,-0.010979,-0.038784,-0.049655,-0.010614,-0.032735,-0.042879,0.011785,0.025223,0.022076,0.005793,0.002628,0.004611,0.001737,0.006573,0.007833,0.052851,-1.018482,-0.108818,-0.993935,1,0,0,0,0,0,0,0,0,0,0
14,0.008402,0.025931,0.026717,-0.015766,-0.027929,-0.018472,0.01435,0.0135,0.022013,-0.007317,-0.00697,-0.005806,0.002927,0.012556,0.016883,-0.003745,-0.010511,-0.013579,0.016616,0.015373,0.021981,-0.028731,-0.037118,-0.03759,-0.021423,-0.030155,-0.031783,0.011241,0.015752,0.003664,-0.001271,-0.001198,-0.000324,0.002963,0.006885,0.004802,0.05535,-1.021745,-0.111656,-0.996292,1,0,0,0,0,0,0,0,0,0,0
15,0.01237,0.017062,0.018962,-0.007406,-0.008683,-0.002378,-0.005331,0.001022,0.011428,0.001564,0.000798,0.001724,0.007182,0.008523,0.012466,-0.004341,-0.008539,-0.014668,-0.000798,0.000926,0.01245,0.000447,-0.010774,-0.007901,-0.001101,-0.011572,-0.009625,0.002467,-0.000781,-0.01294,-0.002545,-7e-05,-0.000651,0.00276,0.004332,0.002702,0.05009,-1.032595,-0.11101,-0.999588,1,0,0,0,0,0,0,0,0,0,0
16,0.005483,0.006292,0.007408,-0.004998,0.004723,0.003558,0.004529,0.013279,0.021592,-0.001229,-3.2e-05,-0.00241,0.00262,0.007068,0.004254,-0.002555,-0.005709,-0.023177,-0.000469,0.006324,0.015365,-0.009074,-0.009559,-0.009381,-0.00786,-0.009534,-0.006982,0.002137,-0.010288,-0.026919,0.00288,0.003941,0.003559,0.001727,-0.000799,0.000214,0.049891,-1.038731,-0.109788,-0.99359,1,0,0,0,0,0,0,0,0,0,0
17,-0.000749,0.001232,0.002248,0.003813,0.010389,0.008857,0.001965,0.01282,0.023059,0.000466,0.001432,-0.008807,-0.001299,0.002814,0.001598,-0.001748,-0.008141,-0.02559,0.002281,0.014302,0.017299,-0.002364,0.000633,-0.009507,-0.002831,-0.0008,-0.000652,-0.005588,-0.018271,-0.034334,-0.000203,-0.000983,0.003815,-2e-06,-0.002193,-0.001908,0.051632,-1.040192,-0.111905,-0.995875,1,0,0,0,0,0,0,0,0,0,0
18,0.001608,0.002776,0.002692,0.006297,0.005079,0.004554,0.007161,0.015862,0.028559,0.000779,-0.00171,-0.016539,0.005976,0.00303,0.002522,-0.001524,-0.019807,-0.033163,0.004791,0.014254,0.018181,0.001896,0.002082,-0.023277,0.001127,0.003797,-0.006609,-0.007323,-0.02473,-0.037534,0.001687,0.001161,0.007539,-0.003474,-0.002079,-0.00254,0.054546,-1.040704,-0.115806,-1.003476,1,0,0,0,0,0,0,0,0,0,0
19,0.00041,0.001452,0.001025,0.000393,-0.001179,-0.001828,0.003912,0.014418,0.025283,0.000205,-0.010301,-0.025932,-0.001811,-0.003058,-0.005569,-0.005022,-0.022926,-0.033227,0.0075,0.010574,0.013069,0.001162,-0.009242,-0.036182,0.000947,0.001099,-0.010014,-0.005624,-0.022106,-0.031922,-0.002732,0.003013,0.009136,0.001078,0.001421,0.001912,0.058942,-1.036677,-0.119052,-1.008183,1,0,0,0,0,0,0,0,0,0,0
20,0.00078,0.000693,0.000364,-0.001646,-0.002183,-0.002426,0.004938,0.017933,0.022784,-0.002755,-0.017933,-0.027064,-0.001178,-0.001698,-0.005926,-0.013618,-0.027289,-0.028536,0.002079,0.006099,0.006393,-0.000988,-0.026942,-0.036212,0.001773,-0.008877,-0.008889,-0.012112,-0.025218,-0.026618,0.002398,0.009901,0.013322,0.00045,-9.3e-05,0.001908,0.061357,-1.044263,-0.118056,-1.011569,1,0,0,0,0,0,0,0,0,0,0
21,0.000279,-0.000157,-0.002096,5.2e-05,-0.000611,0.00234,0.005763,0.016869,0.019384,-0.007963,-0.023941,-0.026142,-8.7e-05,-0.002654,-0.010547,-0.004575,-0.015105,-0.010949,0.001048,0.003597,0.003999,-0.009639,-0.037178,-0.035624,-0.001631,-0.012992,-0.009167,-0.004641,-0.014675,-0.014049,0.004167,0.011308,0.012901,-7.7e-05,0.000497,0.00385,0.062994,-1.055311,-0.116813,-1.021684,1,0,0,0,0,0,0,0,0,0,0
22,-0.000371,-0.000707,-0.003958,-0.000601,-0.000848,0.001785,0.007421,0.012369,0.017334,-0.007421,-0.016734,-0.02002,-0.000442,-0.004753,-0.013677,-0.009312,-0.010584,-0.006432,0.003039,0.00334,0.003304,-0.016716,-0.02617,-0.038009,-0.009211,-0.009222,-0.017579,-0.00867,-0.010098,-0.009109,0.004083,0.008009,0.012491,-0.00054,0.001756,0.005213,0.066979,-1.052606,-0.117241,-1.036004,1,0,0,0,0,0,0,0,0,0,0
23,-7.2e-05,-0.00207,-0.015014,-7.2e-05,0.00297,0.00378,0.003888,0.006481,0.008281,-0.008911,-0.011179,-0.008065,-0.002196,-0.010333,-0.027759,-0.001368,0.002916,-0.013807,-0.000468,-5.4e-05,0.000486,-0.011359,-0.009757,-0.024176,-0.002327,0.001615,-0.015858,-0.001512,-0.000866,-0.018722,0.004184,0.006155,0.00811,0.001324,0.005473,0.007388,0.068648,-1.063431,-0.108743,-1.035835,1,0,0,0,0,0,0,0,0,0,0
24,-0.000274,-0.003633,-0.016009,-0.000183,0.002537,0.003322,0.001168,0.006298,0.006553,-0.000584,-0.003979,0.000967,-0.002227,-0.011445,-0.027746,7.3e-05,0.004363,-0.021631,0.000785,0.000748,0.001406,0.001752,-0.010478,-0.020244,0.002348,-0.006285,-0.021001,5.8e-05,0.001079,-0.025936,0.000316,0.005944,0.006011,0.001423,0.005763,0.006836,0.072298,-1.096944,-0.116743,-1.064601,1,0,0,0,0,0,0,0,0,0,0
25,-0.001767,-0.015003,-0.024999,0.003295,0.004124,-0.003479,0.001473,0.003314,0.010106,-0.00173,0.001454,0.003258,-0.006075,-0.023895,-0.031332,0.004308,-0.012794,-0.031148,-0.000368,0.000184,0.008523,-0.000129,-0.014874,-0.023766,0.001664,-0.016205,-0.026952,0.000602,-0.017657,-0.028144,0.001969,0.004255,0.003409,0.003343,0.005583,0.003627,0.065807,-1.101384,-0.11875,-1.068955,1,0,0,0,0,0,0,0,0,0,0
26,-0.001651,-0.014374,-0.052711,-0.000563,0.000244,-0.005442,0.003772,0.004034,0.015706,-0.001726,0.003359,0.013042,-0.003284,-0.020041,-0.041321,1.9e-05,-0.026703,-0.034547,0.000338,0.001013,0.013248,-0.012441,-0.022481,-0.023044,-0.01057,-0.025699,-0.035959,0.000436,-0.027335,-0.027757,0.004576,0.004657,0.004374,0.001443,0.002744,-0.008193,0.066322,-1.100029,-0.109804,-1.072018,1,0,0,0,0,0,0,0,0,0,0
27,-0.012,-0.022326,-0.055645,0.001426,-0.006428,-0.007093,-0.001921,0.005097,0.010897,0.00504,0.006903,0.014035,-0.015081,-0.022764,-0.044215,-0.017686,-0.036646,-0.034231,0.000228,0.008843,0.012399,-0.002624,-0.01181,-0.014054,-0.007747,-0.018849,-0.028127,-0.019305,-0.030138,-0.025852,-0.002154,-0.003217,-0.000608,0.001228,-0.001227,-0.009095,0.068629,-1.125462,-0.113057,-1.101838,1,0,0,0,0,0,0,0,0,0,0
28,-0.000918,-0.040818,-0.046931,-0.000625,-0.006543,-0.008691,0.002246,0.014394,0.015155,0.000117,0.010195,0.001426,-0.001953,-0.0241,-0.038123,-0.009648,-0.017811,-0.021268,0.000469,0.013202,0.012167,-0.007753,-0.008339,-0.027518,-0.007789,-0.018468,-0.028785,-0.009078,-0.009517,-0.0117,0.002703,0.002328,0.004679,0.000243,-0.014224,-0.007862,0.070453,-1.128498,-0.113657,-1.115016,1,0,0,0,0,0,0,0,0,0,0
29,-0.010121,-0.045873,-0.053953,-0.007775,-0.008489,-0.030752,0.005183,0.011407,0.016774,0.001877,0.00953,-0.006734,-0.006203,-0.029221,-0.050729,-0.010264,-0.007673,-0.022222,0.008754,0.01257,0.018794,-0.001755,-0.004163,-0.033629,-0.003775,-0.01373,-0.026957,-0.00214,0.00246,0.008773,-0.005414,-0.001142,-0.001242,-0.004351,-0.017236,-0.002004,0.064701,-1.096928,-0.107988,-1.102018,1,0,0,0,0,0,0,0,0,0,0
30,-0.031893,-0.038346,-0.04548,0.001608,-0.00066,-0.013462,0.007587,0.008391,0.010782,0.008741,-0.000515,-0.009401,-0.017112,-0.031914,-0.047603,0.001752,-0.001897,-0.010617,0.004597,0.003505,0.009319,0.001155,-0.019091,-0.042985,-0.007459,-0.01835,-0.033498,0.001698,-0.000606,0.002646,0.00527,0.008704,0.004896,-0.016457,-0.007164,0.003349,0.066562,-1.092002,-0.109501,-1.107795,1,0,0,0,0,0,0,0,0,0,0
31,-0.004257,-0.01248,-0.025457,-0.002346,-0.025001,-0.000519,-0.001308,0.004153,0.011898,-0.001017,-0.017567,-0.018148,-0.006188,-0.028074,-0.04562,0.000872,-0.013933,-0.011151,-0.000748,0.005586,0.008846,-0.003613,-0.033597,-0.054611,-0.002617,-0.016077,-0.036274,0.00297,0.009395,-0.012614,-0.000715,-0.000827,0.005715,0.002747,0.019955,0.023053,0.064052,-1.082449,-0.116633,-1.11125,1,0,0,0,0,0,0,0,0,0,0
32,-0.002307,-0.009697,-0.021637,6.4e-05,-0.0132,-0.013756,0.002179,0.004656,0.012196,-0.008544,-0.01775,-0.017494,-0.008971,-0.025226,-0.039238,-0.004678,-0.013713,-0.025418,-0.000363,0.00566,0.009249,-0.017259,-0.042014,-0.053271,-0.00859,-0.024285,-0.0356,-0.005442,-0.002073,-0.013359,0.005272,0.000392,0.006863,0.00856,0.022032,0.023578,0.065848,-1.101147,-0.124371,-1.123399,1,0,0,0,0,0,0,0,0,0,0
33,-0.006303,-0.019983,-0.023659,-0.023944,0.00186,0.002736,0.003524,0.011687,0.002408,-0.008689,-0.009302,-0.004399,-0.013876,-0.03237,-0.032567,-0.010812,-0.007879,-0.019304,0.007048,0.010484,0.00893,-0.01392,-0.036069,-0.033552,-0.005385,-0.026673,-0.029408,0.012348,-0.01085,-0.022802,-0.006416,0.00304,-0.008723,0.01472,0.019197,0.012889,0.063679,-1.114854,-0.124772,-1.128425,1,0,0,0,0,0,0,0,0,0,0
34,-0.001273,-0.013537,-0.026328,0.010378,0.009807,0.045942,-0.000987,0.006757,-0.001273,-0.000746,-0.000483,0.017574,-0.002786,-0.017179,-0.036245,0.001558,-0.010465,-0.001887,-0.000878,0.002808,0.002457,-0.011475,-0.023037,-0.010948,-0.010724,-0.022345,-0.028648,-0.008918,-0.02051,-0.048482,0.000639,0.008445,-0.003186,0.001279,0.003144,0.007233,0.062781,-1.125315,-0.108417,-1.133658,1,0,0,0,0,0,0,0,0,0,0
35,-0.012648,-0.016395,-0.028842,0.015748,0.01664,0.035556,0.009324,-0.000134,-0.00058,0.000134,0.00513,0.008543,-0.016016,-0.016217,-0.045661,0.001405,-0.010239,-0.012291,0.004394,0.002811,0.002766,-0.010908,-0.008343,-0.001227,-0.010794,-0.013582,-0.009897,-0.014576,-0.026758,-0.048962,0.010083,-0.003353,-0.004256,0.003677,-0.003528,0.015942,0.05903,-1.129513,-0.104447,-1.122973,1,0,0,0,0,0,0,0,0,0,0
