,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.65613,0.767289,0.903939,-0.148245,0.098894,0.396342,0.081837,0.433715,0.859571,0.146712,0.957219,1.424569,0.404583,0.485461,0.583684,0.854205,1.181455,1.548186,0.271766,0.482682,0.744866,0.565285,1.22544,1.911468,0.457249,0.271963,0.472854,-0.124677,-0.054452,0.0076,-0.628319,-88.674243,-79.578192,12.750167,12.931884,14.281029,-0.131671,-0.555154,-0.13551,-0.529443,1,0,0,0,0,0,0,0,0,0,0
1,0.069658,0.149882,0.034932,0.187276,0.390966,0.205383,-0.012875,0.393839,0.428257,-0.471858,0.833484,0.460983,0.033444,0.116285,0.087816,0.183019,0.559366,0.116182,-0.208307,0.223746,0.398353,-1.374948,0.919197,0.389684,0.037617,0.057628,-0.077242,-0.01245,0.159009,-0.056501,-2.364955,-0.981706,-1.138977,0.004118,0.024676,-0.00336,-0.218552,-0.427275,-0.157299,-0.450486,1,0,0,0,0,0,0,0,0,0,0
2,-0.009583,0.059432,-0.076904,-0.051882,0.098344,-2.738969,0.189864,0.404943,-1.165319,0.854558,1.090593,-2.10738,0.009292,0.0589,0.058416,-0.007405,0.177813,-0.883112,0.303066,0.435482,-0.851073,1.630711,1.97719,0.329975,-0.129071,-0.027611,1.542453,0.047214,0.078554,1.859787,0.83635,0.912592,42.535536,-0.001218,0.01009,103.467369,-0.063628,-0.953339,-0.222298,-1.104167,1,0,0,0,0,0,0,0,0,0,0
3,0.081202,-0.022075,-0.017051,0.232406,0.065671,-2.588959,0.184616,0.215539,-1.622973,0.359048,0.024379,-2.811457,0.065579,0.040002,0.149822,0.345176,-0.052998,-1.156686,0.09959,0.256463,-2.005109,0.508363,0.032628,-1.232818,0.140882,0.019709,1.595271,0.109087,-0.084535,1.441018,0.059962,-0.014351,490.447803,0.010579,-0.002669,-68.908496,0.190845,-0.925569,-0.157876,-0.943941,1,0,0,0,0,0,0,0,0,0,0
4,-0.013408,-0.125821,-0.117122,-0.077376,-2.416813,-2.427388,0.017478,-1.277243,-1.514479,-0.116283,-2.753094,-2.556082,-0.015882,-0.016281,-0.077256,-0.146172,-1.020932,-1.288017,0.022945,-1.037852,-1.325169,-0.154513,-1.512683,-1.566515,-0.038334,1.256224,1.000937,-0.068619,1.400054,1.139375,-0.002133,10.781413,165.024062,-0.000931,26.802467,28.024605,0.03219,-0.495551,-0.121166,-0.581802,1,0,0,0,0,0,0,0,0,0,0
5,-0.076172,-0.071813,-0.069454,-0.067135,-2.370399,-2.492354,0.009317,-1.585851,-1.660543,-0.173855,-2.634341,-2.627944,-0.006278,0.089007,0.094725,-0.199006,-1.15661,-1.146054,0.113118,-1.849113,-1.895976,-0.257944,-1.355896,-1.444543,-0.066723,1.300298,1.202046,-0.099238,1.224393,1.356271,-0.025344,397.502657,351.458555,-0.003959,-25.509474,-33.936244,0.214934,-0.996003,-0.135939,-0.960297,1,0,0,0,0,0,0,0,0,0,0
6,-0.040016,-0.030451,0.043,-2.498623,-2.51025,-2.70818,-1.433814,-1.694664,-1.79523,-2.708487,-2.491866,-2.824059,0.00645,-0.060594,0.16331,-0.743453,-1.037122,-1.048837,-1.290512,-1.606427,-2.206489,-1.210305,-1.269495,-1.361593,1.49663,1.215932,1.469247,1.723754,1.437128,1.63629,21.000505,21.000505,403.770674,52.085391,54.45995,-80.913091,0.21364,-0.90679,-0.147243,-0.905037,1,0,0,0,0,0,0,0,0,0,0
7,0.015136,0.016011,0.0271,-0.00974,-0.054956,-0.065867,-0.106976,-0.134669,-0.106175,0.002876,0.005248,-0.047988,0.033148,0.035268,0.052984,-0.103848,-0.099934,-0.103655,-0.291486,-0.30886,-0.284844,0.001853,-0.031014,-0.058232,0.001165,-0.035262,-0.008865,-0.091661,-0.042766,-0.034796,0.372271,0.327929,0.32654,-0.050743,-0.058858,-0.070153,0.188256,-0.861936,-0.153685,-0.917027,1,0,0,0,0,0,0,0,0,0,0
8,-0.0111,0.01204,0.005156,0.005419,-0.056938,-0.042299,0.017569,-0.014114,0.006068,0.065564,-0.039092,-0.049778,-0.052031,0.018509,0.016132,0.004313,0.000622,0.004244,0.172266,-0.016782,0.03471,-0.020376,-0.049391,-0.084253,-0.08952,-0.009713,-0.03818,-0.004832,0.057914,0.047597,-0.135832,-0.017918,-0.048875,0.03183,-0.009872,-0.017512,0.172447,-0.810747,-0.144044,-0.910093,1,0,0,0,0,0,0,0,0,0,0
9,0.010873,0.020308,0.005109,-0.043416,-0.0527,-0.04141,-0.039594,-0.015351,-0.005399,-0.057808,-0.103104,-0.111012,0.049281,0.064355,0.060886,-0.000605,-0.003771,-0.004036,-0.171974,-0.15154,-0.132001,-0.009372,-0.03253,-0.062349,0.050691,0.073151,0.050057,0.046011,0.052792,0.043044,0.057232,0.056784,0.052011,-0.019385,-0.023032,-0.032459,0.180983,-0.808584,-0.149486,-0.918856,1,0,0,0,0,0,0,0,0,0,0
