,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.000995,-0.003639,-0.005862,-0.002364,-0.018476,-0.030703,0.00268,0.005336,0.007547,-0.017072,-0.036273,-0.056445,-1.2e-05,-3.5e-05,-0.00014,-0.004201,-0.020851,-0.038917,0.000667,0.001884,-0.006705,-0.022665,-0.036928,-0.075798,-0.004727,0.000414,-0.013827,-0.001675,-0.001815,-0.007252,0.001494,0.001397,0.007674,-0.000391,-0.001219,-0.002128,0.287908,-0.90079,-0.096962,-0.878221,1,0,0,0,0,0,0,0,0,0,0
1,-0.001949,-0.003968,-0.005986,-0.002491,-0.022767,-0.027473,0.001695,0.005086,0.019976,-0.002514,-0.039041,-0.036596,0.0,-6.9e-05,-0.000761,-0.003702,-0.026712,-0.037496,0.000208,-0.006932,0.024636,-0.008339,-0.058049,-0.06663,-0.005083,-0.014106,-0.029999,-0.000907,-0.003308,-0.009097,0.001158,0.006177,0.002471,-0.0006,-0.001262,-0.001872,0.260649,-0.882464,-0.099111,-0.877642,1,0,0,0,0,0,0,0,0,0,0
2,-0.000652,-0.002823,-0.004652,-0.013271,-0.025217,-0.022153,0.000914,0.003075,0.02572,-0.016266,-0.035973,-0.002561,-2.3e-05,-0.000126,-0.000754,-0.012597,-0.030246,-0.033859,0.000983,-0.007407,0.025605,-0.00567,-0.043644,-0.05488,0.01006,-0.003853,-0.049345,0.000762,-0.00455,-0.010943,-0.00117,0.00416,0.004544,-0.00014,-0.000911,-0.001466,0.262063,-0.883148,-0.099263,-0.875871,1,0,0,0,0,0,0,0,0,0,0
3,-0.001338,-0.003321,-0.006416,-0.006767,-0.011392,-0.00849,0.002426,0.017059,0.029381,-0.019769,-0.017365,0.020619,-4.5e-05,-0.000725,-0.001519,-0.010122,-0.020721,-0.038041,-0.007991,0.023033,0.0264,-0.043232,-0.051666,-0.060258,-0.018844,-0.034463,-0.075137,-0.003115,-0.008805,-0.028349,0.005548,0.002266,0.006871,-0.000454,-0.000995,-0.002177,0.260075,-0.871932,-0.098737,-0.858205,1,0,0,0,0,0,0,0,0,0,0
4,-0.000813,-0.00262,-0.006718,-0.005058,-0.002032,-0.001355,-0.000282,0.022086,0.029628,0.000226,0.03323,0.043008,-5.6e-05,-0.000677,-0.001649,-0.007351,-0.010919,-0.034901,-0.000327,0.032282,0.042929,0.005555,-0.005544,-0.011257,0.005028,-0.039908,-0.055498,-0.002144,-0.008459,-0.032203,-0.000508,-0.000156,0.000363,-0.000266,-0.000774,-0.002154,0.25348,-0.881653,-0.098515,-0.849811,1,0,0,0,0,0,0,0,0,0,0
5,-0.001171,-0.004275,-0.005935,0.000455,0.003365,0.009778,0.014963,0.027322,0.034712,0.002183,0.040283,0.042978,-0.000625,-0.001421,-0.001444,-0.003229,-0.020602,-0.025525,0.031449,0.034826,0.044343,-0.014053,-0.022672,0.009824,-0.02073,-0.061528,-0.034454,-0.003548,-0.023152,-0.034008,-0.002819,0.001885,-0.000102,-0.000273,-0.001481,-0.002124,0.256313,-0.917659,-0.098217,-0.849972,1,0,0,0,0,0,0,0,0,0,0
6,-0.000651,-0.004798,-0.005621,0.002605,0.00329,0.009448,0.007598,0.015229,0.033749,0.031202,0.041096,0.01916,0.0,-0.000983,-0.001245,-0.000366,-0.024632,-0.025249,0.001394,0.012168,0.0825,0.002891,-0.002891,0.000617,-0.024638,-0.040412,-0.030893,-0.002824,-0.02685,-0.033405,0.003298,0.003862,-0.007317,-0.00027,-0.001768,-0.00207,0.190584,-0.908846,-0.097039,-0.844901,1,0,0,0,0,0,0,0,0,0,0
7,-0.002464,-0.004129,-0.00511,0.000319,0.006753,0.028951,0.004814,0.012228,0.028597,0.007072,0.009776,0.003376,-0.000798,-0.000821,-0.001221,-0.017065,-0.022004,-0.017065,0.001996,0.011544,0.135218,-0.011532,0.021069,0.00778,-0.016332,0.010831,-0.019463,-0.016848,-0.027739,-0.044575,0.001551,-0.000482,-0.018367,-0.000969,-0.001626,-0.002204,0.14334,-0.909551,-0.09473,-0.840772,1,0,0,0,0,0,0,0,0,0,0
8,-0.001675,-0.002495,-0.002051,0.000365,0.006505,0.030133,0.002803,0.021269,0.047176,0.002803,-0.019071,-0.005867,-0.000182,-0.000444,-0.000957,-0.007154,-0.00777,0.000513,0.008749,0.07888,0.160962,0.005753,0.009251,0.017453,0.000581,0.010074,-0.003156,-0.00713,-0.013666,-0.028915,-0.000984,-0.011941,-0.02038,-0.000508,-0.000804,-0.001105,0.126758,-0.914123,-0.092923,-0.848728,1,0,0,0,0,0,0,0,0,0,0
9,1.1e-05,-0.000967,0.00232,0.00605,0.02818,0.030909,0.004594,0.020913,0.059407,-0.000102,-0.006482,-0.012793,0.000159,-0.000239,-0.000773,0.002218,0.007142,0.006368,0.000785,0.124079,0.182428,0.026758,0.01351,0.003537,0.026499,-0.003701,-0.008596,-0.00374,-0.020524,-0.02469,-0.001018,-0.018522,-0.021215,-0.000141,-0.000707,-0.000315,0.109915,-0.917626,-0.090726,-0.859614,1,0,0,0,0,0,0,0,0,0,0
