,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.000674,-0.000674,-0.000674,-0.000674,-0.00064,0.000909,0.000101,-0.001213,-0.003099,-0.006299,-0.004177,-0.009196,-0.013271,-0.018661,-0.020614,0.000842,-0.000674,-0.000371,-0.002358,-0.00677,-0.007208,-0.011385,-0.013541,-0.013709,-0.013474,0.002829,0.003604,0.003065,-0.009735,-0.02432,-0.011958,-0.032808,-0.049818,-0.058037,-0.07114,-0.003773,-0.01152,-0.011587,-0.018897,-0.024454,-0.00495,-0.011516,-0.011798,-0.017056,-0.017795,0.002125,0.003884,0.004763,-0.006127,-0.017506,0.015113,0.044744,0.068363,0.0736,0.09289,0.008274,0.013631,0.01643,0.017353,0.017804,0.1172,-1.013148,-0.026027,-0.948001,1,0,0,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,3.3e-05,0.000164,-0.000787,-0.002065,-0.003901,-0.007014,-0.009669,-0.004884,-0.00885,-0.014094,-0.015996,-0.017339,-0.001475,-0.00118,-0.003114,-0.007408,-0.012587,-0.004064,-0.006162,-0.006326,-0.006097,-0.005933,0.000754,0.000229,-0.012226,-0.026419,-0.031794,-0.020289,-0.036842,-0.04484,-0.05759,-0.067391,-0.007539,-0.007604,-0.014717,-0.020125,-0.03068,-0.006389,-0.006664,-0.01178,-0.012499,-0.01739,0.001712,0.002568,-0.008029,-0.019103,-0.021821,0.024482,0.043997,0.048324,0.064262,0.076709,0.004426,0.006739,0.007502,0.007874,0.007974,0.124871,-1.003195,-0.028144,-0.944025,1,0,0,0,0,0,0,0,0,0,0
2,0.0,0.0,3.2e-05,0.000161,0.000193,-0.001257,-0.003063,-0.006126,-0.008737,-0.011091,-0.003901,-0.00906,-0.01093,-0.012252,-0.014347,0.00029,-0.001612,-0.005836,-0.01093,-0.010865,-0.002063,-0.002225,-0.001999,-0.001838,-0.001773,-0.000516,-0.012767,-0.026728,-0.032015,-0.036723,-0.016282,-0.024149,-0.03669,-0.04633,-0.051876,-6.4e-05,-0.007061,-0.012381,-0.022762,-0.024116,-0.00027,-0.005303,-0.00601,-0.010821,-0.011998,0.000842,-0.009582,-0.020474,-0.023148,-0.0255,0.017385,0.02124,0.035439,0.046528,0.05095,0.00206,0.00274,0.003072,0.00316,0.003233,0.128854,-1.002417,-0.029987,-0.940938,1,0,0,0,0,0,0,0,0,0,0
3,0.0,3.2e-05,0.000161,0.000193,3.2e-05,-0.0018,-0.004852,-0.007455,-0.009801,-0.011986,-0.005142,-0.007005,-0.008323,-0.010412,-0.012018,-0.001896,-0.006106,-0.011183,-0.011119,-0.011536,-0.000161,6.4e-05,0.000225,0.000289,0.000353,-0.012211,-0.026126,-0.031396,-0.036087,-0.039301,-0.007841,-0.020341,-0.02995,-0.035477,-0.037983,-0.006973,-0.012276,-0.022623,-0.023973,-0.024712,-0.005016,-0.005721,-0.010516,-0.011689,-0.011943,-0.010389,-0.021246,-0.023911,-0.026255,-0.027294,0.003767,0.017642,0.028478,0.032798,0.033918,0.000664,0.000989,0.001075,0.001147,0.001021,0.129319,-1.002132,-0.032065,-0.939124,1,0,0,0,0,0,0,0,0,0,0
4,3.2e-05,0.00016,0.000192,3.2e-05,0.000224,-0.003041,-0.005634,-0.007971,-0.010147,-0.012772,-0.001857,-0.003169,-0.00525,-0.00685,-0.007651,-0.004193,-0.009251,-0.009187,-0.009603,-0.010564,0.000224,0.000384,0.000448,0.000512,0.001985,-0.013861,-0.01911,-0.023784,-0.026985,-0.03454,-0.012452,-0.022023,-0.027529,-0.030026,-0.031371,-0.005282,-0.015589,-0.016934,-0.01767,-0.022824,-0.000703,-0.005479,-0.006648,-0.006901,-0.011041,-0.010815,-0.013469,-0.015804,-0.016839,-0.02183,0.013504,0.024051,0.028256,0.029346,0.030343,0.000315,0.0004,0.000469,0.000347,-0.000365,0.129503,-0.99767,-0.035272,-0.932646,1,0,0,0,0,0,0,0,0,0,0
5,0.000128,0.00016,0.0,0.000192,0.000192,-0.002593,-0.00493,-0.007107,-0.009732,-0.011333,-0.001313,-0.003393,-0.004994,-0.005794,-0.005666,-0.005058,-0.004994,-0.00541,-0.006371,-0.010884,0.00016,0.000224,0.000288,0.001761,0.002049,-0.00525,-0.009924,-0.013125,-0.02068,-0.026027,-0.009572,-0.015078,-0.017575,-0.01892,-0.0186,-0.010308,-0.011653,-0.012389,-0.017543,-0.026283,-0.004777,-0.005945,-0.006199,-0.010339,-0.014567,-0.002655,-0.00499,-0.006025,-0.011016,-0.014771,0.010552,0.014759,0.015849,0.016847,0.016994,8.4e-05,0.000154,3.2e-05,-0.000681,-0.000745,0.129601,-0.993724,-0.036181,-0.932197,1,0,0,0,0,0,0,0,0,0,0
6,3.2e-05,-0.000128,6.4e-05,6.4e-05,-3.2e-05,-0.002337,-0.004515,-0.00714,-0.008741,-0.01015,-0.002081,-0.003682,-0.004483,-0.004354,-0.004258,6.4e-05,-0.000352,-0.001313,-0.005827,-0.008325,6.4e-05,0.000128,0.001601,0.001889,0.001985,-0.004675,-0.007876,-0.015433,-0.02078,-0.021772,-0.005507,-0.008005,-0.009349,-0.009029,-0.005699,-0.001345,-0.002081,-0.007236,-0.015977,-0.016265,-0.001169,-0.001422,-0.005564,-0.009792,-0.007825,-0.002336,-0.003371,-0.008362,-0.012118,-0.011712,0.004212,0.005304,0.006303,0.006449,0.002731,7e-05,-5.2e-05,-0.000766,-0.00083,-0.000969,0.126482,-0.994815,-0.037535,-0.932913,1,0,0,0,0,0,0,0,0,0,0
7,-0.00016,3.2e-05,3.2e-05,-6.4e-05,-9.6e-05,-0.002179,-0.004806,-0.006407,-0.007817,-0.011213,-0.001602,-0.002403,-0.002275,-0.002179,-0.002211,-0.000416,-0.001378,-0.005895,-0.008394,-0.009067,6.4e-05,0.001538,0.001826,0.001922,0.002018,-0.003204,-0.010765,-0.016115,-0.017108,-0.021337,-0.002499,-0.003844,-0.003524,-0.000192,0.001634,-0.000737,-0.005895,-0.014641,-0.014929,-0.01557,-0.000253,-0.004397,-0.008628,-0.00666,-0.006754,-0.001036,-0.00603,-0.009788,-0.009382,-0.010221,0.001096,0.002099,0.002247,-0.001488,-0.003553,-0.000123,-0.000839,-0.000903,-0.001043,-0.001099,0.124713,-0.995343,-0.038848,-0.930888,1,0,0,0,0,0,0,0,0,0,0
8,0.000192,0.000192,9.6e-05,6.4e-05,-0.000321,-0.002629,-0.004233,-0.005643,-0.009042,-0.013339,-0.000802,-0.000673,-0.000577,-0.000609,-0.000834,-0.000962,-0.005483,-0.007984,-0.008658,-0.009395,0.001475,0.001764,0.00186,0.001956,0.001924,-0.007567,-0.012922,-0.013916,-0.018149,-0.023151,-0.001347,-0.001026,0.002309,0.004136,0.005451,-0.005162,-0.013916,-0.014205,-0.014846,-0.015872,-0.004147,-0.008382,-0.006412,-0.006506,-0.006892,-0.004999,-0.00876,-0.008354,-0.009193,-0.009915,0.001009,0.001158,-0.002599,-0.004678,-0.006371,-0.000721,-0.000785,-0.000926,-0.000982,-0.001188,0.123187,-0.993235,-0.040503,-0.927449,1,0,0,0,0,0,0,0,0,0,0
9,0.0,-9.6e-05,-0.000128,-0.000514,-0.00276,-0.001605,-0.003017,-0.006419,-0.01072,-0.012966,0.000128,0.000225,0.000193,-3.2e-05,-0.000578,-0.004525,-0.007029,-0.007703,-0.008441,-0.009596,0.000289,0.000385,0.000481,0.000449,-6.4e-05,-0.00536,-0.006355,-0.010591,-0.015598,-0.01884,0.000321,0.003659,0.005488,0.006804,0.01149,-0.008762,-0.009051,-0.009693,-0.01072,-0.016015,-0.004239,-0.002267,-0.002361,-0.002747,-0.007179,-0.003765,-0.003358,-0.004198,-0.004921,-0.005997,0.000149,-0.003632,-0.005724,-0.007429,-0.012883,-6.5e-05,-0.000206,-0.000263,-0.00047,-0.001558,0.118072,-0.987006,-0.040721,-0.924893,1,0,0,0,0,0,0,0,0,0,0
