,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.000237,0.001936,0.007903,0.014857,0.026317,0.000356,-0.001581,-0.004307,-0.004663,-0.00162,0.007192,0.012408,0.013988,0.016873,0.017703,0.00079,0.000751,0.000158,-0.000474,-0.000632,0.010748,0.01711,0.022997,0.028174,0.036907,0.001976,-0.012645,-0.02853,-0.027305,-0.024539,0.000948,0.00407,0.005888,0.00731,0.008456,-0.000119,-0.001462,-0.007784,-0.010076,-0.010037,-0.001354,-0.002789,-0.008493,-0.01024,-0.010023,0.00177,-0.010766,-0.023919,-0.022401,-0.022758,0.014159,0.018708,0.017406,0.02027,0.019634,-0.017,-0.024735,-0.025266,-0.022965,-0.019532,-0.008678,-1.087079,-0.058668,-0.994287,1,0,0,0,0,0,0,0,0,0,0
1,0.001692,0.007636,0.014563,0.025978,0.031331,-0.001929,-0.004645,-0.004999,-0.001968,0.00063,0.005196,0.00677,0.009643,0.01047,0.012831,-3.9e-05,-0.00063,-0.00126,-0.001417,-0.001456,0.006337,0.012202,0.017358,0.026057,0.02889,-0.014563,-0.030386,-0.029166,-0.026411,-0.020389,0.003109,0.00492,0.006337,0.007478,0.008502,-0.001338,-0.007636,-0.009919,-0.009879,-0.009919,-0.001429,-0.007111,-0.008851,-0.008635,-0.008715,-0.012488,-0.025589,-0.024077,-0.024433,-0.021069,0.004426,0.003159,0.005946,0.005328,0.008064,-0.007526,-0.008042,-0.005804,-0.002464,0.000799,-0.004245,-1.088392,-0.056092,-0.998967,1,0,0,0,0,0,0,0,0,0,0
2,0.005929,0.012841,0.024228,0.029569,0.035066,-0.002709,-0.003063,-3.9e-05,0.002552,0.002631,0.001571,0.004437,0.005262,0.007618,0.011466,-0.000589,-0.001217,-0.001374,-0.001414,-0.001649,0.005851,0.010995,0.019673,0.022501,0.022815,-0.015786,-0.014568,-0.01182,-0.005812,-0.005144,0.001806,0.00322,0.004359,0.00538,0.006047,-0.006283,-0.00856,-0.008521,-0.00856,-0.008992,-0.005668,-0.007404,-0.007189,-0.007268,-0.00764,-0.013071,-0.011562,-0.011917,-0.008561,-0.008052,-0.001246,0.001495,0.000887,0.003578,0.009956,-0.000508,0.001694,0.00498,0.008189,0.014749,0.002675,-1.089252,-0.048118,-0.999153,1,0,0,0,0,0,0,0,0,0,0
3,0.006923,0.01833,0.02368,0.029186,0.034143,-0.000354,0.002675,0.005271,0.00535,0.007788,0.002871,0.003697,0.006058,0.009912,0.012587,-0.000629,-0.000787,-0.000826,-0.001062,-0.001809,0.005153,0.013846,0.016678,0.016993,0.022106,0.001219,0.003973,0.009991,0.01066,0.010738,0.001416,0.002557,0.003579,0.004248,0.005546,-0.002281,-0.002242,-0.002281,-0.002714,-0.003343,-0.001739,-0.001523,-0.001603,-0.001976,-0.001928,0.001511,0.001156,0.004517,0.005027,0.002668,0.002775,0.002158,0.004882,0.011336,0.014143,0.002228,0.005554,0.008801,0.01544,0.015211,0.005816,-1.087339,-0.046136,-0.994438,1,0,0,0,0,0,0,0,0,0,0
4,0.011397,0.016741,0.022243,0.027195,0.034386,0.003026,0.00562,0.005698,0.008135,0.013126,0.000825,0.003183,0.007034,0.009707,0.012772,-0.000157,-0.000196,-0.000432,-0.001179,-0.001218,0.008685,0.011515,0.011829,0.016938,0.025151,0.002751,0.008764,0.009432,0.00951,0.012615,0.00114,0.002161,0.00283,0.004126,0.006091,3.9e-05,0.0,-0.000432,-0.001061,-0.00114,0.000215,0.000135,-0.000237,-0.000189,-0.000281,-0.000355,0.003003,0.003512,0.001156,-0.000719,-0.000612,0.002094,0.008507,0.011296,0.013513,0.003304,0.006531,0.013128,0.012901,0.01162,0.007798,-1.08398,-0.04683,-0.99322,1,0,0,0,0,0,0,0,0,0,0
5,0.005341,0.010838,0.015786,0.022972,0.026742,0.002592,0.00267,0.005105,0.010092,0.016925,0.002356,0.006204,0.008875,0.011938,0.0161,-3.9e-05,-0.000275,-0.001021,-0.00106,-0.000982,0.002827,0.003142,0.008246,0.016454,0.019909,0.006008,0.006676,0.006754,0.009856,0.023561,0.001021,0.001689,0.002984,0.004948,0.007579,-3.9e-05,-0.000471,-0.0011,-0.001178,-0.001414,-8e-05,-0.000451,-0.000404,-0.000496,-0.00088,0.003356,0.003865,0.00151,-0.000363,0.006505,0.002692,0.009071,0.011845,0.01405,0.017092,0.00321,0.009771,0.009545,0.008271,0.008769,0.008626,-1.08434,-0.043719,-1.006274,1,0,0,0,0,0,0,0,0,0,0
6,0.005503,0.010456,0.017649,0.021423,0.024174,7.9e-05,0.002516,0.007508,0.014347,0.014976,0.003852,0.006525,0.009591,0.013758,0.016352,-0.000236,-0.000983,-0.001022,-0.000943,-0.002712,0.000314,0.005424,0.01364,0.017099,0.016234,0.000668,0.000747,0.003852,0.017571,0.027673,0.000668,0.001965,0.003931,0.006564,0.00849,-0.000432,-0.001061,-0.00114,-0.001376,-0.005896,-0.000372,-0.000324,-0.000417,-0.000801,-0.003579,0.00051,-0.001847,-0.003722,0.003152,0.012598,0.006423,0.009216,0.011437,0.0145,0.015588,0.006607,0.006379,0.005096,0.005598,0.010688,0.010355,-1.084651,-0.039531,-1.02063,1,0,0,0,0,0,0,0,0,0,0
7,0.004957,0.012157,0.015935,0.018689,0.020931,0.002439,0.007436,0.014282,0.014912,0.018177,0.002675,0.005744,0.009915,0.012512,0.018885,-0.000748,-0.000787,-0.000708,-0.002479,-0.002715,0.005115,0.013338,0.0168,0.015935,0.015738,7.9e-05,0.003187,0.016918,0.02703,0.046584,0.001298,0.003266,0.005902,0.00783,0.010112,-0.00063,-0.000708,-0.000944,-0.005469,-0.00779,4.8e-05,-4.5e-05,-0.000429,-0.00321,-0.005454,-0.002359,-0.004236,0.002645,0.012099,0.028385,0.002812,0.005047,0.00813,0.009225,0.017036,-0.000229,-0.00152,-0.001015,0.004108,0.008013,0.011159,-1.083984,-0.03529,-1.041951,1,0,0,0,0,0,0,0,0,0,0
8,0.007192,0.010964,0.013715,0.015955,0.021417,0.004991,0.011829,0.012457,0.015719,0.017802,0.003065,0.007231,0.009825,0.016191,0.019374,-3.9e-05,3.9e-05,-0.001729,-0.001965,-0.003891,0.008213,0.011672,0.010807,0.01061,0.016309,0.003105,0.01682,0.026919,0.04645,0.050734,0.001965,0.004598,0.006523,0.008803,0.011593,-7.9e-05,-0.000314,-0.004834,-0.007152,-0.013519,-9.2e-05,-0.000477,-0.003254,-0.005495,-0.009947,-0.001875,0.004998,0.014441,0.030708,0.032909,0.002217,0.005274,0.006361,0.014107,0.014552,-0.001281,-0.00078,0.004301,0.008174,0.00776,0.011572,-1.079301,-0.036493,-1.048298,1,0,0,0,0,0,0,0,0,0,0
9,0.003762,0.006505,0.008739,0.014186,0.019829,0.006819,0.007446,0.010698,0.012775,0.012658,0.004154,0.00674,0.013089,0.016263,0.018889,7.8e-05,-0.001685,-0.00192,-0.00384,-0.004311,0.003449,0.002586,0.00239,0.008073,0.008974,0.013677,0.023748,0.043224,0.047496,0.045693,0.002626,0.004546,0.006819,0.009601,0.011678,-0.000235,-0.004742,-0.007054,-0.013402,-0.013481,-0.000383,-0.003153,-0.005388,-0.009827,-0.009454,0.006854,0.01627,0.032492,0.034686,0.033028,0.002998,0.004063,0.011659,0.012096,0.013108,0.000491,0.005473,0.009271,0.008865,0.016995,0.011535,-1.083452,-0.033139,-1.051422,1,0,0,0,0,0,0,0,0,0,0
