,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.174035,-0.349666,-0.286467,-0.280722,-0.080594,0.000399,0.004708,0.028407,-0.056416,-0.090329,0.066709,0.057054,0.157038,0.065433,-0.380467,0.095915,0.180099,-0.000319,0.150495,0.116582,-0.153208,-0.198612,-0.257581,-0.21098,-0.038462,0.249602,0.332589,0.413103,0.375679,-0.083945,0.074689,0.091685,0.115544,0.112991,-0.360677,0.202921,0.309369,0.08977,0.478217,-0.080753,-0.106309,-0.132979,-0.072934,-0.217591,0.193788,0.23487,0.308771,0.367895,0.411745,-0.007396,-0.001004,-0.000753,-0.001921,-0.003485,0.122188,-0.086655,-0.796688,0.365733,-0.280458,-0.045334,0.244548,0.077427,-0.082605,-0.214039,1,0,0,0,0,0,0,0,0,0,0
1,-0.178686,-0.114388,-0.108543,0.095066,0.065434,0.004384,0.028496,-0.057803,-0.092306,0.044002,-0.009823,0.0919,-0.001299,-0.454954,-0.067707,0.085649,-0.097908,0.05553,0.021027,-0.053825,-0.046194,-0.106188,-0.058777,0.116742,0.053094,0.084431,0.166346,0.12827,-0.339348,0.016643,0.017292,0.041566,0.038968,-0.442939,-0.1536,0.108299,-0.115119,0.280084,-0.288608,-0.207668,-0.027134,0.033956,-0.113218,0.305317,0.173251,0.075186,0.135338,0.179951,-0.24648,-0.024647,0.000284,-0.001035,-0.002799,0.138997,-0.054512,-0.801124,0.510427,-0.218666,0.046622,0.033655,0.097979,0.009449,0.014174,-0.481839,1,0,0,0,0,0,0,0,0,0,0
2,0.062127,0.067775,0.264512,0.23588,0.063853,0.023298,-0.060088,-0.093426,0.03828,0.01765,0.09829,0.008237,-0.430106,-0.05593,-0.095152,-0.177361,-0.029103,-0.062441,-0.134766,-0.127628,-0.05797,-0.012159,0.157436,0.095937,0.055695,0.07915,0.04236,-0.409476,-0.0655,-0.010825,0.023455,0.020944,-0.444697,-0.165124,-0.146062,-0.215877,0.165987,-0.383511,-0.305303,-0.161751,0.059028,-0.083178,0.32123,0.193621,0.04535,0.058123,0.101229,-0.310808,-0.096463,-0.029034,-0.001037,-0.002424,0.109077,-0.043089,-0.042403,1.031344,0.458018,0.666629,0.656432,0.150633,0.043946,-0.107323,-0.019357,-0.521892,1,0,0,0,0,0,0,0,0,0,0
3,0.005838,0.209181,0.179588,0.001784,0.030485,-0.086186,-0.120644,0.015486,-0.005838,-0.010216,-0.093077,-0.546141,-0.159399,-0.199938,-0.243558,0.153237,0.118779,0.044025,0.051403,0.040458,0.047349,0.22264,0.159075,0.117482,0.132562,-0.038026,-0.505034,-0.149508,-0.092996,-0.135319,-0.002594,-0.483873,-0.194911,-0.175209,-0.232613,0.394687,-0.173263,-0.092429,0.055944,0.046052,-0.146982,0.271007,0.139113,-0.014138,-0.00979,0.044554,-0.38132,-0.159777,-0.090083,-0.128819,-0.001749,0.138758,-0.052992,-0.052127,-0.052575,-0.722463,-0.459586,-0.472436,-1.109807,-1.051298,0.080106,-0.052098,-0.044413,-0.454992,1,0,0,0,0,0,0,0,0,0,0
4,0.203403,0.173801,-0.004055,0.024655,0.051256,-0.034468,0.101702,0.080372,0.075992,0.096998,-0.453197,-0.066341,-0.106892,-0.150525,-0.202755,-0.034468,-0.109244,-0.101864,-0.112813,-0.097971,0.175342,0.111758,0.070153,0.085238,0.091077,-0.467147,-0.111515,-0.054987,-0.097322,-0.135359,-0.481421,-0.192374,-0.172666,-0.230086,-0.272908,-0.568118,-0.48726,-0.338844,-0.348738,-0.375177,0.418112,0.286179,0.132883,0.137232,0.172276,-0.426,-0.204392,-0.134677,-0.173424,-0.233139,0.140797,-0.051349,-0.050483,-0.050932,-0.049606,0.26342,0.250544,-0.388146,-0.329516,-0.269134,0.111182,-0.030917,-0.044889,-0.429046,1,0,0,0,0,0,0,0,0,0,0
5,-0.029075,-0.203764,-0.175565,-0.149437,-0.133665,0.133745,0.112795,0.108493,0.129125,0.121318,0.379966,0.340137,0.297281,0.245982,0.233157,-0.073444,-0.066195,-0.076949,-0.062372,-0.061257,-0.062451,-0.103316,-0.088499,-0.082764,-0.078702,0.349298,0.404819,0.363238,0.325878,0.310266,0.283899,0.303256,0.246858,0.204799,0.184726,0.079418,0.225191,0.215473,0.189505,0.173733,-0.129583,-0.280149,-0.275877,-0.241458,-0.223145,0.217662,0.286135,0.248077,0.189426,0.181613,-0.169433,-0.16867,-0.169066,-0.167897,-0.168036,-0.011354,-0.574547,-0.522848,-0.469603,-0.44616,0.128161,0.006992,-0.046043,-0.41193,1,0,0,0,0,0,0,0,0,0,0
6,-0.169856,-0.142437,-0.117033,-0.101697,-0.157541,-0.02037,-0.024553,-0.004492,-0.012083,0.157308,-0.038727,-0.080397,-0.130277,-0.142747,-0.144684,0.007048,-0.003408,0.010766,0.01185,0.118814,-0.039734,-0.025327,-0.019751,-0.015801,-0.041825,0.053985,0.013554,-0.022771,-0.037952,0.308576,0.018821,-0.036016,-0.076912,-0.09643,-0.043374,0.14174,0.132291,0.107041,0.091705,0.536599,-0.1464,-0.142247,-0.10878,-0.090974,-0.214634,0.066579,0.029574,-0.027455,-0.035052,0.142547,0.000628,0.000302,0.001263,0.001148,-0.008369,-0.462775,-0.420294,-0.376543,-0.35728,-0.472306,0.073181,-0.421144,-0.020012,-0.742892,1,0,0,0,0,0,0,0,0,0,0
7,0.026457,0.050971,0.065769,0.011883,-0.008819,-0.004036,0.015321,0.007997,0.171448,0.183705,-0.040209,-0.08834,-0.100372,-0.102241,-0.131239,-0.01009,0.003587,0.004634,0.107846,0.110612,0.013901,0.019282,0.023094,-0.002018,-0.002167,-0.039013,-0.074065,-0.088713,0.245662,0.234975,-0.052914,-0.092376,-0.111209,-0.060014,-0.062331,-0.009118,-0.033482,-0.04828,0.381012,0.468828,0.004008,0.036301,0.053483,-0.065841,0.017458,-0.035707,-0.090736,-0.098066,0.073304,0.051629,-0.000254,0.000495,0.000405,-0.007008,-0.00732,0.033088,0.067165,0.082169,-0.007424,-0.158122,0.046672,-0.516218,-0.024025,-0.722502,1,0,0,0,0,0,0,0,0,0,0
8,0.024239,0.038871,-0.01441,-0.03488,-0.079736,0.01914,0.011898,0.173513,0.185633,0.213123,-0.047591,-0.059488,-0.061336,-0.090008,-0.088161,0.013523,0.014558,0.116612,0.119346,0.139298,0.005321,0.00909,-0.01574,-0.015888,-0.02882,-0.034658,-0.049142,0.281479,0.270911,0.340228,-0.039018,-0.057641,-0.00702,-0.009311,0.0,-0.024091,-0.038723,0.38575,0.47258,0.492237,0.031931,0.048919,-0.069065,0.013299,0.0134,-0.054411,-0.06166,0.107787,0.086355,0.131261,0.000691,0.000609,-0.006241,-0.00653,-0.006752,0.031487,0.045351,-0.037433,-0.176679,-0.372483,0.034072,-0.562181,-0.020671,-0.778087,1,0,0,0,0,0,0,0,0,0,0
9,0.014715,-0.038869,-0.059456,-0.104567,-0.249788,-0.007283,0.155253,0.167442,0.195089,0.213594,-0.011965,-0.013823,-0.042659,-0.040801,0.095872,0.00104,0.103676,0.106425,0.126492,0.125674,0.00379,-0.021181,-0.02133,-0.034336,-0.082941,-0.014567,0.317939,0.307311,0.377023,0.43135,-0.018729,0.03218,0.029876,0.039241,0.118168,-0.014715,0.412176,0.499501,0.51927,0.560815,0.017085,-0.101571,-0.018738,-0.018637,0.027269,-0.00729,0.163122,0.141568,0.18673,0.240929,-8.6e-05,-0.007214,-0.007514,-0.007745,-0.004748,0.014426,-0.071717,-0.216613,-0.420361,-1.400176,-0.005452,-0.609497,-0.004279,-0.79412,1,0,0,0,0,0,0,0,0,0,0
