,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.007534,0.156365,0.199646,0.171663,0.15475,-0.025984,-0.38553,-0.313191,-0.294433,-0.48247,0.063576,0.427043,0.392219,0.430503,0.438036,-0.044818,0.218096,0.258071,0.341558,0.386222,0.021141,0.104012,0.091174,0.077952,0.093634,-0.090636,-0.235546,-0.122539,-0.134686,-0.36931,-0.058195,0.298354,0.204796,0.235777,0.272523,0.018143,0.584868,0.493771,0.613851,0.662436,-0.13663,-0.020585,-0.161495,-0.135608,-0.116136,0.06062,-0.088581,-0.064155,-0.096472,-0.112781,0.00108,0.024491,0.022836,0.023158,0.022641,-0.000533,0.000557,0.000569,0.000568,0.000567,-0.089374,-0.563991,-0.041161,-0.482128,1,0,0,0,0,0,0,0,0,0,0
1,0.14542,0.187709,0.160368,0.143843,0.130698,-0.351307,-0.280625,-0.262297,-0.446025,-0.022384,0.355138,0.321111,0.358518,0.365879,0.304586,0.256889,0.295948,0.377522,0.421163,0.382329,0.080973,0.068429,0.055509,0.070832,0.008187,-0.141589,-0.031172,-0.04304,-0.272287,0.382629,0.348378,0.256964,0.287235,0.323139,0.170058,0.553739,0.464729,0.582056,0.629528,0.736565,0.113386,-0.024295,0.000999,0.020024,0.128865,-0.145781,-0.121915,-0.153491,-0.169426,0.032954,0.019905,0.018497,0.018771,0.018332,0.031536,0.000926,0.000937,0.000936,0.000935,0.001955,0.066601,-0.751384,0.050632,-0.916601,1,0,0,0,0,0,0,0,0,0,0
2,0.041601,0.014704,-0.001552,-0.014483,-0.018769,0.069532,0.087562,-0.093178,0.323573,0.27739,-0.033473,0.003325,0.010567,-0.049729,0.010197,0.038424,0.11867,0.161602,0.1234,0.513327,-0.01234,-0.025049,-0.009975,-0.071601,-0.10973,0.108621,0.096946,-0.128572,0.515692,0.458943,-0.089927,-0.060148,-0.024828,-0.17542,-0.094729,-0.087562,0.027857,0.074557,0.179853,0.490864,-0.135442,-0.110559,-0.091843,0.015227,-0.060434,0.023478,-0.007585,-0.02326,0.175828,0.170559,-0.001255,-0.001011,-0.001403,0.01037,0.006701,1e-05,8e-06,8e-06,0.000917,0.003389,0.080727,-0.938177,0.089325,-1.013344,1,0,0,0,0,0,0,0,0,0,0
3,-0.02641,-0.042372,-0.055069,-0.059277,-0.066751,0.017703,-0.159766,0.249444,0.204097,0.152801,0.036132,0.043243,-0.015962,0.04288,0.114927,0.078795,0.120949,0.083438,0.46631,0.551345,-0.012479,0.002322,-0.058189,-0.095627,-0.035624,-0.011464,-0.232901,0.399705,0.343983,0.318444,0.02924,0.063921,-0.083946,-0.004716,0.176091,0.113331,0.159185,0.262576,0.56796,0.615701,0.024432,0.04281,0.147942,0.07365,0.088674,-0.030501,-0.045893,0.149593,0.144419,0.164901,0.000215,-0.00013,0.01023,0.007001,0.000511,-1e-06,-2e-06,0.000798,0.002974,-0.002225,-0.066734,-0.915638,0.035912,-1.058568,1,0,0,0,0,0,0,0,0,0,0
4,-0.016759,-0.03009,-0.034509,-0.042355,0.137121,-0.186332,0.243314,0.195702,0.141844,0.214975,0.007465,-0.054696,0.007085,0.08273,-0.060638,0.04426,0.004875,0.406869,0.49615,0.381349,0.01554,-0.047992,-0.0873,-0.024301,0.005942,-0.232496,0.431703,0.373198,0.346383,0.47223,0.036413,-0.118838,-0.035651,0.154185,-0.081282,0.048145,0.156699,0.477334,0.527459,0.29801,0.019295,0.129678,0.051676,0.06745,-0.079231,-0.016161,0.189088,0.183656,0.20516,0.284349,-0.000485,0.014087,0.009546,0.000416,0.000251,-1e-06,0.001124,0.004184,-0.003129,0.032745,0.096836,-0.718463,0.146035,-0.89105,1,0,0,0,0,0,0,0,0,0,0
5,-0.013414,-0.017859,-0.025754,0.154833,0.09244,0.432306,0.3844,0.330208,0.403792,0.263139,-0.062546,-0.000383,0.07573,-0.068525,0.075424,-0.039628,0.364854,0.454688,0.339176,0.284371,-0.063926,-0.103477,-0.040088,-0.009658,-0.01395,0.668311,0.609444,0.582463,0.709089,0.632899,-0.156213,-0.072511,0.118501,-0.118424,0.024145,0.109226,0.431846,0.482282,0.251412,0.159585,0.111067,0.032581,0.048453,-0.099136,-0.121236,0.206519,0.201054,0.222692,0.30237,0.3469,0.015215,0.010473,0.000941,0.000768,0.000756,0.001175,0.00437,-0.003266,0.034191,-0.017659,-0.038029,-0.444545,0.130393,-0.96369,1,0,0,0,0,0,0,0,0,0,0
6,-0.004518,-0.012541,0.170981,0.107574,0.086542,-0.048685,-0.103757,-0.028977,-0.171916,-0.269831,0.063174,0.140524,-0.006076,0.140213,0.079532,0.411057,0.50235,0.384961,0.329266,0.465038,-0.040194,0.024226,0.05515,0.050788,0.056085,-0.059824,-0.087243,0.041441,-0.035988,-0.125724,0.085062,0.279179,0.038403,0.183289,0.193026,0.327864,0.379119,0.144497,0.051178,0.171683,-0.079761,-0.063631,-0.213619,-0.236079,-0.170654,-0.005554,0.016435,0.097409,0.142663,0.146499,-0.005308,-0.015979,-0.016173,-0.016186,-0.016231,0.003577,-0.004971,0.036961,-0.021084,-0.050026,-0.034471,-0.500708,0.077929,-0.967297,1,0,0,0,0,0,0,0,0,0,0
7,-0.007635,0.167013,0.106672,0.086657,0.069237,-0.052409,0.018755,-0.117272,-0.210452,-0.277836,0.07361,-0.065901,0.073314,0.015567,0.049741,0.086879,-0.024833,-0.077835,0.051371,0.087102,0.061305,0.090734,0.086583,0.091623,0.134174,-0.026093,0.096368,0.022683,-0.062713,-0.09066,0.18473,-0.044403,0.093477,0.102743,0.163603,0.048777,-0.1745,-0.263306,-0.148629,-0.120311,0.01535,-0.127385,-0.148759,-0.086498,-0.060266,0.020926,0.097984,0.14105,0.1447,0.181397,-0.007543,-0.00768,-0.007689,-0.007721,-0.00778,-0.006042,0.023597,-0.017431,-0.037888,-0.101412,-0.088722,-0.464256,0.016772,-0.939082,1,0,0,0,0,0,0,0,0,0,0
8,0.168878,0.11053,0.091177,0.074332,0.002222,0.068813,-0.06272,-0.152821,-0.217978,-0.27095,-0.134901,-0.000287,-0.056125,-0.023081,0.013404,-0.108022,-0.159273,-0.034335,0.000215,0.064655,0.028457,0.024443,0.029317,0.070461,0.03842,0.118415,0.047165,-0.03541,-0.062433,-0.121282,-0.221562,-0.088238,-0.079278,-0.020429,-0.031252,-0.2159,-0.301772,-0.190883,-0.163502,-0.140564,-0.138019,-0.158687,-0.098483,-0.073118,-0.113796,0.074512,0.116155,0.119685,0.155169,0.152676,-0.000108,-0.000116,-0.00014,-0.000188,-0.000388,0.023427,-0.009002,-0.025172,-0.075383,-0.117489,-0.077503,-0.496887,-0.025955,-1.060968,1,0,0,0,0,0,0,0,0,0,0
9,-0.057789,-0.076958,-0.093642,-0.165062,-0.202689,-0.130275,-0.219514,-0.284048,-0.336513,-0.29633,0.133327,0.078023,0.110751,0.146887,0.134108,-0.050761,0.072982,0.107201,0.171025,0.141918,-0.003976,0.000852,0.041603,0.009868,-0.021724,-0.070568,-0.152354,-0.179119,-0.237405,-0.257212,0.132049,0.140924,0.19921,0.18849,0.180326,-0.085051,0.024777,0.051897,0.074615,0.04501,-0.02047,0.039158,0.06428,0.023992,0.028501,0.041245,0.044741,0.079885,0.077416,0.019096,-7e-06,-3e-05,-7.4e-05,-0.000262,-0.00026,-0.03032,-0.045438,-0.092382,-0.131749,-0.141788,-0.081708,-0.515611,-0.034257,-0.972256,1,0,0,0,0,0,0,0,0,0,0
