,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.910901,-0.681921,-0.159332,-1.007015,-0.643011,-0.236032,-1.312446,-0.962629,1.228611,1.346129,0.938238,0.731118,0.305556,0.225662,-0.084955,-0.016344,-0.201478,0.219564,1.488205,1.470367,-1.193476,-0.867469,-0.607336,-1.10599,-0.791723,-0.4753,-1.419593,-0.834077,0.704487,0.753933,1.089149,0.663544,0.496746,0.357367,0.025055,-0.018294,-0.132867,-0.126437,0.89323,0.87029,0.007557,0.071222,-0.32282,-0.578726,-0.588908,-0.276763,-0.141475,0.108262,-0.52654,-0.608781,-12.477164,9.124359,-3.600748,-3.631663,-3.604508,4.38592,3.382609,12.574529,7.894405,7.899908,-0.080546,-0.28962,-0.075443,-0.290636,1,0,0,0,0,0,0,0,0,0,0
1,0.136547,0.448182,-0.057315,0.15975,1.090547,-0.641896,-0.43329,0.873407,0.943487,-0.052071,-0.123511,-0.377286,-0.424929,-0.610158,-0.665841,-0.1104,0.140678,0.897204,0.886567,0.129522,0.194407,0.349531,0.05217,0.239576,1.215542,-0.563109,-0.213949,0.70354,0.733026,0.269903,-0.2538,-0.353266,-0.436382,-0.634549,-0.691814,-0.068323,-0.064489,0.543567,0.529887,0.268098,0.037965,-0.197013,-0.349617,-0.355689,0.13512,0.080676,0.229601,-0.148949,-0.197992,0.330542,0.579269,0.238031,0.237202,0.23793,0.346527,-0.026905,0.219587,0.094084,0.094232,0.158632,0.086361,-0.934279,-0.052869,-0.857115,1,0,0,0,0,0,0,0,0,0,0
2,0.216753,-0.134838,0.016139,0.663542,0.663989,0.145093,1.053949,1.102692,0.410245,0.417591,-0.17651,-0.209647,-0.338481,-0.37721,-0.367507,0.174634,0.700826,0.693428,0.166875,0.183616,0.107895,-0.098931,0.031417,0.710237,0.712663,0.242854,0.881001,0.901509,0.579391,0.579855,-0.069183,-0.126993,-0.264825,-0.304655,-0.288998,0.002667,0.425592,0.416077,0.233993,0.240393,-0.163436,-0.269578,-0.273801,0.067575,0.057764,0.103583,-0.159712,-0.193823,0.173791,0.167316,-0.026872,-0.026937,-0.02688,-0.018328,-0.025687,0.019411,0.009528,0.009539,0.014611,0.012327,0.083253,-0.936323,-0.054412,-0.845853,1,0,0,0,0,0,0,0,0,0,0
3,-0.331121,-0.188934,0.420776,0.421197,0.425475,0.855941,0.901846,0.249714,0.256633,0.295814,-0.031208,-0.152541,-0.189015,-0.179877,-0.16283,0.495556,0.488588,-0.007308,0.008458,0.020481,-0.194784,-0.072025,0.567273,0.569558,0.57134,0.600993,0.620308,0.316943,0.317381,0.346774,-0.054444,-0.184252,-0.221763,-0.207018,-0.191171,0.398302,0.389341,0.217858,0.223886,0.228812,-0.099962,-0.103939,0.217561,0.208321,0.201146,-0.247966,-0.280091,0.06612,0.060022,0.049959,-4.3e-05,-5e-06,0.005614,0.000778,0.001171,-0.006494,-0.006487,-0.003154,-0.004655,-0.00424,0.087327,-0.938942,-0.052431,-0.844622,1,0,0,0,0,0,0,0,0,0,0
4,0.192978,1.020484,1.021056,1.026862,1.044917,0.062303,-0.822778,-0.813387,-0.760211,-0.698788,-0.164674,-0.214178,-0.201774,-0.178639,-0.137976,-0.009456,-0.682492,-0.661094,-0.644777,-0.634968,0.16661,1.034273,1.037374,1.039793,1.048985,0.026214,-0.385516,-0.384922,-0.345029,-0.302981,-0.176176,-0.227087,-0.207074,-0.185567,-0.161156,-0.012161,-0.2449,-0.236719,-0.230034,-0.210703,-0.005398,0.430946,0.418406,0.408667,0.416936,-0.0436,0.426282,0.418005,0.404348,0.383822,0.00032,0.047988,0.006966,0.010294,0.083469,6.5e-05,0.028333,0.015607,0.019124,0.033898,0.098456,-0.957677,-0.044849,-0.856579,1,0,0,0,0,0,0,0,0,0,0
5,0.813634,0.814196,0.819905,0.837657,0.859821,-0.870243,-0.86101,-0.808726,-0.748332,-0.696112,-0.048674,-0.036478,-0.013731,0.02625,0.06928,-0.661753,-0.640714,-0.62467,-0.615026,-0.608993,0.853118,0.856167,0.858545,0.867584,0.880947,-0.404828,-0.404244,-0.36502,-0.323676,-0.283003,-0.050057,-0.03038,-0.009233,0.014769,0.042252,-0.228837,-0.220793,-0.21422,-0.195213,-0.191105,0.429029,0.416699,0.407123,0.415254,0.412541,0.462005,0.453867,0.440439,0.420257,0.407547,0.042348,0.005905,0.008861,0.073869,0.135411,0.025113,0.013807,0.016932,0.030058,0.044287,0.097293,-0.965015,-0.044587,-0.870929,1,0,0,0,0,0,0,0,0,0,0
6,0.000355,0.003963,0.015181,0.029188,0.044123,0.005835,0.038876,0.077041,0.110041,0.130074,0.007707,0.022082,0.047348,0.074541,0.096431,0.013296,0.023435,0.029529,0.033342,0.040803,0.001927,0.00343,0.009142,0.017586,0.031511,0.000369,0.025157,0.051283,0.076987,0.093398,0.012435,0.025799,0.040967,0.058334,0.074404,0.005083,0.009237,0.021249,0.023845,0.026537,-0.007792,-0.013843,-0.008705,-0.01042,-0.015373,-0.005143,-0.013629,-0.026383,-0.034414,-0.038141,-0.001467,-0.001348,0.001269,0.003746,0.005128,-0.000455,-0.000329,0.000199,0.000772,0.000831,0.096306,-0.963544,-0.053985,-0.889175,1,0,0,0,0,0,0,0,0,0,0
7,0.003581,0.014719,0.028624,0.043451,0.053517,0.032802,0.070691,0.103453,0.12334,0.134559,0.014271,0.039354,0.06635,0.088083,0.110344,0.010066,0.016116,0.019901,0.027308,0.026304,0.001492,0.007163,0.015546,0.02937,0.037672,0.024608,0.050546,0.076063,0.092356,0.095788,0.013267,0.028325,0.045567,0.061521,0.075819,0.004124,0.016048,0.018626,0.021298,0.025409,-0.006007,-0.000906,-0.002609,-0.007527,-0.002535,-0.008424,-0.021086,-0.02906,-0.03276,-0.040715,0.000113,0.0026,0.004954,0.006268,0.008146,0.00012,0.000622,0.001166,0.001222,0.001293,0.099522,-0.964004,-0.056966,-0.882221,1,0,0,0,0,0,0,0,0,0,0
8,0.011126,0.025016,0.039828,0.049884,0.059167,0.03785,0.070577,0.090444,0.101651,0.114132,0.025057,0.052025,0.073735,0.095973,0.115393,0.006044,0.009825,0.017224,0.016221,0.016438,0.005665,0.01404,0.027849,0.036142,0.046645,0.025911,0.051402,0.067677,0.071106,0.079562,0.015042,0.032267,0.048203,0.062487,0.077448,0.011912,0.014487,0.017156,0.021263,0.021019,0.005096,0.003395,-0.001517,0.003469,0.003009,-0.012649,-0.020614,-0.02431,-0.032257,-0.036073,0.002469,0.004806,0.00611,0.007975,0.009039,0.000498,0.001039,0.001095,0.001165,0.000996,0.094642,-0.959056,-0.06472,-0.886651,1,0,0,0,0,0,0,0,0,0,0
9,0.01425,0.029445,0.039761,0.049284,0.05643,0.033574,0.053955,0.065452,0.078256,0.091102,0.027666,0.049937,0.072751,0.092673,0.111886,0.003879,0.011469,0.010441,0.010663,0.017851,0.008592,0.022758,0.031266,0.042041,0.049798,0.02615,0.042847,0.046364,0.055039,0.060948,0.01767,0.034019,0.048672,0.06402,0.078868,0.002641,0.00538,0.009593,0.009342,0.008911,-0.001744,-0.006784,-0.001669,-0.002141,-0.009712,-0.008171,-0.011963,-0.020116,-0.02403,-0.030807,0.002795,0.004354,0.006584,0.007857,0.009037,0.000646,0.000713,0.000797,0.000595,0.000429,0.094795,-0.95948,-0.068838,-0.885575,1,0,0,0,0,0,0,0,0,0,0
