,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.000289,-0.001561,-0.00274,-0.003758,-0.004232,-0.006337,-0.011159,-0.012858,-0.011216,-0.011182,0.01568,0.015738,0.015252,0.011066,0.010742,-0.016397,-0.039974,-0.038089,-0.02552,0.005597,-0.000474,-0.000463,0.001018,0.001492,0.001156,-0.010974,-0.029891,-0.045039,-0.043906,-0.043397,-0.04527,-0.045467,-0.050335,-0.045872,-0.043108,-0.154266,-0.170651,-0.187499,-0.164869,-0.152994,-0.114314,-0.107538,-0.123232,-0.117171,-0.136189,-0.004666,-0.018663,-0.031959,-0.032384,-0.031903,0.131341,0.129338,0.138161,0.129217,0.132249,0.000455,-0.001396,-0.003567,-0.00449,-0.004558,0.364575,-1.05952,-0.019556,-0.90869,1,0,0,0,0,0,0,0,0,0,0
1,-0.001785,-0.002923,-0.003905,-0.004362,-0.003894,-0.004652,-0.006292,-0.004708,-0.004675,-0.002209,5.6e-05,-0.000413,-0.004451,-0.004764,0.003202,-0.022748,-0.02093,-0.008802,0.02122,-0.015541,1.1e-05,0.001439,0.001897,0.001573,-0.002789,-0.018252,-0.032867,-0.031774,-0.031283,-0.034708,-0.00019,-0.004887,-0.00058,0.002086,0.081733,-0.015809,-0.032064,-0.010231,0.001227,-0.069393,0.006538,-0.008604,-0.002756,-0.021105,-0.076018,-0.013505,-0.026333,-0.026743,-0.026279,-0.032415,-0.001559,0.005308,-0.001653,0.000707,-0.02191,-0.00144,-0.00313,-0.003848,-0.003901,-0.001749,0.287472,-0.997071,-0.015178,-0.898216,1,0,0,0,0,0,0,0,0,0,0
2,-0.001125,-0.002096,-0.002548,-0.002085,-0.004379,-0.001622,-5.5e-05,-2.2e-05,0.002416,0.003751,-0.000463,-0.004457,-0.004765,0.003111,0.00257,0.001798,0.013789,0.043474,0.007126,-0.02696,0.001412,0.001864,0.001544,-0.002769,-0.011175,-0.014451,-0.01337,-0.012884,-0.016271,-0.019779,-0.004644,-0.000386,0.00225,0.081002,0.080428,-0.016072,0.005516,0.016845,-0.052983,-0.104278,-0.014972,-0.00919,-0.027332,-0.081629,-0.098222,-0.012684,-0.01309,-0.012631,-0.018698,-0.023792,0.006345,-8.7e-05,0.002093,-0.018804,-0.017674,-0.001561,-0.002225,-0.002274,-0.000286,0.002195,0.291228,-0.950634,-0.009464,-0.899491,1,0,0,0,0,0,0,0,0,0,0
3,-0.000949,-0.001392,-0.000939,-0.003183,-0.003938,0.001532,0.001564,0.003948,0.005254,0.011533,-0.003905,-0.004207,0.003495,0.002967,0.027424,0.011727,0.040758,0.005211,-0.028125,-0.057739,0.000442,0.000129,-0.004089,-0.012309,-0.013561,0.001057,0.001532,-0.00178,-0.005211,-0.004164,0.004164,0.006743,0.08376,0.083199,0.075324,0.021113,0.032192,-0.036097,-0.086263,-0.081861,0.005655,-0.012088,-0.065188,-0.081417,-0.039437,-0.000397,5.2e-05,-0.005882,-0.010863,-0.01611,-0.005503,-0.003638,-0.021519,-0.020552,-0.015254,-0.000568,-0.00061,0.001092,0.003214,0.003323,0.309537,-0.956717,-0.008941,-0.901394,1,0,0,0,0,0,0,0,0,0,0
4,-0.000446,1.1e-05,-0.00225,-0.003011,-0.005109,3.3e-05,0.002435,0.00375,0.010076,0.026413,-0.000304,0.007457,0.006924,0.031566,0.038229,0.02925,-0.006565,-0.040153,-0.06999,-0.064066,-0.000315,-0.004565,-0.012848,-0.014109,-0.01462,0.000478,-0.002859,-0.006315,-0.005261,0.008957,0.002598,0.080197,0.079632,0.071697,0.073295,0.011163,-0.057642,-0.108187,-0.103752,-0.128839,-0.017877,-0.071378,-0.087729,-0.045433,-0.073024,0.000452,-0.005526,-0.010545,-0.015832,-0.017892,0.001966,-0.016882,-0.015863,-0.010278,-0.005961,-4.4e-05,0.001749,0.003987,0.004101,0.003519,0.311307,-0.926863,-0.014966,-0.911154,1,0,0,0,0,0,0,0,0,0,0
5,0.00046,-0.001818,-0.002584,-0.004697,-0.006384,0.00242,0.003745,0.010117,0.026574,0.026005,0.007818,0.007281,0.032104,0.038816,0.061536,-0.036079,-0.069913,-0.099969,-0.094002,-0.12339,-0.004281,-0.012625,-0.013895,-0.01441,-0.014442,-0.003362,-0.006843,-0.005781,0.008541,0.013128,0.078169,0.077599,0.069606,0.071216,0.105937,-0.06931,-0.120226,-0.115758,-0.14103,-0.143001,-0.053894,-0.070365,-0.027758,-0.055552,-0.033526,-0.006023,-0.011078,-0.016403,-0.018479,-0.013259,-0.019838,-0.018765,-0.012887,-0.008344,-0.014227,0.001888,0.004243,0.004363,0.003751,0.003213,0.282018,-0.925544,-0.019681,-0.917431,1,0,0,0,0,0,0,0,0,0,0
6,-0.002265,-0.003027,-0.005128,-0.006805,-0.01471,0.001317,0.007654,0.02402,0.023453,0.024313,-0.000534,0.02415,0.030825,0.053418,0.074911,-0.033645,-0.063533,-0.057599,-0.086823,-0.122776,-0.008297,-0.00956,-0.010072,-0.010104,-0.015298,-0.003462,-0.002406,0.011836,0.016398,0.021167,-0.000566,-0.008515,-0.006914,0.027613,0.118519,-0.05063,-0.046188,-0.071318,-0.073278,-0.102382,-0.016379,0.02599,-0.001648,0.020255,0.011001,-0.005028,-0.010323,-0.012386,-0.007196,-0.003171,0.001031,0.006683,0.011052,0.005395,-0.015462,0.002264,0.00238,0.001791,0.001275,0.000317,0.194999,-0.905146,-0.020295,-0.910249,1,0,0,0,0,0,0,0,0,0,0
7,-0.000767,-0.002881,-0.004568,-0.01252,-0.021469,0.006375,0.022839,0.022269,0.023134,0.028907,0.024832,0.031547,0.054276,0.075899,0.078013,-0.030068,-0.024098,-0.053498,-0.089668,-0.09475,-0.001271,-0.001785,-0.001818,-0.007043,-0.013867,0.001063,0.01539,0.01998,0.024777,0.041931,-0.007996,-0.006386,0.028348,0.119801,0.135016,0.004469,-0.020812,-0.022784,-0.052063,-0.059205,0.042623,0.014819,0.036854,0.027544,0.023687,-0.005327,-0.007403,-0.002182,0.001868,0.013339,0.005894,0.01045,0.004551,-0.017201,-0.020883,0.000121,-0.000493,-0.001032,-0.002031,-0.002697,0.180453,-0.901965,-0.025083,-0.923418,1,0,0,0,0,0,0,0,0,0,0
8,-0.002117,-0.003807,-0.011771,-0.020734,-0.020931,0.016488,0.015918,0.016785,0.022566,0.037266,0.006725,0.029488,0.051143,0.053261,0.061225,0.005979,-0.023465,-0.059689,-0.064779,-0.053579,-0.000516,-0.000549,-0.005781,-0.012616,-0.017168,0.014349,0.018946,0.023751,0.04093,0.047392,0.001613,0.036399,0.12799,0.143228,0.175974,-0.025319,-0.027294,-0.056618,-0.06377,-0.044835,-0.027846,-0.005778,-0.015102,-0.018964,-0.013644,-0.002079,0.00315,0.007206,0.018694,0.010263,0.004604,-0.001358,-0.02334,-0.027061,-0.034563,-0.000621,-0.001165,-0.002174,-0.002848,-0.001118,0.14605,-0.914009,-0.019427,-0.924505,1,0,0,0,0,0,0,0,0,0,0
9,-0.001682,-0.009613,-0.018538,-0.018735,-0.022132,-0.000568,0.000295,0.006052,0.02069,0.044636,0.022668,0.044232,0.04634,0.054271,0.059209,-0.029321,-0.065392,-0.070461,-0.059307,-0.055495,-3.3e-05,-0.005244,-0.012049,-0.016583,-0.019565,0.004577,0.009362,0.026469,0.032904,0.03712,0.034641,0.125847,0.14102,0.173629,0.17742,-0.001966,-0.031167,-0.038289,-0.019434,-0.007844,0.021975,0.012691,0.008845,0.014143,0.021981,0.005207,0.009246,0.020685,0.01229,-0.007403,-0.005789,-0.027132,-0.030745,-0.03803,-0.03784,-0.000529,-0.001509,-0.002163,-0.000483,-0.000948,0.140759,-0.926018,-0.017336,-0.924212,1,0,0,0,0,0,0,0,0,0,0
