,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.008486,0.015024,0.014783,0.015427,-0.028052,-0.029034,-0.029582,-0.01087,-0.004074,0.001063,0.016329,0.037343,0.098488,0.107199,0.106121,0.101032,0.006538,0.007633,-0.002786,-0.010709,-0.030918,-0.039179,-0.064639,-0.05963,0.035508,0.119808,0.177104,0.210647,0.105122,0.106539,0.092111,0.093109,0.00525,0.005105,0.001221,0.010497,-0.003139,-0.011161,-0.037257,-0.05193,-0.024354,-0.078816,-0.105663,-0.112227,0.00092,0.003379,0.006286,0.008586,-0.053152,-1.05262,-0.088835,-0.897479,1,0,0,0,0,0,0,0,0,0,0
1,0.003143,0.006302,0.00646,0.011572,-0.002032,0.000206,0.016207,0.023001,0.000492,0.013127,0.029477,0.052176,-0.004032,0.008857,0.005333,0.003699,0.000778,-0.001984,-0.009286,-0.016889,-0.008191,-0.023858,-0.031255,-0.012842,0.011461,0.113082,0.154052,0.184862,0.009207,-0.005953,-0.012794,0.000175,0.013435,-0.003307,-0.000465,0.015807,-0.006451,-0.025043,-0.049265,-0.039271,-0.006644,-0.062274,-0.075967,-0.07804,0.000753,0.002412,0.004217,0.008886,-0.061203,-1.053643,-0.083303,-0.898383,1,0,0,0,0,0,0,0,0,0,0
2,0.003265,0.00303,0.003658,0.017693,0.001052,0.000518,0.018761,0.036893,0.004521,0.019404,0.039892,0.069705,0.012481,0.011429,0.006468,0.005762,0.000298,-0.009859,-0.017583,-0.006688,4.7e-05,-0.024774,-0.019891,0.006217,0.070851,0.126709,0.159411,0.177764,-0.007724,-0.021791,-0.020817,-0.012073,-0.013429,-0.017215,-0.008172,-0.00216,-0.001441,-0.026882,-0.041187,-0.033619,-0.039439,-0.061913,-0.067408,-0.058913,0.001361,0.003795,0.00572,0.006999,-0.056747,-1.051947,-0.087903,-0.901121,1,0,0,0,0,0,0,0,0,0,0
3,-0.00014,1.6e-05,0.005032,0.024396,0.001153,0.016856,0.023524,0.053855,0.007914,0.02396,0.046237,0.077379,0.000265,-0.003194,-0.004798,-0.010266,-0.003007,-0.010173,-0.017635,0.007026,-0.015423,-0.022682,-0.004611,0.015002,0.029428,0.069636,0.099874,0.106884,-0.007213,-0.013927,-0.0012,-0.009581,-0.003105,-0.000316,0.015654,0.006657,-0.016817,-0.040588,-0.030781,-0.040835,-0.011424,-0.023432,-0.02525,-0.012142,0.000166,0.001748,0.005843,0.003838,-0.047123,-1.046598,-0.091627,-0.897138,1,0,0,0,0,0,0,0,0,0,0
4,-9.3e-05,0.000529,0.014448,0.029409,-0.001681,0.016409,0.034391,0.086018,0.00685,0.027168,0.056733,0.085441,-0.001308,-0.006228,-0.006928,-0.00903,-0.007068,-0.014728,-0.003923,0.013747,-0.009201,-0.004359,0.021532,0.068036,0.025984,0.058414,0.076614,0.082343,-0.006741,-0.005776,0.002896,-0.003705,-0.000651,0.008317,0.014279,0.00453,-0.008424,-0.022609,-0.015104,-0.019889,-0.009824,-0.015006,-0.006994,0.004737,0.00213,0.003946,0.005153,0.004148,-0.038442,-1.039066,-0.092003,-0.921924,1,0,0,0,0,0,0,0,0,0,0
5,0.000249,0.005256,0.024585,0.038315,0.017354,0.024009,0.054285,0.122985,0.009175,0.031411,0.062496,0.092352,-0.002146,-0.003748,-0.009206,-0.008444,-9.3e-05,-0.007542,0.017074,0.04312,0.001944,0.019982,0.039559,0.097328,0.014182,0.044364,0.051362,0.065637,3.1e-05,0.012735,0.00437,-0.000249,0.003435,0.019375,0.010395,0.001744,-0.015314,-0.005525,-0.01556,-0.024703,-0.002114,-0.003909,0.009032,0.016409,-0.00055,0.003492,0.001513,-0.002272,-0.034767,-1.018452,-0.107163,-0.925596,1,0,0,0,0,0,0,0,0,0,0
6,0.000374,0.014306,0.029281,0.055882,0.000717,0.018716,0.07039,0.102336,0.011142,0.040735,0.069471,0.10391,-0.002774,-0.003475,-0.005579,-0.004706,-0.007574,0.003241,0.020928,0.057238,0.002899,0.028814,0.075361,0.096757,0.018248,0.036465,0.0422,0.067227,0.000935,0.009615,0.003008,-0.001013,0.005535,0.011502,0.001744,-0.004958,0.001148,0.00866,0.003871,-0.005334,-0.003071,0.004994,0.016802,0.02095,0.002386,0.003601,0.002589,-0.000565,-0.032918,-1.010085,-0.116456,-0.919673,1,0,0,0,0,0,0,0,0,0,0
7,0.004611,0.023845,0.037508,0.084054,0.005911,0.036038,0.104402,0.114676,0.011064,0.041996,0.071706,0.108286,0.001161,-0.004271,-0.003513,-0.001362,0.000108,0.024603,0.050522,0.094282,0.015071,0.034553,0.092038,0.113609,0.011915,0.018878,0.033083,0.052549,0.011714,0.003389,-0.001207,-0.007783,0.010367,0.001431,-0.007178,-0.018951,0.008602,-0.001385,-0.010483,0.000276,0.001189,0.013692,0.020819,0.027709,0.001634,-0.000278,-0.003935,-0.002818,-0.031204,-1.002333,-0.135694,-0.929226,1,0,0,0,0,0,0,0,0,0,0
8,0.009263,0.024198,0.050728,0.090608,0.012014,0.06355,0.09541,0.116111,0.018401,0.04706,0.081407,0.115614,-0.001865,-0.003963,-0.003093,-0.000155,0.010677,0.028317,0.064529,0.099668,0.010708,0.057131,0.07847,0.103383,0.006201,0.01192,0.03688,0.046765,-0.003108,-0.009698,-0.013708,-0.019474,-0.004461,-0.014193,-0.020876,-0.033581,-0.001147,-0.005924,-0.015104,-0.011578,0.006689,0.018278,0.022348,0.032245,-0.000493,-0.001486,-0.004582,-0.003066,-0.028209,-0.992946,-0.126753,-0.916632,1,0,0,0,0,0,0,0,0,0,0
9,0.010114,0.023918,0.070942,0.092312,0.018353,0.087419,0.097799,0.105975,0.012741,0.042756,0.079712,0.114135,-0.003611,-0.002845,-0.000672,0.005159,0.014007,0.040192,0.084401,0.095892,0.008911,0.066987,0.088779,0.107741,0.000797,0.015148,0.034814,0.047367,-0.005284,-0.009927,-0.016571,-0.015101,-0.004541,-0.013238,-0.025132,-0.032666,-0.008935,-0.018127,-0.007258,0.002158,0.006462,0.014118,0.021519,0.030608,-0.00154,-0.005468,-0.004269,-0.000895,-0.021203,-1.001364,-0.127299,-0.932344,1,0,0,0,0,0,0,0,0,0,0
