,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.001035,0.002189,0.000279,0.003303,0.04026,0.037421,0.035245,0.019553,-0.037222,-0.023347,-0.022577,-0.016767,0.025336,0.018637,0.115937,0.16917,0.002547,0.00447,0.004457,0.005717,0.043483,0.047211,0.0505,0.044385,-0.023493,-0.01093,0.021569,0.086117,0.031173,0.134084,0.201762,0.314277,-0.004775,0.082712,0.040363,0.062217,0.003403,0.010012,0.015691,0.024929,-0.016846,-0.154057,-0.173736,-0.311631,-0.000111,-0.0001,-0.000231,0.000197,0.646258,-1.23219,-0.080834,-0.819293,1,0,0,0,0,0,0,0,0,0,0
1,0.000628,-0.00081,0.002262,0.011183,-0.00289,-0.002443,-0.01836,-0.054954,0.003937,0.015847,0.015875,0.02918,-0.001326,0.02925,0.104309,0.187619,0.000558,0.002011,0.003295,0.004761,0.007498,0.006995,0.006241,-0.011072,-0.024545,0.067198,0.044329,0.178279,0.015986,0.09656,0.154474,0.370938,0.031831,0.022755,0.021626,0.082084,0.010277,0.009744,0.024508,0.04273,0.017915,-0.238874,-0.177358,-0.611931,0.000239,-0.000253,0.000473,0.002674,0.560896,-1.291135,-0.089341,-0.818334,1,0,0,0,0,0,0,0,0,0,0
2,0.00062,-0.001506,0.00186,0.01925,-0.000103,-0.002524,-0.019988,-0.070874,0.011278,0.012135,0.0186,0.058104,-0.006053,0.102229,0.161469,0.189754,0.00155,0.001535,0.002938,0.007189,-0.003779,-0.000118,-0.006923,-0.032285,0.039932,0.076099,0.147932,0.306125,0.097623,0.17294,0.298153,0.334114,0.063706,0.016577,0.040897,0.004167,-0.003511,0.002809,0.01309,0.036913,-0.316521,-0.358123,-0.649623,-1.09787,-0.00033,-0.000606,0.000297,0.005639,0.462205,-1.244947,-0.077562,-0.814641,1,0,0,0,0,0,0,0,0,0,0
3,-0.002136,0.001105,0.010517,0.025821,0.000574,-0.016217,-0.054824,-0.067329,0.001311,0.00134,0.015378,0.083002,0.038297,0.117484,0.205376,0.177743,-1.5e-05,0.00134,0.002887,0.014185,0.003241,0.002445,-0.01582,-0.01445,0.056945,0.032818,0.174134,0.398718,-0.012402,0.048696,0.277066,0.025762,-0.07314,-0.074332,-0.010548,-0.270293,0.002941,0.018517,0.037741,0.051122,-0.061872,0.027613,-0.604541,-0.82537,-0.00039,0.000667,0.003867,0.005774,0.325743,-1.022797,-0.083698,-0.826105,1,0,0,0,0,0,0,0,0,0,0
4,1.6e-05,0.003659,0.02248,0.037787,-0.003243,-0.022145,-0.077219,-0.058877,-0.000495,0.006503,0.049258,0.132037,0.075653,0.13977,0.170383,0.147152,0.0,0.001518,0.006119,0.025148,0.000447,-0.006918,-0.034367,-0.000863,-0.022624,0.055122,0.226336,0.398891,0.09497,0.23049,0.269411,0.022209,0.028327,0.054649,0.014896,-0.22503,0.00365,0.014777,0.040562,0.056021,0.03694,-0.470182,-1.249994,-1.336779,0.000211,0.001781,0.011074,0.009588,0.296448,-0.978039,-0.069757,-0.833055,1,0,0,0,0,0,0,0,0,0,0
5,0.003615,0.014165,0.031317,0.043022,-0.015469,-0.058739,-0.072755,-0.057798,0.000545,0.016278,0.09207,0.190265,0.010582,0.109091,0.07812,0.000462,0.001519,0.003252,0.015915,0.030211,-0.001354,-0.021825,-0.020289,0.016657,-0.003665,0.154721,0.406432,0.499592,-0.02965,0.226304,-0.055354,-0.067934,-0.030605,0.040883,-0.250236,-0.185494,0.013686,0.035232,0.050229,0.072368,0.152351,-1.25204,-1.742633,-1.75871,0.002084,0.009194,0.01343,0.013281,0.237703,-0.962089,-0.083647,-0.833261,1,0,0,0,0,0,0,0,0,0,0
6,0.000141,0.018633,0.033671,0.036182,-0.003862,-0.05797,-0.03995,-0.030092,0.006357,0.048364,0.129692,0.232557,0.052932,0.083008,0.060184,-0.067153,4.7e-05,0.004568,0.023264,0.027109,-0.005949,-0.032917,0.0,0.036857,0.079868,0.248082,0.417613,0.518909,0.161338,0.199577,-0.043293,-0.035696,0.054962,0.015905,-0.219817,-0.08786,-0.002081,0.023252,0.03844,0.065436,-0.555146,-1.244183,-1.320867,-1.34272,-7.6e-05,0.008135,0.006821,0.007745,0.200016,-0.980773,-0.084408,-0.840276,1,0,0,0,0,0,0,0,0,0,0
7,0.010086,0.026721,0.038072,0.036471,-0.038024,-0.051616,-0.037111,-0.026561,0.008773,0.082275,0.177502,0.254286,0.041546,0.011511,-0.0638,-0.155217,0.001633,0.013913,0.027777,0.027553,-0.013785,-0.012296,0.023535,0.039112,0.072141,0.316245,0.406589,0.487775,0.083668,-0.189478,-0.201677,-0.212964,0.013272,-0.269049,-0.206264,-0.128235,0.023018,0.037562,0.059031,0.064171,-0.49561,-0.891368,-0.904337,-0.950723,0.005824,0.009241,0.009121,0.008336,0.193163,-0.992075,-0.08119,-0.801499,1,0,0,0,0,0,0,0,0,0,0
8,0.008543,0.023477,0.025971,0.024989,-0.016712,0.001185,0.010975,0.031334,0.033174,0.113941,0.216096,0.259293,-0.010585,-0.033252,-0.15971,-0.186274,0.0029,0.021466,0.025286,0.02502,-0.01336,0.01933,0.055934,0.049932,0.096808,0.26517,0.365767,0.434702,-0.043494,-0.284688,-0.277143,-0.286153,-0.05171,-0.285805,-0.154759,-0.141924,0.002745,0.017829,0.044639,0.018491,-0.245145,-0.318201,-0.33902,-0.397102,0.00299,0.001739,0.002619,0.000244,0.187076,-0.997696,-0.071034,-0.781683,1,0,0,0,0,0,0,0,0,0,0
9,0.007552,0.018456,0.016918,0.016011,0.00343,0.017364,0.0275,0.062566,0.037881,0.129363,0.203126,0.251158,-0.01841,-0.090758,-0.178579,-0.186761,0.008936,0.022255,0.02204,0.021501,0.014611,0.049032,0.063997,0.061551,0.138991,0.225781,0.303774,0.373553,-0.21949,-0.23121,-0.242053,-0.243483,-0.220198,-0.159883,-0.084923,-0.081431,0.011263,0.031888,0.036825,-0.000439,-0.07578,-0.085573,-0.120597,-0.164461,-0.00014,-0.000231,-0.000824,-0.003329,0.187719,-1.062491,-0.081133,-0.675545,1,0,0,0,0,0,0,0,0,0,0
