,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.059968,0.227155,0.246602,0.410387,0.361584,1.747212,2.903616,3.11295,-0.018412,-0.548809,-0.532689,0.329049,-0.004363,-2.027384,-0.070172,0.252591,0.159127,0.338957,0.671703,1.059094,0.895383,4.132188,5.830967,6.122231,-0.034014,-0.512503,-0.229595,0.905882,-0.093908,-3.160865,-0.724721,0.015011,0.087986,1.133134,0.699938,0.42516,-0.540499,0.921932,1.488304,1.611487,-0.998649,-192.669195,-581.799422,-421.880703,0.158006,250.147427,238.670267,231.295844,-0.228523,0.076965,-0.145051,-1.095325,1,0,0,0,0,0,0,0,0,0,0
1,0.137209,0.107681,0.210148,0.289999,-2.04285,2.230261,2.193883,2.191639,-0.29388,-1.383363,0.205237,0.509788,-3.213216,0.689075,0.633354,1.518692,0.153882,0.264777,0.558232,0.769229,-3.989903,4.439544,4.114015,4.073028,-0.300307,-2.009139,0.720603,1.007389,-4.749188,1.373784,0.815491,2.700881,1.534732,-0.132966,0.060593,0.010704,1.947119,1.896504,1.635434,1.628063,-48.609187,-99.09071,38.926827,91.384801,1.444998,446.320323,-69.342209,-366.266778,-0.261072,-0.577914,-0.152664,-1.054102,1,0,0,0,0,0,0,0,0,0,0
2,-3.2e-05,0.004221,0.040044,0.057704,0.847966,1.10089,1.146675,1.108556,-0.037618,-0.034092,0.154384,0.160934,0.414619,0.842694,0.913287,1.25018,-0.001714,0.071063,0.155791,0.201884,1.772202,2.143753,2.207457,2.110971,-0.02455,0.037327,0.285674,0.275049,0.595996,1.128821,1.290612,2.012916,-0.18078,-0.275527,-0.335626,-0.392919,-0.199513,-0.075638,-0.048696,-0.096939,0.0172,0.003537,0.007366,0.013773,0.769442,0.719708,0.688884,0.661007,-0.196913,-0.635246,-0.16017,-1.027288,1,0,0,0,0,0,0,0,0,0,0
3,-0.007885,0.019589,0.041,0.090502,0.293355,0.283601,0.282999,0.268238,-0.254306,0.17164,0.253298,0.018435,0.62953,0.61459,0.851972,0.971834,0.031457,0.11014,0.166714,0.219061,0.478731,0.391448,0.380459,0.323462,-0.433505,0.29841,0.375305,-0.087494,1.042632,0.892939,1.398462,1.812003,-0.265432,-0.213534,-0.226911,0.007782,0.18698,0.11698,0.115004,0.075304,-0.022866,-0.009116,-0.00389,0.018523,-0.016083,-0.067457,-0.097039,-0.107601,0.176595,-0.967834,-0.136449,-0.958756,1,0,0,0,0,0,0,0,0,0,0
4,0.012429,0.049236,0.067382,0.111035,-0.03998,0.007062,-0.032104,-0.014556,0.263562,0.457216,0.463946,0.269411,-0.203641,-0.131108,0.21504,0.350651,0.042623,0.129679,0.177037,0.193355,-0.107578,-0.042124,-0.141261,-0.158459,0.506685,0.761855,0.750938,0.316271,-0.518267,-0.352031,0.390117,0.971943,0.173962,0.112213,0.053346,0.466034,-0.063844,-0.036162,-0.08573,-0.127141,0.010139,0.014768,0.022514,0.041066,-0.041374,-0.078637,-0.112337,-0.104346,0.198607,-1.130865,-0.120671,-0.941176,1,0,0,0,0,0,0,0,0,0,0
5,0.014194,0.034039,0.079922,0.119642,0.027213,0.026656,0.012974,0.047947,0.155805,0.231493,0.013802,0.011497,0.170813,0.390839,0.501937,0.550592,0.03428,0.086718,0.135237,0.157674,0.01665,0.006464,-0.046365,-0.053748,0.218941,0.290214,-0.138748,-0.105613,0.331214,0.799775,1.183081,1.377491,-0.109645,-0.122043,0.09549,0.235476,-0.006988,-0.00882,-0.045617,-0.091183,0.00297,0.006041,0.019214,-0.053704,-0.009335,-0.026721,-0.032929,-0.031843,0.125555,-1.133281,-0.109879,-0.912243,1,0,0,0,0,0,0,0,0,0,0
6,0.019878,0.036929,0.077949,0.122576,0.016005,-0.020799,-0.00431,0.032432,0.020518,0.026842,-0.15596,-0.144593,-0.108851,0.216421,0.343853,0.478483,0.046282,0.090784,0.106118,0.154227,0.044252,-0.048905,-0.065067,-0.03849,0.012898,0.002639,-0.405812,-0.306971,-0.187018,0.510369,1.057104,1.172169,0.055597,0.00028,0.388078,0.359357,0.033254,-0.013325,-0.052238,-0.060925,-0.000816,0.004195,0.016198,-0.104894,-0.012129,-0.033932,-0.028762,-0.030071,0.093966,-1.197719,-0.130892,-0.9476,1,0,0,0,0,0,0,0,0,0,0
7,0.00073,0.051272,0.095024,0.119988,-0.017627,-0.032698,0.005826,0.020598,0.061562,-0.17823,-0.18077,-0.170247,0.358071,0.480448,0.534044,0.699394,0.008565,0.06201,0.086725,0.114942,-0.058259,-0.116452,-0.124585,-0.06543,0.064799,-0.407716,-0.371216,-0.320028,0.71493,1.137152,1.3513,1.584304,-0.072755,0.166864,0.321063,0.387066,-0.037366,-0.077899,-0.128092,-0.084553,0.007296,0.033217,-0.11027,-0.199022,-0.015613,-0.027829,-0.025692,-0.021213,0.073232,-1.265171,-0.1113,-0.933732,1,0,0,0,0,0,0,0,0,0,0
8,0.017463,0.061236,0.108858,0.12682,-0.021578,-0.003982,0.035225,0.045639,-0.055054,-0.250125,-0.237994,-0.227746,-0.012364,0.123621,0.267287,0.342553,0.038891,0.055254,0.106592,0.115156,-0.040924,-0.05817,-0.02981,-0.004982,-0.075999,-0.511863,-0.406388,-0.381877,0.026477,0.609907,0.732694,0.869412,0.01401,0.427834,0.397185,0.458366,-0.012193,-0.053719,-0.062988,-0.051889,0.000399,0.019313,-0.171495,-0.210284,-0.018312,-0.010165,-0.012227,-0.006885,0.078709,-1.253818,-0.107725,-0.919335,1,0,0,0,0,0,0,0,0,0,0
9,0.033277,0.077202,0.102264,0.128226,0.006449,0.045125,0.059955,0.067354,-0.185681,-0.188231,-0.177666,-0.152588,0.135224,0.189031,0.355033,0.344468,0.014764,0.039576,0.067904,0.077352,-0.017497,-0.025662,0.033727,0.024429,-0.398374,-0.361731,-0.310341,-0.273681,0.397408,0.6124,0.846323,0.773337,0.226553,0.38136,0.447623,0.385244,-0.028499,-0.078889,-0.035179,-0.055532,0.026245,-0.121247,-0.212477,-0.241846,0.005761,0.007957,0.012561,0.016951,0.065187,-1.210116,-0.090829,-0.929347,1,0,0,0,0,0,0,0,0,0,0
