,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.174035,-0.286467,-0.080594,-0.284712,0.000399,0.028407,-0.090329,0.022662,0.066709,0.157038,-0.380467,-0.039738,0.095915,-0.000319,0.116582,0.050271,-0.153208,-0.257581,-0.038462,-0.141957,0.249602,0.413103,-0.083945,0.321577,0.074689,0.115544,-0.360677,-0.056894,0.202921,0.08977,-0.080753,0.14483,-0.106309,-0.072934,0.193788,-0.086848,0.23487,0.367895,-0.007396,0.279236,-0.001004,-0.001921,0.122188,-0.048545,-0.086655,0.365733,-0.045334,-0.62691,0.043946,-0.107323,-0.019357,-0.521892,1,0,0,0,0,0,0,0,0,0,0
1,-0.178686,-0.108543,0.065434,-0.083863,0.004384,-0.057803,0.044002,0.018266,-0.009823,-0.001299,-0.067707,-0.151976,0.085649,0.05553,-0.053825,-0.057397,-0.046194,-0.058777,0.053094,0.026547,0.084431,0.12827,0.016643,0.03085,0.017292,0.038968,-0.1536,-0.19135,0.108299,0.280084,-0.207668,-0.069006,-0.027134,-0.113218,0.173251,0.024153,0.075186,0.179951,-0.024647,0.006351,0.000284,-0.002799,-0.054512,-0.054093,-0.801124,-0.218666,0.033655,-0.55052,0.080106,-0.052098,-0.044413,-0.454992,1,0,0,0,0,0,0,0,0,0,0
2,0.062127,0.264512,0.063853,0.117352,0.023298,-0.093426,0.01765,0.033731,0.09829,-0.430106,-0.095152,-0.187872,-0.177361,-0.062441,-0.127628,-0.123862,-0.05797,0.157436,0.055695,0.075933,0.07915,-0.409476,-0.010825,-0.088563,0.023455,-0.444697,-0.146062,-0.243018,-0.215877,-0.383511,-0.161751,-0.196893,0.059028,0.32123,0.04535,0.083451,0.058123,-0.310808,-0.029034,-0.124269,-0.001037,0.109077,-0.042403,-0.041709,1.031344,0.666629,0.150633,0.244883,0.111182,-0.030917,-0.044889,-0.429046,1,0,0,0,0,0,0,0,0,0,0
3,0.005838,0.179588,0.030485,0.073132,-0.086186,0.015486,-0.010216,0.002838,-0.093077,-0.159399,-0.243558,-0.308826,0.153237,0.044025,0.040458,0.05643,0.047349,0.159075,0.132562,0.142535,-0.038026,-0.149508,-0.135319,-0.189236,-0.002594,-0.194911,-0.232613,-0.295853,0.394687,-0.092429,0.046052,0.003567,-0.146982,0.139113,-0.00979,0.043882,0.044554,-0.159777,-0.128819,-0.196469,-0.001749,-0.052992,-0.052575,-0.05141,-0.722463,-0.472436,-1.051298,-0.96451,0.128161,0.006992,-0.046043,-0.41193,1,0,0,0,0,0,0,0,0,0,0
4,0.203403,-0.004055,0.051256,0.00884,-0.034468,0.080372,0.096998,0.26642,-0.453197,-0.106892,-0.202755,-0.21784,-0.034468,-0.101864,-0.097971,0.015166,0.175342,0.070153,0.091077,0.067963,-0.467147,-0.054987,-0.135359,0.211595,-0.481421,-0.172666,-0.272908,-0.237791,-0.568118,-0.338844,-0.375177,0.074614,0.418112,0.132883,0.172276,0.061435,-0.426,-0.134677,-0.233139,-0.055131,0.140797,-0.050483,-0.049606,-0.0629,0.26342,-0.388146,-0.269134,-0.4013,0.073181,-0.421144,-0.020012,-0.742892,1,0,0,0,0,0,0,0,0,0,0
5,-0.029075,-0.175565,-0.133665,-0.213163,0.133745,0.108493,0.121318,0.308593,0.379966,0.297281,0.233157,0.200259,-0.073444,-0.076949,-0.061257,0.051698,-0.062451,-0.088499,-0.078702,-0.105626,0.349298,0.363238,0.310266,0.655262,0.283899,0.246858,0.184726,0.236821,0.079418,0.215473,0.173733,0.724882,-0.129583,-0.275877,-0.223145,-0.261542,0.217662,0.248077,0.181613,0.341162,-0.169433,-0.169066,-0.168036,-0.180108,-0.011354,-0.522848,-0.44616,-0.821609,0.046672,-0.516218,-0.024025,-0.722502,1,0,0,0,0,0,0,0,0,0,0
6,-0.169856,-0.117033,-0.157541,-0.22601,-0.02037,-0.004492,0.157308,0.198824,-0.038727,-0.130277,-0.144684,-0.172799,0.007048,0.010766,0.118814,0.142592,-0.039734,-0.019751,-0.041825,-0.055534,0.053985,-0.022771,0.308576,0.370151,0.018821,-0.076912,-0.043374,-0.036016,0.14174,0.107041,0.536599,0.64821,-0.1464,-0.10878,-0.214634,-0.128202,0.066579,-0.027455,0.142547,0.167151,0.000628,0.001263,-0.008369,-0.009079,-0.462775,-0.376543,-0.472306,-0.937848,0.034072,-0.562181,-0.020671,-0.778087,1,0,0,0,0,0,0,0,0,0,0
7,0.026457,0.065769,-0.008819,-0.200222,-0.004036,0.007997,0.183705,0.230117,-0.040209,-0.100372,-0.131239,0.008072,-0.01009,0.004634,0.110612,0.129969,0.013901,0.023094,-0.002167,-0.064125,-0.039013,-0.088713,0.234975,0.359712,-0.052914,-0.111209,-0.062331,0.026457,-0.009118,-0.04828,0.468828,0.530487,0.004008,0.053483,0.017458,0.063724,-0.035707,-0.098066,0.051629,0.151549,-0.000254,0.000405,-0.00732,-0.004443,0.033088,0.082169,-0.158122,-1.389082,-0.005452,-0.609497,-0.004279,-0.79412,1,0,0,0,0,0,0,0,0,0,0
8,0.024239,-0.01441,-0.079736,0.131244,0.01914,0.173513,0.213123,0.212162,-0.047591,-0.061336,-0.088161,-0.14824,0.013523,0.116612,0.139298,0.080254,0.005321,-0.01574,-0.02882,0.011972,-0.034658,0.281479,0.340228,0.169671,-0.039018,-0.00702,0.0,0.009385,-0.024091,0.38575,0.492237,0.136564,0.031931,-0.069065,0.0134,-0.043596,-0.054411,0.107787,0.131261,-0.032634,0.000691,-0.006241,-0.006752,-0.016521,0.031487,-0.037433,-0.372483,0.092061,0.063211,-0.30543,-0.001163,-0.676475,1,0,0,0,0,0,0,0,0,0,0
9,0.014715,-0.059456,-0.249788,-0.046821,-0.007283,0.167442,0.213594,0.076772,-0.011965,-0.042659,0.095872,0.019769,0.00104,0.106425,0.125674,-0.125971,0.00379,-0.02133,-0.082941,-0.10271,-0.014567,0.307311,0.43135,0.129613,-0.018729,0.029876,0.118168,0.070232,-0.014715,0.499501,0.560815,0.050166,0.017085,-0.018738,0.027269,-0.18219,-0.00729,0.141568,0.240929,0.0555,-8.6e-05,-0.007514,-0.004748,-0.017955,0.014426,-0.216613,-1.400176,-0.047802,0.043553,-0.542605,0.02508,-0.943609,1,0,0,0,0,0,0,0,0,0,0
