,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.395876,-0.169273,-0.063078,-0.061394,0.01915,0.025651,0.023272,0.022873,0.45331,0.0,-0.030571,-0.037723,-0.002024,0.039171,0.043944,0.04285,-0.560066,-0.269749,-0.069284,-0.073894,0.004448,-0.010875,-0.023553,-0.023464,0.45597,0.011466,-0.011717,-0.008895,-0.007255,0.006043,-0.012648,-0.040146,-0.005553,-0.034381,-0.058589,-0.085966,-0.014097,-0.042542,-0.047215,-0.047703,-0.00254,-0.007504,-0.01138,-0.016007,0.124522,0.067463,0.018258,0.021388,0.11809,-1.067285,-0.108244,-1.010314,1,0,0,0,0,0,0,0,0,0,0
1,0.263176,0.298027,0.319339,0.318449,-0.000707,0.004084,0.003335,0.001442,-0.359843,-0.454022,-0.468452,-0.461244,0.025707,0.039416,0.043698,0.032152,0.427057,0.449161,0.46896,0.462304,0.000155,-0.024435,-0.027233,-0.027841,-0.36014,-0.441289,-0.447592,-0.44078,0.013864,-0.002063,-0.023192,-0.035402,-0.011683,-0.0428,-0.069003,-0.069617,0.001612,-0.029496,-0.031759,-0.031357,0.001858,-0.005337,-0.008264,-0.008046,-0.089449,-0.077687,-0.077244,-0.075003,0.114333,-1.063245,-0.106148,-1.007897,1,0,0,0,0,0,0,0,0,0,0
2,-0.047008,0.055806,0.057437,0.053689,0.00701,0.004707,0.00432,-0.003047,-0.074633,-0.104231,-0.111155,-0.099095,0.013862,0.018483,0.017424,0.006409,-0.151211,0.042874,0.038411,0.03286,-0.014992,-0.027267,-0.027181,-0.042459,-0.065806,-0.088251,-0.085519,-0.07911,-0.001159,-0.019255,-0.045878,-0.062659,-0.016085,-0.039522,-0.066027,-0.071106,-0.029172,-0.033696,-0.034168,-0.042258,-0.005982,-0.009073,-0.012763,-0.009512,0.051908,0.012672,0.015168,0.015442,0.114496,-1.049693,-0.105544,-0.99583,1,0,0,0,0,0,0,0,0,0,0
3,0.083227,0.105046,0.104135,0.099331,-0.002185,-0.002952,-0.004891,-0.011952,-0.020937,-0.03571,-0.028331,-0.02195,1.4e-05,0.004399,-0.007423,-0.013022,0.175569,0.19584,0.189025,0.180922,-0.010013,-0.012878,-0.0135,-0.033163,-0.016524,-0.022977,-0.016003,-0.012299,-0.015135,-0.036766,-0.049267,-0.082518,-0.015589,-0.042416,-0.043045,-0.07016,-0.002344,-0.004661,-0.00425,-0.017194,-0.002006,-0.005458,-0.005201,-0.002198,-0.042337,-0.041815,-0.039172,-0.038631,0.118599,-1.029672,-0.1018,-0.99266,1,0,0,0,0,0,0,0,0,0,0
4,0.020969,0.022635,0.018806,0.011763,-0.000146,-0.000541,-0.008066,-0.00998,-0.009089,-0.016161,-0.003843,0.000643,0.004705,0.003624,-0.007628,-0.01321,0.02094,0.016381,0.010711,-0.011354,-0.002426,-0.002338,-0.017944,-0.023248,-0.00624,-0.003449,0.003098,0.007306,-0.0032,-0.030394,-0.047534,-0.070213,-0.008197,-0.03527,-0.040458,-0.057388,-0.002255,-0.002737,-0.011,-0.016315,-0.001436,-0.005717,-0.001945,-0.000699,-0.000159,0.002737,0.003055,0.008873,0.1143,-1.030131,-0.090827,-0.994273,1,0,0,0,0,0,0,0,0,0,0
5,0.001077,0.000147,-0.004749,-0.011593,-0.000634,-0.002611,-0.009808,-0.009587,-0.005885,0.001637,0.008142,0.011062,-0.00028,-0.012331,-0.018039,-0.018083,-0.000472,-0.007419,-0.015679,-0.036343,-0.000472,-0.001106,-0.021151,-0.023393,-0.00028,0.006829,0.010605,0.021357,-0.01882,-0.031564,-0.065458,-0.073703,-0.019073,-0.019714,-0.047354,-0.056447,-8.6e-05,0.000333,-0.012862,-0.017051,-0.002416,-0.002122,0.001313,-0.00179,0.000766,0.00379,0.004408,0.010111,0.111135,-1.014976,-0.090883,-1.002137,1,0,0,0,0,0,0,0,0,0,0
6,0.00061,-0.003288,-0.010458,-0.013581,0.000238,-0.007423,-0.009372,-0.006397,-0.001264,0.011276,0.015843,0.017925,-0.000818,-0.012272,-0.017955,-0.015307,-0.004165,-0.009937,-0.032399,-0.039599,0.000565,-0.015322,-0.020722,-0.02578,0.003124,0.009788,0.014072,0.027803,-0.008702,-0.026151,-0.049238,-0.060678,-0.008324,-0.013606,-0.030841,-0.046182,-0.000404,-0.008816,-0.014226,-0.02266,-0.002287,0.001987,0.003399,-0.001202,0.002468,0.002828,0.009421,0.010764,0.110467,-1.002184,-0.092016,-1.01172,1,0,0,0,0,0,0,0,0,0,0
7,-0.001551,-0.006504,-0.013426,-0.01547,-0.002238,-0.009518,-0.009294,0.002148,0.008876,0.015455,0.018409,0.023153,-0.011367,-0.017141,-0.017185,-0.00264,-0.002849,-0.011203,-0.032103,-0.038354,-0.001208,-0.021482,-0.023749,-0.025733,0.004058,0.007877,0.018752,0.029373,-0.004162,-0.038443,-0.046782,-0.051288,0.0077,-0.020256,-0.029452,-0.049034,0.000829,-0.012517,-0.016753,-0.030556,0.002651,0.006369,0.00301,0.001288,0.000756,0.001426,0.007601,0.008742,0.109541,-0.994476,-0.092547,-1.023463,1,0,0,0,0,0,0,0,0,0,0
8,-0.002364,-0.009576,-0.012719,-0.017013,-0.005462,-0.007422,-0.004429,0.008215,0.003711,0.008305,0.010399,0.024764,-0.00012,-0.005836,-0.003172,0.014664,-0.002948,-0.025542,-0.032784,-0.042136,-0.014769,-0.0202,-0.025288,-0.02644,0.002633,0.006943,0.020754,0.040266,-0.013377,-0.0366,-0.048106,-0.06289,-0.013036,-0.030372,-0.045804,-0.07878,-0.009293,-0.014735,-0.023218,-0.037461,0.001745,0.003216,-0.001577,-0.002128,-0.000397,0.006472,0.007871,0.009217,0.103991,-0.991639,-0.091742,-1.04274,1,0,0,0,0,0,0,0,0,0,0
9,-0.002618,-0.009599,-0.01166,-0.014775,-0.001851,-0.001625,0.009915,0.020101,0.002904,0.005883,0.010667,0.030467,-0.005702,-0.005747,0.008922,0.022403,-0.005462,-0.02654,-0.032844,-0.041089,-0.005597,-0.007884,-0.009885,-0.011299,0.001204,0.012172,0.022884,0.045076,-0.021124,-0.029534,-0.034078,-0.050914,-0.015088,-0.024362,-0.044111,-0.07451,-0.004116,-0.008389,-0.02231,-0.034368,0.002134,-0.001432,-0.003259,-0.003162,0.001124,0.007678,0.008888,0.010366,0.105336,-0.992248,-0.092828,-1.051883,1,0,0,0,0,0,0,0,0,0,0
10,-0.00467,-0.007854,-0.012206,-0.012206,-0.000121,0.002911,0.015723,0.02429,0.001729,0.003851,0.018407,0.038967,-4.5e-05,0.002653,0.020727,0.040362,-0.017391,-0.02473,-0.034206,-0.03595,0.000136,-0.005019,-0.006186,-0.00564,0.003154,0.017149,0.03692,0.052295,-0.002244,-0.013904,-0.028884,-0.030749,-0.002363,-0.018,-0.051415,-0.072216,-0.001367,-0.009963,-0.024396,-0.032549,-0.000638,-0.005897,-0.006502,-0.004367,0.006349,0.007884,0.00936,0.009718,0.104043,-0.986449,-0.095885,-1.061774,1,0,0,0,0,0,0,0,0,0,0
11,-0.002379,-0.004469,-0.007626,-0.008434,0.000351,0.012049,0.022375,0.025547,0.001281,0.006131,0.026203,0.049402,0.0,0.014871,0.028537,0.041623,-0.003874,-0.010265,-0.018623,-0.019584,-0.002456,-0.004484,-0.005918,-0.006345,0.007946,0.018806,0.041303,0.062092,-0.006269,-0.010875,-0.027942,-0.039061,-0.007026,-0.027046,-0.057862,-0.081634,-0.002957,-0.017069,-0.029293,-0.032891,-0.003258,-0.005268,-0.005161,-0.003729,0.000594,0.001926,0.003552,0.00348,0.101316,-0.987462,-0.098296,-1.075213,1,0,0,0,0,0,0,0,0,0,0
12,-0.000837,-0.005288,-0.005288,-0.010793,0.002745,0.015848,0.024609,0.029307,0.000868,0.015755,0.036781,0.057777,0.00276,0.021244,0.041325,0.0499,-0.003566,-0.013258,-0.015041,-0.017228,-0.002776,-0.00397,-0.003411,-0.004078,0.006234,0.026454,0.042178,0.063592,-0.005551,-0.020872,-0.022779,-0.030749,-0.008849,-0.043023,-0.064296,-0.080771,-0.005785,-0.020546,-0.028884,-0.033886,-0.002495,-0.003203,-0.000705,-0.000309,0.001129,0.002857,0.003276,0.001789,0.098005,-0.993886,-0.099113,-1.074664,1,0,0,0,0,0,0,0,0,0,0
