,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.008458,0.124197,0.12555,0.40028,-0.011521,0.010328,0.157566,0.526632,0.161928,0.18675,-0.025801,0.160148,0.196401,0.257493,-0.54134,0.084525,0.014726,0.042396,0.047453,0.236553,-0.051887,0.282903,0.293141,1.007876,0.026923,0.019889,-0.296061,-0.485714,0.162427,0.337015,-0.814396,0.352524,-0.096222,0.004501,-0.349944,0.308116,-0.038377,0.267115,0.130066,0.481365,0.016667,0.035361,0.116145,1.820429,-0.002014,0.019019,0.02017,0.702644,0.770898,-1.503476,0.09932,-1.91016,1,0,0,0,0,0,0,0,0,0,0
1,0.07424,0.126789,0.275071,0.39875,-0.005857,0.036424,0.229536,0.412597,-0.037003,-0.084526,0.017137,0.308801,-0.108333,-0.373316,-0.072541,0.317243,-0.000271,0.03581,0.186026,0.283711,0.046818,0.385681,0.664909,0.909304,-0.014696,-0.289532,-0.132628,0.168871,-0.027766,-0.200017,0.323678,0.95699,0.083303,0.161739,0.376552,0.61947,0.044883,0.341726,0.427766,0.490038,0.001146,0.10791,0.079465,-3.199539,0.013078,0.025844,0.015952,0.125199,-0.030527,-2.101769,0.011655,-1.755747,1,0,0,0,0,0,0,0,0,0,0
2,0.042874,0.044236,0.320672,0.337334,0.027789,0.175941,0.547299,0.364926,0.061651,-0.15222,0.034884,0.27837,0.168846,-0.634947,-0.005196,0.395169,0.028111,0.033199,0.223474,0.308506,0.290464,0.300766,1.019939,0.776739,0.007489,-0.310423,-0.501253,0.224191,0.203192,-0.955368,0.218798,0.942414,0.018782,-0.337863,0.324282,0.527431,0.262903,0.125003,0.478484,0.412433,0.018446,0.102807,1.882557,-5.019964,0.009676,0.010877,0.723572,0.011688,-0.08328,-2.025161,-0.000548,-1.670837,1,0,0,0,0,0,0,0,0,0,0
3,0.009153,0.155229,0.277068,0.280024,0.014032,0.204271,0.384608,0.009759,-0.108092,-0.007942,0.279383,0.139504,-0.42886,-0.13256,0.251425,0.16383,0.007604,0.155585,0.251817,0.278421,0.045124,0.320198,0.560956,0.439811,-0.27819,-0.12362,0.173392,0.215774,-0.371644,0.144259,0.768147,0.457886,0.058601,0.270218,0.509521,0.303462,0.031123,0.115883,0.177228,0.429985,0.078454,0.052843,-2.899508,-5.911357,0.002224,-0.006683,0.091681,-0.383205,-0.485169,-2.113553,-0.44298,-2.454596,1,0,0,0,0,0,0,0,0,0,0
4,-0.007865,0.269196,0.285896,-0.013917,0.134338,0.506536,0.32375,-0.098908,-0.105355,0.082172,0.32621,-0.01363,-0.37315,0.258027,0.659298,0.430613,-0.002568,0.188137,0.273362,0.19638,-0.035178,0.685623,0.441872,-0.23892,-0.038105,-0.229367,0.497719,0.255315,-0.786417,0.390407,1.115662,0.11234,-0.416547,0.247098,0.450707,-0.244032,-0.169598,0.184684,0.118483,-0.106916,0.002521,1.810673,-5.202002,-6.563513,-0.001138,0.722931,-0.000313,-3.495742,-0.253143,-1.211021,-0.446094,-1.531701,1,0,0,0,0,0,0,0,0,0,0
5,0.155929,0.279394,0.282389,-0.341722,0.057781,0.240525,-0.139327,-0.233433,0.207357,0.498517,0.356772,-0.094719,0.675234,1.064342,0.975578,0.575498,0.152536,0.250052,0.277012,-0.147213,0.314095,0.558066,0.435304,-0.780293,0.194924,0.4959,0.538848,-0.077215,1.313059,1.945273,1.630871,0.581308,0.63303,0.875526,0.666717,0.000495,0.25632,0.318484,0.574613,-0.319144,-0.03071,-3.270144,-6.574862,-6.79442,-0.008596,0.099333,-0.421731,-3.733491,0.214424,-0.845883,-0.064397,-0.785091,1,0,0,0,0,0,0,0,0,0,0
6,0.130679,0.148583,-0.17284,-0.424438,0.337382,0.141421,-0.311701,-0.311181,-0.020176,0.241452,-0.122882,-0.063665,-0.043701,0.386493,0.141325,-0.038176,0.041718,0.133086,0.050554,-0.303731,0.437663,0.176344,-0.553519,-0.880467,-0.413002,0.366491,0.106615,0.249634,-0.139188,0.638341,-0.437298,-0.39789,0.036132,0.254417,-0.490397,-0.271834,0.106363,0.035391,-0.206254,-0.548763,2.9915,-8.423281,-10.639462,-10.646601,1.192112,0.014862,-5.674772,-5.852785,-0.308181,-1.321198,-0.085608,-1.14231,1,0,0,0,0,0,0,0,0,0,0
7,0.001062,0.004328,-0.676023,-0.459541,-0.145528,-0.559608,-0.662194,-0.504372,0.338012,0.183494,-0.308682,-0.222108,0.468826,0.372063,-0.064069,-0.006629,0.063676,0.093065,-0.369387,0.086219,-0.181251,-0.315075,-1.640211,-0.876552,0.750105,0.796923,0.125345,0.351958,0.831406,0.488674,-0.655467,-0.198877,0.227428,-0.000197,-0.726453,-0.309386,-0.040917,0.238293,-0.736001,-0.228752,-9.405122,-15.450581,-15.852227,-15.73387,-1.188979,-2.142182,-8.200524,-8.303755,0.019115,-1.441965,-0.514734,-1.392338,1,0,0,0,0,0,0,0,0,0,0
8,0.017131,-0.309374,-0.56495,-0.423052,-0.054385,-0.514672,-0.514144,-0.269206,-0.070264,-0.440359,-0.380206,-0.669828,-0.02908,-0.278124,-0.460463,-0.467327,0.02951,-0.054326,-0.414213,-0.259389,-0.085264,-0.826666,-1.158784,-0.681483,0.046113,-0.217872,-0.072591,-0.724194,-0.036706,-1.129352,-1.089321,-0.917895,-0.004358,-0.760948,-0.538929,-0.444688,-0.031418,-0.276883,-0.624808,-0.399428,-3.714023,-6.187435,-6.195402,-5.810845,-0.172884,-6.52291,-6.721585,-6.231206,0.443895,-1.69296,-0.19197,-1.455246,1,0,0,0,0,0,0,0,0,0,0
9,-0.013417,-0.666997,-0.459033,-0.01011,-0.345234,-0.443783,-0.29217,-0.117975,-0.08054,-0.553349,-0.470182,-0.44915,-0.064855,-0.483826,-0.428646,0.13007,-0.000283,-0.444539,-0.00686,0.086946,-0.046166,-1.31916,-0.58555,-0.372011,0.000416,-0.644736,-0.42704,-0.610173,-0.293777,-1.392897,-0.954273,-0.20067,-0.214458,-0.912137,-0.51148,-0.329632,0.298583,-0.637374,-0.150085,-0.251176,-1.642398,-1.945651,-1.856289,-1.687174,-0.583672,-5.157872,-5.235813,-4.683391,0.157538,-1.024161,-0.045306,-0.927776,1,0,0,0,0,0,0,0,0,0,0
