,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.008742,-0.015663,-0.016311,-0.017346,-0.00747,-0.011872,-0.016498,-0.031176,-2.5e-05,-0.039319,-0.04195,-0.038022,0.097494,0.123145,0.128794,0.115763,-0.003517,-0.007096,-0.006771,-0.007158,-0.021861,-0.030976,-0.035778,-0.054546,0.036089,0.029006,0.042923,0.154172,0.143322,0.167877,0.150879,0.125053,0.021164,0.006002,-0.021445,-0.067191,-0.014644,-0.019501,-0.019715,-0.023827,-0.046892,-0.072327,-0.07607,-0.126384,-0.002695,-0.004381,-0.004889,-0.005152,0.347882,-0.917413,0.059506,-0.924522,1,0,0,0,0,0,0,0,0,0,0
1,-0.00525,-0.007496,-0.007348,-0.010103,-0.00381,-0.008254,-0.013888,-0.027268,-0.034442,-0.043663,-0.039381,-0.007832,0.022266,0.035459,0.02306,-0.019039,-0.003363,-0.003463,-0.00319,-0.005982,-0.008564,-0.014782,-0.014161,-0.03917,-0.003934,-0.006727,0.049434,0.11663,0.022663,0.021335,-0.000546,-0.081133,-0.01309,-0.02897,-0.057344,-0.105076,-0.004835,-0.006699,-0.000453,-0.012072,-0.023965,-0.023852,-0.0496,-0.064242,-0.000885,-0.001956,-0.002146,-0.001921,0.3507,-0.855862,0.055398,-0.921536,1,0,0,0,0,0,0,0,0,0,0
2,-0.001636,-0.00228,-0.003309,-0.006978,-0.00057,-0.005168,-0.019755,-0.02584,-0.00466,-0.007275,-0.003371,-0.016384,0.003259,0.008874,-0.004077,-0.035495,-0.000198,0.000124,-0.00026,-0.005342,-0.000508,-0.00528,-0.023932,-0.051222,-0.003111,0.01072,0.121283,0.107377,0.001772,-0.01512,-0.040787,-0.097041,-0.001998,-0.029275,-0.074739,-0.098777,1e-06,-0.000212,-0.004299,-0.025429,-0.000633,-0.004218,-0.052399,-0.048645,-0.000739,-0.001226,-0.001477,-0.00044,0.372984,-0.864308,0.056354,-0.905028,1,0,0,0,0,0,0,0,0,0,0
3,-0.000609,-0.00046,-0.003218,-0.007169,-0.003877,-0.009518,-0.022912,-0.026975,-0.00456,-0.000273,0.031311,0.035524,0.00994,-0.002473,-0.044619,-0.10544,9.9e-05,0.000373,-0.002423,-0.008052,-0.005716,-0.005094,-0.030131,-0.044867,0.000323,0.056547,0.123817,0.096481,-0.003106,-0.025012,-0.105688,-0.098482,-0.013894,-0.0423,-0.090085,-0.015717,-0.001866,0.004386,-0.007245,-0.017838,0.000758,-0.025191,-0.039947,-0.02988,-0.000327,-0.000519,-0.000292,0.000613,0.380558,-0.925624,0.054043,-0.88982,1,0,0,0,0,0,0,0,0,0,0
4,-3.7e-05,-0.001074,-0.00477,-0.007067,-0.000737,-0.015433,-0.021563,-0.029317,0.001948,0.005881,-0.007229,0.038894,-0.004333,-0.01738,-0.049032,-0.126121,0.000225,-0.000162,-0.005282,-0.008515,0.000936,-0.017855,-0.045349,-0.037495,0.01361,0.124997,0.110988,0.090024,-0.013897,-0.039755,-0.096429,-0.09176,-0.013519,-0.059322,-0.083539,0.013343,0.001661,-0.002456,-0.023744,-0.008111,-0.004561,-0.055316,-0.051361,-0.031294,-0.000174,-0.000439,0.000653,0.000741,0.386737,-0.948016,0.052496,-0.891839,1,0,0,0,0,0,0,0,0,0,0
5,0.000188,-0.002589,-0.006567,-0.009994,-0.004941,-0.018424,-0.022514,-0.028518,0.002364,0.034159,0.038399,0.039488,-0.008155,-0.050582,-0.111808,-0.114785,5e-05,-0.002764,-0.00843,-0.008706,-0.000313,-0.025516,-0.040351,-0.036523,0.042965,0.110683,0.083165,0.074072,-0.00813,-0.089344,-0.082089,-0.090983,-0.015052,-0.063156,0.011708,0.00937,0.00463,-0.007079,-0.017742,-0.008048,-0.022566,-0.038024,-0.027478,-0.018464,-2.4e-05,0.000213,0.001162,-0.000592,0.386403,-0.93459,0.046829,-0.903672,1,0,0,0,0,0,0,0,0,0,0
6,-0.001225,-0.004926,-0.007227,-0.01104,-0.009777,-0.015916,-0.02368,-0.023293,0.001575,-0.011553,0.034633,0.041222,-0.004914,-0.036608,-0.113801,-0.101798,-0.000438,-0.005564,-0.008802,-0.008664,-0.018504,-0.046036,-0.038171,-0.034783,0.068591,0.054562,0.03357,0.069778,-0.017767,-0.074517,-0.069841,-0.118565,-0.030819,-0.055068,0.041945,-0.024891,-0.008751,-0.030068,-0.014413,-0.01157,-0.028735,-0.024743,-0.004485,-0.007057,-0.000243,0.000859,0.000948,-0.001061,0.346791,-0.90853,0.042851,-0.909093,1,0,0,0,0,0,0,0,0,0,0
7,-0.001563,-0.005571,-0.009025,-0.010285,-0.003731,-0.007853,-0.013903,-0.013285,0.030452,0.034725,0.035822,0.040851,-0.037801,-0.099499,-0.102499,-0.094937,-0.002395,-0.008105,-0.008382,-0.008231,-0.006743,-0.021692,-0.017835,-0.015529,-0.000908,-0.028637,-0.037801,0.045275,-0.06393,-0.056619,-0.065581,-0.099714,-0.017406,0.058036,0.05568,-0.005595,-0.002978,-0.013723,-0.003954,-0.002316,0.014097,0.025227,0.034739,0.005432,0.000508,0.001509,-0.000341,-0.001115,0.307235,-0.902043,0.034792,-0.911809,1,0,0,0,0,0,0,0,0,0,0
8,-0.002177,-0.004506,-0.008366,-0.009986,-0.002468,-0.010328,-0.009935,0.014922,-0.043868,0.002886,0.009556,0.009847,0.005873,-0.072269,-0.060119,-0.021858,-0.002784,-0.006062,-0.005923,-0.005354,-0.021098,-0.013138,-0.009708,0.040678,-0.013289,-0.03454,0.002114,0.071788,0.006746,0.011479,-0.037843,0.010707,-0.00707,0.091135,0.023478,0.018237,-0.018589,-0.002742,0.000136,0.02558,-0.010162,0.011905,0.009103,-0.02047,0.000678,0.000775,-0.001414,-0.003229,0.276257,-0.935367,0.023901,-0.953891,1,0,0,0,0,0,0,0,0,0,0
9,-0.00186,-0.005351,-0.006625,-0.011505,-0.001682,-0.007798,-0.007173,0.025062,0.04848,0.049588,0.054672,0.070063,-0.06828,-0.071312,-0.063667,-0.020004,-0.002969,-0.003249,-0.003096,-0.002459,0.006128,0.010027,0.012359,0.069133,-0.014652,-0.023915,0.060062,0.098922,0.000599,-0.00846,-0.042963,0.023456,0.083377,0.080996,0.019056,0.037307,0.007851,0.017726,0.019381,0.043757,0.022649,0.032907,0.001301,-0.010329,0.000369,-0.001627,-0.002461,-0.006811,0.258153,-0.93177,0.015843,-0.941431,1,0,0,0,0,0,0,0,0,0,0
