,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.004132,0.099172,-0.022892,0.274624,-0.175369,-0.151898,-0.164956,-0.255368,-0.086858,-0.042479,-0.072148,0.115287,0.003884,0.049669,0.061652,-0.074544,-0.031735,0.053305,-0.142064,0.436109,-0.167518,-0.094131,-0.096858,-0.108841,-0.15851,-0.077189,-0.16884,-0.051074,-0.016281,0.032727,-0.158758,-0.128593,0.022435,0.016589,0.22423,0.074979,0.022771,0.004148,0.066117,-0.218042,-0.142928,-0.030359,-0.220032,-1.873688,-0.014083,-0.02817,-0.061066,0.003525,0.226606,0.340995,-0.277938,0.141227,1,0,0,0,0,0,0,0,0,0,0
1,0.027762,-0.08346,0.13005,-0.004466,-0.043788,0.034855,0.063493,0.000438,-0.037483,0.013312,0.139071,0.080833,0.080132,0.04046,0.061478,-0.027324,0.069886,-0.135305,0.177692,-0.039672,0.027061,0.082497,0.074264,0.086875,-0.000963,-0.014275,0.000263,0.093181,0.030389,-0.132415,-0.128999,-0.211058,0.047019,0.174928,0.214803,0.182014,-0.074457,0.019297,-0.043952,-0.011736,0.164969,-0.220113,-2.515706,-1.233006,-0.016913,-0.032884,0.026283,0.020272,0.123335,0.35355,0.129818,0.063413,1,0,0,0,0,0,0,0,0,0,0
2,0.072833,-0.056308,0.258456,-0.032176,0.068549,0.054734,-0.040919,0.049226,0.084374,0.052985,0.251287,0.054384,-0.031564,-0.018886,-0.162978,-0.082626,0.020197,-0.186498,0.425194,-0.055608,0.050625,0.047739,0.035061,0.04634,0.086997,-0.009968,0.114627,0.026143,0.021509,-0.181077,-0.149163,-0.099151,-0.053128,0.16655,0.008647,0.018131,0.054635,0.120196,-0.180437,0.021797,0.003897,-0.277508,-2.730923,-1.511435,-0.004177,-0.052983,0.042846,0.05693,0.170385,0.229507,0.072394,0.105144,1,0,0,0,0,0,0,0,0,0,0
3,-0.180785,0.028798,-0.103244,-0.103416,0.0098,0.037911,-0.023984,-0.019342,-0.033097,0.090349,0.033183,-0.036105,-0.007909,0.012723,-0.074446,-0.058456,-0.221274,0.085965,-0.1274,-0.048055,0.004642,-0.003439,0.00894,0.000516,-0.098602,-0.084332,0.006877,-0.053814,-0.180957,-0.177604,-0.258153,-0.187834,0.177792,0.216934,0.184748,0.130011,0.038313,-0.023773,0.007851,-0.057962,-0.341617,-2.357466,-1.231077,-1.223826,-0.010315,0.041642,0.036364,0.056616,0.20141,0.343654,0.10053,0.17235,1,0,0,0,0,0,0,0,0,0,0
4,0.054216,0.366002,0.07812,-0.030919,-0.023557,-0.118305,-0.029013,0.057074,0.002252,0.198677,0.003638,0.079246,0.020526,-0.122203,-0.042611,-0.078466,0.018188,0.624092,0.147839,-0.038887,-0.007535,-0.020093,-0.008921,-0.036115,0.003291,0.126706,0.03906,0.079852,-0.018361,0.013251,0.06279,-0.105055,0.03848,-0.117929,-0.108535,0.026317,0.026341,-0.271447,-0.071127,0.055954,0.096595,-2.19886,-1.057887,-1.482695,-0.034797,0.054862,0.06804,0.100862,0.158653,0.35298,0.206433,0.188074,1,0,0,0,0,0,0,0,0,0,0
5,0.157916,0.024054,0.023879,0.25997,0.052203,-0.010545,-0.005839,-0.083664,0.122882,0.064927,-0.005316,0.057171,0.000261,-0.088109,-0.071899,-0.075908,0.293174,0.076867,0.157306,0.388691,-0.00061,0.01194,0.003399,-0.02876,0.011155,0.103622,0.042094,0.077041,0.021875,-0.059785,0.011504,-0.038956,0.00096,-0.03167,-0.087161,-0.038821,-0.089449,-0.057388,-0.124109,-0.1399,-2.319548,-1.079851,-1.071871,-1.354707,0.093537,0.087728,0.110017,0.075325,0.192623,0.291636,-0.087042,-0.020784,1,0,0,0,0,0,0,0,0,0,0
6,0.154698,-0.132895,-0.241824,-0.147344,-0.146478,-0.057276,0.028725,-0.009171,0.074234,-0.120609,-0.045077,-0.063333,-0.142845,-0.063333,-0.099152,-0.076051,0.314241,-0.161533,-0.34807,-0.228672,-0.01194,-0.000779,-0.027946,0.00969,0.112217,0.024658,0.065409,0.128396,0.009863,0.059353,-0.108323,-0.01393,-0.157205,-0.14782,-0.013103,-0.089102,-0.208687,-0.008568,0.118385,0.05581,-0.074702,1.058258,0.636433,1.618681,0.000127,0.013212,0.045803,0.00225,0.119016,0.321609,0.151964,0.225496,1,0,0,0,0,0,0,0,0,0,0
7,-0.288708,-0.288882,-0.05359,-0.340908,0.084511,0.089201,0.011639,0.196467,-0.132281,-0.202287,-0.140011,-0.126635,0.055327,0.071482,0.067487,0.005472,-0.531035,-0.450868,-0.220266,-0.554052,0.024493,0.015981,-0.016068,0.09502,-0.020498,-0.081818,-0.046989,-0.061233,-0.091285,-0.020237,-0.070527,-0.023885,0.125295,0.069991,0.118168,0.013826,0.241448,0.174953,0.159215,0.233363,1.287397,1.29519,1.018982,1.006527,-0.005803,0.015964,-0.017915,0.003416,0.188795,0.317674,0.158191,0.154476,1,0,0,0,0,0,0,0,0,0,0
8,0.0,-0.104636,-0.013879,0.028424,0.00482,0.087432,0.05103,0.104469,-0.060587,0.011968,-0.005568,0.045627,0.023437,-0.010971,0.01122,-0.061501,0.051113,-0.128073,-0.013381,0.064493,-0.012716,-0.038812,-0.00266,0.049949,-0.064493,-0.025349,0.035156,-0.042968,0.134888,-0.02618,0.064493,0.064493,-0.110877,0.018531,-0.054473,-0.111082,-0.038804,0.083145,0.023036,-0.006842,-0.090576,-0.408915,0.332359,-0.418228,0.014137,0.038733,0.005864,0.014461,0.19685,0.362152,0.088687,0.172062,1,0,0,0,0,0,0,0,0,0,0
9,-0.000172,0.233299,-0.051796,0.126087,-0.000345,-0.077307,0.106092,0.061449,-0.006636,0.055157,0.06843,0.184347,-0.008274,-0.012238,-0.073773,-0.139876,0.026545,0.255362,-0.075842,0.098422,0.00474,-0.027062,0.083167,-0.049728,0.006033,0.040592,0.026458,0.033008,-0.069378,-0.119278,-0.072998,-0.100835,0.060102,0.107906,0.004371,-0.003234,-0.025741,-0.041358,0.032217,0.086951,0.124172,-0.137419,-0.149214,-0.796569,0.002386,-0.0297,-0.009498,0.04284,0.224164,0.382486,0.035253,0.272854,1,0,0,0,0,0,0,0,0,0,0
