,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.117277,-0.09027,0.395378,-0.247246,-0.008372,-0.101478,-0.360877,-0.416984,0.004524,0.227869,0.668889,0.720539,0.002498,-0.235566,-0.220442,-0.147862,-0.153061,0.001958,0.907223,-0.134088,0.067382,-0.014651,-0.346834,-0.614133,-0.001755,0.335356,1.142249,1.190118,-0.01195,-0.264058,-0.284718,-0.214838,0.001294,-0.110157,0.005006,0.00102,0.077967,0.008435,-0.034018,-0.198894,0.001405,0.000909,0.0001,-0.00629,-0.04233,-0.164776,-0.608622,-0.637154,-0.635905,-0.066981,0.371976,0.079681,1,0,0,0,0,0,0,0,0,0,0
1,0.024752,0.377579,0.622434,-0.127787,0.001364,-0.493607,-0.393301,-0.350488,0.106608,0.427602,0.754313,0.570201,-0.202562,-0.191583,-0.226339,-0.232316,0.071657,0.79823,1.191011,0.062497,-0.019814,-0.437932,-0.672587,-0.611974,0.172938,0.726833,1.275985,0.934982,-0.215815,-0.237189,-0.585858,-0.223481,-0.067183,-0.156225,0.181729,-0.074255,-0.047632,-0.056219,-0.181269,-0.310191,-0.000265,-0.000666,-0.108064,-0.003329,-0.025153,-0.34155,-0.483441,-0.454383,-0.45136,-0.046637,0.278988,0.131379,1,0,0,0,0,0,0,0,0,0,0
2,0.001301,0.493837,-0.157902,0.602643,-0.095864,-0.358942,-0.415845,-0.370378,0.114147,0.561421,0.613804,0.766776,-0.027938,-0.012599,0.061011,-0.031978,0.08169,0.999794,-0.056286,1.249246,-0.062312,-0.399205,-0.670295,-0.75041,0.159614,0.97795,1.026499,1.28677,-0.028211,-0.049165,0.021706,-0.337099,-0.04222,0.074577,0.070534,0.254946,-0.020313,-0.063368,-0.230582,-0.039516,-0.000164,-0.001058,-0.00811,-0.09133,-0.098782,-0.588612,-0.620099,-0.710291,-0.827423,0.303982,-0.79222,0.231152,1,0,0,0,0,0,0,0,0,0,0
3,0.367019,0.622617,-0.16052,0.59149,-0.421747,-0.317039,-0.272348,-0.215993,0.222029,0.563075,0.370885,0.670902,0.03913,0.002848,-0.003391,-0.002509,0.677548,1.087563,-0.090466,1.049315,-0.37475,-0.619701,-0.556429,-0.540492,0.420119,0.993366,0.637401,1.037447,0.005629,-0.358339,0.019938,-0.341927,-0.051135,0.301648,0.034432,0.242002,0.011154,-0.119383,-0.253961,-0.128492,-0.000388,-0.145445,-0.003986,-0.192,-0.335021,-0.526666,-0.487419,-0.545034,-0.678994,0.334738,-0.662292,0.232307,1,0,0,0,0,0,0,0,0,0,0
4,0.120629,-0.524036,0.228254,0.227035,0.160997,0.104712,0.149686,0.254669,0.220668,0.272483,0.423794,0.436528,-0.023909,0.048902,-0.043077,-0.289212,0.231438,-0.813181,0.478182,0.440592,0.041045,-0.227103,-0.306348,-0.264897,0.389861,0.437882,0.695329,0.611071,-0.026347,0.043754,-0.311157,-0.717409,0.166601,0.162602,0.345012,0.395369,-0.053728,-0.219127,-0.030135,-0.046815,-0.000443,-0.006977,-0.084077,-0.290643,-0.121703,-0.150875,-0.234434,-0.248462,-0.696483,0.616108,-0.734162,0.351245,1,0,0,0,0,0,0,0,0,0,0
5,0.129319,-0.621876,0.099461,0.085996,-0.054186,-0.011319,0.042738,0.117285,0.115203,-0.069148,0.218632,0.122879,-0.011839,-0.017824,-0.016978,-0.214925,0.171016,-0.958964,0.134328,0.045405,-0.27438,-0.213689,-0.198402,-0.203866,0.175439,-0.166007,0.217722,0.018214,-0.323818,0.03903,-0.308076,-0.433037,0.178389,-0.077928,0.121176,-0.000146,-0.073611,-0.202701,-0.082349,-0.14592,-0.108045,-0.002354,-0.142828,-0.212703,-0.051459,-0.022135,-0.065182,-0.094605,-0.516268,0.498332,-0.580236,0.250994,1,0,0,0,0,0,0,0,0,0,0
6,-0.750077,-0.026011,-0.027184,-0.086116,0.00013,0.043417,0.144461,0.107629,-0.065581,0.080053,0.092309,0.034811,0.081944,-0.006584,-0.243485,-0.120993,-1.176811,0.066103,0.029922,-0.15789,0.016884,-0.059388,-0.019492,0.086898,-0.129598,0.11819,0.037093,-0.11819,0.391988,0.050392,-0.340618,-0.019166,-0.182622,-0.007056,0.041413,-0.178086,-0.085423,0.096478,0.080423,-0.073545,0.104687,0.045693,-0.11236,-0.105094,0.029919,-0.034016,-0.04475,-0.041845,-0.537191,0.43825,-0.549636,0.21921,1,0,0,0,0,0,0,0,0,0,0
7,-0.002708,0.712169,0.698825,0.653826,0.042355,0.095927,0.169807,0.15846,-0.117846,0.167357,0.072461,0.143117,-0.086966,-0.086128,-0.282302,-0.295518,0.043902,1.127403,1.039276,1.10716,0.043451,0.058601,0.053185,0.016375,-0.210228,0.170065,-0.027656,0.151562,-0.028043,-0.37204,-0.495882,-0.703402,-0.073424,0.123897,0.003662,0.225853,-0.043457,0.075817,0.012815,0.127826,0.002413,-0.129487,-0.195098,-0.211857,-0.000139,-0.040559,-0.068186,-0.074363,-0.677726,0.683334,-0.652888,0.274135,1,0,0,0,0,0,0,0,0,0,0
8,0.715209,0.714054,0.656062,0.675307,0.000449,0.099882,0.063637,0.203997,0.260577,0.272638,0.216057,0.269045,-0.000577,-0.233699,-0.113161,-0.188986,1.179398,1.143795,0.958979,1.053023,-0.118293,-0.079033,0.02566,-0.04715,0.453027,0.373225,0.220419,0.310743,-0.308241,-0.693013,-0.376689,-0.648942,0.245828,0.293523,0.077526,0.265867,0.222243,0.206444,0.054931,0.19742,-0.055044,-0.196269,-0.189777,-0.288777,-0.056994,-0.066585,-0.063989,-0.104872,-0.637305,0.661559,-0.657411,0.396429,1,0,0,0,0,0,0,0,0,0,0
9,-0.003635,-0.016178,-0.05847,0.080403,0.049927,0.119363,0.108699,0.433524,0.021934,-0.067255,-0.000848,0.034839,0.001333,-0.183044,-0.195465,-0.202796,-0.095612,-0.178439,-0.114637,-0.022661,0.125967,0.120878,0.086281,0.097066,-0.070467,-0.256297,-0.087856,-0.134814,-0.032174,-0.148568,-0.343608,-0.366451,-0.046733,-0.159737,0.049092,0.026605,-0.09781,-0.157023,-0.048928,0.125842,-0.048537,-0.091041,-0.101898,-0.19035,0.012034,-0.005863,-0.009865,-0.15392,-0.589731,0.711647,-0.67784,0.559952,1,0,0,0,0,0,0,0,0,0,0
