,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,3.488689,3.456143,2.190244,2.051237,1.190376,1.093036,1.525672,0.898296,3.383004,3.175031,1.931127,2.155671,1.3388,1.409376,1.006365,1.280205,3.653208,3.514559,2.311666,2.192211,1.505405,1.446512,1.885229,1.241877,3.609336,3.399992,1.981853,2.282696,1.093512,1.211775,1.068417,1.48031,0.206363,0.161524,-0.071175,-0.001343,-0.343051,-0.34511,-0.379504,-0.368883,0.020742,0.020971,0.008053,0.008366,0.067252,0.06461,0.067526,0.06739,-0.01194,-0.71526,0.047889,-0.380547,1,0,0,0,0,0,0,0,0,0,0
1,0.002233,-0.042122,-1.805229,-2.081215,-0.104804,-0.145771,-1.110952,-0.83358,-0.184966,-0.39365,-1.371999,-1.475648,0.081625,0.254425,-0.440315,0.100261,-0.041352,-0.188123,-1.736387,-2.066508,-0.083781,-0.182271,-0.793306,-0.190819,-0.235404,-0.429919,-1.402801,-1.615027,0.123516,0.287999,-0.034498,0.669867,-0.055295,-0.043382,-0.316329,-0.275187,-0.015164,0.075405,-0.169593,0.132204,-0.04824,-0.041578,-0.07587,-0.074169,-0.005177,-0.006215,0.004937,-0.285815,0.002855,-0.782786,0.104756,-0.736446,1,0,0,0,0,0,0,0,0,0,0
2,-0.046186,-1.752007,-1.939321,-2.157639,-0.021848,0.561137,-0.284263,-0.393262,-0.087311,-1.763494,-1.460917,-1.426779,0.00996,-0.533104,-0.1641,-0.123376,-0.143698,-1.764618,-1.925586,-1.84703,0.008032,0.59921,-0.267717,-0.100725,-0.036547,-1.947514,-1.542123,-1.465415,0.030523,-0.162654,0.392378,0.404507,-0.002744,-0.316309,-0.22221,-0.238149,0.013044,-0.033303,-0.018991,0.00866,0.066657,-0.037558,-0.035038,-0.035687,-0.014359,0.009165,0.008068,-0.606565,-0.129023,-0.832903,-0.02741,-0.639369,1,0,0,0,0,0,0,0,0,0,0
3,-8.4e-05,-1.929259,-2.23124,-2.168384,-0.021907,-1.077999,-0.774501,-0.296083,-0.136751,-1.207251,-1.320662,-1.68946,0.178627,-0.58155,0.009942,-0.204242,-0.009858,-1.703953,-2.065168,-1.786947,-0.116192,-0.784781,-0.125545,0.42761,-0.174499,-1.239016,-1.471232,-1.750716,0.147957,-0.204916,0.565794,0.526698,0.015914,-0.282742,-0.237725,-0.048691,0.085416,-0.182658,0.147565,0.268836,-0.080654,-0.145047,-0.141854,-0.136342,0.018119,0.039061,-0.506913,-0.23461,0.006596,-0.91398,-0.016733,-0.976675,1,0,0,0,0,0,0,0,0,0,0
4,-1.672114,-1.855735,-2.069749,-1.309518,0.591964,-0.23677,-0.34362,-2.021167,-1.515344,-1.218732,-1.185267,-0.825978,-0.699286,-0.337557,-0.297636,-2.43392,-1.579753,-1.737547,-1.66054,-1.228732,0.688105,-0.161731,0.001968,-2.284236,-1.710224,-1.312825,-1.237629,-1.031725,-0.327635,0.216455,0.228345,-2.484156,-0.322255,-0.230011,-0.245636,0.041937,-0.125255,-0.111225,-0.084119,0.228583,-0.040458,-0.038266,-0.03883,-1.406099,0.009186,0.008233,-0.526437,-8.72689,0.498838,0.959427,0.518019,1.347884,1,0,0,0,0,0,0,0,0,0,0
5,-0.122742,-0.387748,-0.332588,0.40786,-1.48267,-1.216334,-0.796495,-2.566427,0.483576,0.384051,0.06041,0.807586,-0.010426,0.508642,0.320683,-1.844908,-0.003179,-0.320166,-0.076012,0.42568,-1.232896,-0.65438,-0.168956,-2.853171,0.67183,0.468048,0.222785,0.878274,-0.001996,0.674344,0.640035,-2.232804,0.04053,0.080035,0.245923,0.325241,-0.117628,0.172162,0.278583,0.278683,0.000245,0.001525,0.003734,-0.775333,0.002478,-0.216346,-0.107208,-5.539496,0.315889,0.802133,0.460501,0.904694,1,0,0,0,0,0,0,0,0,0,0
6,-0.040361,-0.203609,0.376286,-0.180425,0.572207,0.490703,-0.788909,0.080723,-0.166551,-0.141025,0.133036,-1.117566,0.284392,0.314843,-1.314688,-0.20511,-0.117781,-0.059041,0.270337,0.059581,0.353222,0.47809,-1.265798,-0.429621,-0.242589,-0.18523,-0.028169,-1.283937,0.416647,0.425717,-1.643345,-0.22415,0.037441,0.025522,0.244879,-0.01707,0.10625,0.126926,0.365451,0.476072,0.000272,0.000187,-0.20525,-0.188722,-0.000722,-0.081058,-1.313206,-0.669925,0.371579,0.16234,-0.771187,0.916669,1,0,0,0,0,0,0,0,0,0,0
7,-0.186936,-0.139046,0.503802,-0.594188,-0.380355,-0.015856,-1.552489,-0.631357,0.091606,-0.189375,0.459314,-0.534166,0.146685,-0.016498,-1.896638,-0.863229,-0.149317,0.062654,0.498217,-0.373229,0.124731,0.54617,-1.784233,-0.82805,0.082362,-0.130572,0.438515,-0.315903,0.141871,0.112084,-2.38208,-1.330439,-0.00572,0.138302,0.207165,0.265278,0.13803,0.230424,0.23051,0.237368,4.2e-05,0.000863,-0.288785,-0.261517,-0.080207,-0.03963,-2.059293,-1.218155,-0.40119,0.832492,-0.218971,0.856167,1,0,0,0,0,0,0,0,0,0,0
8,0.01154,0.585885,0.034502,-0.477619,0.271736,-0.99563,-0.134321,-0.222005,-0.059606,0.211832,-1.026801,-0.6236,-0.105767,-1.719703,-0.620744,-0.949052,0.196544,0.52277,0.314031,-0.343536,0.00809,-1.719108,-0.890933,-0.774756,-0.019512,0.136046,-1.107703,-0.466971,-0.122483,-2.171743,-0.76613,-1.365995,-0.006505,0.210753,-0.048689,0.212156,-0.107428,0.128814,0.238376,-0.011056,-0.000104,-0.192167,-0.176715,-0.174396,-0.028046,-1.179981,-0.578578,-0.662128,-0.284581,0.827391,-0.097565,0.664514,1,0,0,0,0,0,0,0,0,0,0
9,0.038208,0.73136,-0.452549,-0.786319,0.076832,-1.580045,-0.586832,-0.608913,-0.233612,0.465839,-0.605383,-0.802932,-0.052883,-2.080147,-0.965871,-0.736205,-0.000138,0.469507,-0.47013,-0.782028,0.445004,-2.067757,-1.036751,-0.871042,-0.206893,0.406726,-0.406726,-0.736482,0.110403,-2.578933,-1.445,-1.279845,0.16286,0.237112,0.299772,0.299641,0.224626,0.22472,0.232114,0.090786,0.001692,-0.489115,-0.44291,-0.627273,0.149755,-3.272554,-1.84725,-1.793765,-0.056067,0.765372,0.028887,0.538413,1,0,0,0,0,0,0,0,0,0,0
