,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.016662,-0.181751,-0.071546,-0.186562,0.150862,0.120905,-0.029505,0.192524,-0.041342,-0.067231,0.02586,0.016414,-0.014869,-0.018499,-0.088018,0.089884,-0.006356,-0.081211,-0.020671,-0.144273,0.287102,0.687733,-0.011764,0.696567,-0.080934,-0.09452,0.026866,-0.022726,-0.118339,-0.050977,-0.462294,0.113325,-0.077785,-0.021661,-0.133473,0.034576,-0.108594,0.079226,-0.039074,0.030342,0.001165,-0.000822,0.004224,0.002891,-0.000803,-0.027357,-0.022559,-0.028712,0.192577,-0.698161,0.087073,-0.748948,1,0,0,0,0,0,0,0,0,0,0
1,-0.112787,-0.008198,-0.049622,-0.133204,0.063093,-0.082501,-0.203242,0.004322,-0.002075,0.004078,0.062186,0.053699,-0.01072,-0.022131,-0.067704,0.093797,-0.233701,0.009005,-0.018313,-0.09884,0.322715,0.069664,-0.229681,0.240242,-0.08168,-0.033773,0.083611,0.05076,0.025603,0.063151,-0.198948,0.229465,0.079322,0.092062,-0.097936,0.121819,0.146857,-0.027522,-0.005139,0.020103,0.000521,-0.000789,0.002763,0.001559,-0.003774,-0.021129,-0.020319,-0.024918,0.179597,-0.684461,0.050647,-0.611445,1,0,0,0,0,0,0,0,0,0,0
2,-0.048871,0.056781,-0.053483,0.001747,-0.089916,-0.234112,-0.021256,-0.033582,-0.022807,0.066438,0.057382,0.049724,0.006918,-0.05973,0.110823,0.129102,0.154914,0.212953,0.094458,0.128949,0.071064,-0.599534,0.079533,-0.054852,0.0662,0.182571,0.135028,0.121318,0.039745,-0.354577,0.197259,0.252629,-0.023133,-0.130325,0.030781,0.067634,0.037617,-0.075796,-0.009247,-0.108156,-0.001899,0.001856,0.000865,0.000376,-0.016716,-0.013144,-0.017724,-0.01701,0.186382,-0.715616,0.056455,-0.63663,1,0,0,0,0,0,0,0,0,0,0
3,0.160519,0.117614,0.031041,0.054427,-0.054785,-0.179845,0.035145,-0.061799,0.030728,0.090915,0.082125,0.103511,-0.019207,-0.06641,0.100869,0.076947,0.08596,0.057665,-0.025743,-0.01752,-0.337992,-0.648046,-0.16131,-0.620706,-0.021072,0.100511,0.066485,0.130329,-0.003552,-0.275029,0.168712,-0.172279,0.037899,-0.158897,0.06872,-0.176965,-0.220789,-0.197605,-0.171459,-0.115023,0.001332,0.005875,0.004335,0.006731,0.004273,0.005309,-0.000572,0.004302,0.157259,-0.41049,0.04696,-0.268773,1,0,0,0,0,0,0,0,0,0,0
4,-0.037037,-0.128472,-0.082674,-0.102085,-0.07703,0.099477,0.089256,0.121635,0.050144,0.042635,0.036284,0.055556,-0.040352,0.101077,0.116235,0.129747,-0.018623,-0.116884,-0.088283,-0.114496,-0.293623,0.269484,0.158047,0.25312,0.112862,0.073438,0.062069,0.106037,-0.324229,0.133374,0.179289,0.224485,-0.118318,0.015277,0.045837,0.069195,0.077403,0.132588,0.050569,0.10693,0.000786,0.000518,0.000387,5.3e-05,0.000235,-0.000999,-0.000807,-0.002218,0.1696,-0.766934,0.141878,-0.718479,1,0,0,0,0,0,0,0,0,0,0
5,0.003679,-0.062814,-0.044852,-0.183134,-0.019864,0.145262,0.070803,0.174182,-0.00337,-0.010121,0.006304,-0.04076,0.003656,0.132138,0.113764,0.119587,-0.003313,-0.067376,-0.06106,-0.338793,0.05228,0.426125,0.073279,0.491712,-0.018248,-0.044382,0.004654,-0.168841,0.112182,0.453004,0.1911,0.374464,-0.034124,0.1407,-0.048002,0.139686,-0.058753,-0.038671,0.004675,0.094972,-1.1e-05,-0.000254,0.000124,0.00341,-5.5e-05,-0.000982,-0.000214,-0.000705,0.364291,-0.64541,0.416567,-0.72741,1,0,0,0,0,0,0,0,0,0,0
6,-0.094187,-0.048854,-0.068068,-0.134862,0.194591,0.184474,0.216523,0.235656,-0.004061,-0.010347,0.008729,-0.046847,0.136331,0.151334,0.164709,0.128072,-0.093946,-0.065636,-0.091583,-0.205029,0.50506,0.394756,0.488863,0.519089,-0.020762,-0.032015,0.011505,-0.120191,0.340683,0.38613,0.430867,0.346005,0.166386,0.196634,0.219754,0.203769,0.113419,0.032234,0.088022,0.12277,-0.000238,-0.00036,-0.000671,0.001781,-0.001095,-0.000915,-0.002229,-0.002292,0.315179,-0.743991,0.31215,-0.785962,1,0,0,0,0,0,0,0,0,0,0
7,0.027692,0.045697,-0.092922,-0.027703,-0.029392,-0.104033,-0.000402,0.032219,-0.0027,0.013765,-0.033414,-0.061507,-0.007767,-0.026186,-0.020349,-0.011134,0.029886,0.036217,-0.242192,-0.083799,-0.131162,-0.484867,-0.065414,-0.022441,-0.0054,0.043755,-0.130162,-0.145846,0.000391,-0.262151,-0.078341,-0.034046,0.008582,-0.180579,0.007566,0.02402,-0.093481,-0.050029,0.040488,-0.021267,-7e-06,0.000378,0.003721,0.003161,0.000164,0.000946,0.000446,-0.001153,0.383078,-0.684894,0.311308,-0.771199,1,0,0,0,0,0,0,0,0,0,0
8,0.017456,-0.001506,-0.067424,-0.032365,0.018973,0.050602,0.069484,0.060768,-0.003543,0.015282,-0.039565,-0.02075,0.02246,0.035659,-0.000498,0.021588,-0.001506,-0.027112,-0.13907,-0.047579,0.020365,0.113237,0.143066,0.087789,-0.005785,0.037165,-0.092804,-0.018735,0.044466,0.088616,0.004868,0.06216,0.021397,0.044213,0.028438,0.037595,0.011979,0.067035,0.101326,0.030988,-0.000106,-0.000389,0.001846,0.000124,1.5e-05,-0.001182,-0.00124,-0.001284,0.232633,-0.749611,0.229753,-0.699562,1,0,0,0,0,0,0,0,0,0,0
9,0.000285,-0.137138,-0.072482,-0.083759,-0.093089,0.009648,0.041988,-0.067572,0.019889,-0.026883,-0.054735,0.074897,-0.04086,-0.035073,-0.025938,-0.052285,0.007792,-0.268217,-0.111189,-0.049654,-0.371147,0.044688,0.087291,-0.255071,0.054552,-0.117864,-0.133413,0.081082,-0.305021,-0.122797,-0.078884,-0.127171,-0.209061,-0.022538,-0.006226,-0.071528,0.031024,0.12076,0.059538,-0.059558,0.000472,0.003618,0.003092,0.000698,0.00072,0.000249,-0.001256,-0.001199,0.173409,-0.589996,0.135619,-0.3395,1,0,0,0,0,0,0,0,0,0,0
