,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.000995,-0.002972,-0.003639,-0.00502,-0.005862,-0.007067,-0.007734,-0.002364,-0.004891,-0.018476,-0.025461,-0.030703,-0.030235,-0.027567,0.00268,0.0044,0.005336,0.00784,0.007547,0.022945,0.030727,-0.017072,-0.019622,-0.036273,-0.056679,-0.056445,-0.054199,-0.022243,-1.2e-05,-1.2e-05,-3.5e-05,-8.2e-05,-0.00014,-0.000784,-0.000784,-0.004201,-0.007957,-0.020851,-0.0313,-0.038917,-0.04224,-0.042615,0.000667,0.000878,0.001884,-0.006365,-0.006705,0.02566,0.027088,-0.022665,-0.031124,-0.036928,-0.081555,-0.075798,-0.090261,-0.0873,-0.004727,-0.009883,0.000414,-0.019038,-0.013827,-0.035161,-0.060394,-0.001675,-0.002595,-0.001815,-0.005031,-0.007252,-0.010904,-0.013796,0.001494,0.002775,0.001397,0.008326,0.007674,0.004228,0.008125,-0.000391,-0.001055,-0.001219,-0.001787,-0.002128,-0.002462,-0.002781,0.262063,-0.883148,-0.099263,-0.875871,1,0,0,0,0,0,0,0,0,0,0
1,-0.001949,-0.002607,-0.003968,-0.004798,-0.005986,-0.006643,-0.009135,-0.002491,-0.015882,-0.022767,-0.027934,-0.027473,-0.024843,-0.024521,0.001695,0.002618,0.005086,0.004798,0.019976,0.027646,0.032513,-0.002514,-0.018927,-0.039041,-0.038811,-0.036596,-0.005098,0.002053,0.0,-2.3e-05,-6.9e-05,-0.000127,-0.000761,-0.000761,-0.001569,-0.003702,-0.016412,-0.026712,-0.03422,-0.037496,-0.037865,-0.055119,0.000208,0.001199,-0.006932,-0.007266,0.024636,0.026043,0.028061,-0.008339,-0.01406,-0.058049,-0.052374,-0.06663,-0.063712,-0.075372,-0.005083,0.005068,-0.014106,-0.00897,-0.029999,-0.054871,-0.071384,-0.000907,-0.000138,-0.003308,-0.005498,-0.009097,-0.011948,-0.028983,0.001158,-8.8e-05,0.006177,0.005587,0.002471,0.005995,0.007671,-0.0006,-0.000749,-0.001262,-0.001571,-0.001872,-0.002161,-0.003208,0.260075,-0.871932,-0.098737,-0.858205,1,0,0,0,0,0,0,0,0,0,0
2,-0.000652,-0.002,-0.002823,-0.004001,-0.004652,-0.007122,-0.008802,-0.013271,-0.020096,-0.025217,-0.02476,-0.022153,-0.021833,-0.021467,0.000914,0.003361,0.003075,0.018118,0.02572,0.030544,0.033356,-0.016266,-0.036202,-0.035973,-0.033779,-0.002561,0.004527,0.007339,-2.3e-05,-6.9e-05,-0.000126,-0.000754,-0.000754,-0.001555,-0.001738,-0.012597,-0.022805,-0.030246,-0.033493,-0.033859,-0.050959,-0.058138,0.000983,-0.007076,-0.007407,0.024211,0.025605,0.027606,0.036385,-0.00567,-0.049268,-0.043644,-0.057772,-0.05488,-0.066437,-0.060664,0.01006,-0.008943,-0.003853,-0.024694,-0.049345,-0.065712,-0.065128,0.000762,-0.002379,-0.00455,-0.008117,-0.010943,-0.027826,-0.034981,-0.00117,0.004714,0.00416,0.001234,0.004544,0.006118,0.00511,-0.00014,-0.000622,-0.000911,-0.001195,-0.001466,-0.00245,-0.00297,0.25348,-0.881653,-0.098515,-0.849811,1,0,0,0,0,0,0,0,0,0,0
3,-0.001338,-0.002154,-0.003321,-0.003967,-0.006416,-0.008082,-0.008071,-0.006767,-0.011845,-0.011392,-0.008807,-0.00849,-0.008127,-0.002097,0.002426,0.002142,0.017059,0.024597,0.029381,0.032169,0.036749,-0.019769,-0.019542,-0.017365,0.013591,0.020619,0.023407,0.023305,-4.5e-05,-0.000102,-0.000725,-0.000725,-0.001519,-0.0017,-0.001542,-0.010122,-0.017501,-0.020721,-0.021083,-0.038041,-0.045159,-0.042949,-0.007991,-0.00832,0.023033,0.024416,0.0264,0.035105,0.035887,-0.043232,-0.037655,-0.051666,-0.048798,-0.060258,-0.054533,-0.027862,-0.018844,-0.013796,-0.034463,-0.058907,-0.075137,-0.074558,-0.048144,-0.003115,-0.005267,-0.008805,-0.011607,-0.028349,-0.035443,-0.039171,0.005548,0.005025,0.002266,0.005387,0.006871,0.005921,0.004926,-0.000454,-0.000727,-0.000995,-0.00125,-0.002177,-0.002668,-0.002806,0.256313,-0.917659,-0.098217,-0.849972,1,0,0,0,0,0,0,0,0,0,0
4,-0.000813,-0.001976,-0.00262,-0.005058,-0.006718,-0.006707,-0.007531,-0.005058,-0.004607,-0.002032,-0.001716,-0.001355,0.004652,0.004731,-0.000282,0.014577,0.022086,0.026851,0.029628,0.03419,0.047931,0.000226,0.002394,0.03323,0.040231,0.043008,0.042907,0.021329,-5.6e-05,-0.000677,-0.000677,-0.001468,-0.001649,-0.00149,-0.001908,-0.007351,-0.010557,-0.010919,-0.02781,-0.034901,-0.032699,-0.035511,-0.000327,0.030904,0.032282,0.034258,0.042929,0.043708,0.112438,0.005555,-0.008401,-0.005544,-0.016959,-0.011257,0.015311,-0.007791,0.005028,-0.015559,-0.039908,-0.056075,-0.055498,-0.029187,-0.046091,-0.002144,-0.005668,-0.008459,-0.025136,-0.032203,-0.035917,-0.038681,-0.000508,-0.003193,-0.000156,0.001288,0.000363,-0.000605,-0.009932,-0.000266,-0.000526,-0.000774,-0.001677,-0.002154,-0.002289,-0.002432,0.190584,-0.908846,-0.097039,-0.844901,1,0,0,0,0,0,0,0,0,0,0
5,-0.001171,-0.001819,-0.004275,-0.005946,-0.005935,-0.006765,-0.006913,0.000455,0.003047,0.003365,0.003729,0.009778,0.009858,0.031904,0.014963,0.022524,0.027322,0.030119,0.034712,0.048549,0.051028,0.002183,0.033234,0.040283,0.04308,0.042978,0.02125,0.0366,-0.000625,-0.000625,-0.001421,-0.001603,-0.001444,-0.001865,-0.001842,-0.003229,-0.003593,-0.020602,-0.027743,-0.025525,-0.028356,-0.020602,0.031449,0.032836,0.034826,0.043558,0.044343,0.113551,0.167615,-0.014053,-0.011177,-0.022672,-0.01693,0.009824,-0.013439,-0.003422,-0.02073,-0.04525,-0.061528,-0.060948,-0.034454,-0.051475,-0.064649,-0.003548,-0.006359,-0.023152,-0.030269,-0.034008,-0.036792,-0.050789,-0.002819,0.000369,0.001885,0.000915,-0.000102,-0.009893,-0.017584,-0.000273,-0.000534,-0.001481,-0.001982,-0.002124,-0.002274,-0.002689,0.14334,-0.909551,-0.09473,-0.840772,1,0,0,0,0,0,0,0,0,0,0
6,-0.000651,-0.003119,-0.004798,-0.004787,-0.005621,-0.00577,-0.005176,0.002605,0.002925,0.00329,0.009368,0.009448,0.031601,0.033144,0.007598,0.012419,0.015229,0.019845,0.033749,0.03624,0.05973,0.031202,0.038285,0.041096,0.040993,0.01916,0.034583,0.032401,0.0,-0.0008,-0.000983,-0.000823,-0.001245,-0.001222,-0.001759,-0.000366,-0.017457,-0.024632,-0.022404,-0.025249,-0.017457,-0.016943,0.001394,0.003393,0.012168,0.012956,0.0825,0.136825,0.164816,0.002891,-0.00866,-0.002891,0.023992,0.000617,0.010682,0.008843,-0.024638,-0.040996,-0.040412,-0.01379,-0.030893,-0.044131,-0.04416,-0.002824,-0.019699,-0.02685,-0.030607,-0.033405,-0.047469,-0.048697,0.003298,0.004866,0.003862,0.00281,-0.007317,-0.015273,-0.015926,-0.00027,-0.00125,-0.001768,-0.001914,-0.00207,-0.002499,-0.002377,0.126758,-0.914123,-0.092923,-0.848728,1,0,0,0,0,0,0,0,0,0,0
7,-0.002464,-0.004141,-0.004129,-0.004962,-0.00511,-0.004517,-0.001814,0.000319,0.000684,0.006753,0.006833,0.028951,0.030491,0.031688,0.004814,0.00762,0.012228,0.02611,0.028597,0.05205,0.06721,0.007072,0.009878,0.009776,-0.012023,0.003376,0.001198,-0.002954,-0.000798,-0.000981,-0.000821,-0.001243,-0.001221,-0.001757,-0.001757,-0.017065,-0.024228,-0.022004,-0.024844,-0.017065,-0.016551,-0.01784,0.001996,0.010757,0.011544,0.080978,0.135218,0.163165,0.193747,-0.011532,-0.005772,0.021069,-0.00227,0.00778,0.005943,-0.002224,-0.016332,-0.01575,0.010831,-0.006245,-0.019463,-0.019492,-0.024372,-0.016848,-0.023987,-0.027739,-0.030532,-0.044575,-0.0458,-0.048754,0.001551,0.000558,-0.000482,-0.010498,-0.018367,-0.019013,-0.021118,-0.000969,-0.001482,-0.001626,-0.00178,-0.002204,-0.002084,-0.001804,0.109915,-0.917626,-0.090726,-0.859614,1,0,0,0,0,0,0,0,0,0,0
8,-0.001675,-0.001663,-0.002495,-0.002643,-0.002051,0.000649,0.000934,0.000365,0.006425,0.006505,0.028595,0.030133,0.031329,0.0324,0.002803,0.007405,0.021269,0.023753,0.047176,0.062316,0.07618,0.002803,0.0027,-0.019071,-0.003691,-0.005867,-0.010014,-0.010675,-0.000182,-2.3e-05,-0.000444,-0.000422,-0.000957,-0.000957,-0.00139,-0.007154,-0.004933,-0.00777,0.0,0.000513,-0.000775,-0.000775,0.008749,0.009535,0.07888,0.133051,0.160962,0.191505,0.199855,0.005753,0.032559,0.009251,0.019287,0.017453,0.009296,0.010902,0.000581,0.027128,0.010074,-0.003127,-0.003156,-0.00803,-0.005524,-0.00713,-0.010877,-0.013666,-0.027691,-0.028915,-0.031865,-0.03305,-0.000984,-0.002015,-0.011941,-0.019739,-0.02038,-0.022466,-0.021733,-0.000508,-0.000651,-0.000804,-0.001224,-0.001105,-0.000827,-0.000764,0.112952,-0.926901,-0.091569,-0.871068,1,0,0,0,0,0,0,0,0,0,0
9,1.1e-05,-0.000819,-0.000967,-0.000375,0.00232,0.002604,0.00514,0.00605,0.006129,0.02818,0.029715,0.030909,0.031978,0.034832,0.004594,0.018434,0.020913,0.044294,0.059407,0.073246,0.087268,-0.000102,-0.021834,-0.006482,-0.008654,-0.012793,-0.013453,-0.026212,0.000159,-0.000262,-0.000239,-0.000773,-0.000773,-0.001205,-0.001649,0.002218,-0.000614,0.007142,0.007653,0.006368,0.006368,0.000353,0.000785,0.070005,0.124079,0.15194,0.182428,0.190764,0.217431,0.026758,0.003491,0.01351,0.011679,0.003537,0.00514,-0.001933,0.026499,0.009475,-0.003701,-0.00373,-0.008596,-0.006095,-0.00084,-0.00374,-0.006525,-0.020524,-0.021746,-0.02469,-0.025874,-0.035139,-0.001018,-0.010821,-0.018522,-0.019154,-0.021215,-0.020491,-0.022302,-0.000141,-0.000292,-0.000707,-0.00059,-0.000315,-0.000253,-0.000104,0.097889,-0.929414,-0.092301,-0.878771,1,0,0,0,0,0,0,0,0,0,0
