,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.008458,0.081587,0.124197,0.13335,0.12555,0.279413,0.40028,-0.011521,-0.01729,0.010328,0.024359,0.157566,0.214581,0.526632,0.161928,0.125479,0.18675,0.078667,-0.025801,0.178808,0.160148,0.196401,0.089689,0.257493,-0.17133,-0.54134,0.124945,0.084525,0.014726,0.014459,0.042396,0.049999,0.047453,0.197968,0.236553,-0.051887,-0.005769,0.282903,0.328023,0.293141,0.603073,1.007876,0.026923,0.012446,0.019889,-0.258277,-0.296061,-0.10372,-0.485714,0.162427,0.135077,0.337015,-0.034597,-0.814396,0.481262,0.352524,-0.096222,-0.014165,0.004501,0.063097,-0.349944,0.274696,0.308116,-0.038377,0.005834,0.267115,0.298236,0.130066,0.382988,0.481365,0.016667,0.017698,0.035361,0.113769,0.116145,0.088173,1.820429,-0.002014,0.009754,0.019019,0.021242,0.02017,0.01234,0.702644,0.770898,-1.503476,0.09932,-1.91016,1,0,0,0,0,0,0,0,0,0,0
1,0.07424,0.117497,0.126789,0.118871,0.275071,0.397774,0.39875,-0.005857,0.02218,0.036424,0.171655,0.229536,0.546327,0.412597,-0.037003,0.025199,-0.084526,-0.190581,0.017137,-0.001808,0.308801,-0.108333,0.062021,-0.373316,-0.748947,-0.072541,-0.113575,0.317243,-0.000271,0.028091,0.03581,0.033225,0.186026,0.225197,0.283711,0.046818,0.339875,0.385681,0.350269,0.664909,1.075861,0.909304,-0.014696,-0.00714,-0.289532,-0.32789,-0.132628,-0.520423,0.168871,-0.027766,0.17724,-0.200017,-0.99166,0.323678,0.192985,0.95699,0.083303,0.102253,0.161739,-0.257576,0.376552,0.410479,0.61947,0.044883,0.310133,0.341726,0.171001,0.427766,0.527637,0.490038,0.001146,0.020775,0.10791,0.11055,0.079465,2.004521,-3.199539,0.013078,0.023374,0.025844,0.024653,0.015952,0.783087,0.125199,-0.030527,-2.101769,0.011655,-1.755747,1,0,0,0,0,0,0,0,0,0,0
2,0.042874,0.052084,0.044236,0.199054,0.320672,0.321639,0.337334,0.027789,0.041907,0.175941,0.23331,0.547299,0.414752,0.364926,0.061651,-0.047103,-0.15222,0.05366,0.034884,0.342745,0.27837,0.168846,-0.26264,-0.634947,0.035475,-0.005196,0.421811,0.395169,0.028111,0.035762,0.033199,0.184649,0.223474,0.28147,0.308506,0.290464,0.335865,0.300766,0.612623,1.019939,0.854855,0.776739,0.007489,-0.272404,-0.310423,-0.116888,-0.501253,0.181943,0.224191,0.203192,-0.170727,-0.955368,0.348335,0.218798,0.976043,0.942414,0.018782,0.077743,-0.337863,0.290655,0.324282,0.531423,0.527431,0.262903,0.294217,0.125003,0.379496,0.478484,0.441217,0.412433,0.018446,0.100326,0.102807,0.073596,1.882557,-3.00766,-5.019964,0.009676,0.011997,0.010877,0.002701,0.723572,0.105359,0.011688,-0.08328,-2.025161,-0.000548,-1.670837,1,0,0,0,0,0,0,0,0,0,0
3,0.009153,0.001353,0.155229,0.276106,0.277068,0.292667,0.280024,0.014032,0.147251,0.204271,0.516348,0.384608,0.335085,0.009759,-0.108092,-0.212569,-0.007942,-0.026605,0.279383,0.2154,0.139504,-0.42886,-0.798901,-0.13256,-0.172983,0.251425,0.224945,0.16383,0.007604,0.005057,0.155585,0.194174,0.251817,0.278688,0.278421,0.045124,0.010239,0.320198,0.725035,0.560956,0.483315,0.439811,-0.27819,-0.315977,-0.12362,-0.505646,0.173392,0.215382,0.215774,-0.371644,-1.151508,0.144259,0.01551,0.768147,0.734722,0.457886,0.058601,-0.354475,0.270218,0.30364,0.509521,0.505553,0.303462,0.031123,-0.137061,0.115883,0.214268,0.177228,0.148619,0.429985,0.078454,0.080832,0.052843,1.786126,-2.899508,-4.827627,-5.911357,0.002224,0.001151,-0.006683,0.68403,0.091681,0.001928,-0.383205,-0.485169,-2.113553,-0.44298,-2.454596,1,0,0,0,0,0,0,0,0,0,0
4,-0.007865,0.147303,0.269196,0.270166,0.285896,0.273147,-0.013917,0.134338,0.191837,0.506536,0.373689,0.32375,-0.00431,-0.098908,-0.105355,0.100991,0.082172,0.39073,0.32621,0.249677,-0.01363,-0.37315,0.29879,0.258027,0.686,0.659298,0.597669,0.430613,-0.002568,0.149224,0.188137,0.246265,0.273362,0.273093,0.19638,-0.035178,0.277385,0.685623,0.520166,0.441872,0.398003,-0.23892,-0.038105,0.155868,-0.229367,0.455376,0.497719,0.498114,0.255315,-0.786417,0.520238,0.390407,1.149367,1.115662,0.836499,0.11234,-0.416547,0.213395,0.247098,0.454708,0.450707,0.246918,-0.244032,-0.169598,0.085472,0.184684,0.147333,0.118483,0.402213,-0.106916,0.002521,-0.027156,1.810673,-3.157584,-5.202002,-6.351099,-6.563513,-0.001138,-0.009444,0.722931,0.094853,-0.000313,-0.408677,-3.495742,-0.253143,-1.211021,-0.446094,-1.531701,1,0,0,0,0,0,0,0,0,0,0
5,0.155929,0.278419,0.279394,0.295202,0.282389,-0.006081,-0.341722,0.057781,0.374023,0.240525,0.190341,-0.139327,-0.234389,-0.233433,0.207357,0.188446,0.498517,0.43368,0.356772,0.092175,-0.094719,0.675234,0.634271,1.064342,1.037509,0.975578,0.807703,0.575498,0.152536,0.19164,0.250052,0.277283,0.277012,0.199923,-0.147213,0.314095,0.724335,0.558066,0.479389,0.435304,-0.204741,-0.780293,0.194924,-0.192199,0.4959,0.538451,0.538848,0.294859,-0.077215,1.313059,1.182592,1.945273,1.911402,1.630871,0.903162,0.581308,0.63303,0.666898,0.875526,0.871505,0.666717,0.173361,0.000495,0.25632,0.356018,0.318484,0.289493,0.574613,0.062989,-0.319144,-0.03071,1.871115,-3.270144,-5.385751,-6.574862,-6.794673,-6.79442,-0.008596,0.749282,0.099333,0.000853,-0.421731,-3.616291,-3.733491,0.214424,-0.845883,-0.064397,-0.785091,1,0,0,0,0,0,0,0,0,0,0
6,0.130679,0.131719,0.148583,0.134914,-0.17284,-0.530918,-0.424438,0.337382,0.19496,0.141421,-0.210284,-0.311701,-0.310681,-0.311181,-0.020176,0.310623,0.241452,0.159402,-0.122882,-0.32227,-0.063665,-0.043701,0.41512,0.386493,0.320422,0.141325,-0.106403,-0.038176,0.041718,0.104035,0.133086,0.132797,0.050554,-0.319787,-0.303731,0.437663,0.26028,0.176344,0.129312,-0.553519,-1.167545,-0.880467,-0.413002,0.321096,0.366491,0.366914,0.106615,-0.290332,0.249634,-0.139188,0.674476,0.638341,0.339057,-0.437298,-0.780667,-0.39789,0.036132,0.258707,0.254417,0.035939,-0.490397,-0.674819,-0.271834,0.106363,0.06632,0.035391,0.339571,-0.206254,-0.613932,-0.548763,2.9915,-5.09551,-8.423281,-10.293708,-10.639462,-10.639064,-10.646601,1.192112,0.169767,0.014862,-0.649846,-5.674772,-5.859122,-5.852785,-0.308181,-1.321198,-0.085608,-1.14231,1,0,0,0,0,0,0,0,0,0,0
7,0.001062,0.018294,0.004328,-0.310137,-0.676023,-0.567221,-0.459541,-0.145528,-0.200234,-0.559608,-0.663237,-0.662194,-0.662706,-0.504372,0.338012,0.267333,0.183494,-0.104946,-0.308682,-0.044437,-0.222108,0.468826,0.439574,0.372063,0.189061,-0.064069,0.005646,-0.006629,0.063676,0.09336,0.093065,0.009029,-0.369387,-0.352981,0.086219,-0.181251,-0.267018,-0.315075,-1.012795,-1.640211,-1.346873,-0.876552,0.750105,0.79649,0.796923,0.530947,0.125345,0.677085,0.351958,0.831406,0.794483,0.488674,-0.30461,-0.655467,-0.264343,-0.198877,0.227428,0.223045,-0.000197,-0.53801,-0.726453,-0.314681,-0.309386,-0.040917,-0.07252,0.238293,-0.319434,-0.736001,-0.669412,-0.228752,-9.405122,-13.275291,-15.450581,-15.85269,-15.852227,-15.860992,-15.73387,-1.188979,-1.369132,-2.142182,-7.986126,-8.200524,-8.193154,-8.303755,0.019115,-1.441965,-0.514734,-1.392338,1,0,0,0,0,0,0,0,0,0,0
8,0.017131,0.003246,-0.309374,-0.673114,-0.56495,-0.457901,-0.423052,-0.054385,-0.411651,-0.514672,-0.513635,-0.514144,-0.356738,-0.269206,-0.070264,-0.153611,-0.440359,-0.6429,-0.380206,-0.556834,-0.669828,-0.02908,-0.096195,-0.278124,-0.529769,-0.460463,-0.472666,-0.467327,0.02951,0.029216,-0.054326,-0.430523,-0.414213,0.022411,-0.259389,-0.085264,-0.133039,-0.826666,-1.450401,-1.158784,-0.691222,-0.681483,0.046113,0.046543,-0.217872,-0.621095,-0.072591,-0.395811,-0.724194,-0.036706,-0.340722,-1.129352,-1.478151,-1.089321,-1.024239,-0.917895,-0.004358,-0.22629,-0.760948,-0.948286,-0.538929,-0.533665,-0.444688,-0.031418,0.277572,-0.276883,-0.691007,-0.624808,-0.186734,-0.399428,-3.714023,-5.801549,-6.187435,-6.18699,-6.195402,-6.073408,-5.810845,-0.172884,-0.914745,-6.52291,-6.728658,-6.721585,-6.827723,-6.231206,0.443895,-1.69296,-0.19197,-1.455246,1,0,0,0,0,0,0,0,0,0,0
9,-0.013417,-0.315508,-0.666997,-0.562476,-0.459033,-0.425358,-0.01011,-0.345234,-0.444784,-0.443783,-0.444274,-0.29217,-0.207586,-0.117975,-0.08054,-0.35763,-0.553349,-0.299502,-0.470182,-0.579371,-0.44915,-0.064855,-0.240656,-0.483826,-0.416854,-0.428646,-0.423487,0.13007,-0.000283,-0.081012,-0.444539,-0.428778,-0.00686,-0.279169,0.086946,-0.046166,-0.716432,-1.31916,-1.037364,-0.58555,-0.576139,-0.372011,0.000416,-0.255094,-0.644736,-0.114706,-0.42704,-0.744362,-0.610173,-0.293777,-1.055846,-1.392897,-1.017163,-0.954273,-0.85151,-0.20067,-0.214458,-0.731108,-0.912137,-0.516567,-0.51148,-0.4255,-0.329632,0.298583,-0.237198,-0.637374,-0.573405,-0.150085,-0.355616,-0.251176,-1.642398,-1.946001,-1.945651,-1.952269,-1.856289,-1.649712,-1.687174,-0.583672,-4.995996,-5.157872,-5.152307,-5.235813,-4.766492,-4.683391,0.157538,-1.024161,-0.045306,-0.927776,1,0,0,0,0,0,0,0,0,0,0
