,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.513687,0.521761,0.472403,0.310666,0.383585,0.512086,0.537675,-0.02432,-0.048916,-0.060731,-0.12592,-0.108998,-0.065576,-0.06403,-0.455758,-0.46876,-0.340728,-0.288844,-0.331591,-0.48426,-0.49889,-0.060303,-0.099971,-0.085976,-0.096341,-0.064043,-0.024458,0.038675,0.654127,0.689309,0.657122,0.194725,0.573755,0.685376,0.717991,-0.00893,-0.00922,-0.001877,0.070903,0.063629,0.058854,0.040773,-0.611463,-0.587613,-0.40386,-0.362315,-0.401224,-0.582768,-0.57675,-0.001877,0.021187,0.092159,0.126182,0.180357,0.212296,0.281032,0.061286,0.117699,0.172016,0.216417,0.238268,0.231408,0.236308,-0.001665,0.024543,0.045569,0.223877,0.159145,0.109431,0.090639,0.036961,0.015483,-0.032368,-0.019096,-0.025909,0.02699,-0.010601,-0.045779,-0.055164,-0.062296,0.298232,-0.320316,-0.305584,-0.313906,0.154423,-1.098421,-0.124191,-0.896597,1,0,0,0,0,0,0,0,0,0,0
1,0.008578,-0.043857,-0.215679,-0.138214,-0.001701,0.025484,0.029839,-0.02613,-0.038681,-0.107935,-0.089958,-0.043828,-0.042186,-0.021848,-0.013813,0.122202,0.17732,0.131909,-0.030279,-0.045822,-0.027523,-0.042142,-0.027273,-0.038285,-0.003974,0.03808,0.105149,0.145634,0.037376,0.003182,-0.488045,-0.085383,0.033197,0.067846,0.075441,-0.000308,0.007493,0.084811,0.077084,0.07201,0.052802,0.052494,0.025338,0.220547,0.264683,0.223348,0.030485,0.036878,0.061731,0.024502,0.099899,0.136044,0.193596,0.227527,0.300549,0.333013,0.05993,0.117635,0.164804,0.188017,0.180729,0.185935,0.177837,0.027842,0.05018,0.239605,0.170837,0.118024,0.098059,0.077936,-0.0328,-0.105874,-0.085607,-0.09601,-0.015228,-0.072633,-0.089204,-0.014333,-0.025224,0.525347,-0.419253,-0.396756,-0.409464,-0.415707,0.130512,-1.127603,-0.126957,-0.914788,1,0,0,0,0,0,0,0,0,0,0
2,-0.05467,-0.233814,-0.153048,-0.010717,0.017627,0.022168,0.027381,-0.013086,-0.085291,-0.066548,-0.018453,-0.01674,0.004464,0.022504,0.141811,0.199278,0.151931,-0.017168,-0.033374,-0.014294,0.013301,0.015502,0.004021,0.039794,0.08364,0.153567,0.195777,0.22143,-0.035651,-0.547813,-0.127991,-0.004357,0.031768,0.039687,0.057819,0.008133,0.088746,0.08069,0.0754,0.055373,0.055052,0.053921,0.203528,0.249545,0.206448,0.005366,0.012032,0.037945,0.045604,0.078611,0.116295,0.1763,0.211677,0.287811,0.321658,0.329317,0.060164,0.109342,0.133545,0.125947,0.131375,0.122932,0.105383,0.02329,0.220787,0.149089,0.094025,0.073209,0.052229,0.034997,-0.097867,-0.070723,-0.084656,0.023533,-0.053348,-0.075541,-0.014763,-0.014586,0.722779,-0.542298,-0.512168,-0.529188,-0.537549,-0.556019,0.133618,-1.139211,-0.139526,-0.925008,1,0,0,0,0,0,0,0,0,0,0
3,-0.177212,-0.097317,0.043479,0.071517,0.076009,0.081166,0.111427,-0.071426,-0.052885,-0.005308,-0.003614,0.017361,0.035207,0.036961,0.056848,0.010011,-0.157265,-0.173296,-0.154422,-0.127125,-0.102973,-0.011357,0.024031,0.067404,0.136577,0.178332,0.203708,0.186634,-0.506639,-0.091344,0.030957,0.066693,0.074527,0.092463,0.111019,0.079744,0.071774,0.066542,0.04673,0.046413,0.045294,0.044764,0.045521,0.002889,-0.196026,-0.189432,-0.163798,-0.156222,-0.123843,0.037278,0.096637,0.131631,0.206944,0.240427,0.248004,0.235769,0.048649,0.07259,0.065074,0.070443,0.062091,0.044732,0.049313,0.195368,0.124443,0.069972,0.049382,0.028627,0.011581,0.007683,0.02516,0.012245,0.112529,0.041266,0.020695,0.077031,0.054701,0.683481,-0.489148,-0.46122,-0.476996,-0.484746,-0.501867,-0.490382,0.124392,-1.138052,-0.168612,-0.93622,1,0,0,0,0,0,0,0,0,0,0
4,0.077902,0.215186,0.242525,0.246905,0.251933,0.281439,0.29505,0.018078,0.064469,0.06612,0.086573,0.103973,0.105684,0.165183,-0.045668,-0.208772,-0.224402,-0.206,-0.179383,-0.155834,-0.13637,0.034505,0.076796,0.144244,0.184957,0.209701,0.193053,0.183394,0.404936,0.524186,0.55903,0.566669,0.584157,0.60225,0.601085,-0.007771,-0.012873,-0.03219,-0.0325,-0.033591,-0.034107,-0.022886,-0.041569,-0.235521,-0.229092,-0.204097,-0.19671,-0.165139,-0.141708,0.057877,0.091999,0.165434,0.198081,0.205469,0.193539,0.179634,0.023344,0.016016,0.021251,0.013107,-0.003819,0.000648,-0.003684,-0.069156,-0.122268,-0.142345,-0.162582,-0.179203,-0.183003,-0.232711,-0.010822,0.073208,0.013495,-0.003742,0.043464,0.024753,0.015871,-0.982575,-0.959173,-0.972392,-0.978886,-0.993232,-0.983609,-0.977655,0.122319,-1.393681,-0.207582,-1.189861,1,0,0,0,0,0,0,0,0,0,0
5,0.144944,0.173809,0.178433,0.183742,0.214894,0.229264,0.20778,0.048979,0.050723,0.072317,0.090688,0.092494,0.155313,0.207951,-0.172205,-0.188708,-0.169278,-0.141177,-0.116314,-0.095763,-0.076738,0.044651,0.115862,0.158847,0.184971,0.167394,0.157197,0.184177,0.125904,0.162693,0.170757,0.189222,0.208324,0.207095,0.208418,-0.005387,-0.025782,-0.026109,-0.027261,-0.027806,-0.015958,-0.005838,-0.204775,-0.197987,-0.171598,-0.163798,-0.130466,-0.105727,-0.095545,0.036026,0.113558,0.148027,0.155827,0.143232,0.128551,0.111565,-0.007738,-0.00221,-0.010808,-0.028679,-0.023963,-0.028536,-0.072255,-0.056076,-0.077273,-0.098639,-0.116188,-0.1202,-0.172681,-0.211566,0.122887,0.035562,0.010354,0.079389,0.052025,0.039035,0.065431,0.034224,0.014891,0.005395,-0.015585,-0.001512,0.007195,-0.009631,0.13047,-1.360416,-0.246211,-1.15622,1,0,0,0,0,0,0,0,0,0,0
6,0.028062,0.032558,0.037719,0.068007,0.081977,0.061089,0.115595,0.001695,0.022689,0.04055,0.042306,0.10338,0.154555,0.204066,-0.016044,0.002846,0.030166,0.054339,0.074318,0.092815,0.095025,0.069233,0.111024,0.136422,0.119333,0.109419,0.13565,0.180998,0.035767,0.043607,0.061559,0.080131,0.078935,0.080222,0.089833,-0.019828,-0.020146,-0.021266,-0.021796,-0.010277,-0.000439,-0.00162,0.006599,0.032255,0.039838,0.072245,0.096296,0.106195,0.109222,0.075378,0.108889,0.116473,0.104228,0.089954,0.073441,0.063254,0.005374,-0.002985,-0.020359,-0.015774,-0.020221,-0.062725,-0.118254,-0.020609,-0.041381,-0.058442,-0.062343,-0.113366,-0.151171,-0.207157,-0.071694,-0.09239,-0.035712,-0.058178,-0.068842,-0.047172,-0.045494,-0.015872,-0.023669,-0.040893,-0.029339,-0.022191,-0.036005,-0.024895,0.092925,-0.175784,-0.12182,-0.028972,1,0,0,0,0,0,0,0,0,0,0
7,0.004553,0.009781,0.040457,0.054607,0.033451,0.088656,0.103557,0.021263,0.039353,0.041131,0.102989,0.154821,0.204967,0.335275,0.019132,0.046804,0.071286,0.091522,0.110256,0.112494,0.185773,0.042327,0.068052,0.050744,0.040702,0.06727,0.113199,0.27774,0.007941,0.026123,0.044933,0.043722,0.045025,0.05476,0.036134,-0.000322,-0.001456,-0.001993,0.009673,0.019638,0.018442,0.02876,0.025985,0.033665,0.066488,0.090848,0.100874,0.10394,0.234616,0.033941,0.041622,0.02922,0.014763,-0.001962,-0.01228,0.000644,-0.008466,-0.026063,-0.02142,-0.025923,-0.068973,-0.125214,-0.275455,-0.021039,-0.038319,-0.04227,-0.093948,-0.132238,-0.188942,-0.310173,-0.022628,0.039341,0.014778,0.003118,0.026812,0.028646,-0.008502,-0.008525,-0.027357,-0.014725,-0.006909,-0.022012,-0.009866,-0.007072,0.043427,-0.342023,-0.150631,-0.12384,1,0,0,0,0,0,0,0,0,0,0
8,0.005249,0.036049,0.050256,0.029015,0.084443,0.099404,0.070097,0.018163,0.019949,0.082057,0.134099,0.184448,0.315283,0.253313,0.027783,0.052365,0.072683,0.091493,0.09374,0.167316,0.166885,0.025829,0.00845,-0.001632,0.025043,0.071159,0.236366,0.173965,0.018255,0.037142,0.035926,0.037234,0.047008,0.028307,0.029215,-0.001139,-0.001678,0.010036,0.020041,0.01884,0.029199,0.027568,0.007712,0.040667,0.065125,0.075192,0.078271,0.209476,0.187434,0.007712,-0.004741,-0.019256,-0.036049,-0.046408,-0.033432,-0.034895,-0.017668,-0.013006,-0.017527,-0.060752,-0.117221,-0.26807,-0.208602,-0.01735,-0.021317,-0.073204,-0.111649,-0.168583,-0.290305,-0.228802,0.063746,0.038479,0.026484,0.050858,0.052745,0.014531,0.024053,-0.019372,-0.006378,0.001662,-0.013874,-0.001379,0.001495,-0.000207,0.104133,-1.023269,-0.169555,-0.647589,1,0,0,0,0,0,0,0,0,0,0
9,0.030867,0.045105,0.023817,0.079366,0.09436,0.064989,0.049794,0.001789,0.064033,0.116187,0.166645,0.297764,0.23566,0.221299,0.024635,0.044997,0.063847,0.0661,0.139835,0.139403,0.136364,-0.017416,-0.02752,-0.000787,0.045429,0.210994,0.148458,0.138354,0.018927,0.017709,0.01902,0.028815,0.010073,0.010983,0.00907,-0.00054,0.011199,0.021226,0.020023,0.030404,0.028769,0.03062,0.033027,0.057538,0.067627,0.070712,0.202201,0.180112,0.17172,-0.012479,-0.027026,-0.043856,-0.054237,-0.041233,-0.042699,-0.046956,0.004672,0.000141,-0.043177,-0.099768,-0.250945,-0.191348,-0.185656,-0.003976,-0.055975,-0.094504,-0.151561,-0.273547,-0.211911,-0.194441,-0.025653,-0.037831,-0.013085,-0.01117,-0.049967,-0.0403,-0.037299,0.013193,0.021356,0.005582,0.018268,0.021186,0.019458,0.018138,0.133992,-1.51059,-0.265074,-1.332131,1,0,0,0,0,0,0,0,0,0,0
