,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_x_cumsum_4,left_elbow_x_cumsum_5,left_elbow_x_cumsum_6,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,left_elbow_y_cumsum_4,left_elbow_y_cumsum_5,left_elbow_y_cumsum_6,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_x_cumsum_4,right_elbow_x_cumsum_5,right_elbow_x_cumsum_6,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,right_elbow_y_cumsum_4,right_elbow_y_cumsum_5,right_elbow_y_cumsum_6,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_x_cumsum_4,left_wrist_x_cumsum_5,left_wrist_x_cumsum_6,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,left_wrist_y_cumsum_4,left_wrist_y_cumsum_5,left_wrist_y_cumsum_6,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_x_cumsum_4,right_wrist_x_cumsum_5,right_wrist_x_cumsum_6,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_wrist_y_cumsum_4,right_wrist_y_cumsum_5,right_wrist_y_cumsum_6,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,right_forearm_r_cumsum_4,right_forearm_r_cumsum_5,right_forearm_r_cumsum_6,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,left_forearm_r_cumsum_4,left_forearm_r_cumsum_5,left_forearm_r_cumsum_6,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,right_forearm_angle_cumsum_4,right_forearm_angle_cumsum_5,right_forearm_angle_cumsum_6,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,left_forearm_angle_cumsum_4,left_forearm_angle_cumsum_5,left_forearm_angle_cumsum_6,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.031987,-0.064315,-0.087196,0.058738,-0.064771,0.01514,-0.004098,-0.038703,-0.038475,-0.120776,0.00296,-0.149804,-0.131249,-0.195906,-0.07069,-0.052135,-0.003073,-0.344685,-0.2082,-0.162781,-0.139331,-0.051566,-0.184295,-0.269556,-0.02288,-0.039955,0.054867,-0.076154,0.121687,-0.259538,-0.238593,0.205582,-0.078886,-0.008765,0.022425,-0.206606,-0.359483,-0.407521,-0.04485,-0.265799,-0.219014,-0.2584,-0.037792,-0.036768,-0.039386,-0.546966,-0.166992,-0.130338,-0.196247,-0.129997,-0.703258,-0.723862,0.099262,-0.375078,-0.232788,-0.608549,-0.021354,0.104805,0.022554,0.044835,-0.006483,-0.035202,0.083258,-0.151632,0.171815,0.117158,-0.094933,-0.049325,-0.031718,-0.062776,-0.019513,-0.294152,-0.301725,0.114073,-0.139022,-0.131473,-0.237473,0.000717,0.000934,-0.007547,-0.038666,-0.037675,-0.038069,-0.038689,-0.0247,-0.315367,-0.183203,-0.401291,1,0,0,0,0,0,0,0,0,0,0
1,-0.075546,-0.093495,0.020985,-0.075903,-0.013216,-0.028307,-0.033665,0.000179,-0.064384,0.032683,-0.087155,-0.072599,-0.12332,-0.177078,0.014556,0.053043,-0.21494,-0.107872,-0.072242,-0.053847,-0.05465,-0.104121,-0.171005,0.022503,0.009108,0.083493,-0.019288,-0.06992,-0.299058,-0.282628,0.065813,-0.157343,-0.102335,-0.077868,-0.083672,-0.119927,-0.157611,0.126892,-0.046435,-0.009733,-0.040631,-0.104121,0.000804,-0.00125,-0.399429,-0.101353,-0.072599,-0.124303,-0.152789,-0.449704,-0.465867,0.179846,-0.192258,-0.080636,-0.375408,-0.241015,0.098968,0.034445,0.051923,0.011666,-0.010863,0.082065,-0.090683,0.253733,0.210857,0.044479,0.080257,0.094069,0.069705,0.064151,-0.050209,-0.051594,0.024422,-0.021849,-0.020468,-0.039847,-0.03661,4e-05,-0.001511,-0.0072,-0.007019,-0.007091,-0.007204,-0.007192,0.002781,-0.599501,-0.146142,-0.425037,1,0,0,0,0,0,0,0,0,0,0
2,-0.018136,0.09754,-0.000361,0.062981,0.047732,0.042318,-0.150867,-0.065237,0.032844,-0.088246,-0.073539,-0.12479,-0.179109,-0.26519,0.03889,-0.231894,-0.123707,-0.087705,-0.069117,-0.069929,-0.064064,-0.067583,0.127948,0.114413,0.189576,0.08572,0.034559,-0.050169,0.016603,0.368685,0.143197,0.19878,0.223503,0.217638,-0.053507,-0.038078,0.249399,0.07426,0.111345,0.080125,0.015971,-0.112518,-0.002075,-0.404417,-0.103225,-0.07417,-0.126414,-0.155198,-0.149694,-0.016332,0.636131,0.260137,0.372926,0.075072,0.210871,-0.0157,-0.065197,-0.047536,-0.088214,-0.110979,-0.01708,-0.191634,-0.069344,-0.043325,-0.211442,-0.17529,-0.161334,-0.185952,-0.191564,-0.13109,-0.001489,0.080266,0.030502,0.031986,0.011144,0.014626,0.012993,-0.001668,-0.007786,-0.007592,-0.007669,-0.007791,-0.007778,-0.007419,0.032704,-0.383785,0.179268,-0.366592,1,0,0,0,0,0,0,0,0,0,0
3,0.111354,0.017111,0.078087,0.063407,0.058196,-0.12777,-0.06888,0.094416,-0.022149,-0.007991,-0.057327,-0.109617,-0.192481,-0.19804,-0.260665,-0.156521,-0.121864,-0.103971,-0.104752,-0.099107,-0.005385,0.188224,0.175196,0.247549,0.147574,0.098325,0.016764,0.029098,0.338926,0.121864,0.175369,0.199169,0.193523,-0.06749,0.049597,0.276734,0.10814,0.143839,0.113786,0.052029,-0.071659,-0.008165,-0.387306,-0.097369,-0.069401,-0.119692,-0.1474,-0.142102,-0.063494,0.628081,0.266137,0.374712,0.087989,0.218712,0.000608,0.212458,0.017001,-0.022157,-0.04407,0.04632,-0.121711,-0.003992,-0.166454,-0.161835,-0.127034,-0.113599,-0.137297,-0.1427,-0.084485,-0.111974,0.062623,0.024505,0.025642,0.009677,0.012344,0.011093,0.012296,-0.004687,-0.004538,-0.004597,-0.00469,-0.00468,-0.004406,-0.005067,-0.026506,-0.709956,-0.059173,-0.467104,1,0,0,0,0,0,0,0,0,0,0
4,-0.10705,-0.037788,-0.054462,-0.060382,-0.27162,-0.204726,-0.189335,-0.132406,-0.116324,-0.172365,-0.23176,-0.325885,-0.3322,-0.292142,0.118297,0.157664,0.177989,0.177101,0.183514,0.289972,0.268956,-0.0148,0.067387,-0.046174,-0.102117,-0.194761,-0.180751,-0.079227,-0.24656,-0.185783,-0.158749,-0.165162,-0.461646,-0.328648,-0.325096,-0.191506,-0.150955,-0.185092,-0.255242,-0.395739,-0.323616,-0.281881,0.329338,0.361108,0.303982,0.272508,0.278527,0.367817,0.316808,-0.41113,-0.287801,-0.613489,-0.465,-0.712744,-0.472104,-0.390115,-0.044479,-0.069371,0.033303,-0.157563,-0.023846,-0.208386,-0.227767,0.03953,0.054791,0.027872,0.021736,0.087861,0.056637,0.066794,-0.093005,-0.090231,-0.129183,-0.122677,-0.125729,-0.122794,-0.122798,0.000364,0.000219,-8e-06,1.6e-05,0.000687,-0.000927,-0.000854,0.012742,-0.741798,-0.036799,-0.534297,1,0,0,0,0,0,0,0,0,0,0
5,0.068236,0.051809,0.045977,-0.162134,-0.096231,-0.081067,-0.084955,0.015844,-0.039367,-0.097883,-0.190614,-0.196835,-0.157371,-0.011178,0.038784,0.058808,0.057933,0.064251,0.169132,0.148428,0.127627,0.08097,-0.03091,-0.086024,-0.177298,-0.163495,-0.063473,-0.094189,0.059877,0.08651,0.080192,-0.211902,-0.080873,-0.077373,-0.231051,0.03995,0.006318,-0.062793,-0.201209,-0.130154,-0.089038,-0.076596,0.031299,-0.024981,-0.055989,-0.050059,0.037909,-0.012345,-0.011859,0.121503,-0.199362,-0.053073,-0.297148,-0.060071,0.020704,-0.052781,-0.024523,0.07663,-0.11141,0.020328,-0.16148,-0.180574,-0.134863,0.015035,-0.011485,-0.017531,0.047615,0.016854,0.02686,0.145915,0.002499,-0.032591,-0.02673,-0.029479,-0.026835,-0.026839,-0.026843,-0.00013,-0.000335,-0.000313,0.000291,-0.001163,-0.001097,0.010118,0.001101,-0.655693,0.105721,-0.511647,1,0,0,0,0,0,0,0,0,0,0
6,-0.015843,-0.021468,-0.222182,-0.158621,-0.143996,-0.147746,-0.185245,-0.053249,-0.109685,-0.19912,-0.20512,-0.167058,-0.026062,-0.082592,0.019312,0.018468,0.024562,0.125716,0.105747,0.085685,0.107997,-0.107904,-0.161059,-0.249088,-0.235775,-0.139309,-0.168933,-0.26465,0.025687,0.019593,-0.262119,-0.135747,-0.132372,-0.280587,-0.309086,-0.032437,-0.099091,-0.232588,-0.164058,-0.124403,-0.112403,-0.20812,-0.05428,-0.084185,-0.078467,0.006375,-0.042093,-0.041624,-0.047436,-0.309461,-0.168371,-0.403771,-0.175121,-0.097216,-0.16809,-0.30618,0.097558,-0.083798,0.043257,-0.132089,-0.150504,-0.106418,-0.080427,-0.025578,-0.031408,0.031423,0.001755,0.011405,0.126228,0.125968,-0.027237,-0.022688,-0.024822,-0.02277,-0.022772,-0.022776,-0.02286,-0.000159,-0.000142,0.000327,-0.000801,-0.000751,0.007955,0.015169,0.046811,-0.511814,0.130309,-0.428617,1,0,0,0,0,0,0,0,0,0,0
7,-0.007024,-0.257655,-0.178287,-0.160025,-0.164707,-0.211532,-0.244778,-0.070472,-0.18215,-0.189642,-0.142114,0.033948,-0.036641,-0.087212,-0.001054,0.006556,0.132866,0.107932,0.08288,0.110741,0.224995,-0.066375,-0.176297,-0.159674,-0.039216,-0.076208,-0.195729,-0.166697,-0.007609,-0.359383,-0.201582,-0.197368,-0.382444,-0.418031,-0.436176,-0.083232,-0.249929,-0.164356,-0.114839,-0.099855,-0.219376,-0.257421,-0.037343,-0.030202,0.07574,0.015218,0.015803,0.008546,0.081827,0.176179,-0.117765,0.167751,0.26503,0.176531,0.004097,0.072813,-0.22646,-0.067806,-0.286761,-0.309756,-0.254705,-0.22225,-0.266462,-0.007281,0.071176,0.03413,0.046181,0.18956,0.189235,0.171228,0.021537,0.011435,0.021148,0.021135,0.021119,0.020721,0.020511,8.2e-05,0.0023,-0.00304,-0.0028,0.03841,0.072561,0.067967,0.009356,-0.558549,0.124708,-0.363076,1,0,0,0,0,0,0,0,0,0,0
8,-0.2205,-0.150673,-0.134607,-0.138727,-0.179922,-0.209171,0.020598,-0.098252,-0.104843,-0.063029,0.091866,0.029764,-0.014727,0.209686,0.006694,0.11782,0.095883,0.073843,0.098355,0.198872,0.107212,-0.096707,-0.082082,0.023894,-0.008651,-0.113803,-0.088262,0.128428,-0.309483,-0.170653,-0.166946,-0.329772,-0.36108,-0.377044,0.063647,-0.146657,-0.071372,-0.027807,-0.014624,-0.119777,-0.153248,0.290842,0.006282,0.099488,0.046242,0.046757,0.040372,0.104843,0.254178,-0.258606,-0.007415,0.078169,0.000309,-0.151394,-0.09094,0.34934,0.13958,-0.053052,-0.073282,-0.024849,0.003703,-0.035193,0.145546,0.069025,0.036432,0.047034,0.173177,0.17289,0.157048,0.041001,-0.004121,-0.000159,-0.000164,-0.000171,-0.000333,-0.000418,0.011747,0.000905,-0.001274,-0.001176,0.015636,0.029568,0.027694,0.004778,-0.132819,-0.712913,-0.160459,-0.492775,1,0,0,0,0,0,0,0,0,0,0
9,0.081518,0.100275,0.095465,0.047372,0.013226,0.281467,0.194778,-0.007695,0.04112,0.221951,0.14945,0.097509,0.359498,0.434403,0.129732,0.104122,0.078392,0.107008,0.224356,0.117348,0.082119,0.017073,0.140793,0.1028,-0.019959,0.009859,0.26283,0.147406,0.162075,0.166403,-0.023686,-0.060237,-0.078873,0.435606,0.074905,0.087891,0.138749,0.154139,0.031381,-0.007695,0.510752,0.404586,0.108811,0.046651,0.047252,0.039797,0.115063,0.289402,0.178787,0.293249,0.393163,0.302267,0.125163,0.19574,0.709738,0.382703,-0.224886,-0.248503,-0.191961,-0.158628,-0.204037,0.006964,-0.100946,-0.03805,-0.025673,0.121591,0.121257,0.102762,-0.032716,0.119056,0.011712,0.011696,0.011676,0.011197,0.010944,0.0469,-0.002209,-0.006439,-0.006149,0.043538,0.084715,0.079177,0.011447,0.08041,-0.117267,-0.594704,0.073496,-0.536215,1,0,0,0,0,0,0,0,0,0,0
