,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.000674,-0.000674,-0.00064,-0.000472,0.000909,-0.001213,-0.006299,-0.011486,-0.004177,-0.013271,-0.020614,-0.024185,0.000842,-0.000371,-0.00677,-0.012025,-0.007208,-0.013541,-0.013474,-0.013238,0.002829,0.003065,-0.02432,-0.034762,-0.011958,-0.049818,-0.07114,-0.087005,-0.003773,-0.011587,-0.024454,-0.036715,-0.00495,-0.011798,-0.017795,-0.024051,0.002125,0.004763,-0.017506,-0.022757,0.015113,0.068363,0.09289,0.113963,0.008274,0.01643,0.017804,0.018024,0.128854,-1.002417,-0.029987,-0.940938,1,0,0,0,0,0,0,0,0,0,0
1,0.0,0.0,0.000164,3.3e-05,-0.000787,-0.003901,-0.009669,-0.014291,-0.004884,-0.014094,-0.017339,-0.021109,-0.001475,-0.003114,-0.012587,-0.012947,-0.004064,-0.006326,-0.005933,-0.005802,0.000754,-0.012226,-0.031794,-0.039858,-0.020289,-0.04484,-0.067391,-0.075585,-0.007539,-0.014717,-0.03068,-0.03281,-0.006389,-0.01178,-0.01739,-0.018846,0.001712,-0.008029,-0.021821,-0.025272,0.024482,0.048324,0.076709,0.082959,0.004426,0.007502,0.007974,0.007912,0.129319,-1.002132,-0.032065,-0.939124,1,0,0,0,0,0,0,0,0,0,0
2,0.0,3.2e-05,0.000193,0.000226,-0.001257,-0.006126,-0.011091,-0.015927,-0.003901,-0.01093,-0.014347,-0.016765,0.00029,-0.005836,-0.010865,-0.012252,-0.002063,-0.001999,-0.001773,-0.000226,-0.000516,-0.026728,-0.036723,-0.047556,-0.016282,-0.03669,-0.051876,-0.055745,-6.4e-05,-0.012381,-0.024116,-0.030049,-0.00027,-0.00601,-0.011998,-0.016423,0.000842,-0.020474,-0.0255,-0.031568,0.017385,0.035439,0.05095,0.053144,0.00206,0.003072,0.003233,0.002356,0.129503,-0.99767,-0.035272,-0.932646,1,0,0,0,0,0,0,0,0,0,0
3,0.0,0.000161,3.2e-05,0.000225,-0.0018,-0.007455,-0.011986,-0.016228,-0.005142,-0.008323,-0.012018,-0.012693,-0.001896,-0.011183,-0.011536,-0.017031,-0.000161,0.000225,0.000353,0.002121,-0.012211,-0.031396,-0.039301,-0.052251,-0.007841,-0.02995,-0.037983,-0.039012,-0.006973,-0.022623,-0.024712,-0.038658,-0.005016,-0.010516,-0.011943,-0.020344,-0.010389,-0.023911,-0.027294,-0.036073,0.003767,0.028478,0.033918,0.035093,0.000664,0.001075,0.001021,0.000224,0.129601,-0.993724,-0.036181,-0.932197,1,0,0,0,0,0,0,0,0,0,0
4,3.2e-05,0.000192,0.000224,0.000128,-0.003041,-0.007971,-0.012772,-0.015781,-0.001857,-0.00525,-0.007651,-0.007427,-0.004193,-0.009187,-0.010564,-0.017574,0.000224,0.000448,0.001985,0.002369,-0.013861,-0.023784,-0.03454,-0.040878,-0.012452,-0.027529,-0.031371,-0.027721,-0.005282,-0.016934,-0.022824,-0.031851,-0.000703,-0.006648,-0.011041,-0.013302,-0.010815,-0.015804,-0.02183,-0.025179,0.013504,0.028256,0.030343,0.026777,0.000315,0.000469,-0.000365,-0.000567,0.126482,-0.994815,-0.037535,-0.932913,1,0,0,0,0,0,0,0,0,0,0
5,0.000128,0.0,0.000192,6.4e-05,-0.002593,-0.007107,-0.011333,-0.016135,-0.001313,-0.004994,-0.005666,-0.005602,-0.005058,-0.00541,-0.010884,-0.014054,0.00016,0.000288,0.002049,0.002241,-0.00525,-0.013125,-0.026027,-0.031245,-0.009572,-0.017575,-0.0186,-0.013445,-0.010308,-0.012389,-0.026283,-0.027211,-0.004777,-0.006199,-0.014567,-0.012694,-0.002655,-0.006025,-0.014771,-0.015203,0.010552,0.015849,0.016994,0.011224,8.4e-05,3.2e-05,-0.000745,-0.000939,0.124713,-0.995343,-0.038848,-0.930888,1,0,0,0,0,0,0,0,0,0,0
6,3.2e-05,6.4e-05,-3.2e-05,-0.000448,-0.002337,-0.00714,-0.01015,-0.017834,-0.002081,-0.004483,-0.004258,-0.004515,6.4e-05,-0.001313,-0.008325,-0.009734,6.4e-05,0.001601,0.001985,0.002049,-0.004675,-0.015433,-0.021772,-0.030994,-0.005507,-0.009349,-0.005699,-0.002561,-0.001345,-0.007236,-0.016265,-0.01793,-0.001169,-0.005564,-0.007825,-0.008305,-0.002336,-0.008362,-0.011712,-0.013271,0.004212,0.006303,0.002731,-0.001003,7e-05,-0.000766,-0.000969,-0.001228,0.123187,-0.993235,-0.040503,-0.927449,1,0,0,0,0,0,0,0,0,0,0
7,-0.00016,3.2e-05,-9.6e-05,-0.002723,-0.002179,-0.006407,-0.011213,-0.017749,-0.001602,-0.002275,-0.002211,-0.002979,-0.000416,-0.005895,-0.009067,-0.010957,6.4e-05,0.001826,0.002018,0.001474,-0.003204,-0.016115,-0.021337,-0.02957,-0.002499,-0.003524,0.001634,0.007625,-0.000737,-0.014641,-0.01557,-0.021882,-0.000253,-0.008628,-0.006754,-0.011563,-0.001036,-0.009788,-0.010221,-0.012017,0.001096,0.002247,-0.003553,-0.010623,-0.000123,-0.000903,-0.001099,-0.002378,0.118072,-0.987006,-0.040721,-0.924893,1,0,0,0,0,0,0,0,0,0,0
8,0.000192,9.6e-05,-0.000321,-0.002629,-0.002629,-0.005643,-0.013339,-0.017828,-0.000802,-0.000577,-0.000834,-0.001924,-0.000962,-0.007984,-0.009395,-0.010806,0.001475,0.00186,0.001924,0.000994,-0.007567,-0.013916,-0.023151,-0.033893,-0.001347,0.002309,0.005451,0.017636,-0.005162,-0.014205,-0.015872,-0.022798,-0.004147,-0.006412,-0.006892,-0.013043,-0.004999,-0.008354,-0.009915,-0.016227,0.001009,-0.002599,-0.006371,-0.020188,-0.000721,-0.000926,-0.001188,-0.0019,0.110207,-0.98593,-0.042033,-0.919367,1,0,0,0,0,0,0,0,0,0,0
9,0.0,-0.000128,-0.00276,-0.002824,-0.001605,-0.006419,-0.012966,-0.015213,0.000128,0.000193,-0.000578,-0.002568,-0.004525,-0.007703,-0.009596,-0.010976,0.000289,0.000481,-6.4e-05,-0.001701,-0.00536,-0.010591,-0.01884,-0.026318,0.000321,0.005488,0.01149,0.033892,-0.008762,-0.009693,-0.016015,-0.017235,-0.004239,-0.002361,-0.007179,-0.007634,-0.003765,-0.004198,-0.005997,-0.011148,0.000149,-0.005724,-0.012883,-0.0386,-6.5e-05,-0.000263,-0.001558,-0.000453,0.094765,-0.985953,-0.041166,-0.920081,1,0,0,0,0,0,0,0,0,0,0
