,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.007534,0.199646,0.15475,0.136838,-0.025984,-0.313191,-0.48247,-0.09694,0.063576,0.392219,0.438036,0.437652,-0.044818,0.258071,0.386222,0.752149,0.021141,0.091174,0.093634,-0.010148,-0.090636,-0.122539,-0.36931,0.241927,-0.058195,0.204796,0.272523,0.199799,0.018143,0.493771,0.662436,1.095552,-0.13663,-0.161495,-0.116136,-0.083459,0.06062,-0.064155,-0.112781,0.088864,0.00108,0.022836,0.022641,0.033332,-0.000533,0.000569,0.000567,0.005027,0.080727,-0.938177,0.089325,-1.013344,1,0,0,0,0,0,0,0,0,0,0
1,0.14542,0.160368,0.130698,0.118605,-0.351307,-0.262297,-0.022384,-0.122435,0.355138,0.358518,0.304586,0.440091,0.256889,0.377522,0.382329,0.866738,0.080973,0.055509,0.008187,0.031548,-0.141589,-0.04304,0.382629,0.298502,0.348378,0.287235,0.170058,0.439265,0.553739,0.582056,0.736565,1.102144,0.113386,0.000999,0.128865,0.067506,-0.145781,-0.153491,0.032954,0.048802,0.019905,0.018771,0.031536,0.019148,0.000926,0.000936,0.001955,-0.001899,-0.066734,-0.915638,0.035912,-1.058568,1,0,0,0,0,0,0,0,0,0,0
2,0.041601,-0.001552,-0.018769,0.14771,0.069532,-0.093178,0.27739,0.296085,-0.033473,0.010567,0.010197,-0.055493,0.038424,0.161602,0.513327,0.488574,-0.01234,-0.009975,-0.10973,-0.019286,0.108621,-0.128572,0.458943,0.555003,-0.089927,-0.024828,-0.094729,-0.138991,-0.087562,0.074557,0.490864,0.316923,-0.135442,-0.091843,-0.060434,-0.187412,0.023478,-0.02326,0.170559,0.26823,-0.001255,-0.001403,0.006701,-0.000808,1e-05,8e-06,0.003389,0.026463,0.096836,-0.718463,0.146035,-0.89105,1,0,0,0,0,0,0,0,0,0,0
3,-0.02641,-0.055069,-0.066751,0.045129,0.017703,0.249444,0.152801,0.089315,0.036132,-0.015962,0.114927,0.114637,0.078795,0.083438,0.551345,0.390128,-0.012479,-0.058189,-0.035624,-0.010883,-0.011464,0.399705,0.318444,0.366185,0.02924,-0.083946,0.176091,0.086776,0.113331,0.262576,0.615701,0.310245,0.024432,0.147942,0.088674,-0.07195,-0.030501,0.149593,0.164901,0.282474,0.000215,0.01023,0.000511,0.000385,-1e-06,0.000798,-0.002225,-0.012026,-0.038029,-0.444545,0.130393,-0.96369,1,0,0,0,0,0,0,0,0,0,0
4,-0.016759,-0.034509,0.137121,0.054544,-0.186332,0.195702,0.214975,-0.020568,0.007465,0.007085,-0.060638,0.023082,0.04426,0.406869,0.381349,0.45966,0.01554,-0.0873,0.005942,0.006856,-0.232496,0.373198,0.47223,0.308751,0.036413,-0.035651,-0.081282,0.069932,0.048145,0.477334,0.29801,0.324596,0.019295,0.051676,-0.079231,-0.037213,-0.016161,0.183656,0.284349,0.332356,-0.000485,0.009546,0.000251,0.000201,-1e-06,0.004184,0.032745,-0.041673,-0.034471,-0.500708,0.077929,-0.967297,1,0,0,0,0,0,0,0,0,0,0
5,-0.013414,-0.025754,0.09244,0.053732,0.432306,0.330208,0.263139,0.097116,-0.062546,0.07573,0.075424,0.051049,-0.039628,0.454688,0.284371,0.454918,-0.063926,-0.040088,-0.01395,0.035259,0.668311,0.582463,0.632899,0.515701,-0.156213,0.118501,0.024145,0.096656,0.109226,0.482282,0.159585,0.307443,0.111067,0.048453,-0.121236,-0.029735,0.206519,0.222692,0.3469,0.388619,0.015215,0.000941,0.000756,0.000641,0.001175,-0.003266,-0.017659,-0.123791,-0.088722,-0.464256,0.016772,-0.939082,1,0,0,0,0,0,0,0,0,0,0
6,-0.004518,0.170981,0.086542,-0.010126,-0.048685,-0.028977,-0.269831,-0.398204,0.063174,-0.006076,0.079532,0.155091,0.411057,0.384961,0.465038,0.572613,-0.040194,0.05515,0.056085,0.065978,-0.059824,0.041441,-0.125724,-0.219043,0.085062,0.038403,0.193026,0.245216,0.327864,0.144497,0.171683,0.226365,-0.079761,-0.213619,-0.170654,-0.187295,-0.005554,0.097409,0.146499,0.182351,-0.005308,-0.016173,-0.016231,-0.016675,0.003577,0.036961,-0.050026,-0.215261,-0.077503,-0.496887,-0.025955,-1.060968,1,0,0,0,0,0,0,0,0,0,0
7,-0.007635,0.106672,0.069237,-0.044626,-0.052409,-0.117272,-0.277836,-0.29066,0.07361,0.073314,0.049741,0.074129,0.086879,-0.077835,0.087102,0.123351,0.061305,0.086583,0.134174,0.06805,-0.026093,0.022683,-0.09066,-0.172202,0.18473,0.093477,0.163603,0.143884,0.048777,-0.263306,-0.120311,-0.127502,0.01535,-0.148759,-0.060266,-0.097626,0.020926,0.14105,0.181397,0.117923,-0.007543,-0.007689,-0.00778,-0.008032,-0.006042,-0.017431,-0.101412,-0.168266,-0.081708,-0.515611,-0.034257,-0.972256,1,0,0,0,0,0,0,0,0,0,0
8,0.168878,0.091177,0.002222,-0.011469,0.068813,-0.152821,-0.27095,-0.214824,-0.134901,-0.056125,0.013404,-0.020787,-0.108022,-0.034335,0.064655,-0.024658,0.028457,0.029317,0.03842,0.015053,0.118415,-0.03541,-0.121282,-0.186654,-0.221562,-0.079278,-0.031252,-0.055982,-0.2159,-0.190883,-0.140564,-0.200919,-0.138019,-0.098483,-0.113796,-0.11068,0.074512,0.119685,0.152676,0.031073,-0.000108,-0.00014,-0.000388,-0.000324,0.023427,-0.025172,-0.117489,-0.126777,-0.071536,-0.515047,-0.027492,-0.888699,1,0,0,0,0,0,0,0,0,0,0
9,-0.057789,-0.093642,-0.202689,-0.122536,-0.130275,-0.284048,-0.29633,-0.351209,0.133327,0.110751,0.134108,0.110822,-0.050761,0.107201,0.141918,0.078307,-0.003976,0.041603,-0.021724,-0.005822,-0.070568,-0.179119,-0.257212,-0.378258,0.132049,0.19921,0.180326,0.156117,-0.085051,0.051897,0.04501,0.0,-0.02047,0.06428,0.028501,0.022796,0.041245,0.079885,0.019096,-0.052234,-7e-06,-7.4e-05,-0.00026,-0.000221,-0.03032,-0.092382,-0.141788,-0.133796,-0.063344,-0.453688,-0.011583,-0.843307,1,0,0,0,0,0,0,0,0,0,0
