,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,0.007101,0.012777,0.033624,0.038579,0.057451,0.278256,0.39855,0.38695,-0.000285,0.014049,0.032485,0.049097,0.061894,0.280306,0.403486,0.390139,0.003095,0.014012,0.032845,0.074424,0.02284,0.310589,0.505763,0.525584,-0.002563,-0.01198,-0.002677,0.035409,0.042832,0.336827,0.597901,0.587155,-0.018972,0.057784,0.195979,0.197388,-0.034038,0.032106,0.106916,0.136898,0.005236,0.058454,0.049516,-0.146186,0.002382,-0.003348,-0.005102,-0.061977,0.128376,-1.142035,0.078966,-0.944136,1,0,0,0,0,0,0,0,0,0,0
1,-0.00019,0.004803,0.021975,0.043587,0.152354,0.308751,0.326718,0.27261,0.008413,0.022303,0.031183,0.059964,0.163324,0.296796,0.325094,0.277258,-0.000104,0.011039,0.033549,0.096398,0.219937,0.432065,0.475531,0.427003,-0.002868,-0.008465,0.009312,0.067669,0.224757,0.478312,0.539917,0.441895,0.061879,0.182948,0.21562,0.16438,0.067236,0.122303,0.147431,0.152492,0.010634,0.030727,-0.024356,-0.150927,-0.001585,-0.005799,-0.011408,-0.048131,0.101284,-1.119169,0.063166,-0.93806,1,0,0,0,0,0,0,0,0,0,0
2,0.005165,0.023459,0.027808,0.062147,0.046835,0.152402,0.142222,0.10525,0.004465,0.020643,0.035222,0.06348,0.034156,0.142255,0.130542,0.104717,0.00968,0.026208,0.062697,0.121512,0.040404,0.211683,0.229078,0.193606,-0.005498,0.002666,0.036089,0.099302,0.041237,0.270348,0.260918,0.195455,0.007679,0.128956,0.130192,0.090003,-0.006798,0.058853,0.085165,0.087168,0.013079,0.009496,-0.06895,-0.176579,-0.001066,-0.001769,-0.024567,-0.042211,0.076507,-1.119039,0.045754,-0.944051,1,0,0,0,0,0,0,0,0,0,0
3,-0.000339,0.015728,0.035949,0.076796,0.100897,0.117708,0.067081,0.067243,0.008664,0.016972,0.043902,0.065837,0.091748,0.118225,0.073466,0.075859,0.001035,0.022096,0.080902,0.149584,0.159282,0.199951,0.154546,0.161238,9.7e-05,0.01673,0.071333,0.122508,0.197236,0.254877,0.163161,0.136895,0.105829,0.136399,0.088455,0.060001,0.05812,0.081631,0.086366,0.094481,0.002035,-0.032547,-0.112011,-0.180983,-0.001783,-0.005304,-0.02836,-0.045602,0.05805,-1.095844,0.017771,-0.943751,1,0,0,0,0,0,0,0,0,0,0
4,0.017478,0.021554,0.053745,0.106614,0.001468,-0.008075,-0.042733,-0.013401,0.006794,0.020461,0.04695,0.059227,0.012683,0.001702,-0.022507,-0.017165,0.014494,0.0487,0.103834,0.193034,0.006654,0.02296,-0.010293,0.014572,0.00756,0.038891,0.098149,0.138055,0.024194,0.015353,-0.046013,-0.061413,0.011429,0.012588,-0.025086,-0.044871,0.005384,0.030049,0.031927,0.030568,-0.00388,-0.053784,-0.122253,-0.169711,0.000955,-0.013549,-0.024773,-0.043695,0.040051,-1.090394,-0.001471,-0.946676,1,0,0,0,0,0,0,0,0,0,0
5,-0.001879,0.016922,0.0549,0.113528,0.014217,-0.032853,-0.032703,0.010716,0.001187,0.026225,0.046619,0.054359,0.012414,-0.029201,-0.026977,-0.024287,0.005636,0.060311,0.124168,0.2167,0.03141,-0.010806,-0.004584,0.027352,0.008191,0.058958,0.106539,0.149026,0.030313,-0.05496,-0.079382,-0.083725,0.017425,-0.02715,-0.053606,-0.058454,0.016679,0.021081,0.028626,0.021477,-0.017807,-0.065534,-0.106959,-0.151853,-0.002844,-0.016692,-0.027047,-0.041034,0.015415,-1.085293,-0.027142,-0.948551,1,0,0,0,0,0,0,0,0,0,0
6,0.005531,0.035063,0.083566,0.170814,-0.02231,-0.054106,-0.027196,0.016779,0.011406,0.035707,0.04697,0.05422,-0.021909,-0.044118,-0.039218,-0.041425,0.026007,0.076587,0.158419,0.22062,-0.014988,-0.045494,-0.022682,-0.00182,0.020934,0.075298,0.111908,0.141712,-0.037011,-0.093309,-0.107437,-0.116493,-0.01555,-0.050112,-0.068263,-0.073289,0.006726,0.008449,0.007202,-0.018243,-0.014541,-0.051988,-0.077943,-0.099727,-0.005895,-0.012034,-0.022383,-0.017522,0.007785,-1.08091,-0.025082,-0.927641,1,0,0,0,0,0,0,0,0,0,0
7,0.012471,0.048905,0.105149,0.168011,-0.022708,-0.022564,0.019089,0.055523,0.012543,0.032108,0.039534,0.04817,-0.017878,-0.015744,-0.013163,-0.003705,0.026284,0.087545,0.176315,0.199456,-0.025419,-0.01945,0.011188,0.019579,0.027639,0.073286,0.114045,0.130914,-0.044565,-0.067994,-0.072161,-0.081417,-0.027117,-0.052497,-0.057148,-0.074909,-0.002544,0.004694,-0.002165,-0.034819,-0.020508,-0.051489,-0.085063,-0.094391,-0.0042,-0.011944,-0.022405,-0.012706,0.003944,-1.086174,-0.014821,-0.928328,1,0,0,0,0,0,0,0,0,0,0
8,0.017447,0.066827,0.155653,0.161794,-0.009395,0.018001,0.062772,0.108228,0.01205,0.023516,0.030897,0.036382,-0.004522,0.000467,-0.00178,0.020044,0.024902,0.108213,0.171539,0.193465,-0.005339,0.017885,0.039125,0.056441,0.027381,0.064654,0.094996,0.10229,-0.012225,-0.026608,-0.035828,-0.039329,-0.007751,-0.02623,-0.031346,-0.056338,0.004328,0.003059,-0.022846,-0.049406,-0.020189,-0.049613,-0.074309,-0.078807,-0.0024,-0.014132,-0.008622,-0.012233,0.013119,-1.089274,-0.025934,-0.917202,1,0,0,0,0,0,0,0,0,0,0
9,0.019538,0.076801,0.140801,0.159546,0.0096,0.052008,0.089102,0.129762,0.007795,0.015354,0.024147,0.029813,0.006723,0.009351,0.01898,0.043465,0.037314,0.127693,0.151252,0.172566,0.01145,0.042643,0.051186,0.063281,0.018921,0.060419,0.077593,0.078312,-0.011552,-0.015795,-0.025219,-0.027978,-0.018041,-0.022776,-0.04086,-0.068485,0.003014,-0.003969,-0.037215,-0.065471,-0.014041,-0.052112,-0.062689,-0.061043,-0.006275,-0.018136,-0.007139,-0.008566,0.026498,-1.08154,-0.002154,-0.90667,1,0,0,0,0,0,0,0,0,0,0
