,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.157758,-0.063289,-0.046257,-9.3e-05,-0.147613,-0.029969,-0.09149,0.156269,-0.013775,0.143239,-0.047932,0.011169,0.163529,0.194615,0.013775,0.119784,-0.182143,-0.041417,-0.098657,-0.153477,0.062173,0.343345,-0.247666,-0.010145,-0.303882,0.077343,0.03816,0.063941,0.454194,0.552107,-0.067105,0.027736,-0.239141,-0.075843,0.1175,0.09919,-0.178136,-0.145941,0.163535,0.206377,0.034436,0.218472,0.659115,0.597991,-0.003105,-0.171239,-0.024101,-0.235445,-0.224701,0.002437,0.225086,-0.090419,1,0,0,0,0,0,0,0,0,0,0
1,0.059279,0.101015,0.165498,0.171089,0.092725,0.071231,0.401938,0.229597,0.050507,-0.107376,-0.017735,0.077496,-0.14863,0.00106,-0.088388,-0.157595,0.090508,0.140052,0.08887,0.116822,-0.320009,0.234609,0.034411,-0.024868,0.473651,-0.268826,0.351913,0.476446,-0.461024,-0.047809,-0.454566,-0.456012,0.357674,0.090826,0.34217,0.329746,0.377765,0.029606,0.356199,0.242564,-0.156343,0.282603,0.805033,0.977571,0.058067,-0.21478,-0.1519,-0.265449,-0.304024,-0.141406,0.097243,-0.306893,1,0,0,0,0,0,0,0,0,0,0
2,0.036657,0.053428,0.098883,-0.25092,0.027676,-0.0329,0.211055,-0.356126,0.106581,-0.081654,-0.023461,0.272548,0.171923,-0.00614,0.098242,0.319744,0.052512,-0.003849,-0.057827,-0.202715,0.581111,-0.000825,0.233049,0.124543,-0.074964,-0.113546,-0.088161,0.001008,0.534739,-0.074964,0.01842,0.634264,-0.179277,0.011097,-0.006931,-0.278891,-0.327469,-0.022746,0.019439,-0.40112,0.274947,0.670353,0.615504,0.88577,-0.191655,-0.059623,-0.24927,-0.240663,-0.109467,-0.622407,0.09783,-0.409858,1,0,0,0,0,0,0,0,0,0,0
3,0.003188,0.067827,0.073431,-0.283,-0.050725,0.280777,0.108021,-0.523293,-0.270632,-0.180776,-0.085315,0.090436,-0.031208,-0.120871,-0.190245,0.100775,-0.005701,-0.057006,-0.028986,-0.271019,-0.056716,-0.257395,-0.316817,-0.687644,-0.665228,-0.042996,0.081837,-0.086475,-0.149568,-0.557304,-0.558753,0.032174,-0.078477,0.173471,0.161018,-0.165402,-0.003745,0.323633,0.209724,-0.074206,0.048275,0.579563,0.755027,0.884824,3.7e-05,0.063982,-0.051492,-0.070966,0.038713,-0.567675,0.126765,-0.21319,1,0,0,0,0,0,0,0,0,0,0
4,0.01517,0.065333,-0.320696,-0.279939,-0.013754,0.255465,-0.370454,-0.28449,0.075547,0.139767,0.46643,0.317258,-0.163837,-0.048645,0.195796,-0.059467,-0.056231,-0.115799,-0.275691,-0.247475,-0.582836,-0.324742,-0.444484,-0.557046,0.653731,0.681745,0.780148,0.599523,-0.516289,-0.413234,0.266387,-0.299458,0.292233,0.272338,-0.027786,0.012329,0.340201,0.386754,-0.077358,0.031578,0.721705,0.612374,1.151096,1.145546,0.26313,-0.114894,-0.097739,-0.097703,0.028072,-0.124685,0.139745,-0.249165,1,0,0,0,0,0,0,0,0,0,0
5,0.051026,0.056729,-0.305962,-0.228292,0.350696,0.174906,-0.467497,-0.085437,0.017992,0.115129,0.293967,0.124961,0.068035,-0.002556,0.293574,0.134792,0.002458,0.03097,-0.215314,-0.132335,0.362396,0.301931,-0.075409,0.06892,-0.00236,0.124666,-0.046602,-0.023301,0.08701,0.085536,0.686842,0.135677,-0.027719,-0.040392,-0.372545,-0.10585,0.002404,-0.113505,-0.402423,-0.166054,0.007943,0.20615,0.352771,0.366805,-0.143682,-0.274123,-0.296121,-0.296306,-0.088161,-0.058311,0.107499,-0.196651,1,0,0,0,0,0,0,0,0,0,0
6,-0.002955,-0.493302,-0.441531,-0.355075,-0.11626,-0.911325,-0.80213,-0.31114,0.058066,0.473005,0.28352,0.056267,0.057423,0.367921,0.043678,0.069756,-0.078877,-0.281979,-0.246137,-0.069499,-0.145678,-0.29778,-0.44076,-0.354689,0.038668,0.163663,-0.065774,-0.007579,0.017214,0.880493,0.161736,-0.027106,0.010947,-0.370281,-0.319326,0.020127,0.055993,-0.533539,-0.395165,0.016229,-0.635007,2.239447,2.209834,2.658003,-1.082733,-0.991199,-0.991006,-0.528157,-0.142789,-0.002145,0.033399,-0.05781,1,0,0,0,0,0,0,0,0,0,0
7,0.010389,-0.462741,-0.36142,-0.093369,-0.113249,-0.951262,-0.452866,0.01026,0.068744,0.302039,0.08157,0.059895,-0.149416,0.236886,0.029755,-0.210209,0.115942,-0.205335,-0.097088,0.029242,0.066564,-0.425676,-0.237399,0.181352,0.1271,-0.096319,-0.065923,0.087213,-0.01911,0.765293,0.0463,-0.105168,-0.02746,-0.460754,-0.11285,-0.041623,-0.207104,-0.583997,-0.275654,-0.205111,1.901942,2.844484,2.934701,5.509539,0.231879,0.090463,0.089272,-1.493619,-0.29014,-0.052209,0.108993,-0.280754,1,0,0,0,0,0,0,0,0,0,0
8,-0.399422,-0.358127,-0.289166,-0.323186,-0.543698,-0.456599,-0.064965,-0.529352,0.27605,0.124909,-0.056358,0.1453,0.367042,0.108412,0.129213,0.27564,-0.254634,-0.226045,-0.085151,-0.210265,-0.174504,-0.288551,-0.219897,-0.199301,-0.001844,-0.184853,-0.138435,-0.090172,0.703856,0.130545,-0.020084,0.626185,-0.282144,-0.2415,0.029261,-0.24137,-0.30477,-0.194397,0.133748,-0.329644,0.195283,0.1892,0.281266,1.001207,-0.029379,-0.02934,0.065742,-0.36868,-0.125539,-0.547851,0.080445,-0.325296,1,0,0,0,0,0,0,0,0,0,0
9,0.021523,0.102876,0.318103,0.153439,-0.126459,0.273719,0.645578,0.174447,-0.090107,-0.267129,-0.284532,-0.286592,-0.058698,-0.22501,-0.417684,-0.169401,-0.00206,0.084855,0.18629,0.076205,-0.219861,-0.068687,0.26754,-0.205753,-0.177536,-0.15313,-0.030173,-0.235308,-0.077543,-0.654846,-0.776465,-0.464849,-0.064354,0.214988,0.272179,0.072453,0.003671,0.251249,0.307891,0.295366,0.00059,0.020001,0.573988,0.799072,-6e-06,-0.000263,-0.340828,-0.34188,-0.008004,-0.183585,0.08524,-0.076636,1,0,0,0,0,0,0,0,0,0,0
