,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,-0.051248,-0.29642,-0.204693,-0.153095,0.363923,0.393981,0.383095,0.236269,-0.141174,-0.144475,-0.193706,-0.257808,-0.215663,-0.21733,-0.229133,-0.218897,-0.111999,-0.373142,-0.198458,-0.01267,0.875688,0.872638,0.880807,0.728779,-0.18402,-0.214012,-0.268061,-0.325045,0.149944,0.131988,0.108982,0.117151,0.347058,0.340044,0.331276,0.326804,0.415515,0.389413,0.385628,0.374788,-0.01136,0.010141,0.015258,0.011784,-0.031226,-0.006609,-0.065595,-0.066724,0.155136,-0.892367,-0.079085,-0.878056,1,0,0,0,0,0,0,0,0,0,0
1,-0.044598,-0.124577,-0.102169,-0.051467,0.013557,0.02129,-0.124686,-0.06061,-0.002407,-0.022299,-0.044646,-0.10077,0.005107,-0.008876,-0.009715,0.00028,-0.070362,-0.128407,-0.059541,0.082739,-0.005423,-0.000267,-0.503073,0.023004,-0.017144,-0.041898,-0.063395,-0.105877,0.002663,-0.026275,-0.029326,-0.023442,0.002183,-0.010242,-0.012613,-0.021064,-0.009071,-0.019255,-0.300006,0.066785,0.001576,0.002552,0.002558,0.001631,0.003983,0.001829,-0.000801,-0.000427,0.14244,-0.912729,-0.092397,-1.051452,1,0,0,0,0,0,0,0,0,0,0
2,-0.131554,-0.065979,-0.029092,-0.00671,0.0082,0.000417,-0.104547,0.01168,0.0,-0.035195,-0.08102,-0.098695,-0.006197,-0.014636,-0.007318,-0.004171,-0.117717,0.007163,0.13998,0.116215,0.003135,0.008974,-0.099708,0.116906,-0.004636,-0.043275,-0.084012,-0.089887,-0.015446,-0.031893,-0.026053,-0.026208,-0.007154,-0.013422,-0.016619,-0.023702,-0.009768,-0.012474,-0.020224,0.078677,0.000682,0.00117,0.000839,0.000115,-0.001114,-0.006743,-0.006851,0.005857,0.14544,-0.921917,-0.050436,-1.149828,1,0,0,0,0,0,0,0,0,0,0
3,0.055575,0.07854,0.130502,0.12568,-0.000648,-0.150252,-0.084584,0.028498,-0.020386,-0.043289,-0.100808,-0.122727,-0.00785,-0.00871,0.001533,0.025383,0.063588,0.134166,0.279982,0.23065,0.002006,-0.513298,0.025856,0.198663,-0.020523,-0.042554,-0.086092,-0.096472,-0.013508,-0.016635,-0.010604,-0.004062,-0.005254,-0.007684,-0.016345,-0.036387,-0.000224,-0.287954,0.087955,0.14762,0.000229,0.000236,-0.000865,-0.001275,-0.001036,-0.004159,-0.003715,0.013155,0.13161,-0.911934,-0.036075,-1.251451,1,0,0,0,0,0,0,0,0,0,0
4,0.013093,0.051981,0.075578,0.063076,-0.007552,-0.118211,0.004322,0.026575,-0.016548,-0.06486,-0.083494,-0.118161,-0.00098,0.006735,0.010052,0.056567,0.067537,0.20756,0.182506,0.151508,0.004134,-0.110446,0.117922,0.13785,-0.020041,-0.062988,-0.069183,-0.079863,-0.003719,0.002438,0.002274,0.017817,-0.00131,-0.004681,-0.012148,-0.048935,-0.002627,-0.010797,0.093471,0.09206,0.000464,-1.6e-05,-0.001063,-0.002009,-0.007049,-0.007205,0.01119,0.021778,0.108216,-0.884738,-0.026575,-1.183989,1,0,0,0,0,0,0,0,0,0,0
5,0.010118,0.062795,0.057906,0.035774,-0.14407,-0.077499,0.037139,0.052411,-0.006581,-0.064892,-0.087112,-0.126928,0.000114,0.010497,0.034675,0.069389,0.003651,0.151473,0.101462,0.060016,-0.526548,0.020022,0.195205,0.125021,-0.002185,-0.046322,-0.056845,-0.065182,0.000568,0.006682,0.013314,0.026439,-0.001146,-0.009926,-0.030244,-0.05944,-0.289047,0.092033,0.152518,0.068598,-0.000474,-0.001685,-0.002137,-0.003424,0.003881,0.004371,0.022933,0.034225,0.094178,-0.875722,-0.003276,-1.168175,1,0,0,0,0,0,0,0,0,0,0
6,0.030162,0.054855,0.041772,0.010952,0.034159,0.162381,0.185667,0.201984,-0.043705,-0.063204,-0.09948,-0.139963,0.007955,0.011426,0.060101,0.082361,0.142724,0.116507,0.08407,0.050069,0.42816,0.667129,0.687983,0.664947,-0.042666,-0.049148,-0.060324,-0.071277,0.005851,0.00568,0.021944,0.03859,-0.002335,-0.010148,-0.048643,-0.061214,0.292305,0.401413,0.399937,0.36094,-3.2e-05,-0.001471,-0.002771,-0.00442,-0.005351,0.019922,0.034469,0.037927,0.084106,-0.898598,-0.004404,-1.162639,1,0,0,0,0,0,0,0,0,0,0
7,0.026116,0.020728,-0.003661,-0.023889,0.037197,0.163531,0.180361,0.173707,-0.017986,-0.042473,-0.086352,-0.118872,0.003021,0.029666,0.067921,0.078278,0.011791,-0.043322,-0.088997,-0.108793,0.149011,0.342068,0.264723,0.244579,-0.003466,-0.015063,-0.02425,-0.036097,0.000543,0.007851,0.022315,0.03426,-0.007205,-0.029596,-0.06177,-0.06427,0.110474,0.177131,0.084649,0.071181,-0.002343,-0.003235,-0.005776,-0.007406,0.008947,0.045589,0.06788,0.068021,0.081484,-0.937746,-0.008655,-1.218386,1,0,0,0,0,0,0,0,0,0,0
8,2.8e-05,-0.014141,-0.047523,-0.057506,0.100827,0.126048,0.143722,0.137641,-0.00272,-0.042011,-0.08586,-0.125507,0.000669,0.05339,0.0775,0.073669,-0.040459,-0.075592,-0.11242,-0.134849,0.106396,0.128982,0.104032,0.048548,-0.003475,-0.01558,-0.027443,-0.042652,-0.000741,0.016876,0.034905,0.028796,-0.001093,-0.042788,-0.056403,-0.062636,0.005163,0.003564,-0.038675,-0.086559,0.000231,-0.002042,-0.004927,-0.007012,0.033707,0.059146,0.065193,0.073595,0.074425,-0.968655,-0.013508,-1.199076,1,0,0,0,0,0,0,0,0,0,0
9,-0.005636,-0.031021,-0.052073,-0.073242,0.028905,0.046423,0.039497,0.021328,-0.022719,-0.068388,-0.102234,-0.146005,0.027051,0.066866,0.077646,0.071677,-0.016199,-0.063737,-0.08434,-0.109232,0.092686,0.012185,-0.00878,-0.08844,-0.008534,-0.018097,-0.030427,-0.054203,0.00836,0.023414,0.035846,0.030485,-0.022192,-0.055679,-0.058281,-0.060393,0.064124,-0.032132,-0.046148,-0.106861,-0.001441,-0.004803,-0.006959,-0.008832,0.010443,0.039934,0.04012,0.045053,0.074275,-0.986799,-0.018856,-1.185224,1,0,0,0,0,0,0,0,0,0,0
