,left_elbow_x_cumsum_0,left_elbow_x_cumsum_1,left_elbow_x_cumsum_2,left_elbow_x_cumsum_3,left_elbow_y_cumsum_0,left_elbow_y_cumsum_1,left_elbow_y_cumsum_2,left_elbow_y_cumsum_3,right_elbow_x_cumsum_0,right_elbow_x_cumsum_1,right_elbow_x_cumsum_2,right_elbow_x_cumsum_3,right_elbow_y_cumsum_0,right_elbow_y_cumsum_1,right_elbow_y_cumsum_2,right_elbow_y_cumsum_3,left_wrist_x_cumsum_0,left_wrist_x_cumsum_1,left_wrist_x_cumsum_2,left_wrist_x_cumsum_3,left_wrist_y_cumsum_0,left_wrist_y_cumsum_1,left_wrist_y_cumsum_2,left_wrist_y_cumsum_3,right_wrist_x_cumsum_0,right_wrist_x_cumsum_1,right_wrist_x_cumsum_2,right_wrist_x_cumsum_3,right_wrist_y_cumsum_0,right_wrist_y_cumsum_1,right_wrist_y_cumsum_2,right_wrist_y_cumsum_3,right_forearm_r_cumsum_0,right_forearm_r_cumsum_1,right_forearm_r_cumsum_2,right_forearm_r_cumsum_3,left_forearm_r_cumsum_0,left_forearm_r_cumsum_1,left_forearm_r_cumsum_2,left_forearm_r_cumsum_3,right_forearm_angle_cumsum_0,right_forearm_angle_cumsum_1,right_forearm_angle_cumsum_2,right_forearm_angle_cumsum_3,left_forearm_angle_cumsum_0,left_forearm_angle_cumsum_1,left_forearm_angle_cumsum_2,left_forearm_angle_cumsum_3,shoulder_wrist_right_x,shoulder_wrist_right_y,shoulder_wrist_left_x,shoulder_wrist_left_y,gt_idle,gt_sr,gt_sl,gt_r,gt_rl,gt_su,gt_sd,gt_pin,gt_spr,gt_ft,gt_p
0,4.054115,4.587533,4.599455,4.574589,-0.891755,-1.641981,-1.216371,-1.257075,4.112872,4.008641,4.143188,4.115257,-1.990611,-1.998445,-1.972217,-1.989759,4.674563,4.770278,4.823926,4.886601,-1.194741,-0.818351,-0.930246,-0.707988,4.619041,4.210461,4.348414,4.334619,-1.559891,-1.557166,-1.594123,-1.528042,0.203113,0.124752,0.061528,0.143981,0.598788,0.658003,0.176053,0.442016,-1.185795,-0.342339,-0.337392,-0.408499,1.467055,13.259983,11.90535,11.850099,-0.357385,-0.133849,-0.446099,-0.207842,1,0,0,0,0,0,0,0,0,0,0
1,0.100016,0.24458,0.234059,0.191908,0.054469,-0.229664,-0.145563,-0.145829,-0.000466,-0.010055,0.01172,-0.025836,-0.002664,0.012519,0.006659,-0.054736,-0.000999,0.066722,0.0572,0.065057,0.186981,0.069785,0.105143,0.041352,-0.09682,-0.128716,-0.117795,-0.110404,0.001598,-0.013318,0.007591,-0.129914,-0.030806,-0.060482,-0.032454,-0.107198,-0.145659,-0.115525,-0.160534,-0.166494,0.001027,0.001189,0.001222,0.001018,0.002801,0.014796,0.014624,0.013402,-0.40249,0.010195,-0.489276,0.02072,1,0,0,0,0,0,0,0,0,0,0
2,0.107426,0.112039,0.102417,-2.670418,-0.344224,-0.179526,-0.195278,-0.245827,-0.039873,0.012192,0.001384,-2.793727,-0.000395,0.009754,0.002966,1.912046,0.038027,0.058788,0.083041,-2.646495,-0.039411,-0.082711,0.003295,-0.058458,-0.062281,-0.008897,-0.014236,-2.624548,-0.000527,-0.014829,0.010743,1.47707,0.000167,-0.024299,0.007608,0.198629,0.167078,-0.019421,0.083498,0.099547,0.000141,0.000147,5.5e-05,-0.017403,0.012717,0.010957,0.010885,0.010861,-0.69612,0.21214,-0.608326,0.150951,1,0,0,0,0,0,0,0,0,0,0
3,0.035238,0.024947,-0.016284,0.067806,0.06227,0.144536,0.144275,-0.21371,0.030027,0.051327,0.01459,-0.018303,0.015242,0.00951,-0.050545,0.111707,0.02866,0.019345,0.027031,0.085523,-0.075687,-0.0411,-0.1035,-0.004104,0.030353,0.041035,0.048265,0.073082,-0.014069,0.006383,-0.128122,0.322551,-0.029194,-0.001777,-0.07489,0.218876,-0.135651,-0.179677,-0.185507,0.209743,9e-06,3.8e-05,-0.000137,0.423723,-0.001435,-0.001582,-0.002629,0.124002,-0.385281,-0.253348,-0.439048,-0.294674,1,0,0,0,0,0,0,0,0,0,0
4,-0.030104,-0.039436,-2.728543,0.032022,0.098621,0.083346,0.034323,-0.045572,0.021028,0.010546,-2.700165,-0.048,-0.005113,-0.011696,1.839737,0.059249,-0.007989,0.015531,-2.631583,0.036751,0.032277,0.115687,0.055798,0.197754,0.021987,0.01681,-2.514682,0.006903,-6.4e-05,0.024735,1.446786,0.455908,0.00492,0.035863,0.221116,0.397741,-0.047758,0.052054,0.067617,0.239508,-3e-06,-7.7e-05,-0.014163,0.458109,-0.000163,-0.000221,-0.000241,0.119145,-0.374511,-0.294525,-0.463583,-0.221462,1,0,0,0,0,0,0,0,0,0,0
5,0.020116,-0.020566,0.062406,0.064913,-0.017996,-0.018253,-0.37148,-0.187411,-0.000129,-0.036377,-0.068833,-0.050259,-0.000514,-0.059771,0.100325,0.018253,-0.001157,0.006427,0.064141,0.045375,0.001671,-0.0599,0.038176,0.192103,-0.011569,-0.004435,0.020052,-0.013754,0.020245,-0.112472,0.332211,0.458308,0.022105,-0.050036,0.239826,0.440047,0.004581,-0.001171,0.388827,0.356281,2.9e-05,-0.00013,0.385837,0.566128,3.6e-05,-0.000918,0.114393,0.137939,-0.383753,-0.367028,-0.479806,-0.265477,1,0,0,0,0,0,0,0,0,0,0
6,-0.029603,-2.743089,0.042502,0.044953,0.002644,-0.046823,-0.127442,-0.343886,-0.010448,-2.745734,-0.069525,-0.066817,-0.006127,1.862092,0.065462,0.03573,0.024895,-2.646218,0.046307,0.11867,0.082489,0.022057,0.1653,0.13531,0.006385,-2.548057,-0.003612,-0.000451,0.004708,1.439651,0.439789,0.501575,0.009042,0.195974,0.3742,0.465478,0.096119,0.111824,0.285273,0.480929,-0.000109,-0.015113,0.487957,0.475893,-9.9e-05,-0.000119,0.127052,-0.068988,-0.407427,-0.414805,-0.554927,-0.342372,1,0,0,0,0,0,0,0,0,0,0
7,-0.011284,0.072437,0.074966,0.077495,-0.002918,-0.359331,-0.173602,-0.347139,-0.026069,-0.058818,-0.040077,-0.04092,-0.05363,0.107909,0.025097,0.04293,-0.01738,0.040855,0.021919,0.086639,-0.145068,-0.046108,0.109206,0.050193,0.000778,0.025486,-0.008625,-0.005253,-0.138648,0.310045,0.437279,0.540325,-0.081883,0.210593,0.41262,0.497935,-0.102451,0.291063,0.258223,0.380785,-5.6e-05,0.410942,0.602926,0.656268,-0.000913,0.121876,0.146949,-0.006278,-0.400309,-0.460332,-0.54056,-0.399537,1,0,0,0,0,0,0,0,0,0,0
8,-2.77367,0.085529,0.088045,0.089567,-0.047796,-0.130544,-0.352708,-0.345426,-2.780951,-0.034026,-0.031246,0.004369,1.972331,0.128227,0.09771,0.179399,-2.723954,0.039719,0.113995,0.103535,0.086059,0.233086,0.202304,0.205084,-2.622736,-0.011055,-0.007811,0.013571,1.614394,0.588111,0.65153,0.670926,0.275458,0.458394,0.552085,0.489016,0.120703,0.298736,0.499562,0.492799,-0.017944,0.585889,0.571408,0.711998,0.00103,0.153673,-0.081633,0.00576,-0.405263,-0.436,-0.532315,-0.412947,1,0,0,0,0,0,0,0,0,0,0
9,2.298051,2.300126,2.302201,2.304702,-0.254015,-0.101627,-0.244012,-0.237733,2.208342,2.22372,2.223028,2.23899,-1.452736,-1.520683,-1.506051,-1.473754,2.237181,2.221644,2.274746,2.27448,0.012025,0.139458,0.091039,0.065765,2.128318,2.10033,2.103097,2.119006,-0.929436,-0.825042,-0.740495,-0.760235,0.01857,0.18433,0.25433,0.20235,0.225856,0.198912,0.299472,0.267979,0.106769,0.154826,0.168179,0.161414,0.030513,0.036789,-0.001566,-0.007151,-0.418491,-0.435961,-0.538229,-0.38302,1,0,0,0,0,0,0,0,0,0,0
10,5.3e-05,0.002082,0.00331,0.008009,0.188156,0.00897,0.014843,-0.025095,-0.000481,0.001762,0.030487,0.019542,-0.02958,-0.054194,0.011693,-0.033157,-0.015911,0.043996,0.03556,0.040044,0.106518,0.081691,0.083933,-0.032409,-0.029259,-0.026643,-0.009397,-0.002723,0.104917,0.156067,0.171711,0.007849,0.128912,0.204478,0.15361,0.036602,-0.083048,0.078927,0.073473,-0.001379,0.024678,0.021463,0.052678,0.027334,0.002629,-0.049616,-0.030212,-0.051386,-0.433289,-0.25103,-0.541894,-0.318551,1,0,0,0,0,0,0,0,0,0,0
11,0.002055,0.004164,0.006706,-0.140773,-0.035693,-0.180414,-0.174033,0.252558,0.016116,0.015413,0.031637,0.024066,-0.039101,-0.024228,0.008599,-0.069061,0.000324,0.054297,0.054027,0.050025,0.021632,-0.027581,-0.05327,-0.040615,0.00119,0.004002,0.020172,0.023633,-0.000162,0.085773,0.065708,-0.240607,0.037905,0.109054,0.056221,-0.170608,0.056732,0.158943,0.126934,-0.093526,0.026863,0.041827,0.034245,0.002278,0.004158,-0.038826,-0.045085,-0.176317,-0.437206,-0.168715,-0.618098,-0.130974,1,0,0,0,0,0,0,0,0,0,0
12,0.0,0.001317,0.006358,-0.109226,-0.154418,-0.148117,-0.19096,0.169138,-0.014663,0.016152,0.00441,0.021822,0.015006,0.085686,0.037573,-0.055157,0.063921,0.054871,0.059682,-0.008935,-0.049544,-0.047139,-0.171944,-0.084769,0.001546,0.020047,0.027206,0.021765,0.055043,0.071825,-0.103957,-0.200124,0.040917,-0.013651,-0.13917,-0.144764,0.113674,0.107822,0.027526,-0.199353,-0.045405,0.005626,-0.035808,-0.03053,-0.091626,-0.059904,-0.094519,-0.260947,-0.433373,-0.238236,-0.551971,-0.182177,1,0,0,0,0,0,0,0,0,0,0
13,0.002284,0.005036,-0.154644,-2.655243,0.001171,0.008081,0.469964,-1.410009,0.014229,0.031795,0.023598,-2.660571,0.000761,0.036304,-0.047781,-1.340855,-0.00691,-0.007202,-0.011535,-3.164848,-0.002635,-0.030449,-0.016747,-1.938645,0.001464,0.018972,0.022719,-2.946496,0.036773,0.015049,-0.316608,-1.967102,0.035204,-0.022,-0.267594,-0.289674,-0.005545,-0.040202,-0.2789,-0.133659,0.079097,0.065872,0.010109,0.171798,0.031958,0.021041,-0.207878,-0.018006,0.009636,0.471597,0.08228,0.174235,1,0,0,0,0,0,0,0,0,0,0
14,-0.000951,0.004279,-0.115648,-2.58858,0.005349,-0.039104,0.334522,-1.236763,0.017531,0.005349,0.023415,-2.511917,0.072562,0.022642,-0.073572,-1.17989,-0.002377,0.002615,-0.06858,-2.968802,0.00517,-0.124324,-0.033874,-1.854224,0.01771,0.025138,0.019492,-2.716232,-0.019908,-0.202294,-0.302074,-2.050575,-0.092347,-0.222582,-0.228386,-0.26212,-0.000444,-0.083757,-0.319159,-0.243258,-0.02167,-0.075307,-0.068475,0.146695,0.005619,-0.039192,-0.25464,-0.004462,-0.132244,0.373031,-0.056396,0.056938,1,0,0,0,0,0,0,0,0,0,0
15,0.003695,-0.156263,-2.661222,-2.604148,0.001642,0.464331,-1.418919,-1.115251,0.000293,-0.007919,-2.696768,-2.546782,-0.036016,-0.120247,-1.415576,-1.641876,0.002053,-0.002288,-3.161099,-2.93914,-0.032965,-0.01924,-1.944489,-1.841662,5.9e-05,0.003813,-2.97058,-2.747038,-0.002112,-0.334346,-1.987719,-2.326406,0.033845,-0.212177,-0.234295,-0.235255,-0.03428,-0.273394,-0.1279,-0.214997,0.00639,-0.050058,0.113615,0.143988,-0.016179,-0.247906,-0.055705,0.018643,-0.031813,0.351406,0.02171,0.157776,1,0,0,0,0,0,0,0,0,0,0
16,0.00148,-0.118021,-2.582187,-2.744029,-0.045953,0.326349,-1.239367,-0.763138,-0.012436,0.005566,-2.520778,-2.45931,-0.013383,-0.109257,-1.211653,-1.014695,0.002902,-0.068041,-2.957982,-2.920083,-0.095755,-0.005626,-1.819522,-1.50484,0.007343,0.001717,-2.724309,-2.605104,-0.179607,-0.279034,-2.021336,-1.83711,-0.163942,-0.169725,-0.203339,-0.218632,-0.04841,-0.282978,-0.207346,-0.235431,-0.05915,-0.052485,0.157402,0.165174,-0.026418,-0.236577,0.007459,0.067825,-0.018839,0.40319,0.026982,0.16912,1,0,0,0,0,0,0,0,0,0,0
17,-0.16386,-2.706614,-2.64868,-2.795332,0.515874,-1.395791,-1.08754,-0.849311,0.004168,-2.725251,-2.573001,-3.089769,-0.072046,-1.386919,-1.616633,-0.551183,-0.007324,-3.213796,-2.988488,-2.957228,0.110213,-1.844085,-1.739707,-1.052112,-0.003573,-3.022843,-2.795928,-2.99474,-0.156656,-1.834975,-2.178772,-0.82472,-0.084893,-0.107345,-0.10832,-0.200371,-0.194047,-0.046357,-0.134769,-0.206194,-0.001228,0.180534,0.214263,0.28179,-0.229889,-0.016445,0.066119,0.029688,-0.503503,-0.809401,-0.295292,-1.042732,1,0,0,0,0,0,0,0,0,0,0
18,0.044466,-2.476392,-2.641957,-2.838297,-0.143999,-1.745736,-1.258551,-1.680067,0.014176,-2.570291,-2.507409,-3.203595,-0.024777,-1.152536,-0.951046,-0.519898,-0.065124,-3.021552,-2.982781,-2.992292,-0.019931,-1.875559,-1.553636,-1.630149,-0.00212,-2.790863,-2.668916,-3.081042,0.057672,-1.724715,-1.53625,-0.771184,0.080457,0.046069,0.030425,-0.124281,-0.042536,0.034836,0.006105,-0.125732,0.009201,0.255314,0.264428,0.318581,0.013015,0.29917,0.369955,0.287049,-0.907508,-0.791745,-0.900826,-0.324716,1,0,0,0,0,0,0,0,0,0,0
19,-2.655564,-2.596082,-2.746653,-2.36237,-1.817428,-1.500942,-1.256348,-0.366188,-2.81665,-2.660333,-3.190908,-2.400089,-1.325001,-1.560852,-0.466935,0.267091,-3.226426,-2.995098,-2.963003,-2.505421,-1.9864,-1.879234,-1.173268,-0.217512,-3.097802,-2.864823,-3.068947,-2.456453,-1.78136,-2.134343,-0.744113,-0.005319,-0.104244,-0.105244,-0.199755,-0.268037,0.19456,0.103786,0.030453,0.088178,0.208801,0.249367,0.330582,0.330763,0.24284,0.342141,0.298325,0.302781,0.04125,-0.341927,0.040368,-0.407328,1,0,0,0,0,0,0,0,0,0,0
20,0.071278,-0.035346,-0.16179,0.309612,0.128316,0.442063,0.170607,1.307308,0.133114,0.173611,-0.274734,0.205368,0.119304,0.249063,0.526723,0.575295,0.155079,0.180048,0.173923,0.559377,0.072643,0.279962,0.230688,1.518371,0.180984,0.259519,-0.005891,0.270013,-0.011041,0.110331,0.603034,0.855218,0.04438,0.034305,-0.065326,0.075616,-0.074336,-0.092838,-0.177742,-0.058955,0.002305,0.002724,0.005212,0.005355,0.002678,0.00593,0.002121,0.003072,0.269357,-0.255246,-0.102454,-0.614487,1,0,0,0,0,0,0,0,0,0,0
21,-0.03557,-0.138158,0.123663,0.223169,0.078638,0.245286,0.851774,1.212726,-0.035612,-0.397106,0.141698,0.044359,-0.288062,0.45725,0.95736,0.508857,-0.007955,0.013912,0.325673,0.412683,-0.00454,0.476452,1.127632,1.485668,-0.034487,-0.173562,0.243745,0.063435,-0.228709,0.718489,1.221848,0.893175,-0.048062,-0.112454,-0.158977,-0.015317,0.017515,-0.032449,0.006881,0.003935,-0.00088,0.004655,0.004667,0.006018,0.002534,-0.000452,-0.000148,0.00027,0.321514,-0.186626,-0.07558,-0.598204,1,0,0,0,0,0,0,0,0,0,0
22,-0.08078,-0.220113,0.299345,0.306137,0.264565,-0.034565,1.218014,1.083754,0.081382,-0.412668,0.116376,0.098535,0.440311,0.746277,0.7998,0.874905,0.035725,0.028976,0.453725,0.452005,0.233139,0.178842,1.597795,1.452572,0.122137,-0.170329,0.133701,0.15107,0.369807,0.912737,1.190629,1.229321,0.038505,-0.071282,0.084028,0.037228,-0.038467,-0.132026,-0.00113,-0.011163,0.001924,0.006833,0.007114,0.007106,0.003253,-0.004262,-0.002386,-0.002138,0.260154,-0.271291,-0.075262,-0.486719,1,0,0,0,0,0,0,0,0,0,0
23,-0.028138,0.274736,0.389843,0.359344,-0.103737,0.597846,1.015394,0.582573,-0.509384,0.113903,0.001301,0.37004,0.368691,0.947216,0.428389,1.270664,-0.014744,0.345901,0.446554,0.348888,0.295117,1.048399,1.462575,1.176275,-0.297767,0.184972,-0.023609,0.386374,0.68125,1.263533,0.883327,1.712978,-0.117644,-0.171461,-0.005276,-0.034341,-0.014685,0.030811,0.027403,0.180776,0.011069,0.011103,0.014847,0.012012,-0.015503,-0.014661,-0.013504,-0.006814,-0.001396,-0.662073,0.175393,-0.568996,1,0,0,0,0,0,0,0,0,0,0
